Model,ModelNumber,Variable,Importance 
Not-paired,Model15,brace_root_whorls_in_the_soil,5.28567554
Not-paired,Model15,w1,22.84602517
Not-paired,Model15,w2,5.77805728
Not-paired,Model15,w3,0.07996389
Not-paired,Model15,root_angle,7.69591927
Not-paired,Model15,height_cm,31.9974251
Not-paired,Model15,stalk_width_cm,16.07231716
Not-paired,Model15,spread_width_cm,10.95904198
Not-paired,Model15,single_root_width_cm,11.72822803
Not-paired,Model15,root_heightonstalk_cm,12.42345263
Not-paired,Model15,stalk_to_rootgrounding_cm,23.32650742
Paired,Model3,brace_root_whorls_in_the_soil,28.748758
Paired,Model3,w1,17.231351
Paired,Model3,w2,7.113246
Paired,Model3,w3,3.717476
Paired,Model3,root_angle,15.250356
Paired,Model3,height_cm,24.510773
Paired,Model3,stalk_width_cm,23.388408
Paired,Model3,spread_width_cm,16.479287
Paired,Model3,single_root_width_cm,29.248759
Paired,Model3,root_heightonstalk_cm,18.03942
Paired,Model3,stalk_to_rootgrounding_cm,16.685666
Not-paired,Model5,brace_root_whorls_in_the_soil,15.7258404
Not-paired,Model5,w1,16.4524215
Not-paired,Model5,w2,16.9380578
Not-paired,Model5,w3,0.1837636
Not-paired,Model5,root_angle,21.5746983
Not-paired,Model5,height_cm,40.0890679
Not-paired,Model5,stalk_width_cm,25.6476921
Not-paired,Model5,spread_width_cm,16.1793689
Not-paired,Model5,single_root_width_cm,18.3241553
Not-paired,Model5,root_heightonstalk_cm,18.2044939
Not-paired,Model5,stalk_to_rootgrounding_cm,17.4731594
Not-paired,Model5,NA,40.0890679
Not-paired,Model7,ratio_none_all_imu,16.2931206
Not-paired,Model7,brace_root_whorls_in_the_soil,15.0724043
Not-paired,Model7,w1,14.3071205
Not-paired,Model7,w2,11.0989013
Not-paired,Model7,w3,0.1792701
Not-paired,Model7,root_angle,12.5007467
Not-paired,Model7,height_cm,36.4870939
Not-paired,Model7,stalk_width_cm,22.1099611
Not-paired,Model7,spread_width_cm,8.9361408
Not-paired,Model7,single_root_width_cm,13.3436039
Not-paired,Model7,root_heightonstalk_cm,10.2581987
Not-paired,Model7,stalk_to_rootgrounding_cm,10.4150006
