Row,Column,Plot,Genotype,GenotypeID,LR_1 LS_2 or E_3,Replicate,Total Plants,Number Lodged,Percent Lodging,Lodging Index,Lodging Index Cat
9,3,35,2369,1,2,1,18,6,33.33,1,Slight 
17,3,67,2369,1,2,2,16,2,12.5,1.5,SlightModerate
18,2,70,6M502,2,1,1,15,0,0,0,NoEffect
30,1,213,6M502,2,1,2,16,0,0,0,NoEffect
8,2,30,A632,3,1,1,9,0,0,0,NoEffect
18,1,69,A632,3,1,2,13,0,0,0,NoEffect
12,1,45,B104,4,1,1,17,0,0,0,NoEffect
29,4,212,B104,4,1,2,18,0,0,0,NoEffect
7,4,28,B73,5,3,1,16,0,0,0,NoEffect
21,3,107,B73,5,3,2,18,11,61.11,0.5,Slight 
26,1,197,B95,6,1,2,11,3,27.27,1,Slight 
14,1,53,B95,6,1,1,7,1,14.29,2,SlightModerate
11,2,42,B97,7,3,1,11,10,90.91,1,Slight 
22,3,135,B97,7,3,2,8,1,12.5,4,Severe
7,3,27,BS30,8,3,1,5,0,0,0,NoEffect
31,2,218,BS30,8,3,2,12,4,33.33,1.25,Slight 
13,3,51,CML10,9,2,2,15,15,100,1,Slight 
11,4,44,CML10,9,2,1,14,14,100,2,SlightModerate
8,4,32,CML103,10,3,1,5,2,40,0.5,Slight 
28,2,206,CML103,10,3,2,6,5,83.33,1.8,SlightModerate
15,4,60,CML228,11,1,1,17,0,0,0,NoEffect
16,4,64,CML228,11,1,2,16,0,0,0,NoEffect
13,1,49,CML247,12,3,1,12,4,33.33,1.5,SlightModerate
32,2,222,CML247,12,3,2,12,12,100,2.5,Moderate
7,1,25,CML258,13,3,1,14,0,0,0,NoEffect
21,1,105,CML258,13,3,2,15,10,66.67,2.6,Moderate
19,3,75,CML277,14,1,1,14,0,0,0,NoEffect
30,3,215,CML277,14,1,2,17,0,0,0,NoEffect
6,4,24,CML322,15,1,1,2,0,0,0,NoEffect
25,2,170,CML322,15,1,2,2,0,0,0,NoEffect
28,1,205,CML333,16,3,1,5,2,40,1,Slight 
30,4,216,CML333,16,3,2,4,4,100,1,Slight 
9,4,36,CML341,17,2,1,17,3,17.65,1,Slight 
