Flexural.Rigidity..EI....IMU,Ratio..None.All....IMU,Percent.Lodging,Lodging.Index
9.047802759,0.635820851,23.52941176,0.264705882
5.855532849,0.583415487,0,0
7.307506059,0.731216866,0,0
15.88363619,0.710575942,0,0
10.44714504,0.521164217,32.35294118,0.161764706
9.014813006,0.682209933,57.89473684,0.736842105
16.16440175,0.752199137,100,1.482758621
9.572194119,0.612809672,63.63636363,0.909090909
16.58124628,0.719941616,0,0
12.16297332,0.630766587,66.66666667,1.5
23.83946551,0.499708286,34.48275862,0.896551724
12.00748117,0.696665865,0,0
11.29447023,0.633320008,0,0
7.80059353,0.644820907,66.66666667,0.666666667
11.00773722,0.690625939,32.25806451,0.322580645
11.52885624,0.671232646,0,0
13.16291346,0.851181566,100,3
8.583398893,0.737170374,97.05882353,0.970588235
7.37572984,0.695930758,8.333333335,0.357142857
15.19944192,0.442120456,12,0.12
18.85183386,0.550906441,76.60818714,1.710526316
5.966163326,0.448327344,0,0
18.78667384,0.765802523,0,0
11.74132842,0.670456158,0,0
5.735294108,0.812845553,34.7826087,0.434782609
6.940710132,0.545096158,0,0
6.683463064,0.541067491,26.92307692,0.423076923
9.889104393,0.517217629,5.88235294,0.294117647
7.588357636,0.498461416,65,1.6
13.42160646,0.60699886,6.451612902,0.129032258
9.973540572,0.62938455,13.79310345,0.137931034
5.17931592,0.500642131,0,0
18.96598353,0.633721307,97.22222222,1.208333333
6.488939576,0.628608736,0,0
9.860098362,0.717377926,15.38461538,0.307692308
5.013335415,0.72269198,75,0.375
8.493141651,0.701808549,3.448275862,0.068965517
9.854931096,0.784888677,94.73684211,2.263157895
0.973612996,0.733117478,71.42857143,0.714285714
7.8784136,0.611209455,36,0.44
8.592997615,0.490392176,0,0
6.792883395,0.555638616,0,0
8.468040484,0.537915775,0,0
6.358733877,0.713672757,7.142857144,0.071428571
6.45407492,0.59442981,43.33333333,0.5
5.920631379,0.611979101,51.72413793,0.827586207
13.16235914,0.844028296,100,1.529411765
7.292917158,0.545802944,29.16666666,0.625
7.386755423,0.596438673,61.29032258,1.096774194
12.17913308,0.713726814,100,2
8.657046509,0.639053889,100,0.734375
3.916003146,0.617268086,3.448275862,0.034482759
