Year,Accession,Plot.ID,Plant.Number,Plant.Age,Brace.Root.Status,Operator,Flexural.Rigidity..EI....IMU,Brace.Root.Whorls.in.the.Soil,ID
2018,PHHB4,2307,1,dry,A,LE,4.139581222,2,PHHB4_2307
2018,PHHB4,2307,2,dry,A,LE,9.767732118,2,PHHB4_2307
2018,PHHB4,2307,3,dry,A,LE,6.260516961,2,PHHB4_2307
2018,PHHB4,2307,4,dry,A,LE,9.437420104,2,PHHB4_2307
2018,PHHB4,2307,5,dry,A,LE,3.83349543,2,PHHB4_2307
2018,CML333,2308,1,dry,A,LE,2.764771173,2,CML333_2308
2018,CML333,2308,2,dry,A,LE,5.493959374,3,CML333_2308
2018,CML333,2308,3,dry,A,LE,7.768386472,3,CML333_2308
2018,CML333,2308,4,dry,A,LE,13.74032556,3,CML333_2308
2018,Tzi8,2309,1,dry,A,LE,11.3555738,2,Tzi8_2309
2018,Tzi8,2309,2,dry,A,LE,5.393176776,2,Tzi8_2309
2018,Tzi8,2309,3,dry,A,LE,8.118560166,2,Tzi8_2309
2018,Tzi8,2309,4,dry,A,LE,14.16158118,2,Tzi8_2309
2018,Tzi8,2309,5,dry,A,LE,12.85568926,2,Tzi8_2309
2018,CML277,2310,1,dry,A,LE,7.133969462,2,CML277_2310
2018,CML277,2310,2,dry,A,LE,6.322183358,1,CML277_2310
2018,CML277,2310,3,dry,A,LE,7.830425917,1,CML277_2310
2018,CML277,2310,4,dry,A,LE,13.818285,1,CML277_2310
2018,CML277,2310,5,dry,A,LE,7.327373267,2,CML277_2310
2018,Oh43,2312,1,dry,A,LE,5.882141221,1,Oh43_2312
2018,Oh43,2312,2,dry,A,LE,4.17475697,1,Oh43_2312
2018,Oh43,2312,3,dry,A,LE,4.158371485,1,Oh43_2312
2018,Oh43,2312,4,dry,A,LE,3.999693799,1,Oh43_2312
2018,Oh43,2312,5,dry,A,LE,4.556668736,1,Oh43_2312
2018,CML322,2314,1,dry,A,LE,14.81459779,3,CML322_2314
2018,CML322,2314,2,dry,A,LE,11.5228575,2,CML322_2314
2018,CML322,2314,3,dry,A,LE,14.70996712,2,CML322_2314
2018,CML322,2314,4,dry,A,LE,9.642082654,2,CML322_2314
2018,CML322,2314,5,dry,A,LE,11.54166354,2,CML322_2314
2018,CML277,2315,1,dry,A,LE,7.698746704,1,CML277_2315
2018,CML277,2315,2,dry,A,LE,9.5840327,1,CML277_2315
2018,CML277,2315,3,dry,A,LE,10.46593414,1,CML277_2315
2018,CML277,2315,4,dry,A,LE,7.081142623,1,CML277_2315
2018,CML277,2315,5,dry,A,LE,12.71832161,2,CML277_2315
