----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,10
DAY,20
TIME,15:8:3,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,17.5,C
HUMIDITY,71.8,%
LATITUDE,39.6708,angular degrees
LONGITUDE,-75.7489,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.358577752,-1.27251063765,1.92426857646,-2.0
19.0,92.3110757483,-1.24367929468,1.91095183891,-3.0
38.0,92.2730741453,-1.23406884702,1.8843183638,-4.0
65.0,92.3300765498,-1.19562705639,1.87765999502,-3.0
92.0,92.3300765498,-1.15718526575,1.85102651992,-3.0
119.0,92.282574546,-1.15718526575,1.87100162625,-3.0
146.0,92.2635737445,-1.17640616107,1.82439304481,-3.0
174.0,92.320576149,-1.2148479517,1.80441793848,-4.0
200.0,92.3680781528,-1.23406884702,1.75780935704,-3.0
227.0,92.320576149,-1.24367929468,1.75115098827,-2.0
254.0,92.2730741453,-1.24367929468,1.83105141359,-3.0
281.0,92.1970709392,-1.26290018999,2.13067800854,-3.0
435.0,92.320576149,-1.07069123683,2.62339729801,-3.0
473.0,92.3110757483,-1.00341810322,2.683322617,-4.0
492.0,92.3300765498,-1.07069123683,2.76322304232,-4.0
519.0,92.2920749468,-1.08030168449,2.89639041785,-4.0
546.0,92.3300765498,-1.0995225798,3.04953289972,-4.0
573.0,92.3015753475,-1.07069123683,3.21599211913,-4.0
601.0,92.3015753475,-0.993807655564,3.40908481366,-5.0
627.0,92.2920749468,-0.878482283665,3.62215261451,-3.0
654.0,92.2920749468,-0.734325568792,3.82190367781,-3.0
682.0,92.3395769505,-0.513285272654,4.03497147866,-4.0
708.0,92.3015753475,-0.224971842908,4.21474743563,-3.0
735.0,92.3110757483,0.0825624821545,4.33459807361,-2.0
761.0,92.3395769505,0.409317702533,4.49439892425,-3.0
788.0,92.3395769505,0.678410236963,4.64088303734,-4.0
815.0,92.3110757483,0.889840085443,4.82731736309,-3.0
842.0,92.3490773513,1.10126993392,4.99377658251,-3.0
869.0,92.3110757483,1.25503709645,5.15357743315,-3.0
896.0,92.2920749468,1.37036246835,5.29340317746,-4.0
922.0,92.2635737445,1.47607739259,5.43322892177,-3.0
950.0,92.3300765498,1.58179231683,5.6529550914,-3.0
976.0,92.3110757483,1.70672813639,5.8527061547,-3.0
1004.0,92.3395769505,1.83166395595,6.04579884922,-3.0
1030.0,92.2730741453,1.94698932784,6.19228296231,-2.0
1057.0,92.2635737445,2.09114604272,6.37205891928,-3.0
1084.0,92.358577752,2.22569230993,6.4785928197,-3.0
1111.0,92.3015753475,2.37945947246,6.62507693279,-3.0
1138.0,92.3775785535,2.55244753031,6.81816962731,-3.0
1165.0,92.2920749468,2.7158251405,6.97131210918,-4.0
1193.0,92.3015753475,2.91764454132,7.19103827881,-3.0
1220.0,92.2730741453,3.13868483746,7.30423054801,-3.0
1248.0,92.3490773513,3.33089379063,7.43739792354,-3.0
1274.0,92.3015753475,3.51349229613,7.57056529908,-3.0
1302.0,92.3490773513,3.71531169695,7.73036614972,-4.0
1329.0,92.2730741453,3.84985796417,7.91680047547,-3.0
1356.0,92.3015753475,3.97479378372,8.04330948222,-3.0
1384.0,92.320576149,4.10934005094,8.20976870164,-3.0
1412.0,92.3015753475,4.25349676581,8.3362777084,-3.0
1439.0,92.2730741453,4.38804303303,8.46944508393,-4.0
1467.0,92.3490773513,4.51297885258,8.60927082824,-3.0
1494.0,92.3110757483,4.6475251198,8.735779835,-3.0
1521.0,92.320576149,4.78207138701,8.84231373542,-4.0
1549.0,92.358577752,4.91661765423,9.00877295484,-3.0
1577.0,92.3490773513,5.07038481676,9.08201501138,-3.0
1603.0,92.320576149,5.25298332226,9.14859869915,-4.0
1631.0,92.2920749468,5.49324451372,9.23515749325,-3.0
1658.0,92.320576149,5.77194749581,9.3616665,-3.0
1686.0,92.2635737445,6.12753405916,9.4482252941,-4.0
1714.0,92.3680781528,6.45428927954,9.46820040043,-3.0
1740.0,92.2920749468,6.77143405226,9.46820040043,-3.0
1768.0,92.3395769505,7.1077997203,9.41493345022,-3.0
1795.0,92.282574546,7.42494449302,9.40827508144,-4.0
1822.0,92.2730741453,7.7036474751,9.40161671266,-4.0
1850.0,92.3395769505,7.91507732359,9.35500813123,-3.0
1878.0,92.3490773513,8.02079224783,9.29508281224,-3.0
1904.0,92.2540733438,8.00157135251,9.1619154367,-3.0
1932.0,92.3300765498,7.9342982189,9.06203990505,-3.0
1959.0,92.3395769505,7.83819374232,8.92887252952,-3.0
1986.0,92.320576149,7.77092060871,8.78238841643,-3.0
2014.0,92.2350725423,7.72286837042,8.58263735313,-4.0
2041.0,92.3015753475,7.67481613213,8.42949487127,-3.0
2069.0,92.2920749468,7.60754299852,8.22308543919,-4.0
2097.0,92.3015753475,7.53065941726,8.02333437589,-4.0
2124.0,92.3015753475,7.44416538833,7.83690005014,-3.0
2152.0,92.2730741453,7.34806091175,7.61717388051,-3.0
2180.0,92.3015753475,7.2231250922,7.40410607966,-4.0
2207.0,92.3395769505,7.07896837732,7.19769664758,-3.0
2234.0,92.358577752,6.90598031947,7.03123742817,-4.0
2261.0,92.3110757483,6.72338181397,6.88475331508,-3.0
2288.0,92.3015753475,6.47351017486,6.70497735811,-3.0
2316.0,92.320576149,6.20441764043,6.51854303236,-4.0
2343.0,92.3490773513,5.90649376302,6.29215849396,-3.0
2370.0,92.3015753475,5.61818033328,6.11904090576,-2.0
2397.0,92.3015753475,5.34908779885,5.95924005512,-2.0
2423.0,92.2920749468,5.07999526442,5.75283062305,-4.0
2451.0,92.2920749468,4.83973407296,5.53976282219,-4.0
2478.0,92.2920749468,4.59947288151,5.35332849645,-3.0
2505.0,92.2920749468,4.34960124239,5.17355253948,-4.0
2532.0,92.3395769505,4.16700273689,4.9671431074,-3.0
2559.0,92.2920749468,3.98440423138,4.76073367532,-4.0
2585.0,92.3490773513,3.76336393524,4.5676409808,-3.0
2612.0,92.3300765498,3.57115498208,4.38786502383,-4.0
2639.0,92.3395769505,3.40777737189,4.17479722297,-3.0
2666.0,92.320576149,3.21556841873,3.995021266,-4.0
2693.0,92.2920749468,3.04258036088,3.82190367781,-3.0
2719.0,92.244572943,2.86959230303,3.65544445839,-4.0
2747.0,92.3775785535,2.67738334987,3.44237665754,-3.0
2774.0,92.358577752,2.46595350139,3.2825758069,-3.0
2800.0,92.3300765498,2.24491320525,3.12277495626,-3.0
2827.0,92.3015753475,2.01426246145,3.01624105583,-4.0
2853.0,92.3015753475,1.80283261297,2.8830736803,-3.0
2881.0,92.2730741453,1.59140276449,2.7698814111,-3.0
2908.0,92.3015753475,1.40880425899,2.67666424822,-3.0
2935.0,92.3300765498,1.21659530582,2.5701303478,-4.0
2962.0,92.3015753475,0.995555009683,2.44362134104,-3.0
2989.0,92.320576149,0.793735608861,2.35706254694,-3.0
3016.0,92.282574546,0.591916208039,2.21723680263,-2.0
