----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,10
DAY,20
TIME,16:3:38,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,21.1,C
HUMIDITY,56.1,%
LATITUDE,39.6709,angular degrees
LONGITUDE,-75.7491,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.320576149,2.45634305373,5.37330360278,-3.0
36.0,92.320576149,2.43712215841,5.42657055299,-3.0
55.0,92.320576149,2.42751171075,5.44654565932,-5.0
83.0,92.3395769505,2.39868036778,5.48649587198,-4.0
108.0,92.3395769505,2.35062812949,5.5663962973,-4.0
135.0,92.2920749468,2.31218633886,5.63297998507,-4.0
163.0,92.2730741453,2.28335499588,5.79943920448,-3.0
189.0,92.3015753475,2.28335499588,5.9658984239,-4.0
217.0,92.3490773513,2.22569230993,6.1656494872,-3.0
243.0,92.282574546,2.17764007164,6.37205891928,-3.0
270.0,92.3300765498,2.13919828101,6.65836877667,-4.0
298.0,92.2635737445,2.11997738569,6.91138679019,-4.0
325.0,92.3490773513,2.12958783335,7.24430522902,-3.0
352.0,92.2730741453,2.1872505193,7.50398161131,-3.0
380.0,92.3395769505,2.25452365291,7.87685026281,-4.0
406.0,92.3110757483,2.34101768183,8.22308543919,-4.0
434.0,92.3680781528,2.45634305373,8.62258756579,-4.0
462.0,92.282574546,2.6004997686,8.95550600463,-4.0
489.0,92.358577752,2.80231916942,9.3616665,-3.0
516.0,92.282574546,2.98491767493,9.7345351515,-3.0
544.0,92.282574546,3.16751618044,10.0940870654,-4.0
571.0,92.358577752,3.34050423828,10.4669557169,-3.0
598.0,92.2920749468,3.49427140081,10.8464827372,-4.0
626.0,92.3110757483,3.657649011,11.2326681262,-4.0
653.0,92.320576149,3.83063706885,11.7054123094,-4.0
681.0,92.3490773513,3.97479378372,12.1848148613,-4.0
707.0,92.358577752,4.14778184157,12.6775341508,-4.0
735.0,92.2540733438,4.35921169005,13.1502783339,-3.0
763.0,92.2730741453,4.57064153853,13.6230225171,-4.0
790.0,92.3300765498,4.81090272999,14.1956422319,-4.0
818.0,92.282574546,5.04155347378,14.7216533652,-4.0
846.0,92.3110757483,5.28181466524,15.2809563425,-3.0
872.0,92.2730741453,5.56051764733,15.860234426,-3.0
900.0,92.358577752,5.86805197239,16.4728043535,-3.0
928.0,92.2730741453,6.24285943106,16.9588652742,-3.0
955.0,92.3300765498,6.61766688973,17.5115098827,-3.0
983.0,92.3395769505,7.01169524371,18.0508377536,-4.0
1010.0,92.282574546,7.46338628365,18.4636566177,-3.0
1037.0,92.3680781528,7.9342982189,18.9497175384,-3.0
1064.0,92.2730741453,8.38598925884,19.3425612962,-4.0
1091.0,92.2730741453,8.81845940346,19.7753552667,-4.0
1119.0,92.282574546,9.21248775744,20.2014908684,-3.0
1147.0,92.358577752,9.53924297782,20.6209681014,-4.0
1173.0,92.358577752,9.87560864586,20.9672032777,-3.0
1201.0,92.3110757483,10.1927534186,20.8673277461,-3.0
1229.0,92.2730741453,10.5483399819,21.4332890921,-3.0
1256.0,92.358577752,10.798211621,21.7129405807,-4.0
1283.0,92.3015753475,11.2306817657,21.912691644,-4.0
1311.0,92.282574546,11.6535414626,22.2256349765,-3.0
1338.0,92.244572943,12.1340638455,22.5585534154,-4.0
1366.0,92.2255721415,12.6722489144,22.7316710036,-5.0
1394.0,92.3300765498,13.2392653262,22.7716212162,-4.0
1421.0,92.320576149,13.7966712904,22.7982546913,-4.0
1449.0,92.3680781528,14.3829085976,22.7516461099,-3.0
1475.0,92.2730741453,14.9210936664,22.6184787344,-3.0
1503.0,92.3395769505,15.3727847063,22.4520195149,-3.0
1530.0,92.2920749468,15.6899294791,22.15239292,-4.0
1557.0,92.2730741453,15.8244757463,21.8727414314,-4.0
1585.0,92.3110757483,15.7572026127,21.4998727799,-3.0
1613.0,92.358577752,15.6707085838,21.1070290221,-4.0
1639.0,92.358577752,15.6226563455,20.6476015765,-3.0
1667.0,92.3395769505,15.6130458978,20.1948324997,-3.0
1694.0,92.358577752,15.6034354501,19.6821381038,-4.0
1721.0,92.320576149,15.5649936595,19.3425612962,-3.0
1749.0,92.3300765498,15.4881100782,18.8165501629,-4.0
1777.0,92.282574546,15.4208369446,18.277222292,-2.0
1803.0,92.3015753475,15.2862906774,17.6846274708,-3.0
1831.0,92.358577752,15.0940817243,16.9788403805,-3.0
1858.0,92.3300765498,14.7288847132,16.4195374033,-4.0
1886.0,92.3490773513,14.2964145686,15.9734266952,-4.0
1913.0,92.358577752,13.835113081,15.4274404556,-3.0
1939.0,92.282574546,13.3449802505,14.9347211661,-4.0
1967.0,92.2920749468,12.8740683152,14.5085855644,-4.0
1995.0,92.2920749468,12.4512086183,14.0558164876,-4.0
2022.0,92.2920749468,12.0956220549,13.8161152116,-3.0
2050.0,92.2730741453,11.7496459392,13.4565632977,-3.0
2078.0,92.320576149,11.4228907188,12.970502377,-2.0
2105.0,92.2730741453,11.1634086321,12.6309255694,-3.0
2133.0,92.2635737445,10.88470565,12.3312989744,-4.0
2161.0,92.2730741453,10.6444444585,12.0050389043,-3.0
2188.0,92.320576149,10.43301461,11.5922200402,-4.0
2216.0,92.282574546,10.2119743139,11.2726183389,-4.0
2243.0,92.282574546,10.0005444654,10.972991744,-4.0
2270.0,92.3015753475,9.78911461693,10.7732406807,-3.0
2298.0,92.3300765498,9.61612655909,10.4203471355,-2.0
2325.0,92.3300765498,9.41430715826,10.1007454342,-3.0
2353.0,92.282574546,9.24131910042,9.82775231437,-3.0
2381.0,92.3490773513,8.9914474613,9.51480898187,-4.0
2407.0,92.282574546,8.78962806048,9.30174118101,-3.0
2435.0,92.3015753475,8.61664000263,9.04206479872,-3.0
2463.0,92.3490773513,8.45326239244,8.80236352276,-4.0
2490.0,92.3490773513,8.2802743346,8.46944508393,-3.0
2517.0,92.3015753475,8.09767582909,8.18979359531,-4.0
2545.0,92.3395769505,7.94390866656,7.91014210669,-3.0
2571.0,92.3490773513,7.77092060871,7.6770991995,-3.0
2599.0,92.3300765498,7.55949076023,7.38413097333,-4.0
2626.0,92.244572943,7.30961912112,7.15108806615,-3.0
2654.0,92.358577752,7.07896837732,6.79819452098,-3.0
2681.0,92.3015753475,6.82909673821,6.63839367034,-3.0
2708.0,92.3110757483,6.52156241315,6.43198423827,-4.0
2735.0,92.3680781528,6.19480719277,6.23223317497,-4.0
2762.0,92.2730741453,5.86805197239,6.06577395555,-3.0
2788.0,92.320576149,5.51246540904,5.91928984246,-3.0
2816.0,92.320576149,5.13765795037,5.85936452347,-3.0
2842.0,92.3395769505,4.78207138701,5.79943920448,-5.0
2869.0,92.3490773513,4.45531616663,5.81275594204,-4.0
2896.0,92.2730741453,4.19583407986,5.82607267959,-3.0
2922.0,92.3015753475,3.97479378372,5.85936452347,-3.0
2950.0,92.3110757483,3.82102662119,5.92594821124,-3.0
2977.0,92.3680781528,3.74414303993,6.00584863656,-4.0
