----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,10
DAY,24
TIME,19:4:33,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,nan,C
HUMIDITY,33.5,%
LATITUDE,39.671,angular degrees
LONGITUDE,-75.7491,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.3300765498,-4.18447627809,1.24511496124,-4.0
36.0,92.282574546,-4.19408672574,1.26509006757,-3.0
57.0,92.2730741453,-4.2036971734,1.27840680512,-3.0
83.0,92.320576149,-4.2036971734,1.2850651739,-3.0
111.0,92.3775785535,-4.22291806872,1.30504028023,-4.0
138.0,92.3395769505,-4.22291806872,1.33833212411,-4.0
163.0,92.282574546,-4.21330762106,1.37162396799,-3.0
191.0,92.3015753475,-4.21330762106,1.43820765576,-3.0
217.0,92.3680781528,-4.2036971734,1.4848162372,-3.0
244.0,92.320576149,-4.18447627809,1.5114497123,-3.0
272.0,92.3395769505,-4.15564493511,1.53142481863,-3.0
298.0,92.3300765498,-4.14603448745,1.53808318741,-3.0
325.0,92.3680781528,-4.14603448745,1.58469176885,-4.0
352.0,92.2920749468,-4.13642403979,1.61132524396,-3.0
378.0,92.3300765498,-4.13642403979,1.65793382539,-3.0
406.0,92.3775785535,-4.13642403979,1.71120077561,-3.0
432.0,92.3110757483,-4.13642403979,1.74449261949,-3.0
459.0,92.358577752,-4.13642403979,1.77778446337,-3.0
486.0,92.2920749468,-4.15564493511,1.84436815114,-3.0
512.0,92.3110757483,-4.15564493511,1.91095183891,-4.0
540.0,92.320576149,-4.15564493511,2.02414410811,-3.0
567.0,92.3300765498,-4.16525538277,2.13067800854,-3.0
593.0,92.3110757483,-4.14603448745,2.25052864652,-4.0
621.0,92.3015753475,-4.10759269682,2.3703792845,-4.0
647.0,92.3870789543,-4.04993001087,2.4835715537,-4.0
674.0,92.3300765498,-3.96343598195,2.55681361024,-3.0
702.0,92.3395769505,-3.89616284834,2.62339729801,-3.0
727.0,92.320576149,-3.81927926707,2.683322617,-4.0
755.0,92.2730741453,-3.73278523815,2.75656467354,-3.0
782.0,92.2635737445,-3.6751225522,2.80983162376,-2.0
809.0,92.3680781528,-3.66551210454,2.89639041785,-4.0
836.0,92.3015753475,-3.62707031391,2.96297410562,-3.0
863.0,92.2920749468,-3.59823897094,3.04953289972,-3.0
889.0,92.2920749468,-3.59823897094,3.12943332504,-3.0
917.0,92.2635737445,-3.57901807562,3.23596722546,-4.0
943.0,92.320576149,-3.56940762796,3.36247623222,-3.0
971.0,92.3395769505,-3.56940762796,3.50896034531,-4.0
998.0,92.3110757483,-3.5597971803,3.64212772084,-4.0
1024.0,92.3490773513,-3.54057628499,3.82856204659,-4.0
1051.0,92.282574546,-3.50213449435,3.98836289723,-4.0
1078.0,92.3775785535,-3.47330315138,4.12153027276,-3.0
1104.0,92.3300765498,-3.38680912245,4.33459807361,-3.0
1132.0,92.320576149,-3.34836733182,4.47442381792,-4.0
1158.0,92.358577752,-3.30992554119,4.70746672511,-4.0
1185.0,92.2920749468,-3.24265240758,4.90721778841,-3.0
1212.0,92.3300765498,-3.18498972163,5.07367700783,-3.0
1239.0,92.320576149,-3.12732703568,5.26011133357,-2.0
1266.0,92.3300765498,-3.05044345442,5.49315424076,-3.0
1293.0,92.320576149,-3.01200166379,5.68624693528,-4.0
1320.0,92.3870789543,-2.97355987315,5.91263147369,-3.0
1347.0,92.3110757483,-2.89667629189,6.22557480619,-3.0
1373.0,92.3110757483,-2.8005718153,6.45861771337,-4.0
1401.0,92.3300765498,-2.67563599575,6.73161083322,-4.0
1428.0,92.3015753475,-2.5026479379,6.93136189652,-4.0
1455.0,92.2920749468,-2.36810167069,7.13777132859,-3.0
1483.0,92.3490773513,-2.26238674645,7.31088891679,-3.0
1511.0,92.320576149,-2.11823003157,7.5639069303,-3.0
1538.0,92.282574546,-1.94524197373,7.73036614972,-2.0
1566.0,92.3110757483,-1.82991660183,7.9634090569,-3.0
1593.0,92.3110757483,-1.68575988695,8.20311033286,-4.0
1620.0,92.3395769505,-1.54160317208,8.4494699776,-3.0
1648.0,92.3110757483,-1.45510914316,8.68251288478,-3.0
1676.0,92.3680781528,-1.35900466658,8.9621643734,-4.0
1702.0,92.320576149,-1.26290018999,9.22184075569,-4.0
1730.0,92.3015753475,-1.17640616107,9.44156692532,-3.0
1757.0,92.3870789543,-1.0995225798,9.72787678272,-3.0
1784.0,92.3490773513,-0.993807655564,9.94094458357,-3.0
1812.0,92.3300765498,-0.90731362664,10.167329122,-4.0
1839.0,92.3015753475,-0.782377807083,10.3204716038,-4.0
1867.0,92.3395769505,-0.667052435185,10.5002475608,-4.0
1894.0,92.3015753475,-0.542116615628,10.6866818866,-4.0
1921.0,92.2730741453,-0.407570348414,10.733290468,-2.0
1949.0,92.2730741453,-0.311465871832,10.8731162123,-4.0
1977.0,92.3395769505,-0.21536139525,10.9863084815,-3.0
2003.0,92.3015753475,-0.119256918668,11.1061591195,-4.0
2031.0,92.3300765498,-0.0135419944275,11.1527677009,-4.0
2059.0,92.2920749468,0.0633415868381,11.2659599701,-4.0
2086.0,92.2920749468,0.140225168104,11.299251814,-4.0
2114.0,92.282574546,0.169056511078,11.419102452,-3.0
2141.0,92.3775785535,0.226719197027,11.479027771,-3.0
2168.0,92.358577752,0.236329644686,11.5922200402,-3.0
2195.0,92.3110757483,0.255550540002,11.6854372031,-3.0
2222.0,92.3110757483,0.293992330635,11.805287841,-4.0
2250.0,92.3775785535,0.322823673609,11.925138479,-4.0
2278.0,92.3395769505,0.361265464242,12.0116972731,-3.0
2304.0,92.3015753475,0.42853859785,12.0649642233,-4.0
2332.0,92.3680781528,0.486201283799,12.0982560672,-4.0
2359.0,92.320576149,0.524643074432,12.1248895423,-3.0
2386.0,92.3395769505,0.572695312723,12.0915976984,-3.0
2414.0,92.2920749468,0.630357998672,12.0516474858,-3.0
2442.0,92.3870789543,0.659189341646,11.9584303229,-3.0
2468.0,92.3680781528,0.688020684621,11.8785298976,-3.0
2496.0,92.3015753475,0.716852027596,11.7919711035,-4.0
2522.0,92.3110757483,0.74568337057,11.6787788343,-4.0
2550.0,92.3490773513,0.736072922912,11.5789033026,-4.0
2578.0,92.3015753475,0.716852027596,11.4923445085,-3.0
2605.0,92.358577752,0.707241579937,11.3991273457,-3.0
2632.0,92.358577752,0.688020684621,11.3192269203,-3.0
2659.0,92.3490773513,0.659189341646,11.2260097575,-4.0
2686.0,92.282574546,0.649578893988,11.119475857,-3.0
2714.0,92.2730741453,0.649578893988,10.9663333752,-3.0
2742.0,92.3300765498,0.63996844633,10.7865574182,-3.0
2769.0,92.3015753475,0.601526655697,10.5934647237,-2.0
2797.0,92.3015753475,0.563084865064,10.3670801853,-3.0
2823.0,92.3300765498,0.543863969748,10.1207205405,-3.0
2851.0,92.3395769505,0.505422179115,9.83441068315,-3.0
2879.0,92.2730741453,0.466980388482,9.56807593208,-4.0
