----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,10
DAY,24
TIME,20:0:33,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,12.7,C
HUMIDITY,39.6,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.4440813588,-0.32107631949,0.812320990754,-3.0
17.0,92.282574546,-0.349907662464,0.832296097084,-3.0
37.0,92.3395769505,-0.378739005439,0.838954465861,-3.0
64.0,92.3110757483,-0.378739005439,0.805662621978,-4.0
90.0,92.358577752,-0.340297214806,0.805662621978,-4.0
117.0,92.3490773513,-0.301855424173,0.792345884424,-3.0
143.0,92.2730741453,-0.253803185882,0.818979359531,-4.0
170.0,92.3490773513,-0.224971842908,0.818979359531,-3.0
197.0,92.2160717408,-0.196140499933,0.818979359531,-3.0
351.0,92.282574546,-0.138477813984,0.912196522404,-4.0
472.0,92.320576149,-0.00393154676926,0.965463472618,-4.0
492.0,92.358577752,-0.0615942327184,0.992096947724,-5.0
518.0,92.320576149,-0.109646471009,1.01207205405,-3.0
546.0,92.3110757483,-0.1576987093,1.05202226671,-3.0
573.0,92.358577752,-0.186530052275,1.07199737304,-3.0
599.0,92.3395769505,-0.186530052275,1.09863084815,-3.0
626.0,92.3110757483,-0.176919604617,1.15855616714,-3.0
652.0,92.3490773513,-0.167309156959,1.20516474858,-3.0
679.0,92.320576149,-0.196140499933,1.25843169879,-3.0
707.0,92.358577752,-0.176919604617,1.35830723044,-3.0
732.0,92.358577752,-0.148088261642,1.3982574431,-3.0
759.0,92.3490773513,-0.119256918668,1.49147460597,-4.0
786.0,92.3490773513,-0.0327628897439,1.55805829374,-3.0
812.0,92.320576149,0.0537311391799,1.62464198151,-3.0
840.0,92.358577752,0.130614720446,1.70454240683,-4.0
865.0,92.282574546,0.245940092344,1.80441793848,-3.0
893.0,92.2635737445,0.380486359559,1.85768488869,-3.0
920.0,92.358577752,0.553474417406,1.95756042034,-3.0
946.0,92.320576149,0.774514713545,2.07075268955,-3.0
974.0,92.3015753475,0.995555009683,2.13067800854,-3.0
1001.0,92.320576149,1.22620575348,2.17728658997,-3.0
1027.0,92.2920749468,1.43763560196,2.25052864652,-3.0
1055.0,92.282574546,1.66828634576,2.35040417817,-3.0
1081.0,92.3110757483,1.93737888019,2.40367112838,-4.0
1109.0,92.2920749468,2.20647141462,2.46359644737,-3.0
1136.0,92.3300765498,2.4851743967,2.51686339758,-3.0
1162.0,92.320576149,2.72543558816,2.59010545413,-3.0
1190.0,92.2730741453,2.9464758843,2.62339729801,-3.0
1217.0,92.3395769505,3.14829528512,2.67000587945,-3.0
1243.0,92.320576149,3.32128334297,2.70995609211,-3.0
1271.0,92.3300765498,3.49427140081,2.75656467354,-3.0
1298.0,92.3490773513,3.71531169695,2.75656467354,-3.0
1324.0,92.2920749468,3.8882997548,2.78319814865,-4.0
1351.0,92.282574546,4.04206691733,2.83646509886,-3.0
1378.0,92.3110757483,4.25349676581,2.84312346764,-4.0
1405.0,92.3680781528,4.46492661429,2.82980673009,-4.0
1432.0,92.3680781528,4.63791467214,2.81648999253,-4.0
1458.0,92.3015753475,4.88778631125,2.81648999253,-4.0
1485.0,92.2920749468,5.10882660739,2.83646509886,-3.0
1513.0,92.3490773513,5.24337287461,2.7965148862,-2.0
1539.0,92.3680781528,5.25298332226,2.80317325498,-3.0
1565.0,92.282574546,5.19532063632,2.78985651743,-4.0
1592.0,92.3490773513,5.10882660739,2.73658956721,-4.0
1619.0,92.358577752,5.0607743691,2.68998098578,-3.0
1646.0,92.3490773513,4.99350123549,2.63671403556,-4.0
1672.0,92.3110757483,4.92622810189,2.61673892923,-4.0
1699.0,92.3015753475,4.88778631125,2.57678871657,-3.0
1726.0,92.3775785535,4.83973407296,2.51686339758,-3.0
1752.0,92.3300765498,4.77246093935,2.47025481615,-4.0
1780.0,92.358577752,4.70518780575,2.43030460349,-3.0
1806.0,92.3680781528,4.65713556746,2.37703765327,-3.0
1832.0,92.320576149,4.58986243385,2.32377070306,-3.0
1860.0,92.358577752,4.54181019556,2.29713722795,-4.0
1886.0,92.282574546,4.47453706195,2.25052864652,-3.0
1913.0,92.320576149,4.35921169005,2.19060332753,-4.0
1941.0,92.358577752,4.20544452752,2.12401963976,-3.0
1966.0,92.3110757483,4.05167736499,2.09072779588,-4.0
1994.0,92.3395769505,3.85946841183,2.02414410811,-3.0
2020.0,92.2920749468,3.66725945866,1.98419389545,-4.0
2047.0,92.320576149,3.46544005784,1.92426857646,-4.0
2075.0,92.320576149,3.28284155233,1.87100162625,-5.0
2101.0,92.320576149,3.1290743898,1.84436815114,-3.0
2128.0,92.320576149,3.0137490179,1.76446772582,-3.0
2156.0,92.2920749468,2.90803409366,1.74449261949,-4.0
2182.0,92.358577752,2.79270872177,1.71120077561,-4.0
2209.0,92.3395769505,2.7158251405,1.65127545662,-3.0
2236.0,92.358577752,2.61972066392,1.59135013763,-4.0
2262.0,92.3775785535,2.53322663499,1.53808318741,-4.0
2289.0,92.282574546,2.52361618734,1.49813297475,-4.0
2315.0,92.2920749468,2.46595350139,1.42489091821,-4.0
2343.0,92.320576149,2.36984902481,1.38494070555,-3.0
2370.0,92.3775785535,2.32179678651,1.32501538656,-3.0
2396.0,92.320576149,2.22569230993,1.25177333001,-3.0
2423.0,92.3490773513,2.11997738569,1.1985063798,-4.0
2450.0,92.358577752,1.89893708955,1.1985063798,-3.0
2476.0,92.3395769505,1.66828634576,1.13858106081,-3.0
2503.0,92.358577752,1.40880425899,1.07865574182,-4.0
2529.0,92.3395769505,1.12049082924,1.05868063549,-3.0
2556.0,92.3015753475,0.832177399494,1.01207205405,-3.0
2583.0,92.3015753475,0.563084865064,0.998755316501,-4.0
2610.0,92.3490773513,0.313213225951,0.945488366288,-3.0
2637.0,92.358577752,0.0825624821545,0.945488366288,-3.0
2663.0,92.2920749468,-0.090425575693,0.958805103841,-4.0
2690.0,92.3395769505,-0.224971842908,0.918854891181,-3.0
2717.0,92.282574546,-0.340297214806,0.932171628734,-3.0
2743.0,92.3300765498,-0.378739005439,0.958805103841,-4.0
2771.0,92.358577752,-0.369128557781,0.965463472618,-3.0
2797.0,92.2730741453,-0.330686767148,0.945488366288,-4.0
2824.0,92.3300765498,-0.234582290566,0.958805103841,-3.0
2851.0,92.3490773513,-0.138477813984,0.958805103841,-3.0
2878.0,92.320576149,-0.0712046803766,0.978780210171,-4.0
2905.0,92.3395769505,-0.0327628897439,0.998755316501,-3.0
2931.0,92.3395769505,-0.00393154676926,0.998755316501,-4.0
2957.0,92.2920749468,0.0248997962053,0.992096947724,-3.0
2985.0,92.3015753475,-0.0135419944275,1.00541368528,-3.0
3012.0,92.3490773513,-0.100036023351,0.985438578948,-3.0
3038.0,92.3300765498,-0.148088261642,0.998755316501,-3.0
3065.0,92.320576149,-0.21536139525,1.03870552916,-3.0
