----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,10
DAY,24
TIME,20:22:13,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,12.3,C
HUMIDITY,41.0,%
LATITUDE,39.6702,angular degrees
LONGITUDE,-75.7491,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.4250805573,5.03194302613,2.66334751067,-2.0
35.0,92.244572943,5.04155347378,2.66334751067,-3.0
55.0,92.3300765498,5.04155347378,2.63671403556,-3.0
83.0,92.3490773513,5.03194302613,2.61008056046,-4.0
110.0,92.3775785535,5.02233257847,2.5967638229,-4.0
136.0,92.3015753475,4.99350123549,2.59010545413,-3.0
164.0,92.3300765498,4.96466989252,2.60342219168,-4.0
191.0,92.3110757483,4.9454489972,2.62339729801,-3.0
219.0,92.3300765498,4.92622810189,2.61673892923,-3.0
247.0,92.3300765498,4.92622810189,2.62339729801,-3.0
274.0,92.3680781528,4.93583854954,2.62339729801,-4.0
301.0,92.2920749468,4.95505944486,2.62339729801,-4.0
329.0,92.3015753475,4.95505944486,2.62339729801,-3.0
356.0,92.358577752,4.92622810189,2.64337240434,-2.0
384.0,92.3300765498,4.89739675891,2.67000587945,-3.0
412.0,92.3110757483,4.91661765423,2.69663935455,-4.0
439.0,92.320576149,4.87817586359,2.74324793599,-3.0
466.0,92.320576149,4.84934452062,2.80983162376,-3.0
494.0,92.358577752,4.80129228233,2.88973204908,-4.0
521.0,92.3300765498,4.77246093935,2.94965736807,-3.0
549.0,92.3395769505,4.75324004404,3.01624105583,-3.0
575.0,92.320576149,4.74362959638,3.0828247436,-2.0
603.0,92.3110757483,4.74362959638,3.17604190647,-4.0
631.0,92.320576149,4.74362959638,3.2825758069,-4.0
658.0,92.2920749468,4.71479825341,3.369134601,-3.0
686.0,92.3870789543,4.71479825341,3.47566850142,-4.0
713.0,92.3015753475,4.73401914872,3.60217750818,-3.0
740.0,92.3490773513,4.80129228233,3.73534488371,-3.0
767.0,92.2920749468,4.91661765423,3.77529509637,-4.0
795.0,92.2730741453,5.07038481676,3.92843757824,-3.0
822.0,92.3490773513,5.19532063632,4.04828821622,-4.0
850.0,92.3490773513,5.32025645587,4.1681388542,-4.0
877.0,92.3395769505,5.42597138011,4.25469764829,-2.0
903.0,92.320576149,5.60856988562,4.37454828627,-4.0
931.0,92.3395769505,5.73350570517,4.48774055548,-5.0
958.0,92.282574546,5.84883107707,4.62090793101,-4.0
986.0,92.3395769505,5.94493555365,4.72078346266,-4.0
1013.0,92.3110757483,6.0506504779,4.84729246942,-5.0
1040.0,92.358577752,6.15636540214,5.00709332006,-3.0
1067.0,92.3015753475,6.33896390764,5.12028558926,-3.0
1095.0,92.3395769505,6.5311728608,5.27342807113,-3.0
1122.0,92.282574546,6.73299226163,5.366645234,-3.0
1150.0,92.3395769505,6.95403255777,5.4532040281,-3.0
1177.0,92.358577752,7.18468330156,5.54642119097,-4.0
1204.0,92.3300765498,7.42494449302,5.66627182895,-3.0
1231.0,92.3110757483,7.65559523681,5.77280572938,-4.0
1259.0,92.3680781528,7.91507732359,5.87268126103,-3.0
1286.0,92.320576149,8.18416985801,5.89931473613,-4.0
1314.0,92.282574546,8.45326239244,5.98587353023,-4.0
1341.0,92.3300765498,8.76079671751,6.03248211167,-3.0
1368.0,92.3015753475,9.07794149023,6.03914048044,-3.0
1396.0,92.3015753475,9.40469671061,6.04579884922,-3.0
1423.0,92.3015753475,9.72184148333,6.06577395555,-3.0
1451.0,92.3680781528,9.9813235701,6.02582374289,-4.0
1479.0,92.3110757483,10.1831429709,5.95924005512,-3.0
1506.0,92.320576149,10.2504161045,5.90597310491,-4.0
1533.0,92.3015753475,10.2215847616,5.86602289225,-3.0
1561.0,92.3490773513,10.1158698373,5.80609757326,-4.0
1588.0,92.3680781528,10.0485967037,5.77280572938,-3.0
1615.0,92.320576149,9.96210267478,5.71288041039,-4.0
1643.0,92.3680781528,9.88521909352,5.66627182895,-3.0
1669.0,92.3300765498,9.82755640757,5.64629672262,-3.0
1697.0,92.3015753475,9.81794595991,5.57971303485,-3.0
1724.0,92.3680781528,9.81794595991,5.50647097831,-4.0
1752.0,92.3680781528,9.80833551225,5.41325381544,-3.0
1779.0,92.3110757483,9.80833551225,5.39993707788,-3.0
1806.0,92.3680781528,9.80833551225,5.35332849645,-3.0
1833.0,92.2730741453,9.78911461693,5.2800864399,-3.0
1861.0,92.3015753475,9.76989372162,5.23347785847,-3.0
1888.0,92.3395769505,9.7506728263,5.18021090825,-3.0
1916.0,92.320576149,9.72184148333,5.11362722049,-3.0
1944.0,92.3110757483,9.70262058801,5.04704353272,-4.0
1971.0,92.3110757483,9.68339969269,4.9671431074,-4.0
1998.0,92.320576149,9.6353474544,4.88724268208,-3.0
2025.0,92.282574546,9.58729521611,4.82731736309,-4.0
2053.0,92.358577752,9.54885342548,4.70746672511,-3.0
2081.0,92.3395769505,9.46235939656,4.61424956223,-4.0
2107.0,92.3110757483,9.39508626295,4.51437403058,-4.0
2135.0,92.3110757483,9.31820268168,4.3945233926,-2.0
2163.0,92.3300765498,9.27015044339,4.25469764829,-4.0
2190.0,92.2730741453,9.19326686213,4.14150537909,-3.0
2218.0,92.320576149,9.08755193789,4.03497147866,-4.0
2246.0,92.3395769505,8.94339522301,3.95507105334,-3.0
2272.0,92.3680781528,8.74157582219,3.87517062802,-4.0
2299.0,92.2920749468,8.52053552605,3.80858694026,-4.0
2327.0,92.282574546,8.31871612523,3.72868651494,-3.0
2354.0,92.3490773513,8.18416985801,3.64878608962,-4.0
2382.0,92.3300765498,8.02079224783,3.62215261451,-3.0
2409.0,92.3110757483,7.90546687593,3.56222729552,-4.0
2437.0,92.320576149,7.818972847,3.54225218919,-3.0
2464.0,92.320576149,7.72286837042,3.50230197653,-3.0
2491.0,92.3490773513,7.71325792276,3.42240155121,-4.0
2519.0,92.2920749468,7.7036474751,3.38910970733,-4.0
2547.0,92.3300765498,7.7036474751,3.31586765078,-3.0
2574.0,92.358577752,7.74208926574,3.22930885669,-3.0
2601.0,92.320576149,7.7516997134,3.13609169381,-3.0
2629.0,92.3300765498,7.72286837042,3.06950800605,-3.0
2656.0,92.2920749468,7.67481613213,2.96297410562,-3.0
2684.0,92.3395769505,7.59793255086,2.87641531152,-2.0
2711.0,92.3110757483,7.43455494068,2.81648999253,-4.0
2738.0,92.358577752,7.28078777814,2.71661446088,-3.0
2765.0,92.320576149,7.11741016795,2.63005566679,-3.0
2792.0,92.3110757483,6.93481166245,2.5701303478,-3.0
2820.0,92.358577752,6.7618236046,2.52352176636,-4.0
2848.0,92.358577752,6.58883554675,2.44362134104,-3.0
2874.0,92.282574546,6.40623704125,2.41698786593,-3.0
2902.0,92.3015753475,6.26208032638,2.37703765327,-3.0
2930.0,92.358577752,6.10831316384,2.33708744061,-4.0
2956.0,92.3775785535,5.98337734429,2.31711233428,-4.0
