----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,10
DAY,29
TIME,14:35:10,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,17.2,C
HUMIDITY,46.4,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.3870789543,-0.330686767148,4.32793970484,-4.0
36.0,92.282574546,-0.311465871832,4.34125644239,-3.0
55.0,92.320576149,-0.311465871832,4.34125644239,-3.0
82.0,92.3015753475,-0.301855424173,4.40784013016,-4.0
108.0,92.3680781528,-0.301855424173,4.55432424324,-3.0
135.0,92.3680781528,-0.282634528857,4.64754140612,-4.0
162.0,92.320576149,-0.263413633541,4.71412509388,-3.0
189.0,92.3490773513,-0.253803185882,4.8539508382,-4.0
215.0,92.3110757483,-0.244192738224,5.03372679517,-3.0
242.0,92.2920749468,-0.224971842908,5.18686927703,-3.0
269.0,92.3015753475,-0.205750947591,5.30006154623,-3.0
297.0,92.358577752,-0.148088261642,5.4532040281,-3.0
323.0,92.3490773513,-0.090425575693,5.64629672262,-4.0
349.0,92.282574546,-0.0327628897439,5.79278083571,-4.0
377.0,92.2920749468,0.0152893485471,5.95924005512,-3.0
403.0,92.3490773513,0.0729520344963,6.15233274965,-3.0
430.0,92.3015753475,0.15944606342,6.32545033784,-4.0
457.0,92.3110757483,0.245940092344,6.4785928197,-4.0
484.0,92.2920749468,0.332434121268,6.63173530157,-2.0
511.0,92.3110757483,0.438149045508,6.78487778343,-3.0
538.0,92.3110757483,0.515032626773,6.91804515896,-3.0
566.0,92.3110757483,0.611137103355,7.14442969737,-3.0
594.0,92.2730741453,0.74568337057,7.25762196657,-3.0
621.0,92.3015753475,0.870619190127,7.39744771088,-3.0
649.0,92.3110757483,0.966723666709,7.54393182397,-3.0
677.0,92.3490773513,1.08204903861,7.71039104339,-4.0
703.0,92.3395769505,1.19737441051,7.77697473115,-3.0
731.0,92.3680781528,1.27425799177,7.83690005014,-3.0
758.0,92.3110757483,1.34153112538,8.00335926956,-4.0
785.0,92.3015753475,1.39919381133,8.12320990754,-4.0
813.0,92.320576149,1.43763560196,8.19645196409,-4.0
840.0,92.3395769505,1.47607739259,8.26303565185,-3.0
867.0,92.2920749468,1.52412963088,8.4494699776,-4.0
895.0,92.3015753475,1.5433505262,8.57597898436,-3.0
922.0,92.3015753475,1.58179231683,8.74243820377,-3.0
950.0,92.320576149,1.64906545044,8.90889742319,-3.0
978.0,92.3775785535,1.70672813639,9.04206479872,-3.0
1004.0,92.3775785535,1.75478037468,9.15525706793,-3.0
1032.0,92.3300765498,1.83166395595,9.32171628734,-3.0
1060.0,92.3110757483,1.89893708955,9.48151713798,-3.0
1087.0,92.3110757483,1.96621022316,9.66129309495,-3.0
1114.0,92.358577752,2.04309380443,9.82109394559,-4.0
1142.0,92.282574546,2.10075649038,10.0008699026,-3.0
1169.0,92.358577752,2.15841917633,10.1806458595,-4.0
1196.0,92.3015753475,2.25452365291,10.28717976,-2.0
1223.0,92.3110757483,2.36984902481,10.4469806106,-3.0
1251.0,92.3015753475,2.4851743967,10.5734896174,-3.0
1279.0,92.358577752,2.59088932094,10.6001230925,-4.0
1305.0,92.358577752,2.7158251405,10.673365149,-3.0
1333.0,92.3300765498,2.84076096006,10.8331659996,-3.0
1361.0,92.3110757483,3.00413857025,10.8597994748,-4.0
1388.0,92.3395769505,3.14829528512,10.8398243684,-3.0
1415.0,92.3110757483,3.27323110468,10.8930913186,-3.0
1443.0,92.3490773513,3.35011468594,11.0196003254,-3.0
1469.0,92.3775785535,3.43660871487,10.972991744,-3.0
1497.0,92.3395769505,3.45582961018,10.8398243684,-3.0
1523.0,92.320576149,3.4750505055,10.7865574182,-4.0
1551.0,92.2920749468,3.51349229613,10.8198492621,-4.0
1579.0,92.3015753475,3.51349229613,10.8331659996,-4.0
1606.0,92.2635737445,3.51349229613,10.7466072056,-3.0
1634.0,92.282574546,3.54232363911,10.7466072056,-4.0
1662.0,92.3395769505,3.52310274379,10.8198492621,-3.0
1688.0,92.3110757483,3.49427140081,10.853141106,-2.0
1716.0,92.3110757483,3.48466095316,10.7865574182,-4.0
1744.0,92.358577752,3.48466095316,10.6999986241,-4.0
1770.0,92.3110757483,3.48466095316,10.6999986241,-3.0
1798.0,92.3015753475,3.48466095316,10.6267565676,-3.0
1826.0,92.282574546,3.49427140081,10.4270055043,-4.0
1853.0,92.358577752,3.46544005784,10.2805213912,-3.0
1880.0,92.3015753475,3.39816692423,10.2538879161,-3.0
1907.0,92.3490773513,3.35011468594,10.1140621718,-3.0
1935.0,92.3110757483,3.35011468594,9.94094458357,-4.0
1963.0,92.3110757483,3.32128334297,9.82775231437,-3.0
1990.0,92.2920749468,3.32128334297,9.80777720804,-3.0
2018.0,92.3015753475,3.35011468594,9.74785188905,-4.0
2045.0,92.320576149,3.38855647657,9.5347840882,-4.0
2072.0,92.3490773513,3.41738781955,9.46154203165,-3.0
2100.0,92.3680781528,3.46544005784,9.26844933713,-3.0
2127.0,92.3110757483,3.49427140081,8.92887252952,-3.0
2154.0,92.3680781528,3.51349229613,8.65587940968,-3.0
2181.0,92.3015753475,3.50388184847,8.44281160882,-4.0
2209.0,92.3015753475,3.46544005784,8.049967851,-3.0
2236.0,92.3110757483,3.38855647657,7.68375756828,-3.0
2264.0,92.3110757483,3.33089379063,7.50398161131,-3.0
2291.0,92.3015753475,3.21556841873,7.2509635978,-3.0
2319.0,92.358577752,3.07141170385,6.88475331508,-3.0
2346.0,92.2730741453,2.93686543664,6.59844345768,-2.0
2373.0,92.3110757483,2.7158251405,6.39869239438,-4.0
2400.0,92.358577752,2.47556394905,6.1656494872,-3.0
2427.0,92.320576149,2.24491320525,5.89931473613,-4.0
2454.0,92.3490773513,1.97582067082,5.72619714794,-3.0
2480.0,92.2730741453,1.73555947936,5.63963835384,-3.0
2508.0,92.358577752,1.61062365981,5.46652076565,-3.0
2534.0,92.3775785535,1.47607739259,5.20684438336,-3.0
2561.0,92.3490773513,1.32231023006,4.9671431074,-3.0
2587.0,92.3680781528,1.18776396285,4.89390105086,-3.0
2613.0,92.282574546,1.03399680032,4.90055941963,-3.0
2641.0,92.3490773513,0.889840085443,4.76073367532,-3.0
2667.0,92.358577752,0.812956504178,4.54766587447,-3.0
2694.0,92.3300765498,0.736072922912,4.4810821867,-3.0
2721.0,92.3110757483,0.63996844633,4.56098261202,-3.0
2747.0,92.3300765498,0.563084865064,4.55432424324,-3.0
2775.0,92.2730741453,0.524643074432,4.40784013016,-3.0
2801.0,92.3110757483,0.476590836141,4.33459807361,-4.0
2829.0,92.3490773513,0.438149045508,4.3678899175,-3.0
2856.0,92.3300765498,0.418928150191,4.32128133606,-4.0
2882.0,92.282574546,0.409317702533,4.22806417319,-4.0
2909.0,92.3300765498,0.380486359559,4.20808906686,-5.0
2937.0,92.2730741453,0.361265464242,4.30130622973,-3.0
