----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,11
DAY,10
TIME,16:25:52,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,8.2,C
HUMIDITY,22.8,%
LATITUDE,39.6708,angular degrees
LONGITUDE,-75.7492,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,2374
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.358577752,-0.609389749236,4.00833800356,-3.0
20.0,92.358577752,-0.599779301577,4.03497147866,-3.0
38.0,92.282574546,-0.570947958603,4.02165474111,-3.0
66.0,92.3015753475,-0.561337510945,4.03497147866,-3.0
93.0,92.3680781528,-0.542116615628,3.995021266,-3.0
119.0,92.2730741453,-0.542116615628,3.97504615967,-3.0
146.0,92.320576149,-0.53250616797,3.9683877909,-3.0
173.0,92.3300765498,-0.53250616797,4.00833800356,-3.0
200.0,92.3300765498,-0.53250616797,4.07492169132,-3.0
227.0,92.320576149,-0.53250616797,4.11487190398,-2.0
254.0,92.3015753475,-0.522895720312,4.06826332255,-4.0
316.0,92.2920749468,-0.551727063287,4.5942744559,-4.0
453.0,92.3680781528,-0.0808151280348,4.89390105086,-4.0
472.0,92.320576149,-0.176919604617,5.04704353272,-3.0
499.0,92.358577752,-0.176919604617,5.28674480868,-3.0
526.0,92.3110757483,-0.176919604617,5.59302977241,-4.0
552.0,92.3015753475,-0.1576987093,5.83938941714,-3.0
580.0,92.3395769505,-0.0808151280348,6.02582374289,-3.0
607.0,92.3300765498,0.0345102438635,6.23223317497,-3.0
633.0,92.3680781528,0.178666958736,6.49856792603,-3.0
660.0,92.282574546,0.380486359559,6.80485288976,-3.0
687.0,92.2635737445,0.611137103355,7.11113785349,-3.0
715.0,92.282574546,0.841787847152,7.35083912945,-3.0
743.0,92.3300765498,1.13971172456,7.57056529908,-4.0
770.0,92.358577752,1.45685649728,7.81692494381,-4.0
797.0,92.2635737445,1.76439082234,8.04330948222,-3.0
825.0,92.3490773513,2.05270425208,8.28301075818,-3.0
851.0,92.3110757483,2.33140723417,8.54268714047,-3.0
879.0,92.3015753475,2.56205797797,8.75575494133,-3.0
907.0,92.320576149,2.82154006474,9.03540642995,-3.0
934.0,92.358577752,2.95608633196,9.1352819616,-3.0
961.0,92.320576149,3.17712662809,9.23515749325,-3.0
989.0,92.2920749468,3.31167289531,9.42159181899,-3.0
1016.0,92.3680781528,3.7729743829,9.91431110847,-3.0
1044.0,92.320576149,4.24388631815,10.1140621718,-3.0
1071.0,92.3015753475,4.43609527132,10.0874286967,-3.0
1099.0,92.3015753475,4.63791467214,10.1340372781,-4.0
1126.0,92.320576149,5.03194302613,10.2672046536,-3.0
1153.0,92.358577752,5.3586982465,10.4469806106,-4.0
1181.0,92.2730741453,5.71428480986,10.5934647237,-3.0
1209.0,92.3110757483,5.88727286771,10.6800235178,-3.0
1236.0,92.358577752,6.20441764043,10.6001230925,-4.0
1263.0,92.282574546,6.54078330846,10.5135642984,-3.0
1291.0,92.3775785535,6.88675942416,10.5335394047,-3.0
1317.0,92.3015753475,7.2231250922,10.4602973482,-3.0
1345.0,92.3680781528,7.53065941726,10.4536389794,-4.0
1373.0,92.3015753475,7.65559523681,10.2205960722,-3.0
1400.0,92.3775785535,7.71325792276,10.0408201152,-4.0
1427.0,92.3110757483,7.77092060871,9.85438578948,-3.0
1454.0,92.2730741453,7.79014150403,9.68126820128,-3.0
1482.0,92.3490773513,7.76131016105,9.4482252941,-3.0
1509.0,92.3680781528,7.7036474751,9.20186564936,-4.0
1536.0,92.3680781528,7.59793255086,8.91555579197,-4.0
1563.0,92.3015753475,7.46338628365,8.66253777845,-4.0
1591.0,92.3110757483,7.27117733049,8.4494699776,-3.0
1618.0,92.3015753475,7.01169524371,8.17647685776,-3.0
1646.0,92.3490773513,6.6464982327,7.85687515647,-3.0
1673.0,92.3015753475,6.28130122169,7.61717388051,-3.0
1700.0,92.3300765498,5.91610421068,7.30423054801,-3.0
1728.0,92.3395769505,5.5893489903,7.00460395306,-3.0
1754.0,92.3110757483,5.2914251129,6.74492757077,-3.0
1782.0,92.3300765498,4.92622810189,6.53851813869,-4.0
1810.0,92.3680781528,4.57064153853,6.33210870662,-3.0
1836.0,92.3015753475,4.29193855644,6.10572416821,-3.0
1863.0,92.2920749468,4.02284602202,5.91928984246,-4.0
1890.0,92.3300765498,3.74414303993,5.66627182895,-3.0
1917.0,92.282574546,3.48466095316,5.44654565932,-3.0
1944.0,92.3680781528,3.25401020936,5.22681948969,-3.0
1971.0,92.3110757483,3.02335946556,5.0537019015,-3.0
1998.0,92.3110757483,2.78309827411,4.86060920697,-3.0
2025.0,92.3680781528,2.46595350139,4.67417488122,-3.0
2051.0,92.2730741453,2.11997738569,4.50771566181,-3.0
2078.0,92.3680781528,1.76439082234,4.34791481117,-3.0
2105.0,92.3300765498,1.34153112538,4.22806417319,-2.0
2132.0,92.3110757483,0.928281876076,4.12153027276,-3.0
2159.0,92.3490773513,0.515032626773,4.07492169132,-3.0
2186.0,92.3300765498,0.0152893485471,4.07492169132,-3.0
2212.0,92.3300765498,-0.474843482021,4.11487190398,-3.0
2240.0,92.3490773513,-0.926534521956,4.18145559175,-3.0
2266.0,92.3395769505,-1.22445839936,4.24138091074,-4.0
2292.0,92.3110757483,-1.42627780018,4.33459807361,-4.0
2320.0,92.2635737445,-1.59926585803,4.44779034282,-3.0
2346.0,92.358577752,-1.71459122993,4.67417488122,-4.0
2373.0,92.3300765498,-1.80108525885,4.91387615719,-3.0
2401.0,92.3490773513,-1.88757928778,5.21350275214,-3.0
2426.0,92.3300765498,-1.92602107841,5.35332849645,-3.0
2454.0,92.3395769505,-1.88757928778,5.62632161629,-4.0
2481.0,92.282574546,-1.71459122993,5.89931473613,-3.0
2507.0,92.320576149,-1.4454986955,6.23223317497,-3.0
2535.0,92.3395769505,-1.02263899854,6.54517650747,-3.0
2560.0,92.320576149,-0.599779301577,6.82482799609,-3.0
2588.0,92.3110757483,-0.244192738224,7.11113785349,-3.0
2616.0,92.3300765498,0.111393825129,7.45737302987,-3.0
2643.0,92.3680781528,0.495811731457,7.71704941216,-3.0
2671.0,92.2730741453,0.841787847152,8.02999274467,-4.0
2699.0,92.3680781528,1.20698485816,8.28301075818,-4.0
2725.0,92.3395769505,1.57218186918,8.51605366537,-3.0
2752.0,92.2920749468,1.91815798487,8.72912146622,-3.0
2780.0,92.3395769505,2.20647141462,8.95550600463,-3.0
2807.0,92.3775785535,2.53322663499,9.26179096835,-3.0
2834.0,92.3015753475,2.86959230303,9.52146735064,-3.0
2861.0,92.3110757483,3.14829528512,9.68126820128,-4.0
2889.0,92.358577752,3.41738781955,9.87436089581,-3.0
2916.0,92.358577752,3.74414303993,10.047478484,-3.0
2943.0,92.3680781528,4.08050870796,10.2538879161,-3.0
2970.0,92.3300765498,4.37843258537,10.4403222418,-4.0
2998.0,92.3490773513,4.68596691043,10.61343983,-4.0
3024.0,92.282574546,4.99350123549,10.8131908933,-4.0
