----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,11
DAY,10
TIME,16:28:46,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,8.0,C
HUMIDITY,24.4,%
LATITUDE,39.6708,angular degrees
LONGITUDE,-75.7492,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,2374
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.4345809581,-0.224971842908,0.326260070057,-3.0
35.0,92.282574546,-0.263413633541,0.31960170128,-4.0
55.0,92.3110757483,-0.292244976515,0.286309857397,-4.0
81.0,92.3395769505,-0.292244976515,0.392843757824,-3.0
107.0,92.3015753475,-0.273024081199,0.286309857397,-3.0
134.0,92.3110757483,-0.273024081199,0.25967638229,-2.0
160.0,92.3395769505,-0.273024081199,0.213067800854,-3.0
186.0,92.3680781528,-0.263413633541,0.306284963727,-3.0
212.0,92.3110757483,-0.234582290566,0.266334751067,-4.0
238.0,92.3490773513,-0.205750947591,0.326260070057,-3.0
265.0,92.358577752,-0.196140499933,0.37952702027,-4.0
290.0,92.3680781528,-0.205750947591,0.37952702027,-3.0
316.0,92.3490773513,-0.205750947591,0.25967638229,-3.0
343.0,92.2730741453,-0.21536139525,0.29962659495,-3.0
369.0,92.3680781528,-0.205750947591,0.233042907184,-3.0
395.0,92.2730741453,-0.196140499933,0.21972616963,-3.0
422.0,92.3300765498,-0.196140499933,0.246359644737,-3.0
448.0,92.3680781528,-0.234582290566,0.233042907184,-3.0
474.0,92.3395769505,-0.282634528857,0.332918438834,-4.0
500.0,92.3300765498,-0.359518110123,0.41947723293,-3.0
527.0,92.358577752,-0.503674824996,0.579278083571,-3.0
553.0,92.3015753475,-0.657441987527,0.625886665007,-4.0
579.0,92.3300765498,-0.820819597716,0.725762196657,-4.0
606.0,92.3490773513,-0.945755417273,0.885563047298,-4.0
632.0,92.3015753475,-1.04185989385,1.10528921693,-3.0
660.0,92.3110757483,-1.08991213215,1.25843169879,-2.0
687.0,92.3015753475,-1.10913302746,1.3982574431,-3.0
713.0,92.320576149,-1.08030168449,1.45152439331,-3.0
741.0,92.2730741453,-0.964976312589,1.60466687518,-3.0
768.0,92.358577752,-0.820819597716,1.67790893172,-3.0
794.0,92.2635737445,-0.705494225818,1.83770978236,-3.0
822.0,92.320576149,-0.513285272654,2.11736127098,-3.0
849.0,92.3680781528,-0.292244976515,2.41698786593,-3.0
875.0,92.282574546,-0.0423733374021,2.65003077312,-3.0
902.0,92.320576149,0.284381882977,2.94299899929,-3.0
929.0,92.282574546,0.649578893988,3.28923417568,-3.0
956.0,92.3680781528,1.07243859095,3.54225218919,-3.0
983.0,92.3015753475,1.47607739259,3.77529509637,-4.0
1009.0,92.3015753475,1.8893266419,4.02165474111,-3.0
1037.0,92.3680781528,2.34101768183,4.29464786095,-3.0
1064.0,92.3110757483,2.85998185537,4.45444871159,-3.0
1090.0,92.3110757483,3.3597251336,4.57429934957,-3.0
1117.0,92.282574546,3.86907885948,4.73410020022,-4.0
1144.0,92.3680781528,4.39765348069,4.82731736309,-4.0
1171.0,92.320576149,4.92622810189,4.92719289474,-3.0
1198.0,92.3110757483,5.46441317074,5.06036027027,-3.0
1225.0,92.3680781528,5.98337734429,5.14026069559,-4.0
1251.0,92.3300765498,6.45428927954,5.16023580192,-2.0
1279.0,92.3775785535,6.93481166245,5.24679459602,-3.0
1305.0,92.2920749468,7.42494449302,5.12694395804,-3.0
1332.0,92.320576149,7.90546687593,5.02041005761,-3.0
1360.0,92.3395769505,8.32832657289,4.92719289474,-4.0
1385.0,92.3110757483,8.61664000263,4.64088303734,-4.0
1413.0,92.3395769505,8.78001761282,4.44113197404,-3.0
1439.0,92.3015753475,8.97222656599,4.24803927952,-3.0
1466.0,92.358577752,9.06833104257,3.98836289723,-3.0
1493.0,92.282574546,9.12599372852,3.76197835882,-3.0
1520.0,92.320576149,9.02988925194,3.62215261451,-3.0
1547.0,92.320576149,8.88573253706,3.46235176387,-3.0
1574.0,92.3490773513,8.59741910732,3.31586765078,-3.0
1600.0,92.3680781528,8.31871612523,3.18935864403,-4.0
1627.0,92.3395769505,8.05923403846,2.94965736807,-3.0
1653.0,92.3300765498,7.7036474751,2.61673892923,-3.0
1680.0,92.3110757483,7.34806091175,2.54349687269,-4.0
1708.0,92.2920749468,7.00208479606,2.29713722795,-3.0
1734.0,92.320576149,6.63688778505,2.01082737056,-3.0
1762.0,92.320576149,6.27169077403,1.87100162625,-3.0
1789.0,92.358577752,5.91610421068,1.67790893172,-3.0
1815.0,92.320576149,5.55090719967,1.54474155619,-3.0
1842.0,92.3395769505,5.21454153163,1.32501538656,-4.0
1868.0,92.3015753475,4.83973407296,1.26509006757,-4.0
1896.0,92.3680781528,4.49375795727,1.0853141106,-4.0
1923.0,92.3395769505,4.12856094626,0.965463472618,-4.0
1948.0,92.282574546,3.76336393524,0.805662621978,-3.0
1976.0,92.2730741453,3.42699826721,0.845612834638,-3.0
2003.0,92.3395769505,3.15790573278,0.592594821124,-4.0
2029.0,92.3490773513,2.84076096006,0.519352764581,-3.0
2055.0,92.358577752,2.50439529202,0.45942744559,-3.0
2080.0,92.3015753475,2.15841917633,0.386185389047,-2.0
2107.0,92.3395769505,1.82205350829,0.266334751067,-3.0
2134.0,92.2920749468,1.47607739259,0.25967638229,-3.0
2160.0,92.320576149,1.11088038158,0.21972616963,-2.0
2187.0,92.3395769505,0.688020684621,0.213067800854,-3.0
2213.0,92.3870789543,0.236329644686,0.23970127596,-3.0
2238.0,92.320576149,-0.1576987093,0.25967638229,-3.0
2265.0,92.3490773513,-0.522895720312,0.193092694524,-3.0
2291.0,92.3015753475,-0.820819597716,0.206409432077,-3.0
2318.0,92.3300765498,-1.04185989385,0.246359644737,-3.0
2344.0,92.3300765498,-1.16679571341,0.29962659495,-3.0
2370.0,92.3490773513,-1.2148479517,0.352893545164,-3.0
2397.0,92.3110757483,-1.25328974233,0.506036027027,-3.0
2423.0,92.3490773513,-1.26290018999,0.625886665007,-3.0
2449.0,92.3490773513,-1.27251063765,0.692470352774,-3.0
2476.0,92.3490773513,-1.29173153297,0.812320990754,-2.0
2502.0,92.3110757483,-1.26290018999,0.952146735064,-3.0
2529.0,92.358577752,-1.15718526575,1.09863084815,-3.0
2556.0,92.3395769505,-1.10913302746,1.21182311735,-4.0
2582.0,92.2920749468,-1.06108078917,1.35164886166,-3.0
2609.0,92.3300765498,-0.849650940691,1.52476644986,-3.0
2636.0,92.3300765498,-0.590168853919,1.67790893172,-4.0
2663.0,92.358577752,-0.388349453097,1.85768488869,-3.0
2690.0,92.3490773513,-0.186530052275,1.96421878912,-3.0
2716.0,92.2730741453,-0.00393154676926,2.16396985242,-4.0
2743.0,92.3300765498,0.149835615762,2.35040417817,-4.0
2771.0,92.2920749468,0.313213225951,2.56347197902,-3.0
2797.0,92.320576149,0.495811731457,2.75656467354,-3.0
2825.0,92.3110757483,0.707241579937,2.9696324744,-3.0
