----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,11
DAY,10
TIME,16:30:32,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,8.7,C
HUMIDITY,28.9,%
LATITUDE,39.6707,angular degrees
LONGITUDE,-75.7493,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,2374
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.3680781528,5.07999526442,2.81648999253,-3.0
36.0,92.2920749468,5.05116392144,2.86309857397,-3.0
56.0,92.2730741453,5.02233257847,2.90304878663,-3.0
82.0,92.2920749468,5.02233257847,2.96297410562,-3.0
110.0,92.3300765498,5.03194302613,3.00292431828,-3.0
136.0,92.358577752,5.07038481676,3.02289942461,-4.0
163.0,92.320576149,5.10882660739,3.05619126849,-2.0
190.0,92.282574546,5.11843705505,3.06950800605,-3.0
217.0,92.3490773513,5.13765795037,3.05619126849,-3.0
244.0,92.3300765498,5.15687884568,3.04287453094,-3.0
271.0,92.3300765498,5.15687884568,3.03621616216,-2.0
297.0,92.3110757483,5.09921615973,3.08948311238,-4.0
325.0,92.3300765498,5.0607743691,3.07616637482,-3.0
351.0,92.3680781528,5.04155347378,3.04953289972,-3.0
378.0,92.3300765498,5.02233257847,3.0828247436,-3.0
406.0,92.3300765498,4.98389078784,3.1693835377,-2.0
432.0,92.2920749468,4.98389078784,3.1693835377,-4.0
459.0,92.320576149,4.98389078784,3.18935864403,-3.0
487.0,92.3015753475,4.98389078784,3.31586765078,-3.0
513.0,92.3110757483,4.92622810189,3.34250112589,-4.0
541.0,92.3015753475,4.84934452062,3.3957680761,-3.0
568.0,92.3300765498,4.7628504917,3.58886077063,-4.0
594.0,92.3680781528,4.59947288151,3.74866162127,-3.0
621.0,92.358577752,4.42648482366,3.94175431579,-4.0
647.0,92.3395769505,4.27271766113,4.22140580441,-3.0
674.0,92.3110757483,4.15739228923,4.50771566181,-4.0
702.0,92.358577752,4.07089826031,4.92053452596,-4.0
727.0,92.3300765498,4.04206691733,5.30671991501,-3.0
755.0,92.2635737445,4.09972960328,5.75283062305,-3.0
782.0,92.2730741453,4.14778184157,6.26552501885,-3.0
809.0,92.3680781528,4.20544452752,6.80485288976,-4.0
836.0,92.3110757483,4.38804303303,7.31088891679,-3.0
863.0,92.2920749468,4.60908332917,7.83690005014,-4.0
891.0,92.396579355,4.88778631125,8.42283650249,-3.0
918.0,92.3300765498,5.19532063632,8.90889742319,-4.0
945.0,92.320576149,5.49324451372,9.45488366288,-3.0
973.0,92.2730741453,5.86805197239,10.0141866401,-4.0
1001.0,92.3490773513,6.2332489834,10.5868063549,-3.0
1027.0,92.282574546,6.58883554675,11.0395754317,-3.0
1055.0,92.282574546,6.90598031947,11.3258852891,-4.0
1083.0,92.358577752,7.2231250922,11.8985050039,-3.0
1110.0,92.3395769505,7.55949076023,12.3379573432,-3.0
1137.0,92.3490773513,7.83819374232,12.5044165626,-3.0
1163.0,92.3110757483,8.05923403846,12.9438689019,-3.0
1191.0,92.320576149,8.32832657289,13.3966379787,-3.0
1219.0,92.358577752,8.62625045029,13.6296808859,-3.0
1246.0,92.3395769505,8.86651164175,13.9492825871,-2.0
1273.0,92.3395769505,9.15482507149,14.1956422319,-4.0
1301.0,92.3490773513,9.50080118719,14.3088345011,-4.0
1327.0,92.320576149,9.83716685522,14.4486602454,-3.0
1355.0,92.3395769505,10.2023638662,14.4220267703,-3.0
1382.0,92.3300765498,10.5675608772,14.2755426572,-3.0
1409.0,92.320576149,10.88470565,13.9426242184,-3.0
1437.0,92.3110757483,11.1249668414,13.3300542909,-3.0
1465.0,92.3015753475,11.221071318,12.7574345761,-2.0
1492.0,92.358577752,11.2691235563,12.2980071305,-4.0
1519.0,92.358577752,11.3267862422,11.8385796849,-4.0
1546.0,92.358577752,11.2979548993,11.3458603955,-3.0
1573.0,92.3110757483,11.2595131086,10.8997496874,-3.0
1601.0,92.3680781528,11.221071318,10.3803969228,-3.0
1627.0,92.2730741453,11.0769146031,9.86770252703,-3.0
1655.0,92.3110757483,10.8943160976,9.31505791857,-3.0
1683.0,92.3395769505,10.6156131155,8.74909657255,-4.0
1710.0,92.320576149,10.3176892381,8.2497189143,-3.0
1738.0,92.3110757483,10.0485967037,7.82358331259,-3.0
1766.0,92.3300765498,9.74106237864,7.37081423578,-3.0
1792.0,92.3300765498,9.43352805358,6.91804515896,-4.0
1820.0,92.2920749468,9.13560417618,6.45861771337,-3.0
1848.0,92.3490773513,8.88573253706,5.95924005512,-3.0
1874.0,92.2920749468,8.63586089795,5.55307955975,-3.0
1901.0,92.3490773513,8.36676836352,5.16023580192,-3.0
1927.0,92.3015753475,8.07845493377,4.78736715043,-4.0
1954.0,92.3300765498,7.79014150403,4.40784013016,-3.0
1982.0,92.2730741453,7.50182807428,4.09489679765,-4.0
2008.0,92.3110757483,7.20390419688,3.78861183393,-4.0
2036.0,92.358577752,6.91559076713,3.42240155121,-2.0
2062.0,92.3015753475,6.6464982327,3.16272516892,-3.0
2089.0,92.320576149,6.36779525062,2.86309857397,-3.0
2116.0,92.3395769505,6.09870271619,2.65668914189,-4.0
2142.0,92.3300765498,5.8199997341,2.47025481615,-2.0
2170.0,92.320576149,5.56051764733,2.27716212162,-4.0
2197.0,92.2920749468,5.32025645587,2.15731148364,-4.0
2223.0,92.3395769505,5.04155347378,2.03080247689,-3.0
2250.0,92.3300765498,4.7628504917,1.93092694524,-3.0
2278.0,92.3680781528,4.50336840493,1.86434325747,-3.0
2304.0,92.320576149,4.26310721347,1.87100162625,-3.0
2331.0,92.3490773513,4.01323557436,1.90429347013,-3.0
2357.0,92.358577752,3.81141617354,2.07741105832,-3.0
2384.0,92.282574546,3.657649011,2.20392006508,-3.0
2411.0,92.358577752,3.57115498208,2.33042907184,-5.0
2437.0,92.358577752,3.51349229613,2.4835715537,-3.0
2464.0,92.3680781528,3.48466095316,2.683322617,-4.0
2491.0,92.2635737445,3.45582961018,2.88973204908,-3.0
2517.0,92.3110757483,3.40777737189,3.17604190647,-3.0
2545.0,92.3110757483,3.3597251336,3.50230197653,-4.0
2571.0,92.282574546,3.35011468594,3.83522041536,-3.0
2599.0,92.3680781528,3.33089379063,4.2813311234,-4.0
2625.0,92.282574546,3.30206244765,4.64754140612,-3.0
2652.0,92.2730741453,3.31167289531,5.12028558926,-3.0
2679.0,92.3490773513,3.37894602892,5.6529550914,-2.0
2706.0,92.3300765498,3.52310274379,6.13235764332,-3.0
2733.0,92.3490773513,3.71531169695,6.75158593955,-4.0
2760.0,92.358577752,3.92674154543,7.33086402312,-4.0
2787.0,92.282574546,4.15739228923,7.88350863158,-3.0
2814.0,92.358577752,4.43609527132,8.50273692781,-3.0
2842.0,92.3110757483,4.73401914872,9.1352819616,-3.0
2869.0,92.320576149,5.05116392144,9.72121841394,-4.0
2897.0,92.3110757483,5.3586982465,10.3138132351,-3.0
2924.0,92.320576149,5.71428480986,10.9197247937,-3.0
