----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,11
DAY,10
TIME,16:30:32,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,8.1,C
HUMIDITY,23.5,%
LATITUDE,39.6707,angular degrees
LONGITUDE,-75.7493,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,2374
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.3775785535,2.81192961708,2.02414410811,-3.0
20.0,92.2635737445,2.82154006474,2.04411921444,-3.0
40.0,92.358577752,2.8311505124,2.1706282212,-4.0
67.0,92.3110757483,2.8311505124,2.20392006508,-3.0
130.0,92.2920749468,2.82154006474,2.07075268955,-4.0
305.0,92.282574546,2.82154006474,2.09072779588,-3.0
374.0,92.3300765498,2.76387737879,2.11736127098,-4.0
396.0,92.282574546,2.69660424518,2.16396985242,-4.0
423.0,92.2920749468,2.63894155923,2.20392006508,-3.0
451.0,92.3490773513,2.6004997686,2.21057843386,-3.0
478.0,92.3015753475,2.57166842563,2.26384538407,-4.0
505.0,92.358577752,2.53322663499,2.33042907184,-3.0
532.0,92.3680781528,2.47556394905,2.52352176636,-4.0
559.0,92.282574546,2.38906992012,2.683322617,-3.0
587.0,92.3110757483,2.26413410057,2.95631573684,-3.0
615.0,92.358577752,2.14880872867,3.1960170128,-2.0
641.0,92.320576149,2.05270425208,3.53559382041,-2.0
669.0,92.3300765498,2.02387290911,3.91512084068,-4.0
697.0,92.3870789543,2.03348335677,4.36123154872,-3.0
723.0,92.320576149,2.06231469974,4.7673920441,-3.0
751.0,92.3300765498,2.14880872867,5.22016112091,-3.0
779.0,92.3680781528,2.28335499588,5.79278083571,-3.0
806.0,92.358577752,2.45634305373,6.22557480619,-4.0
833.0,92.320576149,2.63894155923,6.68500225178,-3.0
861.0,92.3015753475,2.8311505124,7.15108806615,-3.0
889.0,92.282574546,3.10985349449,7.71704941216,-3.0
917.0,92.3110757483,3.43660871487,8.2497189143,-3.0
946.0,92.3300765498,3.78258483056,8.6492210409,-3.0
973.0,92.3490773513,4.13817139391,9.07535664261,-3.0
1001.0,92.3110757483,4.47453706195,9.70124330761,-3.0
1028.0,92.3110757483,4.90700720657,10.347105079,-4.0
1057.0,92.3015753475,5.36830869416,10.7266320992,-3.0
1085.0,92.3110757483,5.81038928644,11.119475857,-3.0
1113.0,92.3395769505,6.2332489834,11.5522698275,-4.0
1141.0,92.358577752,6.61766688973,11.7919711035,-2.0
1168.0,92.2920749468,6.9924743484,11.985063798,-2.0
1196.0,92.3110757483,7.34806091175,12.2314234427,-3.0
1224.0,92.358577752,7.67481613213,12.3912242934,-3.0
1252.0,92.3490773513,7.96312956188,12.4511496124,-4.0
1279.0,92.320576149,8.23222209631,12.4511496124,-3.0
1308.0,92.3395769505,8.45326239244,12.3312989744,-4.0
1335.0,92.320576149,8.66469224092,12.1581813862,-4.0
1363.0,92.3015753475,8.81845940346,12.0383307482,-3.0
1391.0,92.3110757483,8.94339522301,11.7453625221,-3.0
1420.0,92.2730741453,9.02027880428,11.4657110334,-3.0
1447.0,92.3110757483,9.02988925194,10.9663333752,-3.0
1476.0,92.282574546,9.02027880428,10.493589192,-4.0
1504.0,92.3395769505,9.02988925194,10.1739874908,-3.0
1531.0,92.3395769505,9.03949969959,9.78780210171,-4.0
1559.0,92.2730741453,9.02027880428,9.38829997511,-3.0
1587.0,92.3680781528,8.9914474613,9.00211458606,-2.0
1614.0,92.3015753475,8.94339522301,8.58263735313,-3.0
1643.0,92.3110757483,8.83768029877,8.10989316999,-4.0
1671.0,92.282574546,8.66469224092,7.6504657244,-3.0
1698.0,92.2920749468,8.44365194479,7.17106317248,-3.0
1727.0,92.3015753475,8.13611761972,6.75824430832,-4.0
1754.0,92.358577752,7.82858329466,6.29215849396,-3.0
1782.0,92.320576149,7.49221762662,5.92594821124,-4.0
1810.0,92.320576149,7.14624151093,5.58637140363,-3.0
1837.0,92.358577752,6.80987584289,5.21350275214,-3.0
1864.0,92.3490773513,6.50234151783,4.89390105086,-3.0
1891.0,92.3680781528,6.20441764043,4.67417488122,-3.0
1918.0,92.2920749468,5.94493555365,4.38120665505,-3.0
1946.0,92.3300765498,5.69506391454,4.1681388542,-4.0
1974.0,92.3490773513,5.45480272309,3.9683877909,-3.0
2000.0,92.3110757483,5.20493108397,3.73534488371,-3.0
2028.0,92.320576149,4.95505944486,3.61549424573,-3.0
2056.0,92.2920749468,4.73401914872,3.48898523898,-3.0
2083.0,92.3395769505,4.52258930024,3.41574318243,-3.0
2110.0,92.3110757483,4.3015490041,3.30920928201,-2.0
2137.0,92.3680781528,4.05167736499,3.34915949467,-3.0
2164.0,92.282574546,3.80180572588,3.33584275711,-4.0
2192.0,92.3300765498,3.5903758774,3.40908481366,-4.0
2219.0,92.3680781528,3.42699826721,3.54225218919,-3.0
2247.0,92.3775785535,3.34050423828,3.73534488371,-3.0
2274.0,92.358577752,3.28284155233,3.82190367781,-3.0
2301.0,92.3300765498,3.25401020936,3.98836289723,-4.0
2328.0,92.3110757483,3.21556841873,4.27467275462,-3.0
2356.0,92.3395769505,3.11946394214,4.49439892425,-3.0
2383.0,92.358577752,3.05219080854,4.77405041288,-3.0
2410.0,92.320576149,3.05219080854,5.08699374538,-3.0
2437.0,92.3680781528,3.04258036088,5.50647097831,-3.0
2464.0,92.3015753475,3.0137490179,5.91263147369,-3.0
2492.0,92.3395769505,2.99452812259,6.34542544417,-4.0
2519.0,92.2730741453,3.03296991322,6.78487778343,-3.0
2547.0,92.3110757483,3.14829528512,7.33752239189,-3.0
2576.0,92.320576149,3.41738781955,7.86353352525,-3.0
2603.0,92.3300765498,3.657649011,8.4494699776,-3.0
2631.0,92.2730741453,3.96518333607,9.01543132362,-4.0
2660.0,92.3300765498,4.27271766113,9.63465961985,-3.0
2687.0,92.3110757483,4.57064153853,10.1939625971,-3.0
2716.0,92.3395769505,4.85895496828,10.7466072056,-4.0
2744.0,92.3300765498,5.12804750271,11.3458603955,-3.0
2771.0,92.3490773513,5.39714003714,11.805287841,-4.0
2799.0,92.3110757483,5.67584301923,12.4644663499,-2.0
2827.0,92.320576149,5.99298779195,12.8706268453,-4.0
2855.0,92.2730741453,6.31974301232,13.3300542909,-3.0
2883.0,92.3300765498,6.67532957568,13.7428731551,-3.0
2912.0,92.3490773513,7.05013703435,14.0558164876,-3.0
2939.0,92.3490773513,7.44416538833,14.3021761323,-2.0
2966.0,92.3110757483,7.77092060871,14.5685108834,-3.0
2995.0,92.3775785535,8.14572806738,14.7815786842,-3.0
3022.0,92.2730741453,8.49170418308,14.8747958471,-3.0
3050.0,92.3015753475,8.79923850814,14.9214044285,-3.0
3079.0,92.358577752,9.11638328086,14.908087691,-3.0
3106.0,92.3300765498,9.41430715826,14.7416284716,-3.0
3134.0,92.3870789543,9.69301014035,14.5219023019,-3.0
3161.0,92.3775785535,9.87560864586,14.1690087568,-3.0
3189.0,92.2730741453,9.93327133181,13.8094568428,-3.0
