----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,11
DAY,4
TIME,15:59:55,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,17.7,C
HUMIDITY,30.6,%
LATITUDE,39.6707,angular degrees
LONGITUDE,-75.7493,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.4060797558,-0.849650940691,2.70329772333,-4.0
34.0,92.3110757483,-0.888092731323,2.7698814111,-3.0
54.0,92.3300765498,-0.926534521956,2.88973204908,-3.0
81.0,92.3300765498,-0.945755417273,3.02955779339,-3.0
108.0,92.3110757483,-0.945755417273,3.14275006259,-4.0
135.0,92.3110757483,-0.945755417273,3.26260070057,-3.0
162.0,92.3490773513,-0.945755417273,3.42905991999,-4.0
189.0,92.2730741453,-0.936144969614,3.58886077063,-4.0
215.0,92.3110757483,-0.897703178982,3.7952702027,-4.0
243.0,92.320576149,-0.840040493032,3.995021266,-4.0
270.0,92.3490773513,-0.74393601645,4.24138091074,-3.0
296.0,92.2920749468,-0.63822109221,4.44779034282,-3.0
323.0,92.3110757483,-0.513285272654,4.67417488122,-4.0
350.0,92.3015753475,-0.397959900755,4.90721778841,-3.0
377.0,92.3015753475,-0.263413633541,5.14026069559,-3.0
405.0,92.3490773513,-0.109646471009,5.41325381544,-4.0
430.0,92.2920749468,0.0345102438635,5.6529550914,-3.0
458.0,92.282574546,0.188277406395,5.90597310491,-3.0
485.0,92.3300765498,0.351655016584,6.13901601209,-3.0
512.0,92.3490773513,0.563084865064,6.3654005505,-3.0
539.0,92.3015753475,0.832177399494,6.60510182646,-3.0
566.0,92.3015753475,1.10126993392,6.79153615221,-3.0
593.0,92.3395769505,1.37036246835,7.01126232184,-3.0
620.0,92.3395769505,1.61062365981,7.17772154125,-4.0
647.0,92.320576149,1.85088485126,7.34418076067,-3.0
675.0,92.320576149,2.0719251474,7.49066487376,-3.0
703.0,92.3015753475,2.29296544354,7.58388203663,-2.0
729.0,92.2920749468,2.47556394905,7.73702451849,-3.0
757.0,92.2730741453,2.67738334987,7.84355841892,-4.0
785.0,92.3680781528,2.86959230303,7.93011721302,-4.0
812.0,92.3300765498,3.0618012562,8.06328458855,-3.0
840.0,92.358577752,3.2443997617,8.09657643244,-3.0
867.0,92.3110757483,3.41738781955,8.05662621978,-4.0
894.0,92.358577752,3.55193408676,8.02999274467,-3.0
921.0,92.358577752,3.69609080164,7.9634090569,-4.0
948.0,92.3490773513,3.83063706885,7.86353352525,-3.0
975.0,92.282574546,3.96518333607,7.81026657504,-4.0
1003.0,92.3490773513,4.09011915562,7.74368288727,-3.0
1029.0,92.320576149,4.17661318455,7.67044083073,-3.0
1057.0,92.3490773513,4.21505497518,7.58388203663,-3.0
1085.0,92.3110757483,4.21505497518,7.52395671764,-4.0
1112.0,92.3300765498,4.1862236322,7.43739792354,-3.0
1140.0,92.3015753475,4.15739228923,7.33752239189,-3.0
1168.0,92.2920749468,4.14778184157,7.23098849147,-4.0
1194.0,92.3015753475,4.12856094626,7.11113785349,-3.0
1222.0,92.3490773513,4.1189504986,6.97797047795,-3.0
1250.0,92.3490773513,4.09972960328,6.83814473364,-3.0
1276.0,92.3015753475,4.06128781265,6.73161083322,-4.0
1304.0,92.3680781528,4.02284602202,6.58512672013,-4.0
1330.0,92.3015753475,3.98440423138,6.4519593446,-3.0
1357.0,92.358577752,3.94596244075,6.29215849396,-4.0
1384.0,92.3680781528,3.92674154543,6.11904090576,-3.0
1410.0,92.3015753475,3.87868930714,5.95258168635,-3.0
1438.0,92.3395769505,3.80180572588,5.75948899182,-4.0
1464.0,92.320576149,3.73453259227,5.57305466608,-3.0
1491.0,92.3300765498,3.63842811569,5.35332849645,-3.0
1518.0,92.3395769505,3.53271319145,5.15357743315,-3.0
1544.0,92.3015753475,3.40777737189,4.9671431074,-3.0
1572.0,92.3490773513,3.25401020936,4.76073367532,-3.0
1598.0,92.3110757483,3.07141170385,4.57429934957,-3.0
1625.0,92.3015753475,2.84076096006,4.40784013016,-2.0
1652.0,92.3110757483,2.63894155923,4.22806417319,-3.0
1680.0,92.3110757483,2.42751171075,4.08823842888,-3.0
1706.0,92.3110757483,2.23530275759,3.93509594701,-4.0
1734.0,92.2920749468,2.02387290911,3.82856204659,-4.0
1761.0,92.3395769505,1.85088485126,3.65544445839,-3.0
1787.0,92.282574546,1.69711768873,3.5688856643,-3.0
1814.0,92.358577752,1.57218186918,3.45569339509,-3.0
1840.0,92.3015753475,1.45685649728,3.37579296977,-3.0
1868.0,92.3395769505,1.33192067772,3.26260070057,-3.0
1894.0,92.3015753475,1.22620575348,3.20267538158,-3.0
1921.0,92.3300765498,1.12049082924,3.10945821871,-3.0
1948.0,92.358577752,1.00516545734,3.04287453094,-4.0
1975.0,92.320576149,0.899450533101,2.97629084317,-3.0
2002.0,92.3775785535,0.784125161203,2.91636552418,-3.0
2028.0,92.358577752,0.649578893988,2.84978183642,-4.0
2054.0,92.3490773513,0.505422179115,2.81648999253,-3.0
2081.0,92.320576149,0.390096807217,2.78319814865,-3.0
2109.0,92.358577752,0.284381882977,2.75656467354,-4.0
2135.0,92.320576149,0.188277406395,2.74990630477,-3.0
2162.0,92.320576149,0.0825624821545,2.7698814111,-3.0
2189.0,92.358577752,0.0152893485471,2.78985651743,-3.0
2215.0,92.2635737445,-0.0327628897439,2.81648999253,-3.0
2243.0,92.3300765498,-0.0231524420857,2.84312346764,-3.0
2269.0,92.3015753475,0.0248997962053,2.85644020519,-4.0
2296.0,92.2920749468,0.0825624821545,2.87641531152,-3.0
2324.0,92.320576149,0.130614720446,2.87641531152,-4.0
2350.0,92.3300765498,0.169056511078,2.8830736803,-3.0
2378.0,92.3395769505,0.178666958736,2.87641531152,-4.0
2405.0,92.320576149,0.188277406395,2.8830736803,-4.0
2431.0,92.3015753475,0.178666958736,2.88973204908,-3.0
2458.0,92.3110757483,0.149835615762,2.90304878663,-4.0
2486.0,92.282574546,0.121004272787,2.92968226174,-4.0
2512.0,92.3680781528,0.0921729298127,2.97629084317,-3.0
2539.0,92.2920749468,0.0537311391799,3.02955779339,-3.0
2566.0,92.3015753475,0.0441206915217,3.10279984993,-3.0
2593.0,92.3680781528,0.0441206915217,3.1693835377,-4.0
2620.0,92.2540733438,0.0441206915217,3.20933375036,-3.0
2646.0,92.3490773513,0.0248997962053,3.27591743812,-3.0
2673.0,92.358577752,0.0152893485471,3.34250112589,-3.0
2700.0,92.3395769505,-0.0423733374021,3.44237665754,-4.0
2726.0,92.320576149,-0.0712046803766,3.52893545164,-4.0
2753.0,92.3680781528,-0.0519837850602,3.63546935206,-3.0
2779.0,92.358577752,-0.0231524420857,3.74200325249,-3.0
2806.0,92.320576149,0.0152893485471,3.87517062802,-4.0
2834.0,92.3300765498,0.0441206915217,4.01499637233,-3.0
2860.0,92.3775785535,0.0537311391799,4.18145559175,-3.0
2887.0,92.3300765498,0.0537311391799,4.33459807361,-3.0
