----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,11
DAY,4
TIME,17:53:38,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,nan,C
HUMIDITY,nan,%
LATITUDE,39.6707,angular degrees
LONGITUDE,-75.7493,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.358577752,-1.50316138145,2.4835715537,-4.0
18.0,92.282574546,-1.49355093379,2.51020502881,-3.0
37.0,92.320576149,-1.51277182911,2.55681361024,-3.0
62.0,92.2920749468,-1.51277182911,2.64337240434,-4.0
89.0,92.3015753475,-1.51277182911,2.72993119844,-3.0
192.0,92.282574546,-1.40705690487,3.50230197653,-3.0
282.0,92.3110757483,-1.12835392278,3.62881098329,-4.0
300.0,92.2920749468,-1.10913302746,3.7686367276,-4.0
327.0,92.3110757483,-1.07069123683,3.94175431579,-3.0
353.0,92.320576149,-1.01302855088,4.14816374787,-3.0
380.0,92.320576149,-0.945755417273,4.34125644239,-4.0
407.0,92.2920749468,-0.859261388349,4.54766587447,-2.0
433.0,92.2635737445,-0.724715121134,4.76073367532,-3.0
460.0,92.3395769505,-0.590168853919,4.98711821373,-3.0
485.0,92.3015753475,-0.484453929679,5.1668941707,-3.0
512.0,92.2920749468,-0.349907662464,5.37996197155,-4.0
539.0,92.396579355,-0.196140499933,5.61966324751,-3.0
564.0,92.3680781528,-0.0519837850602,5.79278083571,-3.0
591.0,92.3300765498,0.0633415868381,5.99253189901,-3.0
617.0,92.358577752,0.188277406395,6.1656494872,-3.0
643.0,92.2730741453,0.332434121268,6.33876707539,-4.0
670.0,92.244572943,0.447759493166,6.49190955726,-4.0
696.0,92.3395769505,0.572695312723,6.678343883,-2.0
723.0,92.3490773513,0.726462475254,6.85811983997,-3.0
750.0,92.3395769505,0.870619190127,7.01792069061,-3.0
775.0,92.3110757483,1.04360724797,7.1644048037,-4.0
803.0,92.2730741453,1.2454266488,7.28425544168,-3.0
829.0,92.3490773513,1.45685649728,7.43739792354,-3.0
856.0,92.3015753475,1.6586758981,7.53061508642,-4.0
884.0,92.3300765498,1.86049529892,7.6504657244,-4.0
910.0,92.3110757483,2.04309380443,7.72370778094,-3.0
937.0,92.3015753475,2.17764007164,7.82358331259,-3.0
965.0,92.2255721415,2.3025758912,7.89682536914,-3.0
991.0,92.3110757483,2.38906992012,7.95675068813,-4.0
1019.0,92.3015753475,2.45634305373,8.03665111345,-4.0
1045.0,92.3490773513,2.4851743967,8.10989316999,-3.0
1072.0,92.3110757483,2.54283708265,8.1631601202,-3.0
1099.0,92.3775785535,2.62933111158,8.18313522653,-3.0
1125.0,92.3395769505,2.74465648348,8.19645196409,-3.0
1152.0,92.2730741453,2.87920275069,8.18313522653,-4.0
1180.0,92.3110757483,3.02335946556,8.14318501387,-3.0
1206.0,92.3680781528,3.14829528512,8.06994295733,-3.0
1233.0,92.2730741453,3.23478931404,7.97672579446,-3.0
1259.0,92.3490773513,3.29245199999,7.84355841892,-3.0
1286.0,92.2920749468,3.32128334297,7.69707430583,-3.0
1314.0,92.3680781528,3.32128334297,7.55059019275,-3.0
1339.0,92.3395769505,3.31167289531,7.39078934211,-3.0
1366.0,92.3395769505,3.29245199999,7.2509635978,-3.0
1393.0,92.3680781528,3.28284155233,7.06452927205,-3.0
1419.0,92.2920749468,3.25401020936,6.92470352774,-3.0
1447.0,92.2920749468,3.15790573278,6.70497735811,-3.0
1474.0,92.3015753475,3.08102215151,6.49856792603,-3.0
1500.0,92.282574546,2.99452812259,6.30547523151,-3.0
1527.0,92.358577752,2.88881319835,6.07243232433,-3.0
1552.0,92.2920749468,2.79270872177,5.85936452347,-3.0
1579.0,92.3300765498,2.70621469284,5.60634650996,-3.0
1606.0,92.3490773513,2.61011021626,5.37330360278,-4.0
1631.0,92.3490773513,2.46595350139,5.1668941707,-3.0
1658.0,92.3395769505,2.27374454822,4.92053452596,-3.0
1683.0,92.3680781528,1.97582067082,4.74075856899,-3.0
1709.0,92.320576149,1.72594903171,4.52769076814,-3.0
1736.0,92.3110757483,1.47607739259,4.34791481117,-3.0
1762.0,92.3395769505,1.22620575348,4.15482211664,-3.0
1789.0,92.3300765498,0.966723666709,3.97504615967,-3.0
1816.0,92.358577752,0.726462475254,3.81524530903,-5.0
1841.0,92.3300765498,0.505422179115,3.65544445839,-2.0
1868.0,92.2635737445,0.293992330635,3.54225218919,-4.0
1894.0,92.2635737445,0.0825624821545,3.40242644488,-2.0
1921.0,92.358577752,-0.109646471009,3.28923417568,-3.0
1947.0,92.3775785535,-0.292244976515,3.20267538158,-3.0
1972.0,92.3110757483,-0.474843482021,3.14275006259,-4.0
1999.0,92.358577752,-0.63822109221,3.08948311238,-3.0
2025.0,92.3395769505,-0.791988254741,3.04953289972,-2.0
2051.0,92.3395769505,-0.926534521956,3.02955779339,-3.0
2078.0,92.3015753475,-1.0322494462,3.01624105583,-4.0
2103.0,92.3490773513,-1.13796437044,3.00292431828,-3.0
2130.0,92.2730741453,-1.22445839936,3.00958268706,-3.0
2157.0,92.3680781528,-1.28212108531,3.02289942461,-4.0
2182.0,92.3395769505,-1.31095242828,3.04287453094,-4.0
2208.0,92.3015753475,-1.32056287594,3.03621616216,-4.0
2234.0,92.2730741453,-1.29173153297,3.03621616216,-4.0
2261.0,92.3490773513,-1.25328974233,3.04287453094,-3.0
2288.0,92.320576149,-1.19562705639,3.03621616216,-3.0
2314.0,92.3395769505,-1.16679571341,3.00958268706,-3.0
2340.0,92.3110757483,-1.16679571341,3.01624105583,-4.0
2366.0,92.3395769505,-1.17640616107,3.02955779339,-3.0
2392.0,92.2540733438,-1.18601660873,3.03621616216,-4.0
2419.0,92.3300765498,-1.2148479517,3.03621616216,-4.0
2445.0,92.3680781528,-1.26290018999,3.06950800605,-4.0
2471.0,92.320576149,-1.31095242828,3.10279984993,-4.0
2498.0,92.3680781528,-1.3301733236,3.14275006259,-4.0
2524.0,92.3395769505,-1.33978377126,3.1960170128,-4.0
2550.0,92.3015753475,-1.34939421892,3.22930885669,-3.0
2576.0,92.320576149,-1.34939421892,3.27591743812,-4.0
2603.0,92.320576149,-1.36861511423,3.32918438834,-3.0
2630.0,92.2730741453,-1.38783600955,3.37579296977,-3.0
2656.0,92.320576149,-1.40705690487,3.44903502632,-4.0
2683.0,92.3015753475,-1.40705690487,3.53559382041,-4.0
2709.0,92.3110757483,-1.42627780018,3.62881098329,-4.0
2735.0,92.320576149,-1.45510914316,3.74866162127,-4.0
2762.0,92.3110757483,-1.4454986955,3.87517062802,-3.0
2788.0,92.320576149,-1.46471959082,4.02165474111,-3.0
2815.0,92.3490773513,-1.46471959082,4.1947723293,-3.0
2841.0,92.3110757483,-1.42627780018,4.35457317994,-4.0
2867.0,92.3110757483,-1.36861511423,4.52769076814,-3.0
2894.0,92.3490773513,-1.32056287594,4.72744183144,-3.0
2920.0,92.3680781528,-1.24367929468,4.93385126352,-3.0
