----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,11
DAY,7
TIME,20:15:47,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,15.9,C
HUMIDITY,47.3,%
LATITUDE,39.6704,angular degrees
LONGITUDE,-75.7492,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,NEWGENO
POST_TEST_NOTE_2,A
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.3110757483,1.47607739259,10.8331659996,-4.0
108.0,92.282574546,1.80283261297,10.7199737304,-4.0
129.0,92.2635737445,1.94698932784,10.5868063549,-3.0
157.0,92.3395769505,2.01426246145,10.433663873,-3.0
184.0,92.2635737445,2.04309380443,10.2538879161,-4.0
211.0,92.3395769505,2.02387290911,10.0940870654,-4.0
238.0,92.3015753475,2.04309380443,9.88101926458,-3.0
265.0,92.2540733438,2.05270425208,9.66129309495,-4.0
293.0,92.358577752,2.0719251474,9.46154203165,-3.0
321.0,92.3775785535,2.09114604272,9.15525706793,-3.0
347.0,92.3110757483,2.11036693803,8.87560557931,-4.0
375.0,92.282574546,2.11036693803,8.62924593457,-4.0
403.0,92.3775785535,2.06231469974,8.22974380797,-4.0
429.0,92.358577752,1.98543111848,7.91680047547,-4.0
457.0,92.2920749468,1.89893708955,7.66378246195,-3.0
485.0,92.2730741453,1.81244306063,7.2775970729,-3.0
512.0,92.3110757483,1.67789679342,6.92470352774,-3.0
539.0,92.3015753475,1.43763560196,6.6517104079,-3.0
567.0,92.3490773513,1.17815351519,6.43864260704,-4.0
593.0,92.358577752,0.947502771392,6.0790906931,-3.0
620.0,92.3680781528,0.716852027596,5.85936452347,-4.0
646.0,92.320576149,0.515032626773,5.73951388549,-3.0
673.0,92.320576149,0.342044568926,5.40659544666,-4.0
700.0,92.2730741453,0.178666958736,5.31337828379,-3.0
727.0,92.2730741453,0.0441206915217,5.09365211416,-4.0
754.0,92.358577752,-0.109646471009,4.88724268208,-3.0
781.0,92.3490773513,-0.263413633541,4.79402551921,-3.0
807.0,92.2920749468,-0.42679124373,4.61424956223,-3.0
834.0,92.3015753475,-0.570947958603,4.49439892425,-3.0
861.0,92.2635737445,-0.705494225818,4.41449849893,-3.0
888.0,92.3015753475,-0.830430045374,4.28798949218,-3.0
916.0,92.3110757483,-0.945755417273,4.25469764829,-3.0
942.0,92.320576149,-1.04185989385,4.1681388542,-2.0
969.0,92.3395769505,-1.11874347512,4.12818864154,-3.0
996.0,92.3680781528,-1.17640616107,4.0815800601,-2.0
1022.0,92.3110757483,-1.26290018999,4.00833800356,-4.0
1050.0,92.3015753475,-1.32056287594,4.00833800356,-3.0
1076.0,92.358577752,-1.36861511423,3.97504615967,-4.0
1103.0,92.358577752,-1.43588824784,3.93509594701,-3.0
1130.0,92.2730741453,-1.50316138145,3.96172942212,-3.0
1156.0,92.2635737445,-1.57043451506,3.92843757824,-2.0
1184.0,92.3490773513,-1.65692854398,3.9683877909,-3.0
1211.0,92.3490773513,-1.71459122993,3.98836289723,-4.0
1236.0,92.2730741453,-1.73381212524,4.04828821622,-3.0
1264.0,92.3015753475,-1.77225391588,4.08823842888,-4.0
1290.0,92.3395769505,-1.76264346822,4.14150537909,-3.0
1317.0,92.3110757483,-1.71459122993,4.22806417319,-3.0
1345.0,92.3490773513,-1.66653899164,4.26801438585,-4.0
1370.0,92.3015753475,-1.72420167759,4.36123154872,-3.0
1398.0,92.2730741453,-1.76264346822,4.47442381792,-3.0
1425.0,92.358577752,-1.76264346822,4.5676409808,-3.0
1451.0,92.3110757483,-1.78186436354,4.74075856899,-4.0
1479.0,92.3395769505,-1.79147481119,4.8539508382,-4.0
1505.0,92.3395769505,-1.80108525885,5.04038516394,-3.0
1531.0,92.2920749468,-1.82991660183,5.20018601458,-4.0
1559.0,92.2730741453,-1.8587479448,5.34667012767,-3.0
1585.0,92.3110757483,-1.79147481119,5.57305466608,-3.0
1613.0,92.3300765498,-1.76264346822,5.79278083571,-3.0
1640.0,92.3015753475,-1.7434225729,5.99919026778,-3.0
1666.0,92.3110757483,-1.64731809632,6.2522082813,-5.0
1694.0,92.2730741453,-1.52238227676,6.48525118848,-3.0
1721.0,92.3015753475,-1.43588824784,6.72495246444,-3.0
1748.0,92.3300765498,-1.28212108531,7.04455416572,-3.0
1776.0,92.3490773513,-1.13796437044,7.2775970729,-3.0
1802.0,92.3490773513,-1.01302855088,7.5639069303,-3.0
1830.0,92.3300765498,-0.888092731323,7.83690005014,-3.0
1858.0,92.282574546,-0.74393601645,8.07660132611,-3.0
1885.0,92.3300765498,-0.561337510945,8.38954465861,-3.0
1913.0,92.3015753475,-0.369128557781,8.6492210409,-4.0
1941.0,92.3300765498,-0.167309156959,8.91555579197,-3.0
1967.0,92.3490773513,-0.0135419944275,9.18189054303,-5.0
1995.0,92.282574546,0.0825624821545,9.46154203165,-4.0
2023.0,92.2730741453,0.226719197027,9.69458493884,-4.0
2050.0,92.3490773513,0.42853859785,9.98755316501,-4.0
2077.0,92.3015753475,0.611137103355,10.2405711785,-3.0
2105.0,92.3015753475,0.784125161203,10.4403222418,-4.0
2132.0,92.3775785535,0.985944562025,10.7199737304,-3.0
2159.0,92.3015753475,1.1301012769,10.8997496874,-3.0
2186.0,92.3015753475,1.23581620114,11.0928423819,-4.0
2214.0,92.3490773513,1.41841470664,11.3392020267,-3.0
2242.0,92.3015753475,1.67789679342,11.4324191895,-4.0
2268.0,92.3110757483,1.87971619424,11.6055367777,-2.0
2296.0,92.282574546,2.0719251474,11.7120706782,-3.0
2324.0,92.3490773513,2.27374454822,11.7919711035,-3.0
2351.0,92.3490773513,2.47556394905,11.8518964225,-4.0
2378.0,92.3110757483,2.65816245455,11.8785298976,-4.0
2406.0,92.3395769505,2.81192961708,11.8985050039,-3.0
2432.0,92.3110757483,2.92725498898,11.8452380537,-3.0
2460.0,92.2920749468,3.07141170385,11.7719959972,-4.0
2488.0,92.282574546,3.17712662809,11.7120706782,-3.0
2515.0,92.3110757483,3.23478931404,11.6321702528,-3.0
2543.0,92.3015753475,3.22517886639,11.5655865651,-3.0
2570.0,92.2920749468,3.19634752341,11.4723694022,-3.0
2598.0,92.358577752,3.13868483746,11.3791522393,-4.0
2625.0,92.3015753475,3.09063259917,11.2792767077,-3.0
2652.0,92.2920749468,3.04258036088,11.1594260697,-3.0
2680.0,92.3110757483,3.0137490179,11.0395754317,-3.0
2708.0,92.3680781528,3.0137490179,10.913066425,-3.0
2734.0,92.3680781528,3.05219080854,10.673365149,-3.0
2762.0,92.3395769505,3.07141170385,10.4802724545,-3.0
2789.0,92.358577752,3.08102215151,10.2738630224,-3.0
2816.0,92.358577752,3.04258036088,10.0341617464,-4.0
2843.0,92.3110757483,3.0137490179,9.80777720804,-3.0
2871.0,92.3015753475,2.96569677961,9.54810082575,-3.0
2898.0,92.3680781528,2.87920275069,9.25513259958,-3.0
2925.0,92.3015753475,2.76387737879,8.99545621729,-4.0
2952.0,92.3015753475,2.63894155923,8.67585451601,-5.0
