----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2080
MONTH,1
DAY,5
TIME,23:59:45,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,7.6,C
HUMIDITY,27.0,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,2374
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.4250805573,3.34050423828,0.852271203414,-4.0
34.0,92.2920749468,3.34050423828,0.932171628734,-3.0
51.0,92.3300765498,3.33089379063,0.972121841394,-3.0
70.0,92.282574546,3.30206244765,1.01207205405,-4.0
97.0,92.3110757483,3.28284155233,1.05202226671,-4.0
123.0,92.3490773513,3.27323110468,1.0853141106,-3.0
149.0,92.3490773513,3.27323110468,1.09863084815,-4.0
175.0,92.282574546,3.29245199999,1.12526432326,-4.0
201.0,92.3300765498,3.32128334297,1.16521453592,-3.0
228.0,92.3110757483,3.3597251336,1.21848148613,-3.0
255.0,92.320576149,3.41738781955,1.25843169879,-4.0
281.0,92.358577752,3.49427140081,1.32501538656,-3.0
307.0,92.320576149,3.58076542974,1.34499049289,-3.0
333.0,92.358577752,3.67686990632,1.40491581188,-3.0
360.0,92.3490773513,3.81141617354,1.4848162372,-3.0
386.0,92.2920749468,3.94596244075,1.53808318741,-4.0
412.0,92.282574546,4.09011915562,1.62464198151,-3.0
439.0,92.3680781528,4.26310721347,1.72451751316,-3.0
464.0,92.3300765498,4.44570571898,1.83105141359,-3.0
491.0,92.3680781528,4.63791467214,1.95090205157,-3.0
518.0,92.3110757483,4.81090272999,1.99085226423,-3.0
544.0,92.3110757483,4.99350123549,2.07075268955,-3.0
570.0,92.3110757483,5.176099741,2.11736127098,-4.0
597.0,92.3680781528,5.33947735119,2.14399474609,-4.0
623.0,92.3490773513,5.52207585669,2.11070290221,-3.0
649.0,92.3680781528,5.71428480986,2.11736127098,-3.0
674.0,92.3680781528,5.92571465834,2.12401963976,-4.0
701.0,92.320576149,6.13714450682,2.21057843386,-3.0
728.0,92.3300765498,6.35818480296,2.31045396551,-3.0
754.0,92.3110757483,6.61766688973,2.33708744061,-3.0
781.0,92.320576149,6.90598031947,2.41032949716,-3.0
806.0,92.3490773513,7.21351464454,2.61008056046,-3.0
833.0,92.3015753475,7.51143852194,2.78319814865,-4.0
860.0,92.3490773513,7.818972847,2.86975694275,-4.0
885.0,92.282574546,8.12650717207,3.00292431828,-3.0
912.0,92.3110757483,8.45326239244,3.00958268706,-3.0
939.0,92.3300765498,8.75118626985,3.04953289972,-4.0
965.0,92.2730741453,9.03949969959,3.16272516892,-3.0
992.0,92.3680781528,9.30859223402,3.22265048791,-4.0
1017.0,92.3015753475,9.55846387314,3.31586765078,-3.0
1044.0,92.3110757483,9.80833551225,3.46235176387,-4.0
1071.0,92.3300765498,10.067817599,3.66876119595,-3.0
1097.0,92.2730741453,10.2888578952,3.72202814616,-3.0
1124.0,92.3300765498,10.5098981913,3.74866162127,-3.0
1151.0,92.3015753475,10.7597698304,3.78861183393,-3.0
1176.0,92.320576149,10.9904205742,3.85519552169,-3.0
1203.0,92.3110757483,11.221071318,3.90180410313,-3.0
1229.0,92.3300765498,11.5093847478,4.01499637233,-4.0
1256.0,92.358577752,11.8361399681,4.12153027276,-3.0
1283.0,92.3490773513,12.1436742932,4.18811396053,-3.0
1308.0,92.3490773513,12.4319877229,4.21474743563,-3.0
1334.0,92.2730741453,12.7491324957,4.23472254196,-3.0
1360.0,92.320576149,13.075887716,4.2813311234,-3.0
1387.0,92.3395769505,13.4314742794,4.27467275462,-3.0
1414.0,92.3490773513,13.7678399474,4.20808906686,-3.0
1439.0,92.3870789543,14.0657638248,4.13484701031,-4.0
1465.0,92.358577752,14.3444668069,4.05494658499,-3.0
1492.0,92.358577752,14.6039488937,3.92843757824,-3.0
1517.0,92.320576149,14.7481056086,3.78861183393,-3.0
1544.0,92.282574546,14.7961578469,3.78861183393,-3.0
1570.0,92.3490773513,14.8249891898,3.75531999004,-3.0
1596.0,92.3300765498,14.8730414281,3.64212772084,-4.0
1623.0,92.3490773513,14.8922623234,3.50230197653,-3.0
1649.0,92.3490773513,14.8922623234,3.34250112589,-3.0
1675.0,92.3680781528,14.8634309805,3.1693835377,-3.0
1700.0,92.2730741453,14.8249891898,3.05619126849,-3.0
1727.0,92.3490773513,14.7673265039,2.90970715541,-3.0
1754.0,92.358577752,14.6712220273,2.77653977987,-3.0
1779.0,92.3775785535,14.5174548648,2.69663935455,-3.0
1805.0,92.358577752,14.2675832257,2.57678871657,-3.0
1832.0,92.282574546,13.9408280053,2.47025481615,-3.0
1858.0,92.3300765498,13.6140727849,2.35706254694,-3.0
1885.0,92.320576149,13.3161489075,2.27050375285,-3.0
1911.0,92.3110757483,13.0278354777,2.24387027774,-3.0
1937.0,92.3110757483,12.7587429433,2.16396985242,-3.0
1964.0,92.3490773513,12.4704295136,2.02414410811,-4.0
1990.0,92.3490773513,12.1917265315,1.91095183891,-4.0
2016.0,92.358577752,11.9418548924,1.86434325747,-3.0
2041.0,92.3110757483,11.7015937009,1.7711260946,-3.0
2068.0,92.3110757483,11.4613325095,1.66459219417,-3.0
2095.0,92.3490773513,11.221071318,1.56471666252,-3.0
2121.0,92.3300765498,10.9904205742,1.43154928698,-3.0
2148.0,92.3490773513,10.7213280398,1.25843169879,-3.0
2174.0,92.3395769505,10.4426250577,1.15855616714,-4.0
2199.0,92.3300765498,10.1735325233,1.06533900427,-4.0
2226.0,92.3395769505,9.90443998883,1.00541368528,-2.0
2252.0,92.282574546,9.66417879738,0.992096947724,-3.0
2279.0,92.3395769505,9.41430715826,0.952146735064,-3.0
2305.0,92.3775785535,9.17404596681,0.912196522404,-4.0
2330.0,92.358577752,8.98183701365,0.858929572191,-3.0
2357.0,92.320576149,8.81845940346,0.838954465861,-3.0
2383.0,92.3300765498,8.60702955498,0.878904678521,-2.0
2410.0,92.3490773513,8.37637881118,0.938829997511,-4.0
2436.0,92.320576149,8.11689672441,0.938829997511,-3.0
2462.0,92.282574546,7.82858329466,0.925513259958,-3.0
2489.0,92.320576149,7.54026986492,0.858929572191,-3.0
2516.0,92.320576149,7.24234598751,0.832296097084,-4.0
2542.0,92.3110757483,6.92520121479,0.818979359531,-2.0
2568.0,92.3395769505,6.62727733739,0.739078934211,-3.0
2594.0,92.3015753475,6.35818480296,0.732420565434,-3.0
2621.0,92.3490773513,6.02181913492,0.705787090327,-4.0
2647.0,92.3300765498,5.69506391454,0.685811983997,-3.0
2673.0,92.3110757483,5.36830869416,0.685811983997,-3.0
2700.0,92.3300765498,5.04155347378,0.692470352774,-4.0
2726.0,92.282574546,4.73401914872,0.692470352774,-4.0
2753.0,92.3395769505,4.42648482366,0.699128721551,-3.0
2779.0,92.3680781528,4.09011915562,0.699128721551,-3.0
2804.0,92.2920749468,3.78258483056,0.759054040541,-4.0
2831.0,92.282574546,3.50388184847,0.818979359531,-3.0
2858.0,92.3300765498,3.32128334297,0.832296097084,-3.0
