----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2080
MONTH,1
DAY,5
TIME,23:59:45,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,7.7,C
HUMIDITY,26.6,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,2374
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.4250805573,1.16854306753,0.0998755316501,-3.0
18.0,92.3110757483,1.16854306753,0.11985063798,-3.0
35.0,92.320576149,1.19737441051,0.126509006757,-4.0
63.0,92.3775785535,1.21659530582,0.11985063798,-3.0
99.0,92.3680781528,1.21659530582,0.0998755316501,-3.0
116.0,92.3680781528,1.22620575348,0.0799004253201,-3.0
141.0,92.3300765498,1.25503709645,0.0732420565434,-3.0
166.0,92.320576149,1.28386843943,0.0799004253201,-3.0
193.0,92.2920749468,1.29347888709,0.0732420565434,-3.0
219.0,92.320576149,1.30308933475,0.0665836877667,-3.0
245.0,92.358577752,1.3126997824,0.113192269203,-3.0
271.0,92.282574546,1.30308933475,0.133167375533,-3.0
296.0,92.282574546,1.30308933475,0.133167375533,-4.0
322.0,92.3395769505,1.3126997824,0.15980085064,-3.0
348.0,92.320576149,1.29347888709,0.15980085064,-3.0
374.0,92.3395769505,1.27425799177,0.11985063798,-3.0
399.0,92.3300765498,1.25503709645,0.126509006757,-4.0
425.0,92.2730741453,1.21659530582,0.133167375533,-3.0
451.0,92.358577752,1.17815351519,0.13982574431,-3.0
477.0,92.320576149,1.14932217221,0.1997510633,-4.0
502.0,92.3110757483,1.12049082924,0.25967638229,-4.0
529.0,92.3775785535,1.09165948627,0.31960170128,-3.0
554.0,92.3490773513,1.09165948627,0.512694395804,-3.0
580.0,92.3015753475,1.1301012769,0.506036027027,-3.0
606.0,92.2920749468,1.18776396285,0.479402551921,-3.0
631.0,92.3395769505,1.21659530582,0.545986239687,-3.0
657.0,92.3395769505,1.29347888709,0.605911558677,-4.0
682.0,92.320576149,1.39919381133,0.639203402561,-3.0
709.0,92.3395769505,1.48568784025,0.719103827881,-4.0
735.0,92.320576149,1.53374007854,0.785687515647,-4.0
761.0,92.2920749468,1.57218186918,0.878904678521,-3.0
788.0,92.2730741453,1.56257142152,1.04536389794,-3.0
814.0,92.3490773513,1.5433505262,1.26509006757,-3.0
840.0,92.358577752,1.50490873557,1.45152439331,-3.0
866.0,92.3300765498,1.52412963088,1.61132524396,-3.0
892.0,92.3680781528,1.59140276449,1.7711260946,-3.0
919.0,92.3490773513,1.71633858405,1.91761020768,-3.0
945.0,92.282574546,1.85088485126,1.9708771579,-3.0
971.0,92.3300765498,1.94698932784,2.11736127098,-3.0
998.0,92.3110757483,2.0719251474,2.29047885918,-3.0
1024.0,92.2540733438,2.29296544354,2.49688829125,-3.0
1051.0,92.358577752,2.51400573968,2.73658956721,-3.0
1077.0,92.3110757483,2.70621469284,2.86975694275,-4.0
1103.0,92.3015753475,2.93686543664,2.88973204908,-4.0
1130.0,92.3300765498,3.21556841873,2.96297410562,-3.0
1157.0,92.3015753475,3.49427140081,3.15606680014,-3.0
1183.0,92.358577752,3.74414303993,3.35581786344,-3.0
1209.0,92.320576149,3.96518333607,3.58886077063,-4.0
1235.0,92.358577752,4.17661318455,3.84187878414,-3.0
1261.0,92.3490773513,4.40726392834,4.04162984744,-4.0
1288.0,92.244572943,4.6475251198,4.18811396053,-3.0
1314.0,92.3110757483,4.87817586359,4.42781523649,-3.0
1341.0,92.358577752,5.11843705505,4.66751651245,-3.0
1366.0,92.3870789543,5.36830869416,4.78070878165,-3.0
1392.0,92.3490773513,5.63740122859,4.88724268208,-4.0
1419.0,92.2540733438,5.87766242005,5.00709332006,-4.0
1445.0,92.3015753475,6.14675495448,5.17355253948,-4.0
1472.0,92.3110757483,6.41584748891,5.40659544666,-2.0
1498.0,92.3015753475,6.67532957568,5.6529550914,-3.0
1524.0,92.3490773513,6.93481166245,5.88599799858,-3.0
1551.0,92.3775785535,7.20390419688,6.09906579943,-3.0
1576.0,92.3110757483,7.47299673131,6.27218338763,-3.0
1603.0,92.3395769505,7.7516997134,6.41866750071,-3.0
1629.0,92.3015753475,8.04001314314,6.55183487625,-4.0
1655.0,92.320576149,8.35715791586,6.73161083322,-4.0
1683.0,92.3775785535,8.64547134561,6.77821941465,-3.0
1709.0,92.320576149,8.90495343238,6.80485288976,-4.0
1736.0,92.3015753475,9.19326686213,6.81151125854,-3.0
1763.0,92.320576149,9.50080118719,6.87143657753,-3.0
1790.0,92.2730741453,9.79872506459,6.87143657753,-4.0
1817.0,92.3490773513,10.1447011803,6.87143657753,-3.0
1844.0,92.3300765498,10.4810668483,6.79819452098,-3.0
1871.0,92.320576149,10.827042964,6.54517650747,-3.0
1897.0,92.320576149,11.0769146031,6.11904090576,-3.0
1923.0,92.358577752,11.249902661,5.92594821124,-3.0
1950.0,92.3110757483,11.3363966899,5.83273104837,-3.0
1977.0,92.3110757483,11.3171757946,5.74617225427,-4.0
2003.0,92.3110757483,11.278734004,5.68624693528,-4.0
2029.0,92.3110757483,11.2883444516,5.60634650996,-3.0
2056.0,92.3015753475,11.2306817657,5.44654565932,-4.0
2082.0,92.3110757483,11.1345772891,5.18021090825,-3.0
2109.0,92.358577752,11.0192519172,4.89390105086,-4.0
2134.0,92.3300765498,10.88470565,4.64088303734,-3.0
2161.0,92.282574546,10.7021071445,4.36123154872,-3.0
2188.0,92.3300765498,10.5002877436,4.1681388542,-3.0
2214.0,92.358577752,10.2408056569,4.1681388542,-3.0
2241.0,92.358577752,10.0005444654,4.05494658499,-4.0
2267.0,92.3775785535,9.76989372162,3.85519552169,-3.0
2292.0,92.320576149,9.55846387314,3.66876119595,-3.0
2319.0,92.3015753475,9.36625491997,3.47566850142,-3.0
2345.0,92.320576149,9.15482507149,3.34250112589,-3.0
2372.0,92.358577752,8.91456388004,3.22265048791,-3.0
2398.0,92.320576149,8.64547134561,3.10945821871,-4.0
2424.0,92.3680781528,8.41482060181,2.91636552418,-3.0
2451.0,92.3395769505,8.22261164865,2.70329772333,-3.0
2476.0,92.320576149,8.03040269548,2.49688829125,-4.0
2503.0,92.3490773513,7.818972847,2.35040417817,-3.0
2529.0,92.3110757483,7.57871165555,2.22389517141,-3.0
2555.0,92.320576149,7.30000867346,2.1706282212,-3.0
2582.0,92.3015753475,7.03091613903,2.07741105832,-3.0
2609.0,92.320576149,6.92520121479,2.01748573933,-3.0
2635.0,92.3015753475,6.80026539523,1.91761020768,-3.0
2662.0,92.320576149,6.59844599441,1.87765999502,-3.0
2688.0,92.3015753475,6.28130122169,1.72451751316,-3.0
2715.0,92.3300765498,5.94493555365,1.5980085064,-3.0
2742.0,92.3300765498,5.57973854264,1.56471666252,-3.0
2767.0,92.320576149,5.08960571208,1.56471666252,-3.0
2794.0,92.320576149,4.61869377682,1.53142481863,-3.0
2821.0,92.3110757483,4.17661318455,1.58469176885,-3.0
2847.0,92.3300765498,3.78258483056,1.63130035029,-3.0
