----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,18
TIME,15:33:11,UTC
PLOT,1,#
HEIGHT,64,cm
TEMPERATURE,30.7,C
HUMIDITY,34.0,%
LATITUDE,39.6696,angular degrees
LONGITUDE,-75.7521,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,-0.394709363035,-2.44908180301,4.24437295544,0.00656330588785
17.0,-0.286410422157,-2.41602671119,4.27721906277,0.00349759204599
43.0,-0.414400079558,-2.37195325543,4.30185364328,-0.0054637253379
72.0,-0.375018646512,-2.33889816361,4.20331532126,-0.00735031847135
103.0,-0.375018646512,-2.33889816361,4.05550783824,0.000667702345813
133.0,-0.355327929989,-2.32787979967,4.08014241875,-0.00381295634613
213.0,-0.36517328825,-2.32787979967,4.663160824,-0.00758614261303
325.0,-0.276565063895,-2.26176961603,5.12300632673,-0.001690539071
351.0,-0.237183630849,-2.28380634391,5.54179419529,-0.00121889078764
380.0,-0.158420764756,-2.25075125209,6.0919664932,-0.00216218735436
411.0,-0.0993486151857,-2.18464106845,6.63392726428,-0.00192636321268
441.0,0.0384864004773,-2.11853088481,7.06092665967,0.00161099891254
472.0,-0.0304311073542,-1.96427378965,7.47971452823,0.00774242659625
502.0,-0.0599671821392,-1.79899833055,7.89850239679,-0.00239801149604
533.0,-0.0895032569241,-1.66677796327,8.24338652384,0.0058558334628
564.0,-0.0205857490926,-1.58964941569,8.52257843621,-0.00192636321268
595.0,0.0286410422157,-1.47946577629,8.6868089729,0.00632748174616
625.0,0.018795683954,-1.42437395659,8.91673172427,0.00231847133758
656.0,0.117249266571,-1.43539232053,9.26161585132,-0.00239801149604
686.0,0.156630699617,-1.43539232053,9.60649997836,-0.00263383563772
716.0,0.284620357019,-1.53455759599,10.0581339543,-0.00310548392109
747.0,0.373228581373,-1.66677796327,10.5426140375,-0.00216218735436
778.0,0.432300730943,-1.75492487479,11.2159592379,-0.00192636321268
809.0,0.58982646313,-1.81001669449,12.0699580287,-0.00381295634613
839.0,0.757197553578,-1.83205342237,13.096398883,-0.000275594220912
870.0,0.914723285764,-1.76594323873,14.188531952,0.000903526487495
901.0,1.12147580926,-1.63372287145,15.1903382258,0.000196054062451
931.0,1.28884689971,-1.45742904841,16.1100292313,-0.00310548392109
962.0,1.38730048232,-1.23706176962,17.0543548173,-0.00357713220445
993.0,1.56451693103,-0.884474123539,17.8919305544,-0.00782196675471
1024.0,1.57436228929,-0.520868113523,18.754140872,-0.00593537362126
1054.0,1.72204266322,-0.190317195326,19.4521206529,-0.00216218735436
1085.0,1.78111481279,0.085141903172,20.0187160045,-0.000275594220912
1116.0,1.87956839541,0.34958263773,20.4539269267,-0.00310548392109
1146.0,1.94848590324,0.547913188648,20.790599527,0.00161099891254
1177.0,1.97802197802,0.636060100167,21.0451568588,-0.00239801149604
1208.0,2.00755805281,0.801335559265,21.3243487712,-0.00404878048781
1239.0,2.04693948585,1.01068447412,21.6363867909,-0.00286965977941
1269.0,2.17492914325,1.2530884808,21.8006173276,-0.00239801149604
1300.0,2.13554771021,1.49549248748,21.7677712203,-0.000983066645956
1331.0,2.17492914325,1.77095158598,21.5378484689,0.0020826471959
1361.0,2.06663020238,2.01335559265,21.2011758687,-0.000275594220912
1392.0,1.88941375367,2.09048414023,20.8645032685,-0.00216218735436
1423.0,1.51529013972,2.12353923205,20.4375038731,0.00231847133758
1454.0,1.40699119885,2.14557595993,19.8380624141,0.000667702345813
