----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,27
TIME,13:54:42,UTC
PLOT,4,#
HEIGHT,64,cm
TEMPERATURE,27.9,C
HUMIDITY,36.3,%
LATITUDE,39.6696,angular degrees
LONGITUDE,-75.7521,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,1.028804724261246,24.716022021456826,Deg,imu1
POT,-107.94895696091355,10897.34799077734,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,10.8509431101,7.09947943113,4.12120005292,3.97123877583
16.0,10.8787340224,7.08975941356,4.19510379443,3.97100295169
39.0,10.8879976599,7.08003939598,4.38396891162,3.97100295169
66.0,10.9713703969,7.04115932569,4.39218043846,3.97123877583
94.0,11.0176885841,7.02171929054,4.52356486781,3.97100295169
123.0,11.0732704088,6.97311920267,4.55641097515,3.97100295169
150.0,11.1010613212,6.9633991851,4.712429985,3.97100295169
179.0,11.1844340582,6.99255923782,4.81917983385,3.97123877583
207.0,11.2585431577,6.99255923782,4.98341037054,3.97123877583
234.0,11.3789704445,7.04115932569,5.08194869256,3.97100295169
263.0,11.4993977313,7.07031937841,5.25439075608,3.97100295169
325.0,11.8050977671,7.13835950143,6.00163969802,3.97100295169
455.0,12.1663796275,7.64380041527,6.73246558629,3.97123877583
478.0,12.2312250896,7.74100059101,6.94596528399,3.97123877583
506.0,12.3794432887,7.87708083705,7.15125345485,3.97100295169
533.0,12.4813433007,8.04232113581,7.34833009888,3.97100295169
562.0,12.5739796751,8.21728145214,7.53719521607,3.97123877583
591.0,12.7221978743,8.37280173332,7.72606033326,3.97100295169
619.0,12.8889433483,8.53804203208,7.50434910873,3.97100295169
648.0,12.9167342606,8.67412227811,8.48152080204,3.97100295169
677.0,13.0371615474,8.81020252415,8.44046316787,3.97100295169
705.0,13.1575888342,8.92684273504,8.53900148988,3.97123877583
733.0,13.278016121,9.00460287563,8.65396286556,3.97100295169
762.0,13.4077070453,9.08236301622,8.88388561693,3.97100295169
790.0,13.546661607,9.16012315681,9.1384429488,3.97100295169
819.0,13.6485616189,9.2378832974,9.53259623685,3.97123877583
848.0,13.796779818,9.37396354344,9.90211494441,3.97100295169
876.0,13.9264707423,9.5003237719,10.1730953299,3.97100295169
905.0,14.0746889414,9.66556407066,10.4358641886,3.97100295169
934.0,14.2136435031,9.83080436942,10.7232676279,3.97100295169
962.0,14.3989162521,10.0057646857,11.0845748086,3.97100295169
991.0,14.5193435389,10.2001650372,11.4294589356,3.97100295169
1020.0,14.6860890129,10.3751253536,11.7907661163,3.97123877583
1048.0,14.8806253993,10.5792457226,12.0945926092,3.97100295169
1077.0,15.0381072359,10.7736460741,12.2998807801,3.97100295169
1106.0,15.2141163473,10.9777664431,12.4805343704,3.97123877583
1133.0,15.353070909,11.1916068298,12.6858225413,3.97100295169
1162.0,15.4457072835,11.4540473043,13.0142836147,3.97100295169
1191.0,15.4734981958,11.7164877788,13.244206366,3.97100295169
1219.0,15.6865618571,11.9497682005,13.3263216344,3.97100295169
1248.0,15.7421436818,12.1538885696,13.3591677417,3.97100295169
1277.0,15.8533073311,12.3677289562,13.4577060637,3.97100295169
1305.0,15.871834606,12.5912893604,13.5069752248,3.97100295169
1334.0,15.8903618809,12.8245697822,13.5316098053,3.97100295169
1363.0,15.9737346179,13.0675702215,13.4577060637,3.97100295169
1391.0,15.8903618809,13.3591707488,13.3016870539,3.97123877583
1420.0,15.8533073311,13.6313312408,13.0635527757,3.97100295169
1449.0,15.6680345822,13.786851522,12.850053078,3.97123877583
1477.0,15.2048527099,13.8451716275,12.603707273,3.97100295169
