----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,27
TIME,14:12:13,UTC
PLOT,12,#
HEIGHT,64,cm
TEMPERATURE,29.1,C
HUMIDITY,34.5,%
LATITUDE,39.6696,angular degrees
LONGITUDE,-75.7522,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,D
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,1.028804724261246,24.716022021456826,Deg,imu1
POT,-107.94895696091355,10897.34799077734,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,9.55403386761,2.58939127681,2.98800934976,3.97123877583
37.0,9.66519751696,2.60883131196,3.16866294012,3.97123877583
54.0,9.71151570419,2.60883131196,3.26720126213,3.97123877583
76.0,9.78562480377,2.62827134711,3.34931653048,3.97100295169
104.0,9.94310664035,2.64771138225,3.43964332566,3.97123877583
132.0,9.98942482759,2.62827134711,3.75168134537,3.97123877583
160.0,10.0264793774,2.51163113622,3.84200814055,3.97123877583
188.0,10.1005884769,2.47275106592,4.07193089191,3.97100295169
216.0,10.1746975765,2.4824710835,4.31827669695,3.97100295169
245.0,10.2117521263,2.46303104835,4.59746860932,3.97100295169
272.0,10.4248157876,2.4435910132,4.86023746802,3.97100295169
301.0,10.5081885246,2.46303104835,5.20512159507,3.97100295169
329.0,10.5915612616,2.50191111864,5.50073656111,3.97123877583
356.0,10.7212521858,2.56995124166,5.84562068816,3.97100295169
385.0,10.8787340224,2.64771138225,6.17408176154,3.97123877583
413.0,11.0084249467,2.74491155799,6.58465810327,3.97100295169
441.0,11.1473795084,2.88099180403,6.92954223032,3.97123877583
469.0,11.304861345,3.03651208521,7.3072724647,3.97123877583
497.0,11.4623431816,3.1920323664,7.68500269909,3.97100295169
525.0,11.6290886556,3.34755264758,8.07094446031,3.97100295169
554.0,11.7958341296,3.53223298149,8.41582858736,3.97100295169
583.0,11.9625796037,3.72663333296,8.87567409009,3.97100295169
611.0,12.1107978028,3.94047371959,9.26161585132,3.97123877583
640.0,12.3053341892,4.15431410622,9.58186539786,3.97123877583
669.0,12.3979705636,4.36815449285,10.1074031153,3.97123877583
697.0,12.5832433126,4.59171489705,10.468710296,3.97123877583
726.0,12.7129342368,4.77639523095,10.7396906815,3.97123877583
755.0,13.0649524598,4.97079558243,11.2159592379,3.97123877583
783.0,13.0186342725,5.20407600421,11.5690548918,3.97100295169
812.0,13.0927433721,5.43735642598,11.8400352773,3.97100295169
841.0,13.4447615951,5.67063684776,12.1849194044,3.97123877583
869.0,13.4354979576,5.91363728711,12.4641113168,3.97100295169
897.0,13.4725525074,6.11775765616,12.6693994876,3.97123877583
926.0,13.5744525193,6.36075809551,12.9485914,3.97123877583
954.0,13.6856161687,6.57459848214,13.2195717855,3.97100295169
983.0,13.8153070929,6.78843886876,13.4166484296,3.97123877583
1012.0,13.9172071048,6.99255923782,13.5726674394,3.97123877583
1040.0,13.9913162044,7.20639962444,13.7615325566,3.97100295169
1069.0,14.065425304,7.4105199935,13.892916986,3.97123877583
1098.0,14.1117434912,7.62436038013,13.991455308,3.97100295169
1126.0,14.1951162282,7.8187607316,14.040724469,3.97100295169
1155.0,14.2136435031,7.98400103036,14.0982051568,3.97123877583
1184.0,14.2784889653,8.16868136427,14.0571475227,3.97123877583
1212.0,14.2506980529,8.36308171575,14.0078783617,3.97123877583
1241.0,14.2506980529,8.54776204965,14.0243014153,3.97123877583
1270.0,14.1951162282,8.66440226054,13.9175515665,3.97123877583
1298.0,14.0839525789,8.73244238356,13.7204749224,3.97123877583
1326.0,13.8894161925,8.75188241871,13.5069752248,3.97100295169
1355.0,13.5003434198,8.75188241871,13.2852640002,3.97100295169
