----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,19
TIME,16:45:32,UTC
PLOT,2,#
HEIGHT,64,cm
TEMPERATURE,28.4,C
HUMIDITY,27.1,%
LATITUDE,39.6696,angular degrees
LONGITUDE,-75.7523,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,5.12853662175,4.30517529215,5.18048701457,0.00797825073793
18.0,5.0891551887,4.30517529215,5.19691006824,0.00161099891254
44.0,5.10884590523,4.31619365609,5.19691006824,-0.00381295634613
76.0,5.06946447218,4.30517529215,5.19691006824,-0.00121889078764
106.0,5.0891551887,4.29415692821,5.22975617558,-0.00310548392109
136.0,5.09900054696,4.27212020033,5.25439075608,-0.00404878048781
168.0,5.11869126349,4.25008347245,5.30365991709,0.000196054062451
200.0,5.12853662175,4.21702838063,5.34471755126,-0.00404878048781
228.0,5.18760877132,4.27212020033,5.41862129277,-0.00145471492932
260.0,5.25652627915,4.27212020033,5.47610198061,-0.000275594220912
292.0,5.33528914524,4.28313856427,5.75529389298,-0.00310548392109
446.0,6.07369101487,4.36026711185,6.75710016679,-0.00286965977941
574.0,6.34936104619,4.72387312187,7.20052261586,-0.00310548392109
600.0,6.4773507036,4.75692821369,7.45507994773,0.00420506447103
632.0,6.67425786883,4.70183639399,7.82459865528,-0.00239801149604
664.0,6.82193824275,4.72387312187,8.185905836,0.00444088861271
696.0,7.01884540799,4.83405676127,8.61290523139,-0.00239801149604
726.0,7.1960618567,4.96627712855,9.03990462678,-0.00239801149604
758.0,7.46188652976,5.09849749583,9.44226944167,-0.00286965977941
788.0,7.66863905325,5.35191986644,9.8528457834,-0.00192636321268
820.0,7.93446372632,5.59432387312,10.320902813,0.00656330588785
852.0,8.16090696634,5.81469115192,10.7068445742,-0.00381295634613
884.0,8.36765948983,6.03505843072,11.1420554964,-0.00239801149604
912.0,8.66302023768,6.31051752922,11.5526318381,-0.001690539071
944.0,8.62363880463,6.56393989983,11.9139390189,0.00113935062918
976.0,8.91899955248,6.81736227045,12.2998807801,0.00137517477086
1008.0,9.06667992641,7.13689482471,12.6365533803,-0.00263383563772
1038.0,9.29312316643,7.43439065109,12.9896490342,-0.00334130806277
1068.0,9.39157674904,7.67679465776,13.3016870539,-0.00428460462949
1100.0,9.4801849734,7.91919866444,13.6547827078,-0.000511418362593
1132.0,9.57863855601,8.19465776294,13.8600708786,-0.00334130806277
1164.0,9.72631892994,8.41502504174,14.139262791,0.00113935062918
1194.0,9.81492715429,8.61335559265,14.3691855424,0.00137517477086
1224.0,9.98229824474,8.82270450751,14.5580506596,-0.00310548392109
1256.0,10.0610611108,9.09816360601,14.7140696694,-0.00286965977941
1286.0,10.0807518274,9.35158597663,14.8372425719,0.00727077831289
1316.0,10.1398239769,9.63806343907,14.8865117329,0.00797825073793
1348.0,10.1890507682,10.0016694491,14.8536656256,0.00797825073793
1378.0,10.2087414848,10.3652754591,14.7551273036,0.00231847133758
1408.0,10.1299786187,10.6848080134,14.5744737132,0.00231847133758
1440.0,9.91338073691,10.8941569282,14.385608596,-0.00192636321268
1468.0,9.6081746308,10.9161936561,14.139262791,-0.00404878048781
1500.0,9.17497886729,10.8280467446,13.8354362981,-0.00404878048781
1532.0,9.09621600119,10.6407345576,13.4905521711,-0.00286965977941
1564.0,8.97807170205,10.4644407346,13.1620910977,-0.00310548392109
1594.0,9.0174531351,10.2991652755,12.8336300243,-0.001690539071
1626.0,8.98791706032,10.1228714524,12.5051689509,-0.00404878048781
