----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,16
TIME,18:53:17,UTC
PLOT,15,#
HEIGHT,64,cm
TEMPERATURE,34.8,C
HUMIDITY,31.9,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,1.0368585858585855,25.334545454545445,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,22.6434289692,12.8806905084,-0.608639403752,3.97100295169
35.0,22.5449753866,12.8903350252,-0.584004823249,3.97123877583
57.0,22.4366764457,12.8903350252,-0.584004823249,3.97123877583
83.0,22.3677589379,12.8903350252,-0.56758176958,3.97123877583
111.0,22.3382228631,12.8903350252,-0.551158715911,3.97100295169
139.0,22.2102332057,12.8806905084,-0.526524135407,3.97123877583
166.0,21.9444085326,12.8999795419,-0.518312608573,3.97100295169
194.0,21.4521406196,12.9289130922,-0.493678028069,3.97100295169
222.0,21.1961613048,12.9964247094,-0.469043447566,3.97100295169
249.0,21.206006663,13.092869877,-0.4772549744,3.97123877583
277.0,21.5210581274,13.1603814942,-0.469043447566,3.97100295169
305.0,22.2693053553,13.3146937622,-0.370505125552,3.97076712755
332.0,22.4071403709,13.4497169968,-0.329447491379,3.97100295169
360.0,22.6532743275,13.6233182983,-0.31302443771,3.97123877583
388.0,22.9289443588,13.8065641166,-0.263755276703,3.97100295169
414.0,23.1849236736,13.9994544516,-0.329447491379,3.97076712755
442.0,23.4802844215,14.2212783369,-0.173428481524,3.97100295169
469.0,23.6082740789,14.4527467389,-0.165216954689,3.97123877583
497.0,23.7756451693,14.6842151409,-0.189851535193,3.97100295169
525.0,24.1202327085,14.8771054759,0.0072251088353,3.97100295169
552.0,24.5238923972,15.0989293612,-0.0420440521717,3.97123877583
580.0,24.8783252946,15.3303977633,0.0482827430078,3.97123877583
608.0,25.5478096564,15.5907997155,0.0811288503458,3.97123877583
635.0,26.0696136443,15.8897797348,0.122186484518,3.97100295169
664.0,26.473273333,16.2755604049,0.155032591856,3.97147459998
692.0,26.8375515887,16.6613410749,0.212513279698,3.97123877583
720.0,26.88677838,17.0664107785,0.261782440705,3.97100295169
748.0,26.88677838,17.5389920993,0.34389770905,3.97100295169
776.0,26.8966237383,18.0115734201,0.376743816388,3.97147459998
804.0,26.9360051713,18.5130882912,0.426012977395,3.97100295169
832.0,26.9556958878,19.0531812292,0.467070611567,3.97100295169
861.0,26.9360051713,19.5546961003,0.532762826243,3.97100295169
888.0,26.8966237383,20.0272774211,0.58203198725,3.97100295169
916.0,26.9753866043,20.5287922922,0.623089621423,3.97123877583
945.0,26.9163144548,21.0495961967,0.696993362933,3.97123877583
972.0,26.8769330217,21.5511110678,0.738050997106,3.97100295169
1001.0,26.8966237383,22.0719149724,0.779108631278,3.97123877583
1029.0,26.8670876635,22.631296944,0.820166265451,3.97100295169
1057.0,26.9950773209,23.2196124658,0.853012372789,3.97123877583
1085.0,26.8473969469,23.7789944374,0.894070006961,3.97123877583
1113.0,26.8670876635,24.2997983419,0.918704587465,3.97100295169
1141.0,26.8473969469,24.83989128,0.959762221637,3.97100295169
1169.0,26.7784794391,25.4378513186,1.00903138264,3.97123877583
1198.0,26.7390980061,25.9875887734,1.10756970466,3.97123877583
1225.0,26.7292526478,26.624126879,1.05830054365,3.97123877583
1254.0,26.7587887226,27.3088875683,1.17326191933,3.97100295169
1282.0,26.8277062304,27.9261366404,1.07472359732,3.97123877583
1309.0,26.9064690965,28.5337411957,1.17326191933,3.97123877583
1338.0,26.9753866043,29.1606347846,1.09114665099,3.97123877583
