----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,18
TIME,22:22:36,UTC
PLOT,11,#
HEIGHT,64,cm
TEMPERATURE,nan,C
HUMIDITY,nan,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,8.18059768286,5.42904841402,6.96238833766,0.0020826471959
46.0,8.12152553329,5.36293823038,7.02808055233,0.0103364921547
72.0,8.25936054895,5.32988313856,7.10198429384,-0.00145471492932
104.0,8.27905126548,5.25275459098,7.24979177686,0.00939319558802
134.0,8.46611307245,5.17562604341,7.44686842089,0.000903526487495
164.0,8.84023668639,5.01035058431,7.82459865528,0.0162320956968
196.0,9.18482422555,4.85609348915,8.25159805067,0.00231847133758
228.0,9.41126746557,4.71285475793,8.70323202657,0.00184682305422
258.0,9.53925712297,4.58063439065,9.31909653916,0.00184682305422
290.0,9.80508179603,4.55859766277,9.95959563225,0.00137517477086
320.0,10.0118343195,4.58063439065,10.66578694,0.00161099891254
352.0,10.3564218587,4.62470784641,11.3801897746,0.00161099891254
382.0,10.5828650987,4.84507512521,12.1931309312,0.00161099891254
412.0,10.819153697,5.16460767947,12.9321683463,0.00184682305422
444.0,11.2031226692,5.55025041736,13.7204749224,0.00113935062918
474.0,11.4689473423,6.01302170284,14.4102431765,-3.97700792305e-05
504.0,11.8036895231,6.63005008347,15.0753768501,0.014581326705
536.0,12.0596688379,7.26911519199,15.6255491481,0.00255429547926
566.0,12.325493511,7.84207011686,16.126452285,-0.000275594220912
596.0,12.5420913928,8.4040066778,16.5288170998,0.014581326705
628.0,12.8669882154,8.94390651085,16.8408551196,0.00915737144634
656.0,12.9851325145,9.42871452421,17.1282585588,0.00161099891254
688.0,13.0934314554,9.89148580968,17.2924890955,0.00774242659625
720.0,13.2903386207,10.387312187,17.366392837,0.000667702345813
748.0,13.3691014867,10.9933222037,17.317123676,0.00113935062918
780.0,13.2903386207,11.5332220367,17.1857392466,0.00184682305422
812.0,13.2017303963,11.9959933222,16.9229703879,0.0084498990213
842.0,12.8472974989,12.3045075125,16.5288170998,0.00184682305422
872.0,12.3845656606,12.6020033389,16.0361254898,0.00137517477086
904.0,12.2368852867,12.6240400668,15.4859531919,-0.00428460462949
934.0,12.1778131371,12.6020033389,14.8126079914,0.0020826471959
964.0,11.9710606136,12.5028380634,14.2295895862,0.000667702345813
996.0,11.685545224,12.392654424,13.4905521711,0.0126947335716
1026.0,11.4689473423,12.2053422371,12.850053078,0.00137517477086
1056.0,11.2818855353,12.0070116861,12.0617465019,0.00679913002953
1088.0,11.08497837,11.7646076795,11.3555551941,0.0020826471959
1118.0,10.8683804883,11.5001669449,10.6411523595,0.000903526487495
1148.0,10.63209189,11.2136894825,9.94317257858,0.00184682305422
1180.0,10.7010093978,10.8390651085,9.24519279765,0.000903526487495
1210.0,10.2481229178,10.4534223706,8.59648217772,0.00184682305422
1240.0,10.0610611108,10.0457429048,7.9724061383,0.00562000932112
1272.0,9.80508179603,9.62704507513,7.38117620622,0.014581326705
1300.0,9.6081746308,9.19732888147,6.91311917665,0.00609165760448
1332.0,9.44080354035,8.75659432387,6.37115840557,0.000196054062451
1364.0,9.30296852469,8.32687813022,5.98521664435,0.0105723162964
1394.0,9.20451494207,7.89716193656,5.50894808795,0.00161099891254
1424.0,9.02729849336,7.42337228715,5.32008297076,0.0058558334628
1456.0,8.8894634777,6.96060100167,4.96698731687,0.00161099891254
