----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,20
TIME,18:52:41,UTC
PLOT,6,#
HEIGHT,64,cm
TEMPERATURE,nan,C
HUMIDITY,nan,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,12.5716274676,11.0373956594,6.87206154248,-0.00404878048781
18.0,12.551936751,11.0263772955,7.03629207917,0.000667702345813
42.0,12.5913181841,10.9933222037,7.33190704521,-0.00404878048781
74.0,12.7094624832,10.9823038397,7.91492545046,-0.00145471492932
136.0,13.6152354433,10.9823038397,10.6575754132,-0.00428460462949
286.0,14.5406991199,11.9739565943,13.2195717855,-0.00357713220445
302.0,14.5505444781,12.0731218698,13.8190132445,0.00396924032935
330.0,14.6883794938,12.2714524207,14.6073198206,0.00302594376263
362.0,14.8557505843,12.5028380634,15.4859531919,-0.00475625291286
390.0,15.0625031078,12.7562604341,16.3892211437,-0.00381295634613
422.0,15.298791706,13.0096828047,17.3746043638,0.00161099891254
454.0,15.5547710208,13.2520868114,18.1136417789,0.00562000932112
484.0,15.6236885287,13.494490818,18.9430059892,0.00679913002953
514.0,15.8599771269,13.7699499165,19.6738318775,-0.00334130806277
546.0,16.0371935757,14.0674457429,20.4375038731,0.000431878204132
576.0,16.2931728905,14.409015025,20.93840701,-0.00357713220445
606.0,16.2341007409,14.7616026711,21.381829459,-0.00334130806277
636.0,16.3916264731,15.1362270451,21.6774444251,-0.00452042877117
666.0,16.3423996818,15.4888146912,21.7349251129,-0.00499207705454
698.0,16.35224504,15.9295492487,21.5296369421,-0.00357713220445
728.0,16.2734821739,16.3702838063,20.9055609026,-0.00404878048781
758.0,15.9288946348,16.7118530885,19.8134278336,-0.0054637253379
790.0,15.259410273,16.8550918197,18.4092567449,-0.00334130806277
822.0,15.0034309582,16.9101836394,17.2596429881,-0.00452042877117
850.0,14.7671423599,16.8661101836,16.3481635095,-0.00428460462949
882.0,14.4816269703,16.7669449082,15.4120494504,-0.00522790119622
914.0,14.245338372,16.5355592654,14.4020316497,-0.00475625291286
942.0,13.979513699,16.2821368948,13.2524178929,0.000431878204132
974.0,13.753070459,16.0287145242,12.0945926092,0.00231847133758
1006.0,13.5167818607,15.7422370618,11.0353056476,-0.00381295634613
1036.0,13.2017303963,15.4557595993,9.97601868592,-0.00216218735436
1066.0,13.0934314554,15.1031719533,8.67038591923,-0.00286965977941
1098.0,12.8768335737,14.5522537563,7.56182979657,-0.00404878048781
1128.0,12.7193078415,13.9572621035,6.51075436176,0.000431878204132
1158.0,12.512555318,13.3953255426,5.51715961478,-0.00381295634613
1188.0,12.3550295858,12.8333889816,4.86023746802,-0.00381295634613
1218.0,12.2565760032,12.3045075125,4.25258448227,-0.00381295634613
1250.0,12.138431704,11.7646076795,3.62850844285,-0.000511418362593
1278.0,11.9907513301,11.2797996661,3.3082588963,0.00491253689608
1310.0,11.872607031,10.8721202003,3.00443240343,-0.00192636321268
1338.0,11.8036895231,10.5525876461,2.79093270573,-0.001690539071
1368.0,12.0202874049,10.2330550918,2.67597133005,-0.00428460462949
1398.0,11.8332255979,9.8694490818,2.70881743739,-0.00404878048781
1430.0,11.8135348814,9.40667779633,2.8319903399,-0.00381295634613
1458.0,11.8529163145,8.98797996661,3.23435515479,-0.00381295634613
1490.0,11.872607031,8.70150250417,3.80095050637,-0.00357713220445
1520.0,11.9218338223,8.52520868114,4.12941157975,0.000196054062451
