----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,19
TIME,16:45:32,UTC
PLOT,6,#
HEIGHT,64,cm
TEMPERATURE,31.7,C
HUMIDITY,21.8,%
LATITUDE,39.6696,angular degrees
LONGITUDE,-75.7523,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,1.74173337974,4.38230383973,5.00804495104,0.0020826471959
36.0,1.73188802148,4.36026711185,4.9505642632,-0.001690539071
62.0,1.71219730496,4.22804674457,5.04910258522,-0.000747242504274
92.0,1.71219730496,4.12888146912,5.18048701457,-0.00263383563772
124.0,1.751578738,4.08480801336,5.41040976594,-0.00263383563772
154.0,1.86972303714,3.99666110184,5.63212099047,-0.00357713220445
184.0,2.00755805281,3.77629382304,5.90310137601,-0.00310548392109
216.0,2.0863209189,3.5449081803,6.28904313723,0.00279011962094
246.0,2.12570235195,3.35759599332,6.60108115694,-0.000983066645956
276.0,2.38168166675,3.1041736227,7.02808055233,-0.000275594220912
308.0,2.57858883198,2.87278797997,7.38117620622,-0.00334130806277
338.0,2.84441350505,2.79565943239,7.7342718601,0.00892154730466
368.0,3.20869176073,2.78464106845,8.03809835297,-0.00192636321268
400.0,3.55327929989,2.83973288815,8.2105404165,0.00326176790431
432.0,3.97662970514,2.93889816361,8.44046316787,-0.001690539071
464.0,4.34090796082,3.14824707846,8.59648217772,-0.00121889078764
494.0,4.85286659042,3.55592654424,8.76892424125,0.000667702345813
526.0,5.2171448461,3.96360601002,8.85925103642,-0.00428460462949
556.0,5.63064989309,4.50350584307,9.01527004628,-0.00263383563772
588.0,6.0146188653,5.12053422371,9.15486600247,-0.00192636321268
620.0,6.51673213664,5.81469115192,9.32730806599,-0.000747242504274
652.0,6.90070110885,6.50884808013,9.41763486117,-0.00239801149604
680.0,7.3240515141,7.34624373957,9.44226944167,0.00279011962094
712.0,7.66863905325,8.19465776294,9.45869249534,-0.00145471492932
744.0,7.8360101437,9.07612687813,9.46690402218,-0.00239801149604
774.0,8.03291730894,9.9796327212,9.4012118075,-0.00381295634613
806.0,7.97384515937,10.8280467446,9.26982737815,-0.00216218735436
836.0,7.72771120282,11.4560934891,9.05632768045,0.0020826471959
868.0,7.06807219929,11.8196994992,8.79355882175,-0.00381295634613
900.0,6.7333300184,11.9739565943,8.53900148988,-0.00286965977941
932.0,6.44781462881,12.0180300501,8.39119400686,-0.001690539071
962.0,6.21152603053,12.0180300501,8.12842514815,-0.00239801149604
994.0,5.86693849137,11.8307178631,7.9970407188,-0.00145471492932
1024.0,5.57157774352,11.5332220367,7.78354102111,-0.00145471492932
1056.0,5.23683556263,11.1806343907,7.57825285024,0.00255429547926
1088.0,4.84302123216,10.7068447412,7.38938773305,-0.00381295634613
1116.0,4.52796976779,10.1779632721,7.07734971334,-0.00381295634613
1148.0,4.08492864601,9.61602671119,6.79815780097,-0.00263383563772
1180.0,3.71080503207,9.04307178631,6.41221603974,-0.00121889078764
1210.0,3.44498035901,8.38196994992,6.05912038586,-0.000511418362593
1240.0,3.15946496942,7.65475792988,5.72244778565,-0.00357713220445
1272.0,2.85425886331,6.98263772955,5.35292907809,-0.00334130806277
1302.0,2.60812490677,6.20033388982,5.09837174622,-0.000747242504274
1332.0,2.37183630849,5.2858096828,4.88487204853,-0.00145471492932
1364.0,2.19461985978,4.39332220367,4.81096830702,-0.00381295634613
1394.0,2.0863209189,3.46777963272,4.83560288752,-0.00263383563772
1424.0,2.12570235195,2.57529215359,4.99162189738,0.00396924032935
