----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,24
TIME,16:39:28,UTC
PLOT,2,#
HEIGHT,64,cm
TEMPERATURE,27.4,C
HUMIDITY,38.1,%
LATITUDE,39.6695,angular degrees
LONGITUDE,-75.7521,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,44.5788871762,-3.06611018364,2.51174079336,0.0084498990213
18.0,44.5001243101,-3.03305509182,2.70060591055,0.00821407487961
54.0,44.5296603849,-3.01101836394,2.74987507156,-0.00357713220445
80.0,44.4804335936,-2.97796327212,2.92231713508,-0.000511418362593
109.0,44.4804335936,-2.98898163606,3.11118225228,0.00184682305422
139.0,44.4902789518,-3.01101836394,3.20150904746,-0.00499207705454
168.0,44.5493511014,-3.04407345576,3.27541278897,-0.00428460462949
197.0,44.6281139675,-3.04407345576,3.25077820846,-0.00334130806277
227.0,44.7954850579,-3.04407345576,3.24256668163,-0.00475625291286
257.0,44.9431654319,-3.04407345576,3.30004736947,-0.00216218735436
287.0,45.1400725971,-3.02203672788,3.41500874515,-3.97700792305e-05
316.0,45.1696086719,-2.97796327212,3.66135455019,-0.00404878048781
346.0,45.2188354632,-2.9449081803,3.85843119422,-0.00593537362126
376.0,45.2779076127,-2.9449081803,4.07193089191,-0.00286965977941
405.0,45.2680622545,-2.93388981636,4.28543058961,0.00750660245457
435.0,45.3566704788,-2.96694490818,4.51535334098,0.00137517477086
465.0,45.3960519119,-3.01101836394,4.58104555565,-0.00499207705454
494.0,45.5240415693,-3.08814691152,4.95877579004,-0.000983066645956
524.0,45.5929590771,-3.09916527546,5.33650602442,-0.00499207705454
554.0,45.8095569589,-3.14323873122,5.68139015147,-0.00452042877117
584.0,45.7898662424,-3.18731218698,6.19050481521,-0.00263383563772
613.0,45.9080105415,-3.12120200334,6.65856184478,-0.000511418362593
643.0,46.0261548406,-3.07712854758,7.20052261586,-0.00216218735436
673.0,46.1344537815,-3.04407345576,7.83281018211,0.00679913002953
702.0,46.2525980807,-2.96694490818,8.38298248002,-0.00357713220445
732.0,46.4002784546,-2.86777963272,9.06453920729,0.00444088861271
763.0,46.6070309781,-2.74657762938,9.69682677354,-0.00286965977941
792.0,46.754711352,-2.62537562604,10.2798451788,-0.00404878048781
823.0,46.9713092338,-2.5041736227,10.912132745,-0.00216218735436
853.0,47.0796081746,-2.37195325543,11.4705165698,0.00137517477086
884.0,47.2666699816,-2.20667779633,11.9796312335,-0.00334130806277
913.0,47.3454328477,-1.99732888147,12.5872842193,-0.00593537362126
944.0,47.5128039381,-1.75492487479,13.1374565172,-0.00475625291286
974.0,47.6604843121,-1.52353923205,13.5644559126,0.00161099891254
1004.0,47.7490925364,-1.30317195326,14.0735705763,0.00444088861271
1034.0,47.9656904182,-1.06076794658,14.3691855424,0.00137517477086
1064.0,48.0247625677,-0.862437395659,14.8372425719,0.00396924032935
1095.0,48.1921336582,-0.631051752922,15.1903382258,-0.00216218735436
1124.0,48.3004325991,-0.432721202003,15.5105877724,-0.00475625291286
1155.0,48.5761026304,-0.190317195326,15.8472603726,-0.00263383563772
1185.0,48.5268758391,0.0410684474124,16.175721446,-0.000983066645956
1215.0,48.8419273035,0.27245409015,16.4959709925,0.00420506447103
1245.0,48.8320819452,0.492821368948,16.8572781732,-0.00617119776294
1276.0,49.0191437522,0.724207011686,17.1528931393,-0.00334130806277
1305.0,49.1175973348,0.933555926544,17.4238735248,0.00774242659625
1335.0,49.2062055591,1.16494156928,17.612738642,-0.000511418362593
