----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,AS
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,19
TIME,23:59:53,UTC
PLOT,10,#
HEIGHT,64,cm
TEMPERATURE,28.3,C
HUMIDITY,23.8,%
LATITUDE,39.6694,angular degrees
LONGITUDE,-75.7522,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,18.7599626046,13.7536791661,4.58579047988,0.7
35.0,17.9631869119,13.7536791661,4.43376695488,0.7
59.0,17.8060762119,13.7642384364,4.41776447857,-0.4
88.0,17.5704101619,13.7642384364,4.4497694312,-0.4
117.0,18.5018521689,13.7536791661,4.39376076409,0.7
147.0,18.5355187475,13.7431198957,4.32975085883,-0.4
175.0,17.7836318262,13.7536791661,4.40976324041,0.7
205.0,18.5018521689,13.7431198957,4.56978800357,0.7
234.0,17.9856312976,13.7008828144,4.6017929562,0.7
262.0,18.7487404118,13.690323544,4.57778924172,-0.4
292.0,17.8172984047,13.7114420847,4.64179914699,-0.4
321.0,17.5367435833,13.7114420847,4.77782019567,-0.4
350.0,17.6152989333,13.7008828144,4.84183010094,-0.4
379.0,17.7724096333,13.7114420847,4.84183010094,0.7
409.0,18.8160735689,13.7431198957,4.97785114962,0.7
437.0,17.8172984047,13.7642384364,5.18588334173,-0.4
467.0,19.0068508475,13.7747977067,5.2098870562,-0.4
496.0,19.040517426,13.7747977067,5.24989324699,-0.4
524.0,19.0741840046,13.7747977067,5.40991801015,0.7
554.0,18.4120746261,13.7431198957,5.48993039173,-0.4
583.0,19.2312947046,13.7008828144,5.56994277331,0.7
613.0,19.6689602259,13.690323544,5.64195391673,-0.4
641.0,18.6701850618,13.6797642737,5.76997372726,0.7
671.0,19.6801824188,13.7008828144,5.82598239437,0.7
700.0,18.9731842689,13.7114420847,5.89799353779,0.7
728.0,19.1751837403,13.7325606254,5.99400839568,-0.4
758.0,18.9956286546,13.7853569771,6.12202820621,-0.4
787.0,18.9170733046,13.8275940584,6.24204677858,-0.4
816.0,18.9395176903,13.8698311398,6.37006658911,0.7
845.0,19.0854061974,13.8803904101,6.47408268516,0.7
875.0,18.8946289189,13.9120682211,6.57809878122,0.7
903.0,19.2088503189,13.9859831135,6.67411363911,-0.4
933.0,19.4669607545,14.0704572762,6.8101346878,-0.4
962.0,20.1178479402,14.1338128983,6.99416316543,0.7
991.0,19.4781829474,14.18660925,7.16218916675,-0.4
1021.0,19.5230717188,14.249964872,7.3622201207,0.7
1051.0,19.7026268045,14.313320494,7.53824736017,-0.4
1081.0,20.7014019687,14.3872353864,7.71427459965,-0.4
1110.0,20.8809570544,14.4611502788,7.9143055536,-0.4
1140.0,20.6901797758,14.5456244415,8.13834022202,-0.4
1170.0,20.8585126687,14.6512171449,8.35437365229,0.7
1198.0,19.8821818902,14.7568098483,8.62641574966,-0.4
1228.0,20.2412920616,14.8835210923,8.89045660887,-0.4
1258.0,20.2974030259,15.0102323364,9.12249251545,0.7
1287.0,20.521846883,15.1158250398,9.64257299572,-0.4
1317.0,21.7450659043,15.2530955542,9.89061137862,-0.4
1347.0,20.8585126687,15.4220438796,10.1226472852,-0.4
1376.0,20.9146236329,15.6437885568,10.2986745247,-0.4
1406.0,20.8697348615,15.8232961525,10.4987054786,0.7
1436.0,21.1390674901,15.9711259373,10.6987364326,0.7
1466.0,22.1266204614,16.1400742627,10.8827649102,-0.4
1495.0,21.3522891543,16.3301411288,11.074794626,0.7
1525.0,22.4520640542,16.4779709135,11.2428206273,-0.4
1555.0,21.5767330114,16.615241428,11.4028453905,0.7
1584.0,21.4645110829,16.7313934017,11.5788726299,-0.4
1614.0,21.68895494,16.8581046458,11.7548998694,0.7
1644.0,22.7101744899,16.9742566195,11.9229258707,0.7
1673.0,21.7001771329,17.0798493229,12.0429444431,-0.4
1703.0,22.8336186113,17.1960012966,12.2109704444,0.7
1733.0,21.7338437114,17.3227125407,12.290982826,0.7
1761.0,22.9121739613,17.4177459737,12.4190026365,-0.4
1791.0,21.8797322186,17.4599830551,12.5230187326,-0.4
1821.0,22.7438410685,17.4916608661,12.6670410194,0.7
1851.0,22.08173169,17.5233386771,12.7710571155,-0.4
1880.0,22.1041760757,17.5444572178,12.899076926,-0.4
1910.0,21.9582875685,17.5761350288,13.0671029273,-0.4
1940.0,22.3510643185,17.5972535695,13.203123976,0.7
1969.0,22.4632862471,17.6394906508,13.3711499773,-0.4
1999.0,22.9570627327,17.6922870025,13.5471772168,-0.4
2029.0,22.2276201971,17.7662018949,13.659194551,0.7
2058.0,23.3610616755,17.8506760576,13.7712118852,-0.4
2088.0,22.9458405399,17.9668280314,13.8432230287,-0.4
2118.0,22.541841597,18.0618614644,13.9152341721,-0.4
2148.0,22.2500645828,18.1252170864,14.01124903,-0.4
2177.0,23.6752830755,18.1991319788,14.0912614115,0.7
2207.0,22.620396947,18.2519283305,14.1792750313,-0.4
2237.0,23.5630611469,18.3047246822,14.2192812221,0.7
2266.0,23.2825063255,18.3152839526,14.3392997944,0.7
2295.0,23.0468402756,18.3575210339,14.31529608,0.7
2325.0,22.7326188756,18.3997581153,14.4273134142,-0.4
2354.0,23.3498394827,18.4736730076,14.467319605,0.7
2384.0,22.4520640542,18.5370286297,14.5153270339,0.7
2414.0,23.4957279898,18.5898249814,14.5633344629,-0.4
2443.0,22.6091747542,18.610943522,14.5633344629,0.7
2473.0,22.6765079113,18.6320620627,14.5393307484,0.7
2503.0,22.541841597,18.6742991441,14.5953394155,-0.4
2533.0,23.5069501827,18.7165362254,14.5313295102,-0.4
2562.0,23.4059504469,18.7587733068,14.4513171287,-0.4
2592.0,22.8336186113,18.7693325771,14.3633035089,0.7
2622.0,22.9795071184,18.7587733068,14.2512861747,-0.4
2651.0,21.7113993257,18.7165362254,14.1712737931,-0.4
2681.0,23.6752830755,18.6742991441,14.0992626497,-0.4
2711.0,23.4171726398,18.6215027924,14.0512552208,0.7
2740.0,23.9333935112,18.5687064407,14.0272515063,-0.4
2770.0,22.9458405399,18.5687064407,13.9472391247,0.7
2800.0,22.8897295756,18.5581471704,13.8432230287,0.7
2830.0,22.8111742256,18.5475879,13.6911995037,-0.4
2858.0,22.3959530899,18.5581471704,13.5151722642,-0.4
2888.0,22.6877301042,18.5687064407,13.3151413102,0.7
2918.0,22.3622865114,18.5898249814,13.051100451,1.8
2947.0,23.170284397,18.6003842517,12.747053401,0.7
2977.0,22.9795071184,18.5898249814,12.4830125418,0.7
3007.0,22.2051758114,18.5475879,12.2189716826,0.7
3036.0,22.2276201971,18.515910089,11.8909209181,0.7
3066.0,22.7662854542,18.515910089,11.530865201,0.7
3096.0,21.4869554686,18.5053508187,11.3388354852,0.7
3125.0,22.620396947,18.5053508187,11.1067995786,-0.4
3155.0,22.3735087042,18.5264693593,10.9787797681,0.7
3185.0,21.4645110829,18.579265711,10.8107537668,-0.4
3215.0,21.45328889,18.5898249814,10.6587302418,-0.4
3244.0,22.0480651114,18.5687064407,10.3866881444,-0.4
3274.0,22.1827314257,18.5264693593,10.0986435707,-0.4
3304.0,20.9146236329,18.4736730076,9.85860642598,0.7
3333.0,21.7787324828,18.4208766559,9.55455937598,-0.4
3363.0,20.6340688116,18.2836061415,9.34652718387,0.7
3392.0,20.7462907401,18.1146578161,9.13049375361,-0.4
3421.0,21.6216217829,17.861235328,8.90645908519,0.7
3451.0,20.2637364473,17.5972535695,8.70642813124,-0.4
3481.0,21.3074003829,17.3755088924,8.49039470097,0.7
3510.0,21.0717343329,17.1643234856,8.25035755623,0.7
3540.0,20.0280703973,17.0059344305,8.05032660228,0.7
3570.0,20.757512933,16.8686639161,7.85029564833,0.7
3600.0,19.7811821545,16.7630712127,7.69027088517,0.7
3629.0,20.364736183,16.646919239,7.29020897728,-0.4
3659.0,19.3322944403,16.4779709135,6.80213344964,0.7
3688.0,19.197628126,16.2879040474,6.20204058779,0.7
3717.0,19.2649612831,16.0344815593,5.62595144042,0.7
3746.0,19.9944038188,15.7704998008,5.16988086541,0.7
3776.0,19.9719594331,15.5381958534,4.79382267199,0.7
3804.0,19.0854061974,15.3058919059,4.56178676541,0.7
3834.0,19.7699599617,15.1263843101,4.39376076409,-0.4
3863.0,19.8821818902,14.9891137957,4.30574714435,-0.4
3891.0,19.6801824188,14.872961822,4.30574714435,0.7
3921.0,19.6465158402,14.7673691186,4.32975085883,-0.4
3950.0,19.7475155759,14.6934542262,4.36175581146,-0.4
3979.0,18.7824069903,14.6617764152,4.37775828778,-0.4
4008.0,18.8272957618,14.6512171449,4.40976324041,-0.4
4038.0,19.8709596974,14.6828949559,4.40976324041,-0.4
4067.0,18.5467409404,14.7040134966,4.37775828778,0.7
4096.0,18.6140740975,14.7356913076,4.33775209699,-0.4
4125.0,18.6140740975,14.7779283889,4.34575333514,0.7
4154.0,19.590404876,14.7356913076,4.28974466804,0.7
4183.0,18.6926294475,14.6828949559,4.20973228646,-0.4
4212.0,19.511849526,14.6300986042,4.12971990488,-0.4
4242.0,19.4669607545,14.5773022525,4.07371123777,-0.4
4270.0,18.3335192761,14.5350651711,4.02570380882,-0.4
4300.0,19.2425168974,14.4928280898,3.9536926654,0.7
4329.0,18.9956286546,14.4505910084,3.90568523646,0.7
4357.0,19.0966283903,14.3661168457,3.85767780751,0.7
4387.0,19.0629618117,14.2394056017,3.82567285488,0.7
4416.0,19.1751837403,14.0915758169,3.78566666409,0.7
4445.0,18.0866310333,13.9437460322,3.75366171145,-0.4
4474.0,17.951964719,13.7959162474,3.71365552066,-0.4
4504.0,18.0192978761,13.658645733,3.72165675882,-0.4
4532.0,17.8958537547,13.5741715703,3.72965799698,0.7
4562.0,18.1202976118,13.4896974076,3.76966418777,-0.4
4591.0,18.1764085761,13.4580195966,3.78566666409,0.7
4619.0,17.9856312976,13.4369010559,3.82567285488,-0.4
4649.0,17.873409369,13.3841047042,3.87368028382,-0.4
4678.0,18.9844064617,13.3841047042,3.88968276014,0.7
4708.0,19.0741840046,13.4052232449,3.91368647461,0.7
