----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,AS
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,19
TIME,23:59:53,UTC
PLOT,14,#
HEIGHT,64,cm
TEMPERATURE,29.3,C
HUMIDITY,20.8,%
LATITUDE,39.6694,angular degrees
LONGITUDE,-75.7522,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,18.266186119,9.64612300414,0.561167686424,0.7
35.0,16.0441919335,9.66724154482,0.61717635353,-0.4
59.0,15.853414655,9.66724154482,0.633178829846,-0.4
88.0,15.8646368478,9.64612300414,0.609175115372,0.7
117.0,16.941967362,9.6355637338,0.633178829846,0.7
147.0,16.7736344691,9.6355637338,0.641180068004,-0.4
175.0,15.8758590407,9.6355637338,0.625177591688,1.8
205.0,16.7511900834,9.6355637338,0.57717016274,0.7
234.0,16.0329697406,9.64612300414,0.585171400898,0.7
262.0,16.6614125406,9.6355637338,0.641180068004,-0.4
292.0,15.7075261478,9.61444519312,0.641180068004,0.7
321.0,15.7075261478,9.56164884143,0.65718254432,0.7
350.0,15.7411927264,9.48773394905,0.721192449583,-0.4
379.0,15.7075261478,9.42437832702,0.817207307479,-0.4
409.0,16.2013026335,9.35046343464,0.897219689059,-0.4
437.0,17.0766336762,9.24487073125,1.06524569038,-0.4
467.0,17.4245216548,9.11815948718,1.26527664433,0.7
496.0,16.2237470192,9.00200751345,1.45730636012,0.7
524.0,17.4357438476,8.93865189142,1.68134102854,-0.4
554.0,16.4257464906,8.98088897277,1.91337693512,0.7
583.0,17.7050764762,9.06536313549,2.16941655618,-0.4
612.0,17.9182981404,9.2026336499,2.47346360618,-0.4
641.0,16.9531895548,9.35046343464,2.72950322723,0.7
671.0,17.9631869119,9.51941176007,3.03355027724,1.8
700.0,17.4020772691,9.68836008549,3.26558618382,-0.4
728.0,18.2437417333,9.86786768126,3.52962704303,-0.4
758.0,17.4357438476,10.0579345474,3.72165675882,0.7
787.0,17.7275208619,10.2585606838,3.92968895093,-0.4
816.0,17.8509649833,10.4697460906,4.09771495225,-0.4
845.0,17.7611874405,10.6809314974,4.22573476277,0.7
875.0,17.8172984047,10.9026761745,4.38575952593,-0.4
903.0,18.8609623403,11.1033023109,4.56178676541,0.7
932.0,18.3335192761,11.293369177,4.72981276673,0.7
962.0,18.5691853261,11.4834360431,4.92984372068,-0.4
990.0,18.109075419,11.6840621796,5.12987467462,0.7
1020.0,18.4681855904,11.8635697754,5.28989943778,0.7
1049.0,18.5916297118,12.0219588304,5.47392791542,0.7
1078.0,19.5342939117,12.1803478855,5.67395886937,0.7
1107.0,18.6589628689,12.3704147516,5.87398982332,-0.4
1137.0,19.6914046117,12.5816001584,6.13002944437,1.8
1165.0,18.9956286546,12.7611077542,6.39407030358,-0.4
1194.0,19.0629618117,12.9617338906,6.73012230622,-0.4
1224.0,19.0741840046,13.1518007567,7.05017183254,0.7
1254.0,19.276183476,13.3313083525,7.28220773912,-0.4
1283.0,19.4669607545,13.4685788669,7.45023374044,0.7
1313.0,20.3535139902,13.6164086516,7.58625478912,0.7
1343.0,19.5342939117,13.7325606254,7.69827212333,-0.4
1372.0,20.5891800401,13.8381533288,7.77828450491,0.7
1402.0,20.678957583,13.9226274915,7.85029564833,-0.4
1432.0,19.8260709259,13.9965423839,7.89830307728,-0.4
1460.0,19.7699599617,14.0282201949,7.95431174439,0.7
1490.0,19.8036265402,14.0810165466,8.01032041149,0.7
1520.0,19.7138489974,14.1232536279,8.0663290786,-1.5
1549.0,20.6452910044,14.1443721686,8.1223377457,0.7
1579.0,19.8597375045,14.1549314389,8.19434888913,0.7
1609.0,19.8934040831,14.1549314389,8.25835879439,0.7
1639.0,19.6914046117,14.1549314389,8.32236869965,0.7
1668.0,20.9482902115,14.1971685203,8.41038231939,0.7
1698.0,19.8372931188,14.2394056017,8.47439222466,-0.4
1728.0,21.1278452972,14.2605241423,8.58640955887,-0.4
1757.0,21.1502896829,14.2922019533,8.69042565492,-0.4
1787.0,20.1515145187,14.3027612237,8.77843927466,-0.4
1817.0,20.1515145187,14.3344390347,8.87445413255,0.7
1846.0,21.29617819,14.3872353864,8.98647146677,0.7
1876.0,21.2288450329,14.4294724678,9.0744850865,-0.4
1906.0,20.4096249544,14.5033873601,9.13049375361,-0.4
1935.0,21.4196223115,14.5878615228,9.16249870624,0.7
1964.0,20.2749586402,14.6723356856,9.19450365887,0.7
1994.0,21.3635113472,14.7251320373,9.21050613519,-0.4
2024.0,20.3535139902,14.7568098483,9.20250489703,-0.4
2053.0,21.29617819,14.7884876593,9.2265086115,-0.4
2083.0,21.5655108186,14.7884876593,9.24251108782,0.7
2113.0,20.5667356544,14.7884876593,9.25851356414,-0.4
2142.0,20.5667356544,14.8307247406,9.23450984966,0.7
2172.0,21.4645110829,14.904639633,9.15449746808,0.7
2202.0,20.5555134616,15.0419101474,9.05048137203,-0.4
2231.0,20.4769581116,15.1475028508,8.89045660887,0.7
2261.0,20.3984027616,15.1263843101,8.64241822597,0.7
2291.0,21.1615118758,15.0947064991,8.34637241413,0.7
2321.0,20.0617369759,15.0207916067,8.09833403123,0.7
2350.0,20.0954035545,14.9468767144,7.89030183912,-0.4
2380.0,20.678957583,14.872961822,7.65826593254,-0.4
2410.0,20.678957583,14.8307247406,7.4182287878,-0.4
2439.0,19.511849526,14.8201654703,7.2101965957,0.7
2469.0,19.2649612831,14.8201654703,6.97816068912,-0.4
2499.0,19.0966283903,14.8307247406,6.72212106806,-0.4
2527.0,18.7262960261,14.8307247406,6.54609382858,0.7
2556.0,19.0068508475,14.8201654703,6.43407649437,0.7
2586.0,18.8946289189,14.8307247406,6.30605668385,-0.4
2614.0,19.6577380331,14.841284011,6.14603192069,0.7
2644.0,19.6577380331,14.8518432813,5.92999849042,0.7
2673.0,19.6689602259,14.841284011,5.72996753647,-0.4
2702.0,19.3771832117,14.8096062,5.52993658252,-0.4
2731.0,19.590404876,14.7568098483,5.3059019141,0.7
2760.0,18.6814072546,14.6934542262,5.08186724568,-0.4
2790.0,19.4781829474,14.5667429822,4.83382886278,0.7
2818.0,18.2212973475,14.3977946567,4.57778924172,-0.4
2848.0,18.1539641904,14.2077277906,4.30574714435,0.7
2877.0,19.0180730403,13.9754238432,4.12171866672,-0.4
2906.0,18.0080756833,13.7431198957,3.98569761803,-0.4
2935.0,18.0754088404,13.5002566779,3.88968276014,-0.4
2965.0,17.637743319,13.2679527305,3.77766542593,0.7
2993.0,17.6152989333,13.0462080533,3.69765304435,-0.4
3022.0,17.6489655119,12.8772597279,3.59363694829,0.7
3052.0,17.4806326191,12.6977521321,3.48962085224,-1.5
3080.0,18.5018521689,12.5499223474,3.36160104171,0.7
3110.0,18.2325195404,12.4020925626,3.2495837075,0.7
3139.0,18.266186119,12.2648220482,3.12956513513,0.7
3168.0,17.9744091047,12.1381108042,3.0015453246,-0.4
3197.0,17.2000777977,12.0325181008,2.84152056145,-0.4
3226.0,17.0654114834,11.9058068567,2.68149579829,0.7
3255.0,16.941967362,11.7685363423,2.52147103513,0.7
3284.0,16.6614125406,11.6312658279,2.3934512246,-0.4
3314.0,16.9644117477,11.4834360431,2.2414276996,0.7
3342.0,16.9644117477,11.3356062584,2.10540665091,0.7
3372.0,16.6389681549,11.230013555,1.98538807854,0.7
3401.0,16.3471911406,11.134980122,1.88937322065,-0.4
3431.0,16.4033021049,11.0188281482,1.78535712459,-0.4
3459.0,16.2798579835,10.9026761745,1.6893422667,-0.4
3488.0,16.3808577192,10.7865242008,1.60932988512,1.8
3518.0,16.1564138621,10.670372227,1.56932369433,-0.4
3546.0,16.941967362,10.5542202533,1.52931750354,0.7
3576.0,17.0317449048,10.4591868202,1.48131007459,-0.4
3605.0,16.784856662,10.3852719279,1.42530140748,0.7
3634.0,17.1664112191,10.3113570355,1.37729397854,-0.4
3663.0,15.9768587764,10.2585606838,1.32128531143,-0.4
3692.0,15.8758590407,10.2057643321,1.22527045354,0.7
3721.0,16.5155240335,10.1740865211,1.16126054827,0.7
3750.0,15.8197480764,10.1212901694,1.06524569038,0.7
3780.0,15.5840820264,10.0579345474,1.00123578511,0.7
3808.0,16.5267462263,9.95234184397,0.921223403533,0.7
3838.0,15.7187483407,9.84674914058,0.849212260111,0.7
3867.0,15.3933047479,9.72003789651,0.793203593005,0.7
3896.0,15.6850817621,9.59332665244,0.737194925899,-0.4
3925.0,15.8646368478,9.47717467871,0.689187496951,0.7
3954.0,15.3596381693,9.392700516,0.65718254432,0.7
3983.0,15.3371937836,9.32934489396,0.625177591688,0.7
4012.0,16.1564138621,9.26598927193,0.625177591688,-0.4
4042.0,16.3023023692,9.21319292023,0.633178829846,0.7
4071.0,16.3023023692,9.18151510922,0.649181306162,-0.4
4100.0,16.4930796477,9.18151510922,0.681186258794,-0.4
4129.0,15.5953042193,9.19207437956,0.729193687741,-0.4
4158.0,15.3259715907,9.2026336499,0.769199878531,-0.4
4187.0,16.4930796477,9.21319292023,0.817207307479,0.7
4216.0,16.4818574549,9.22375219057,0.841211021953,0.7
4246.0,16.2237470192,9.24487073125,0.841211021953,-0.4
4274.0,15.3596381693,9.27654854227,0.865214736427,-0.4
4304.0,15.8085258835,9.29766708295,0.873215974585,0.7
4333.0,15.3596381693,9.3399041643,0.873215974585,0.7
4362.0,15.3371937836,9.37158197532,0.881217212743,-0.4
4391.0,15.3484159764,9.41381905668,0.865214736427,0.7
4420.0,15.3484159764,9.41381905668,0.849212260111,-0.4
4449.0,15.3484159764,9.40325978634,0.865214736427,-0.4
4478.0,16.3023023692,9.40325978634,0.905220927217,0.7
4508.0,16.3471911406,9.392700516,0.897219689059,-0.4
4536.0,16.2686357906,9.38214124566,0.937225879849,-0.4
4566.0,16.5043018406,9.35046343464,0.96923083248,-0.4
4595.0,16.9868561334,9.3399041643,1.00923702327,-0.4
4623.0,15.6289707978,9.30822635329,1.05724445222,0.7
4653.0,15.6401929907,9.27654854227,1.14525807196,-0.4
4682.0,15.6738595693,9.25543000159,1.24927416801,-0.4
