----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,20
TIME,14:14:37,UTC
PLOT,2,#
HEIGHT,64,cm
TEMPERATURE,25.0,C
HUMIDITY,41.9,%
LATITUDE,39.6696,angular degrees
LONGITUDE,-75.7521,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,12.0490912768,7.34420207021,2.37744874828,0.7
38.0,12.1837575911,7.31252425919,2.40945370091,0.7
60.0,10.8146500627,7.28084644818,2.45746112986,-0.4
89.0,11.0390939198,7.24916863716,2.47346360618,-0.4
117.0,11.1849824269,7.21749082614,2.4494598917,-0.4
146.0,10.8595388341,7.19637228546,2.41745493907,-0.4
175.0,11.9144249625,7.17525374478,2.4494598917,-0.4
203.0,10.9044276055,7.14357593377,2.52147103513,0.7
232.0,12.0042025054,7.12245739309,2.63348836934,-0.4
261.0,11.1176492698,7.10133885241,2.75350694171,0.7
288.0,12.4530902196,7.09077958207,2.92953418118,0.7
317.0,11.1513158483,7.04854250072,3.06555522987,-0.4
346.0,12.3520904839,7.00630541936,3.25758494566,0.7
374.0,11.4655372483,6.964068338,3.47361837592,-0.4
403.0,11.723647684,6.94294979732,3.76166294961,-0.4
432.0,11.566536984,6.94294979732,4.04170628514,-0.4
460.0,12.890755741,6.93239052699,4.3537545733,0.7
489.0,13.1488661767,6.93239052699,4.56178676541,0.7
518.0,11.8919805768,6.98518687868,4.8498313391,-0.4
546.0,12.0490912768,7.00630541936,5.1538783891,-0.4
575.0,13.1713105624,7.05910177105,5.49793162989,-0.4
604.0,13.3396434552,7.14357593377,5.86598858516,0.7
633.0,13.6987536266,7.23860936682,6.20204058779,-0.4
661.0,13.8334199409,7.37587988123,6.49808639964,-1.5
689.0,12.7112006553,7.53426893631,6.77812973517,-0.4
718.0,12.9019779339,7.71377653208,7.03416935622,0.7
747.0,13.047866441,7.90384339818,7.33821640622,-0.4
776.0,14.3047520408,8.09391026429,7.63426221807,-0.4
806.0,14.5516402837,8.27341786005,7.9703142207,-0.4
834.0,14.5965290551,8.45292545582,8.26636003255,0.7
864.0,14.9780836122,8.63243305158,8.53840212992,-0.4
893.0,13.6201982766,8.81194064735,8.70642813124,0.7
921.0,13.9456418695,8.98088897277,8.96246775229,-0.4
951.0,14.9331948408,9.11815948718,9.21050613519,-0.4
980.0,15.146416505,9.32934489396,9.40253585098,0.7
1009.0,14.1139747623,9.50885248973,9.61056804309,0.7
1038.0,15.4045269407,9.69891935583,9.7785940444,0.7
1068.0,14.4955293194,9.89954549228,9.89861261677,-0.4
1096.0,15.6514151835,10.0896123584,9.96262252204,0.7
1125.0,14.1925301123,10.2691199541,10.0186311891,0.7
1155.0,15.224971855,10.4486275499,10.0506361418,0.7
1183.0,15.4045269407,10.6281351457,10.0346336655,0.7
1213.0,14.372085198,10.7865242008,9.9706237602,0.7
1242.0,15.382082555,10.8921169042,9.8746089023,0.7
1271.0,15.382082555,10.9237947152,9.73058661546,-0.4
1300.0,15.5167488693,10.9343539855,9.53055566151,-0.4
1330.0,15.3259715907,10.9132354448,9.26651480229,0.7
1359.0,14.4843071265,10.8815576338,9.0184764194,0.7
1387.0,13.8446421338,10.8604390931,8.75443556018,0.7
1417.0,14.1476413409,10.8498798228,8.44238727202,-0.4
1446.0,13.6538648552,10.8604390931,8.09033279307,-0.4
1475.0,13.5977538909,10.8498798228,7.85029564833,-0.4
1504.0,13.1600883695,10.8182020118,7.68226964702,-0.4
1534.0,13.1151995981,10.7654056601,7.32221392991,0.7
1562.0,14.2710854623,10.7548463897,7.10618049964,-1.5
1591.0,13.3059768767,10.7759649304,6.74612478253,0.7
1620.0,13.9119752909,10.9026761745,6.53009135227,0.7
1648.0,13.7885311695,10.9449132558,6.34606287464,-0.4
1677.0,14.8883060694,10.8709983635,6.01801211016,-0.4
1706.0,13.1713105624,10.6598129567,5.64195391673,0.7
1734.0,12.890755741,10.3958311982,5.28189819963,-0.4
1763.0,12.8234225839,10.2163236025,5.11387219831,-0.4
1792.0,12.969311091,10.0262567363,4.92184248252,-0.4
1820.0,13.6650870481,9.89954549228,4.6017929562,0.7
1849.0,12.4979789911,9.74115643719,4.22573476277,-0.4
1878.0,12.3408682911,9.49829321939,3.88168152198,-0.4
1906.0,13.3957544195,9.28710781261,3.75366171145,-0.4
1935.0,13.1713105624,9.0970409465,3.63364313908,0.7
1964.0,13.4294209981,8.98088897277,3.4976220904,-0.4
1992.0,12.2286463625,8.91753335074,3.20957751671,0.7
2020.0,12.1949797839,8.82249991769,2.92953418118,-0.4
2049.0,11.723647684,8.68522940328,2.74550570355,-0.4
2077.0,12.0490912768,8.49516253717,2.66549332197,-0.4
2106.0,12.8346447767,8.28397713039,2.62548713118,-0.4
2135.0,11.8695361911,8.07279172361,2.58548094039,-0.4
2163.0,11.5440925983,7.81936923547,2.45746112986,-0.4
2192.0,12.5877565339,7.61874309903,2.32944131934,-0.4
2221.0,11.5440925983,7.43923550326,2.23342646144,-0.4
2249.0,12.5653121482,7.34420207021,2.21742398512,-0.4
2278.0,11.5440925983,7.2597279075,2.28943512855,0.7
2307.0,11.6002035626,7.2069315558,2.30543760486,-0.4
2335.0,12.7673116196,7.21749082614,2.2414276996,-0.4
2364.0,11.959313734,7.23860936682,2.20142150881,-0.4
2393.0,12.8234225839,7.28084644818,2.2414276996,-0.4
2420.0,12.7112006553,7.31252425919,2.27343265223,0.7
2449.0,11.802203034,7.34420207021,2.32944131934,0.7
2478.0,11.7685364554,7.32308352953,2.36144627197,0.7
2506.0,12.6887562696,7.29140571852,2.42545617723,-0.4
2535.0,11.8695361911,7.2597279075,2.53747351144,0.7
2564.0,11.6675367197,7.18581301512,2.76950941802,0.7
2592.0,12.9356445124,7.17525374478,2.92953418118,0.7
2621.0,11.9032027697,7.16469447445,3.00954656276,-0.4
2650.0,12.9805332839,7.14357593377,3.08155770618,-0.4
2678.0,11.8358696126,7.06966104139,3.20957751671,0.7
2707.0,12.1725353982,6.94294979732,3.35359980356,0.7
2736.0,13.5304207338,6.80567928292,3.64164437724,0.7
2764.0,13.0141998624,6.76344220156,3.88968276014,0.7
2793.0,14.4618627408,6.76344220156,4.15372361935,0.7
2821.0,13.3396434552,6.81623855325,4.32975085883,0.7
2849.0,13.4518653838,6.85847563461,4.59379171804,-0.4
2878.0,14.7424175622,6.95350906766,4.92184248252,1.8
2907.0,14.9219726479,7.06966104139,5.32990562857,-0.4
2935.0,14.0129750266,7.22805009648,5.65795639305,0.7
2964.0,15.1351943122,7.42867623292,5.98600715753,-0.4
2993.0,14.9444170336,7.66098018038,6.24204677858,-0.4
3022.0,14.2710854623,7.90384339818,6.49808639964,-0.4
3050.0,15.1576386979,8.13614734564,6.77012849701,0.7
3079.0,14.1813079194,8.35789202277,7.01016564175,0.7
3108.0,15.6626373764,8.56907742955,7.29821021543,0.7
3137.0,15.3147493979,8.74858502531,7.5702523128,-0.4
3166.0,14.8321951051,8.87529626938,7.7622820286,0.7
3196.0,15.696303955,9.01256678379,7.92230679176,1.8
3224.0,15.853414655,9.10760021684,8.14634146018,-0.4
3253.0,14.7873063336,9.26598927193,8.17834641281,-0.4
3283.0,15.9319700049,9.35046343464,8.36237489044,-0.4
3311.0,16.0441919335,9.45605613803,8.55440460623,0.7
3341.0,15.1015277336,9.5827673821,8.7704380365,-0.4
3370.0,15.460637905,9.68836008549,8.85845165624,0.7
3399.0,16.5379684192,9.81507132956,9.0184764194,-0.4
3428.0,15.1800830836,9.93122330329,9.11449127729,-0.4
3458.0,15.3484159764,10.047375277,9.17850118256,-0.4
3486.0,15.2025274693,10.1529679804,9.21050613519,0.7
3515.0,15.539193255,10.2374421431,9.18650242071,0.7
3545.0,15.2474162407,10.3113570355,9.0744850865,-0.4
3573.0,16.3696355263,10.4169497389,9.04248013387,0.7
3603.0,16.4930796477,10.4908646313,8.98647146677,-0.4
3632.0,15.617748605,10.5647795236,8.91446032334,0.7
3662.0,16.4930796477,10.5964573347,8.80244298913,-0.4
3690.0,16.3808577192,10.607016605,8.80244298913,-0.4
3719.0,15.2810828193,10.6175758753,8.79444175097,-0.4
3749.0,16.6838569263,10.5858980643,8.81044422729,-0.4
3777.0,16.3247467549,10.5119831719,8.78644051282,-0.4
3807.0,15.539193255,10.4803053609,8.74643432203,-0.4
3836.0,15.539193255,10.5119831719,8.71442936939,-0.4
3865.0,16.313524562,10.5331017126,8.60241203518,-0.4
3894.0,15.5504154478,10.5331017126,8.43438603387,0.7
3924.0,16.3023023692,10.5542202533,8.14634146018,-1.5
3952.0,15.460637905,10.5858980643,7.88230060097,0.7
3981.0,15.0903055408,10.607016605,7.60225726544,-0.4
4011.0,15.0117501908,10.670372227,7.38622383517,0.7
4039.0,15.4269713264,10.7231685787,7.13818545227,-0.4
4069.0,15.617748605,10.7654056601,6.90614954569,-1.5
4098.0,14.0017528337,10.7865242008,6.72212106806,-0.4
4126.0,14.0129750266,10.7759649304,6.50608763779,-0.4
4155.0,15.2698606265,10.702050038,6.21004182595,-0.4
4184.0,13.8558643266,10.6492536864,5.94600096674,-0.4
4212.0,13.6089760838,10.575338794,5.62595144042,0.7
4241.0,13.6314204695,10.4275090092,5.36191058121,0.7
4270.0,14.7985285265,10.2691199541,5.17788210357,-0.4
4298.0,14.6863065979,10.1424087101,4.88983752989,0.7
4327.0,14.5179737051,9.98401965499,4.63379790883,-0.4
4356.0,14.136419148,9.86786768126,4.30574714435,-0.4
4383.0,13.3508656481,9.75171570753,4.1057161904,-0.4
4412.0,13.0815330196,9.62500446346,3.90568523646,-0.4
4441.0,13.0029776696,9.47717467871,3.72165675882,-0.4
4469.0,13.9568640623,9.29766708295,3.5536307575,0.7
4498.0,12.8683113553,9.11815948718,3.39360599434,-0.4
4527.0,12.7448672339,8.9069740804,3.21757875487,-0.4
4555.0,13.979308448,8.70634794396,3.02554903908,0.7
4584.0,12.576534341,8.51628107785,2.89752922855,-0.4
