----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,20
TIME,15:7:51,UTC
PLOT,9,#
HEIGHT,64,cm
TEMPERATURE,28.4,C
HUMIDITY,34.0,%
LATITUDE,39.6693,angular degrees
LONGITUDE,-75.752,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,12.1500910125,6.38330846935,9.00247394308,0.7
35.0,10.713650327,6.39386773969,8.90645908519,0.7
58.0,10.5677618198,6.39386773969,8.90645908519,0.7
88.0,10.4892064699,6.42554555071,8.89045660887,-0.4
117.0,9.51287569139,6.41498628037,8.72243060755,-1.5
146.0,10.2310960342,6.38330846935,8.75443556018,-0.4
175.0,10.2872069984,6.37274919901,8.78644051282,0.7
204.0,9.59143104138,6.37274919901,8.89045660887,-0.4
233.0,9.88320805564,6.35163065833,8.95446651413,-0.4
262.0,10.9380941841,6.26715649562,9.03447889571,-0.4
292.0,10.5453174341,6.17212306257,9.33052470756,0.7
320.0,9.86076366993,6.06653035918,9.61056804309,0.7
350.0,9.9954299842,5.91870057443,9.97862499835,-0.4
379.0,10.1862072627,5.86590422273,10.2026596668,0.7
408.0,10.2535404199,5.87646349307,10.4907042405,0.7
437.0,10.8034278698,5.90814130409,10.8267562431,0.7
466.0,10.6463171698,5.96093765579,11.226818151,0.7
495.0,10.9380941841,6.08764889986,11.5788726299,-0.4
524.0,12.2623129411,6.25659722528,11.8749184418,-0.4
554.0,12.2510907482,6.41498628037,12.2029692063,0.7
582.0,11.4318706697,6.57337533546,12.6910447339,0.7
612.0,12.6775340767,6.86903490495,13.1551165471,0.7
641.0,12.9132001267,7.12245739309,13.6111871221,0.7
669.0,12.8570891624,7.30196498885,13.9792440773,-0.4
699.0,13.2274215267,7.55538747699,14.4433158905,-0.4
728.0,13.5191985409,7.79825069479,14.8993864655,-0.4
758.0,13.9568640623,7.9883175609,15.1714285629,0.7
786.0,12.8458669696,8.178384427,15.483476851,-1.5
816.0,13.9231974837,8.45292545582,15.7715214247,-0.4
845.0,13.1600883695,8.6641108626,16.0355622839,0.7
874.0,13.3508656481,8.93865189142,16.243594476,-0.4
903.0,13.6538648552,9.24487073125,16.5156365734,0.7
932.0,13.7548645909,9.54053030075,16.7396712418,0.7
961.0,13.9680862552,9.8256305999,16.9877096247,-0.4
990.0,15.3484159764,10.0262567363,17.2917566747,0.7
1020.0,15.3259715907,10.2480014135,17.5477962958,-0.4
1048.0,14.372085198,10.4697460906,17.7558284879,0.7
1078.0,15.2698606265,10.6492536864,17.9958656326,-0.4
1107.0,15.617748605,10.8815576338,18.163891634,-0.4
1135.0,14.9668614193,11.1877764736,18.2359027774,0.7
1165.0,15.0117501908,11.5679102059,18.2279015392,0.7
1194.0,15.8197480764,11.916366127,18.1238854432,0.7
1223.0,16.0666363192,12.2753813186,17.9318557274,0.7
1252.0,14.7760841408,12.7399892135,17.8038359168,0.7
1282.0,15.7075261478,13.1095636754,17.5718000103,-0.4
1310.0,14.3384186194,13.3313083525,17.2437492458,-0.4
1340.0,13.4181988052,13.4791381372,16.899696005,0.7
1369.0,13.2947546838,13.4896974076,16.5876477168,0.7
1398.0,13.1039774053,13.4580195966,16.1795845708,0.7
1427.0,12.9132001267,13.3101898118,15.6915090431,0.7
1456.0,13.4967541552,13.0778858644,15.1074186576,0.7
1486.0,13.2610881053,12.8350226466,14.6113418918,-0.4
1514.0,12.0827578554,12.4654481847,14.1312676023,-0.4
1544.0,12.9805332839,11.9480439381,13.4751660734,0.7
1573.0,12.3857570625,11.4623175025,12.8350670207,0.7
1601.0,12.4979789911,11.0505059592,12.3469914931,-0.4
1631.0,12.0603134697,10.638694416,11.8429134892,0.7
1660.0,12.0154246983,10.2057643321,11.3468367234,-0.4
1689.0,11.6675367197,9.78339351855,10.8347574813,0.7
1718.0,10.5340952413,9.392700516,10.5147079549,0.7
1748.0,11.4767594412,8.99144824311,10.1066448089,0.7
1776.0,10.1188741056,8.59019597023,9.7225853773,-0.4
1806.0,10.1076519128,8.13614734564,9.36252966019,0.7
1835.0,9.77098612708,7.75601361344,9.01047518124,0.7
1863.0,9.68120858423,7.36532061089,8.78644051282,0.7
1893.0,9.47920911283,6.964068338,8.47439222466,0.7
1922.0,10.2984291913,6.61561241681,8.09833403123,-1.5
1952.0,10.242318227,6.34107138799,7.89830307728,-0.4
1980.0,10.0178743699,6.15100452189,7.69827212333,0.7
2010.0,9.92809682706,5.96093765579,7.48223869307,0.7
2039.0,10.0627631413,5.76031151934,7.2101965957,0.7
2067.0,8.49165614151,5.60192246426,6.93015326017,-0.4
2097.0,9.27720964142,5.52800757188,6.79413221148,-0.4
2126.0,8.54776710579,5.32738143544,6.65010992464,-0.4
2154.0,8.30087886296,5.08451821764,6.43407649437,-0.4
2183.0,9.13132113429,4.73606229645,6.32205916016,1.8
2212.0,8.25599009154,4.32425075322,6.34606287464,0.7
2240.0,8.92932166289,3.90187993966,6.46608144701,-0.4
2268.0,8.11010158441,3.46894985575,6.51408887595,-0.4
2297.0,9.31087621999,3.1310532049,6.57809878122,0.7
2325.0,9.60265323424,2.96210487948,6.73012230622,-0.4
2354.0,9.9954299842,2.85651217609,7.00216440359,0.7
2384.0,10.6238727841,2.79315655405,7.23420031017,0.7
2412.0,10.0403187556,2.78259728371,7.4182287878,-0.4
2442.0,11.0952048841,2.82483436507,7.6662671707,0.7
2471.0,10.1413184913,2.90930852778,7.96231298255,0.7
2499.0,10.3545401556,3.05713831253,8.3703761286,-0.4
2529.0,11.3869818983,3.21552736762,8.76243679834,0.7
2558.0,11.6563145269,3.46894985575,9.13849499177,-0.4
2587.0,11.645092334,3.73293161423,9.61856928124,-0.4
2616.0,11.7797586483,3.99691337271,10.0186311891,-0.4
2646.0,11.1625380412,4.29257294221,10.3626844299,-0.4
2674.0,11.2523155841,4.59879178204,10.7067376707,0.7
2704.0,11.3757597055,4.91556989221,11.074794626,-0.4
2733.0,11.4767594412,5.19011092103,11.4668552957,0.7
2762.0,11.6002035626,5.43297413883,11.7308961549,0.7
2791.0,12.0154246983,5.65471881595,12.034943205,-0.4
2820.0,12.812200391,5.90814130409,12.443006351,0.7
2850.0,13.1600883695,6.17212306257,12.8190645444,-0.4
2878.0,13.4069766124,6.40442701003,13.1471153089,-0.4
2908.0,13.4181988052,6.61561241681,13.4351598826,-0.4
2937.0,13.5416429266,6.81623855325,13.8752279813,0.7
2965.0,13.047866441,7.09077958207,14.2832911273,0.7
2995.0,13.9568640623,7.29140571852,14.6353456063,-0.4
3024.0,13.1600883695,7.41811696258,14.9073877037,0.7
3053.0,14.4730849337,7.67153945072,15.2834458971,-0.4
3082.0,13.5640873124,7.96719902022,15.6515028524,-0.4
3112.0,13.900753098,8.21006223802,15.9955560931,0.7
3140.0,14.1251969552,8.43180691514,16.2595969524,0.7
3170.0,14.2261966909,8.65355159226,16.6116514313,-0.4
3199.0,14.529195898,8.92809262108,17.0197145774,0.7
3227.0,14.2486410766,9.23431146091,17.4037740089,0.7
3257.0,14.5179737051,9.47717467871,17.6758161063,0.7
3286.0,15.7411927264,9.68836008549,17.9718619182,0.7
3315.0,15.7636371121,9.94178257363,18.3479201116,0.7
3344.0,16.313524562,10.1952050618,18.6599683997,-0.4
3374.0,16.2349692121,10.4591868202,18.8519981155,0.7
3403.0,15.5840820264,10.6809314974,18.9800179261,-0.4
3431.0,15.3259715907,10.9449132558,19.2920662142,0.7
3461.0,16.6389681549,11.198335744,19.5481058353,0.7
3490.0,16.9531895548,11.3672840694,19.7001293603,0.7
3519.0,15.9207478121,11.5573509355,19.8601541234,-0.4
3548.0,17.0654114834,11.8952475864,20.0361813629,0.7
3578.0,15.9431921978,12.2331442372,20.1321962208,0.7
3606.0,16.3808577192,12.5710408881,20.1722024116,0.7
3636.0,16.4145242977,12.9406153499,20.0681863156,0.7
3665.0,16.2237470192,13.3946639745,20.0201788866,0.7
3693.0,16.1676360549,13.8381533288,19.9081615524,-0.4
3723.0,16.2461914049,14.2394056017,19.7401355511,-0.4
3752.0,17.3908550762,14.3872353864,19.5641083116,0.7
3781.0,16.5604128049,14.4717095491,19.3400736432,0.7
3810.0,15.0117501908,14.5773022525,19.076032784,0.7
3840.0,15.9207478121,14.6089800635,18.7799869721,-0.4
3868.0,15.5504154478,14.5139466305,18.4919423984,-0.4
3897.0,14.6975287908,14.4611502788,18.1558903958,0.7
3927.0,14.5179737051,14.3555575754,17.7558284879,0.7
3955.0,15.2137496622,14.1760499796,17.2117442932,0.7
3985.0,15.4494157121,13.9965423839,16.7636749563,-0.4
4014.0,14.1700857266,13.7959162474,16.4356241918,-0.4
4044.0,14.057863798,13.4685788669,15.9555499024,0.7
4072.0,13.4630875767,13.0884451347,15.5234830418,-0.4
4102.0,13.5416429266,12.6660743211,15.0354075142,0.7
4131.0,13.6201982766,12.349296211,14.723359226,0.7
4159.0,12.733645041,12.0219588304,14.419312176,-0.4
4189.0,12.8009781982,11.5573509355,14.0192502681,0.7
4218.0,13.4630875767,11.166657933,13.659194551,0.7
4247.0,13.362087841,10.8498798228,13.2751351194,-0.4
4276.0,13.2498659124,10.5542202533,13.051100451,-0.4
4306.0,12.9580888981,10.3430348465,12.7230496865,0.7
4334.0,13.0366442481,10.1529679804,12.2829815878,-0.4
4363.0,11.7573142626,10.0262567363,11.9709332997,0.7
4393.0,11.7012032983,9.91010476262,11.6988912023,0.7
4421.0,12.3857570625,9.76227497787,11.3868429142,0.7
4451.0,11.5777591769,9.60388592278,11.1148008168,0.7
4480.0,12.4082014482,9.41381905668,10.7547450997,-0.4
4509.0,11.3420931269,9.22375219057,10.5227091931,0.7
4538.0,10.9380941841,9.02312605413,10.2586683339,-0.4
4568.0,10.8932054127,8.79082210667,9.91461509309,0.7
4597.0,10.5677618198,8.63243305158,9.5705618523,0.7
4625.0,10.3657623484,8.3684512931,9.20250489703,-0.4
4655.0,10.4106511199,7.99887683124,8.78644051282,0.7
