----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,23
TIME,19:56:3,UTC
PLOT,1,#
HEIGHT,64,cm
TEMPERATURE,37.9,C
HUMIDITY,28.1,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,22.3677589379,2.48714524207,0.0318596893388,3.97123877583
36.0,22.3382228631,2.53121869783,0.146821065022,3.97100295169
58.0,22.3972950127,2.52020033389,0.237147860201,3.97123877583
85.0,22.4169857292,2.55325542571,0.360320762719,3.97100295169
114.0,22.4957485953,2.59732888147,0.499916718905,3.97123877583
142.0,22.6631196857,2.66343906511,0.664147255595,3.97123877583
170.0,22.672965044,2.74056761269,0.861223899623,3.97147459998
198.0,22.8501814927,2.82871452421,1.04187748998,3.97100295169
226.0,22.9781711501,2.96093489149,1.20610802667,3.97123877583
254.0,23.1455422406,3.07111853088,1.38676161703,3.97100295169
282.0,23.273531898,3.22537562604,1.55920368056,3.97123877583
311.0,23.4212122719,3.40166944908,1.76449185142,3.97123877583
338.0,23.5295112128,3.57796327212,1.93693391494,3.97100295169
366.0,23.687036945,3.77629382304,2.13401055897,3.97123877583
395.0,23.765799811,3.97462437396,2.331087203,3.97123877583
422.0,24.1300780667,4.21702838063,2.51995232019,3.97100295169
451.0,24.2580677241,4.44841402337,2.75808659839,3.97100295169
479.0,24.4648202476,4.70183639399,2.95516324242,3.97123877583
507.0,24.6912634876,4.98831385643,3.15223988645,3.97123877583
535.0,24.8586345781,5.2858096828,3.32468194997,3.97123877583
562.0,25.1736860425,5.57228714524,3.521758594,3.97123877583
591.0,25.2819849833,5.85876460768,3.67777760386,3.97123877583
619.0,25.4788921486,6.14524207012,3.85021966738,3.97123877583
647.0,25.7348714634,6.45375626043,4.02266173091,3.97147459998
675.0,25.9416239869,6.77328881469,4.13762310659,3.97100295169
704.0,26.1779125852,7.08180300501,4.29364211644,3.97100295169
731.0,26.3748197504,7.39031719533,4.4742957068,3.97100295169
759.0,26.6111083487,7.70984974958,4.51535334098,3.97100295169
788.0,26.7883247974,8.06243739566,4.62210318982,3.97100295169
815.0,26.9753866043,8.4040066778,4.73706456551,3.97123877583
844.0,27.0935309035,8.75659432387,4.72064151184,3.97123877583
872.0,27.2904380687,9.13121869783,4.70421845817,3.97100295169
900.0,27.2412112774,9.50584307179,4.70421845817,3.97100295169
928.0,27.3101287852,9.89148580968,4.6877954045,3.97123877583
956.0,27.2904380687,10.2550918197,4.63852624349,3.97100295169
984.0,27.2412112774,10.6076794658,4.58925708249,3.97123877583
1012.0,27.0836855452,10.9051752922,4.53177639464,3.97123877583
1041.0,26.4929640495,11.0594323873,4.39218043846,3.97100295169
1068.0,26.0006961364,11.114524207,4.21973837493,3.97100295169
1096.0,25.7348714634,11.1475792988,4.08835394558,3.97123877583
1125.0,25.7447168216,11.1916527546,3.89948882839,3.97123877583
1152.0,25.7742528964,11.1585976628,3.75168134537,3.97100295169
1181.0,25.9810054199,11.0153589316,3.63671996968,3.97100295169
1209.0,26.2665208095,10.8280467446,3.46427790616,3.97100295169
1237.0,26.4634279747,10.6627712855,3.29183584263,3.97100295169
1265.0,26.473273333,10.4754590985,3.18508599379,3.97100295169
1293.0,26.4437372582,10.2881469115,2.96337476925,3.97123877583
1321.0,26.3945104669,10.0787979967,2.79914423256,3.97123877583
1349.0,26.1779125852,9.84741235392,2.65954827638,3.97123877583
