----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,20
TIME,17:30:16,UTC
PLOT,9,#
HEIGHT,64,cm
TEMPERATURE,31.6,C
HUMIDITY,29.3,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,6.63999432029,-0.459098710396,1.1932655009,0.7
16.0,3.90177926346,-0.480217251075,1.12925559564,-0.4
40.0,5.3157755633,-0.480217251075,1.08124816669,-0.4
68.0,4.03644557773,-0.490776521414,1.12125435748,0.7
100.0,4.10377873487,-0.511895062092,1.14525807196,0.7
128.0,5.15866486332,-0.522454332431,1.18526426275,-0.4
156.0,5.05766512762,-0.543572873109,1.17726302459,0.7
186.0,4.29455601342,-0.554132143448,1.18526426275,0.7
290.0,5.85444082038,-0.53301360277,1.54531997985,0.7
380.0,6.14621783464,-0.29015038497,1.62533236143,0.7
404.0,4.88933223478,-0.30070965531,1.69734350486,-0.4
432.0,5.93299617037,-0.30070965531,1.76135341012,-0.4
460.0,5.48410845614,-0.279591114631,1.87337074433,0.7
490.0,5.38310872044,-0.195116951918,1.96138436407,0.7
520.0,5.30455337045,-0.100083518866,2.05739922196,0.7
548.0,6.66243870601,0.00550918452477,2.21742398512,-0.4
578.0,6.8419937917,0.100542617577,2.34544379565,0.7
606.0,6.0788846775,0.237813131985,2.44145865355,-0.4
636.0,7.29088150593,0.396202187072,2.57747970223,-0.4
664.0,7.35821466307,0.491235620124,2.72150198908,-0.4
694.0,6.25843976319,0.586269053176,2.80951560881,0.7
724.0,7.21232615594,0.755217378602,2.92153294302,0.7
752.0,7.53776974876,0.924165704028,3.04155151539,-0.4
782.0,6.70732747743,1.06143621844,3.14556761145,-0.4
810.0,6.88688256312,1.20926600318,3.26558618382,-0.4
840.0,7.91932430586,1.34653651759,3.41760970882,-0.4
868.0,7.10010422738,1.49436630234,3.46561713777,0.7
898.0,8.09887939156,1.62107754641,3.60163818645,-0.4
928.0,7.47043659163,1.80058514217,3.69765304435,-0.4
956.0,7.57143632733,1.95897419726,3.80967037856,-0.4
984.0,7.78465799159,2.08568544133,3.87368028382,0.7
1014.0,8.81709973433,2.24407449642,4.00970133251,-0.4
1044.0,8.87321069861,2.42358209218,4.06570999961,0.7
1072.0,8.05399062013,2.58197114727,4.18572857198,-0.4
1102.0,8.0876571987,2.7509194727,4.25773971541,-0.4
1132.0,9.14254332715,2.89874925744,4.34575333514,-0.4
1160.0,8.41310079152,3.08881612355,4.37775828778,1.8
1188.0,9.40065376284,3.26832371931,4.46577190751,0.7
1218.0,9.41187595569,3.46894985575,4.49777686014,0.7
1248.0,9.52409788425,3.72237234389,4.53778305093,-0.4
1276.0,8.64876684149,3.98635410237,4.53778305093,-0.4
1306.0,9.87198586278,4.22921732017,4.5057780983,-0.4
1336.0,9.0527657843,4.50375834899,4.5057780983,-0.4
1364.0,9.7148751628,4.76774010747,4.42576571672,0.7
1392.0,8.77221096291,4.89445135154,4.38575952593,-0.4
1422.0,8.45798956294,5.00004405493,4.32975085883,0.7
1452.0,8.22232351297,5.04228113628,4.22573476277,-0.4
1480.0,8.60387807007,5.01060332527,4.17772733383,-0.4
1510.0,8.3682120201,4.91556989221,4.09771495225,0.7
1538.0,7.1225486131,4.80997718882,4.01770257067,-0.4
1568.0,7.08888203453,4.71494375577,3.8976839983,-0.4
1596.0,8.22232351297,4.6410288634,3.77766542593,-0.4
1624.0,6.9429935274,4.57767324136,3.68965180619,-0.4
1656.0,7.84076895587,4.45096199729,3.56163199566,0.7
1684.0,7.81832457016,4.31369148288,3.47361837592,-0.4
1712.0,6.78588282742,4.14474315746,3.3455985654,-0.4
1742.0,6.69610528457,3.98635410237,3.27358742198,0.7
1772.0,7.52654755591,3.84908358796,3.16957132592,0.7
1800.0,6.34821730604,3.6695759922,3.06555522987,0.7
1830.0,7.07765984167,3.50062766677,2.95353789566,-0.4
1860.0,6.22477318463,3.40559423372,2.87352551408,-0.4
1888.0,6.22477318463,3.31056080067,2.76950941802,-0.4
1916.0,6.09010687036,3.1310532049,2.66549332197,-0.4
1946.0,7.10010422738,2.95154560914,2.61748589302,0.7
1976.0,6.75221624885,2.76147874303,2.51346979697,-0.4
2004.0,5.84321862753,2.58197114727,2.44145865355,-0.4
2034.0,6.01155152037,2.4552599032,2.33744255749,0.7
2064.0,6.72977186314,2.32854865913,2.27343265223,0.7
2092.0,5.37188652758,2.25463376676,2.16941655618,0.7
2120.0,6.5614389703,2.17015960404,2.06540046012,-0.4
2150.0,6.50532800602,2.03288908964,1.96938560223,-0.4
2180.0,6.44921704174,1.88505930489,1.92137817328,0.7
2208.0,5.43921968472,1.76890733116,1.84936702986,-0.4
2238.0,6.04521809893,1.69499243878,1.76935464828,0.7
2266.0,6.19110660606,1.57884046505,1.63333359959,-0.4
2296.0,5.76466327754,1.45212922098,1.5373187417,0.7
2324.0,4.74344372765,1.35709578793,1.46530759827,0.7
2352.0,4.64244399195,1.2409438142,1.40929893117,0.7
2384.0,4.60877741338,1.09311402945,1.31328407327,-0.4
2412.0,5.495330649,0.924165704028,1.24127292985,0.7
2440.0,5.48410845614,0.786895189619,1.16126054827,0.7
2470.0,4.15988969915,0.681302486228,1.08124816669,0.7
2500.0,4.11500092773,0.575709782837,0.96923083248,0.7
2528.0,5.00155416334,0.491235620124,0.889218450901,0.7
2556.0,3.71100198491,0.427879998089,0.809206069321,0.7
2588.0,4.8332212705,0.364524376055,0.737194925899,-0.4
2616.0,4.59755522053,0.258931672664,0.633178829846,-0.4
2644.0,4.69855495623,0.111101887916,0.561167686424,-0.4
2674.0,4.38433355627,-0.0261686264926,0.49715778116,0.7
2704.0,4.30577820627,-0.131761329884,0.417145399581,-0.4
2732.0,3.35189181353,-0.258472573953,0.313129303527,0.7
2762.0,4.02522338488,-0.427420899379,0.241118160105,-0.4
2792.0,3.07133699213,-0.606928495144,0.209113207473,0.7
2820.0,3.03767041356,-0.786436090909,0.161105778526,-0.4
2848.0,2.99278164214,-1.00818076803,0.137102064052,0.7
2878.0,3.85689049204,-1.22992544515,0.0890946351038,0.7
2908.0,3.87933487775,-1.41999231126,0.0730921587879,0.7
2936.0,2.63367147075,-1.59949990702,0.049088444314,0.7
2966.0,2.89178190644,-1.77900750279,0.049088444314,0.7
2994.0,3.8681126849,-1.95851509855,0.033085967998,-0.4
3024.0,2.89178190644,-2.11690415364,0.0570896824719,-0.4
3052.0,2.86933752072,-2.18025977567,0.10509711142,1.8
3080.0,3.02644822071,-2.22249685703,0.137102064052,0.7
3112.0,4.23844504914,-2.22249685703,0.217114445631,-0.4
3140.0,4.41800013483,-2.18025977567,0.265121874579,-0.4
3170.0,4.84444346336,-2.12746342398,0.361136732475,0.7
3198.0,4.57511083482,-2.07466707228,0.393141685107,-0.4
3228.0,5.39433091329,-2.0535485316,0.489156543002,0.7
3256.0,4.50777767768,-2.02187072059,0.561167686424,-0.4
3284.0,5.5963303847,-1.95851509855,0.641180068004,0.7
3316.0,4.68733276337,-1.88460020618,0.753197402215,0.7
3344.0,5.70855231326,-1.78956677312,0.841211021953,0.7
3372.0,5.76466327754,-1.67341479939,0.945227118006,-0.4
3402.0,5.2147758276,-1.53614428499,1.01723826143,-0.4
3432.0,5.1137760919,-1.36719595956,1.09725064301,-0.4
3460.0,6.1798844132,-1.19824763413,1.1932655009,-0.4
3488.0,5.48410845614,-1.00818076803,1.28127912064,-0.4
3520.0,6.4604392346,-0.818113901926,1.40129769301,0.7
3548.0,6.51655019888,-0.628047035822,1.46530759827,-0.4
3576.0,5.46166407043,-0.490776521414,1.55332121801,-1.5
3606.0,6.67366089886,-0.353506007005,1.64933607591,0.7
3636.0,6.96543791311,-0.195116951918,1.70534474301,0.7
3664.0,5.98910713465,-0.0367278968317,1.78535712459,-0.4
3694.0,7.0439932631,0.0899833472377,1.80936083907,-0.4
3724.0,5.6973301204,0.18501678029,1.8973744588,-0.4
3752.0,6.10132906321,0.322287294698,1.97738684038,-0.4
3780.0,5.88810739895,0.396202187072,2.04139674565,-0.4
3810.0,7.17865957737,0.480676349785,2.11340788907,-0.4
3840.0,7.2235483488,0.54403197182,2.18541903249,0.7
3868.0,6.44921704174,0.628506134533,2.24942893776,0.7
3898.0,6.42677265603,0.734098837924,2.30543760486,-0.4
3926.0,7.51532536305,0.839691541315,2.36144627197,-0.4
3956.0,6.67366089886,0.945284244706,2.41745493907,-0.4
3984.0,7.62754729161,1.02975840742,2.51346979697,-0.4
4012.0,7.62754729161,1.13535111081,2.57747970223,0.7
4044.0,7.67243606303,1.23038454386,2.6414896075,-0.4
4072.0,7.52654755591,1.33597724725,2.70549951276,0.7
4100.0,7.78465799159,1.40989213963,2.77751065618,0.7
4130.0,6.93177133455,1.51548484302,2.82551808513,-0.4
4160.0,7.91932430586,1.59995900573,2.92153294302,-0.4
4188.0,7.3245480845,1.67387389811,2.98554284829,-0.4
4216.0,7.14499299881,1.75834806082,3.07355646803,-0.4
4248.0,7.18988177023,1.83226295319,3.13756637329,-0.4
4276.0,8.24476789868,1.89561857523,3.20957751671,0.7
4304.0,8.39065640581,1.99065200828,3.27358742198,-0.4
4334.0,7.81832457016,2.11736325235,3.36160104171,0.7
4364.0,7.86321334158,2.23351522608,3.44161342329,0.7
4392.0,8.90687727718,2.32854865913,3.53762828119,-0.4
4420.0,7.68365825589,2.41302282184,3.58563571014,0.7
4452.0,8.05399062013,2.48693771422,3.67364932987,-1.5
4480.0,8.90687727718,2.51861552523,3.75366171145,0.7
4508.0,9.13132113429,2.59253041761,3.85767780751,0.7
4538.0,8.09887939156,2.63476749896,3.91368647461,0.7
4568.0,9.07521017002,2.68756385066,4.02570380882,0.7
4596.0,8.53654491293,2.81427509473,4.12971990488,0.7
4626.0,9.45676472711,2.96210487948,4.2017310483,0.7
4654.0,8.42432298438,3.08881612355,4.28974466804,-0.4
4684.0,8.52532272008,3.1838495566,4.3537545733,-0.4
