----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,18
TIME,21:28:19,UTC
PLOT,5,#
HEIGHT,64,cm
TEMPERATURE,nan,C
HUMIDITY,nan,%
LATITUDE,39.6694,angular degrees
LONGITUDE,-75.7521,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,6.43796927055,3.61101836394,4.38396891162,0.00326176790431
18.0,6.3985878375,3.62203672788,4.39218043846,0.0105723162964
44.0,6.3985878375,3.64407345576,4.4250265458,-0.00334130806277
74.0,6.40843319576,3.64407345576,4.37575738479,-0.001690539071
106.0,6.38874247924,3.6550918197,4.40860349213,0.00113935062918
136.0,6.38874247924,3.62203672788,4.43323807263,0.0164679198385
166.0,6.41827855403,3.57796327212,4.49893028731,0.00161099891254
198.0,6.53642285316,3.56694490818,4.6877954045,0.00538418517944
228.0,6.57580428621,3.5449081803,5.05731411205,0.00373341618767
258.0,6.62503107752,3.3796327212,5.33650602442,0.000196054062451
290.0,6.82193824275,3.2694490818,5.77992847349,0.0105723162964
320.0,6.93023718363,3.19232053422,6.42042756658,-0.000275594220912
350.0,7.12714434886,3.13722871452,6.92954223032,0.000431878204132
382.0,7.46188652976,3.12621035058,7.70963727959,-0.00263383563772
450.0,8.64332952116,3.36861435726,11.3062860331,0.000196054062451
630.0,10.5730197404,4.99933222037,14.4677238644,0.00255429547926
682.0,10.6222465317,6.06811352254,14.6976466158,0.00892154730466
710.0,10.7896176222,6.70717863105,15.0917999038,0.000903526487495
742.0,10.8979165631,7.33522537563,15.379203343,0.000431878204132
772.0,11.0160608622,8.02938230384,15.5352223529,0.00868572316298
802.0,11.1046690866,8.71252086811,15.6666067822,-0.000275594220912
834.0,11.0948237283,9.36260434057,15.5434338797,0.000196054062451
864.0,11.0259062205,9.96861435726,15.4038379235,0.00349759204599
894.0,10.7797722639,10.3652754591,14.985050055,0.00420506447103
926.0,10.445030083,10.5966611018,14.6730120352,0.00915737144634
956.0,10.1398239769,10.6848080134,14.040724469,0.000196054062451
986.0,9.97245288648,10.6848080134,13.4659175906,0.00727077831289
1018.0,9.81492715429,10.6076794658,12.800783917,0.000196054062451
1048.0,9.62786534732,10.5085141903,12.1767078776,0.00538418517944
1078.0,9.46049425687,10.3542570952,11.6183240528,0.00609165760448
1110.0,9.22420565859,10.2,10.862863584,0.0105723162964
1142.0,9.04698920989,9.96861435726,10.1977299104,0.0096290197297
1172.0,8.7614738203,9.61602671119,9.50796165635,-0.000511418362593
1204.0,8.59410272985,9.26343906511,8.79355882175,0.0103364921547
1234.0,8.30858734026,8.91085141903,8.12842514815,0.000431878204132
1266.0,8.02307195067,8.53622704508,7.43865689406,0.000431878204132
1298.0,7.78678335239,8.06243739566,6.85563848881,0.000667702345813
1328.0,7.63910297847,7.632721202,6.23156244939,0.00279011962094
1358.0,7.39296902193,7.20300500835,5.67317862464,0.00396924032935
1390.0,7.17637114017,6.71819699499,5.1886985414,0.000903526487495
1420.0,7.02869076625,6.20033388982,4.712429985,0.00161099891254
1450.0,6.77271145144,5.71552587646,4.29364211644,0.0110439645798
1482.0,6.67425786883,5.26377295492,4.02266173091,-0.00357713220445
1510.0,6.53642285316,4.81202003339,3.7845274527,-0.00145471492932
1542.0,6.45765998707,4.34924874791,3.63671996968,-0.000511418362593
1572.0,6.4773507036,3.84240400668,3.58745080868,0.000196054062451
1602.0,6.5265774949,3.35759599332,3.61208538918,0.0046767127544
1634.0,6.50688677838,2.89482470785,3.71883523803,0.000903526487495
