----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,18
TIME,21:28:19,UTC
PLOT,10,#
HEIGHT,64,cm
TEMPERATURE,nan,C
HUMIDITY,nan,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,6.32967032967,3.41268781302,4.712429985,0.0020826471959
36.0,6.31982497141,3.41268781302,4.69600693133,0.000667702345813
62.0,6.33951568793,3.39065108514,4.70421845817,0.0105723162964
94.0,6.29028889662,3.39065108514,4.72885303867,0.000196054062451
124.0,6.30997961315,3.41268781302,4.78633372651,0.0129305577132
154.0,6.31982497141,3.42370617696,4.79454525335,0.0122230852882
186.0,6.41827855403,3.42370617696,4.79454525335,0.00679913002953
216.0,6.29028889662,3.4347245409,4.76169914601,0.00302594376263
246.0,6.2705981801,3.45676126878,4.70421845817,0.00184682305422
278.0,6.28044353836,3.44574290484,4.63852624349,0.0129305577132
308.0,6.2705981801,3.40166944908,4.64673777033,0.00137517477086
338.0,6.3985878375,3.35759599332,4.67958387766,0.00161099891254
370.0,6.25090746358,3.33555926544,4.80275678018,0.00632748174616
400.0,6.28044353836,3.35759599332,4.81096830702,0.000196054062451
430.0,6.46750534533,3.40166944908,4.82739136069,0.0143455025633
462.0,6.25090746358,3.42370617696,4.86844899486,0.0020826471959
494.0,6.26075282184,3.44574290484,4.82739136069,-0.000511418362593
522.0,6.24106210532,3.3245409015,4.81096830702,0.0126947335716
554.0,6.22137138879,3.22537562604,4.80275678018,0.00113935062918
584.0,6.28044353836,3.2143572621,4.87666052169,0.00113935062918
614.0,6.28044353836,3.29148580968,4.88487204853,0.00161099891254
646.0,6.29028889662,3.23639398998,4.84381441435,0.000903526487495
676.0,6.30997961315,3.20333889816,4.75348761918,0.0134022059966
