----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,18
TIME,21:28:19,UTC
PLOT,2,#
HEIGHT,64,cm
TEMPERATURE,nan,C
HUMIDITY,nan,%
LATITUDE,39.6694,angular degrees
LONGITUDE,-75.7521,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,6.55611356969,1.87011686144,9.72146135405,0.0112797887215
36.0,6.55611356969,1.8040066778,9.68861524671,-0.00452042877117
64.0,6.55611356969,1.78196994992,9.71324982721,-0.000983066645956
94.0,6.50688677838,1.8040066778,9.74609593455,-0.00263383563772
124.0,6.5265774949,1.79298831386,9.76251898822,-0.00569954947958
156.0,6.50688677838,1.75993322204,9.74609593455,-0.00381295634613
188.0,6.51673213664,1.73789649416,9.72146135405,-0.000275594220912
220.0,6.5265774949,1.73789649416,9.75430746139,-3.97700792305e-05
250.0,6.53642285316,1.72687813022,9.72967288088,0.00161099891254
282.0,6.53642285316,1.68280467446,9.72967288088,-0.00593537362126
312.0,6.5265774949,1.64974958264,9.76251898822,0.00349759204599
344.0,6.56595892795,1.60567612688,9.90211494441,-0.00216218735436
376.0,6.58564964447,1.5285475793,10.2059414373,0.00279011962094
408.0,6.9893093332,1.4734557596,10.4358641886,0.00420506447103
436.0,7.08776291582,1.39632721202,10.8300174767,-3.97700792305e-05
468.0,7.18621649843,1.1979966611,11.2816514526,-0.00216218735436
500.0,7.36343294714,0.999666110184,12.0289003945,-0.000511418362593
532.0,7.58987618716,0.834390651085,13.0389181952,-0.001690539071
562.0,7.88523693501,0.702170283806,14.0489359958,0.0103364921547
594.0,8.09198945851,0.636060100167,15.1492805917,0.00255429547926
624.0,8.37750484809,0.603005008347,16.3645865632,0.000196054062451
656.0,8.78116453682,0.790317195326,18.3107184229,-0.001690539071
688.0,9.08637064293,1.07679465776,19.3946399651,-0.000511418362593
718.0,9.42111282383,1.55058430718,20.1583119607,0.000196054062451
750.0,9.71647357168,1.9141903172,21.7102905324,0.00420506447103
780.0,10.0610611108,2.50918196995,22.9666541381,-0.00145471492932
812.0,10.3564218587,3.09315525876,23.812441402,-0.000983066645956
842.0,10.5631743822,3.64407345576,24.756766988,0.00279011962094
872.0,10.8486897718,4.21702838063,25.602554252,-0.00121889078764
904.0,11.045596937,4.88914858097,25.9145922717,0.0058558334628
934.0,11.1342051614,5.52821368948,27.0149368675,-3.97700792305e-05
964.0,11.2523494605,6.12320534224,25.2412470712,-0.00145471492932
996.0,11.498483417,6.67412353923,24.608959505,-0.000511418362593
1026.0,11.4295659092,7.00467445743,23.9027681972,0.00727077831289
1056.0,11.459101984,7.50050083472,22.1865590888,-0.00334130806277
1088.0,11.3704937596,7.93021702838,22.621770011,0.00915737144634
1116.0,10.9865247874,8.21669449082,22.523231689,0.000667702345813
1148.0,10.5139475909,8.5141903172,21.3900409859,-0.000983066645956
1180.0,10.3071950674,8.58030050083,20.2732733364,0.000667702345813
1210.0,10.2973497091,8.59131886477,19.4028514919,0.00491253689608
1240.0,10.1890507682,8.64641068447,18.8691022477,-0.00145471492932
1272.0,10.031525036,8.60233722871,17.7851807055,-0.001690539071
1302.0,9.82477251256,8.50317195326,16.4631248852,-0.00381295634613
1332.0,9.55894783949,8.4040066778,15.527010826,-0.00428460462949
1364.0,9.28327780816,8.183639399,14.6155313474,-0.00216218735436
1396.0,9.06667992641,7.88614357262,13.4659175906,0.0136380301383
1428.0,8.74178310377,7.51151919866,12.3902075753,-0.000983066645956
