----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,19
TIME,12:32:46,UTC
PLOT,1,#
HEIGHT,64,cm
TEMPERATURE,16.8,C
HUMIDITY,59.9,%
LATITUDE,39.6696,angular degrees
LONGITUDE,-75.7521,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,6.5265774949,3.6,6.46148520075,0.0299098959143
36.0,6.67425786883,3.57796327212,7.32369551837,0.0294382476309
61.0,7.03853612451,3.55592654424,8.06273293348,0.0296740717726
91.0,7.10745363234,3.58898163606,8.98242393894,0.0263725337891
121.0,7.23544328974,3.61101836394,10.0663454811,0.030145720056
151.0,7.38312366367,3.63305509182,11.1256324427,0.0296740717726
181.0,7.64894833673,3.69916527546,12.2095539849,0.0296740717726
212.0,7.95415444284,3.79833055092,13.2195717855,0.0294382476309
241.0,8.14121624981,3.90851419032,14.2460126399,0.0292024234892
272.0,8.40704092288,4.0407345576,15.4120494504,0.0294382476309
302.0,8.72209238725,4.21702838063,16.3645865632,0.0296740717726
333.0,8.97807170205,4.39332220367,17.5470464273,0.0266083579308
362.0,9.26358709164,4.52554257095,18.6309679695,0.0266083579308
393.0,9.49987568992,4.72387312187,19.6902549311,0.0303815441977
423.0,9.7361642882,4.96627712855,20.7249073123,0.030145720056
452.0,10.0216796778,5.24173622705,21.7924058008,0.0273158303558
482.0,10.2776589926,5.51719532554,22.9502310844,0.0296740717726
512.0,10.5828650987,5.88080133556,24.0341526266,0.030145720056
541.0,10.7207001144,6.28848080134,24.9784782125,0.030145720056
571.0,10.9471433544,6.69616026711,25.7667847887,0.0299098959143
601.0,11.0554422953,7.12587646077,26.4401299891,0.0303815441977
631.0,11.3409576848,7.632721202,27.0559945017,0.0268441820724
659.0,11.498483417,8.08447412354,27.5240515312,0.0306173683393
689.0,11.6166277162,8.4590984975,27.8278780241,0.030145720056
719.0,11.6953905823,8.87779632721,27.9264163461,0.0299098959143
748.0,11.7150812988,9.38464106845,27.9264163461,0.0299098959143
778.0,11.9021431058,9.83639398998,27.8525126046,0.0365129718814
808.0,11.7741534484,10.2110183639,27.6225898533,0.0292024234892
837.0,11.6953905823,10.574624374,27.2284365652,0.0299098959143
867.0,11.3803391179,10.8170283806,26.793225643,0.030145720056
897.0,10.7010093978,10.938230384,26.3415916671,0.0296740717726
926.0,10.5336383074,10.9161936561,25.7832078423,0.0296740717726
956.0,10.4154940083,10.9051752922,25.4054776079,0.0266083579308
986.0,10.3859579335,10.9161936561,24.7485554612,0.0296740717726
1016.0,10.2481229178,10.9051752922,24.1326909486,0.0296740717726
1045.0,10.0905971856,10.8500834725,23.3033267383,0.0292024234892
1075.0,9.83461787082,10.7949916528,22.2029821425,0.0289665993476
1105.0,9.69678285515,10.6958263773,21.1601182345,0.0299098959143
1134.0,9.49003033166,10.4754590985,20.0269275313,0.0287307752059
1164.0,9.31281388295,10.2330550918,18.8855253013,0.0277874786392
1195.0,8.99776241858,9.91352253756,17.9658342959,0.0294382476309
1224.0,8.85008204465,9.52787979967,17.2514314613,0.030145720056
1254.0,8.60394808811,9.13121869783,16.4631248852,0.0296740717726
1285.0,8.53503058028,8.77863105175,15.7651451042,0.0299098959143
1315.0,8.298741982,8.44808013356,14.9932615818,0.0303815441977
1345.0,8.39719556462,8.11752921536,14.2049550057,0.030145720056
1375.0,8.05260802546,7.8530884808,13.4494945369,0.0289665993476
1406.0,7.90492765153,7.632721202,12.6940340681,0.0346263787479
