----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,24
TIME,15:24:21,UTC
PLOT,7,#
HEIGHT,64,cm
TEMPERATURE,31.8,C
HUMIDITY,33.1,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,32.4297150813,-0.366611018364,-3.12957814194,0.26078173062
17.0,32.5084779474,-0.333555926544,-3.14600119561,0.272572937704
43.0,32.60693153,-0.322537562604,-3.15421272245,0.290731396614
74.0,32.6955397544,-0.311519198664,-3.16242424928,0.309125679665
152.0,32.7644572622,-0.245409015025,-1.56938804339,0.273044585988
264.0,32.8432201283,0.085141903172,-1.06027337965,0.264083268604
290.0,32.9318283526,0.173288814691,-0.666120091594,0.264319092745
318.0,33.020436577,0.26143572621,-0.189851535193,0.261725027187
348.0,33.1779623092,0.371619365609,0.302840074877,0.263375796179
378.0,33.3354880414,0.481803005008,0.762685577609,0.261960851329
408.0,33.4831684153,0.580968280467,1.3785500902,0.251348764953
437.0,33.5914673562,0.691151919866,2.10116445163,0.246396457978
467.0,33.9163641788,0.845409015025,2.92231713508,0.244038216561
497.0,33.9065188205,0.988647746244,3.57102775501,0.245217337269
525.0,34.0345084779,1.17595993322,4.35933433112,0.239793382011
555.0,34.1723434936,1.38530884808,5.1886985414,0.236256019885
585.0,34.3298692258,1.57262103506,5.96058206385,0.230596240485
614.0,34.487394958,1.75993322204,6.74888863996,0.225879757651
644.0,34.6252299736,1.95826377295,7.47150300139,0.219276681684
675.0,34.7433742728,2.15659432387,8.35834789952,0.213381078142
704.0,34.8615185719,2.35492487479,9.08096226096,0.215267671276
735.0,35.0190443041,2.54223706177,9.77894204189,0.213381078142
765.0,35.1568793198,2.71853088481,10.4851333497,0.209607891875
795.0,35.2848689772,2.90584307179,11.1420554964,0.200882398633
825.0,35.5113122172,3.09315525876,11.8318237505,0.20890041945
855.0,35.6196111581,3.2694490818,12.5790726925,0.211494485009
886.0,35.806672965,3.4347245409,13.3016870539,0.221870747243
915.0,35.9740440555,3.6,14.0653590495,0.220219978251
946.0,36.1512605042,3.77629382304,14.8208195183,0.225879757651
976.0,36.3087862364,3.95258764608,15.5516454065,0.220691626534
1007.0,36.4466212521,4.17295492487,16.4138557242,0.215267671276
1036.0,36.633683059,4.44841402337,17.1200470319,0.211730309151
1067.0,36.8010541495,4.71285475793,17.9247766617,0.222578219668
1097.0,36.9388891651,4.99933222037,18.557064228,0.216210967842
1126.0,37.0373427477,5.30784641068,19.1647172137,0.216210967842
1157.0,37.1850231217,5.60534223706,19.6574088238,0.215975143701
1187.0,37.273631346,5.93589315526,20.0187160045,0.215031847134
1218.0,37.3622395704,6.29949916528,20.1993695949,0.215031847134
1247.0,37.3917756452,6.65208681135,20.2157926485,0.208664595309
1278.0,37.3819302869,7.03772954925,19.9776583703,0.201118222775
1308.0,37.2834767043,7.39031719533,19.4767552334,0.204183936617
1338.0,37.1554870469,7.632721202,18.5488527011,0.203712288333
1368.0,36.2103326538,7.7979966611,17.4485081053,0.194515146808
1399.0,35.6589925911,7.80901502504,16.0607600703,0.20041075035
1428.0,35.4030132763,7.86410684474,14.9604154745,0.193336026099
1458.0,35.2848689772,7.72086811352,13.9503976738,0.195222619233
1489.0,35.2257968276,7.40133555927,12.751514756,0.192628553674
1519.0,35.0091989459,7.16994991653,11.905727492,0.182959763865
1549.0,34.8221371389,6.93856427379,10.9860364866,0.190034488116
