----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,19
TIME,15:0:31,UTC
PLOT,5,#
HEIGHT,64,cm
TEMPERATURE,25.6,C
HUMIDITY,33.8,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,5.96539207399,4.06277128548,8.95778935844,0.00491253689608
35.0,5.96539207399,4.150918197,9.08917378779,0.00797825073793
62.0,6.07369101487,4.18397328881,9.26161585132,-0.00334130806277
93.0,6.00477350704,4.17295492487,9.54080776369,-0.00121889078764
123.0,5.97523743225,4.16193656093,9.98423021275,0.0084498990213
154.0,5.92601064094,4.16193656093,10.468710296,0.00538418517944
185.0,5.96539207399,4.19499165275,10.8792866377,-0.000983066645956
215.0,5.9358559992,4.19499165275,11.3309206136,0.00113935062918
246.0,5.92601064094,4.20601001669,11.9714197067,-0.000275594220912
277.0,6.04415494008,4.25008347245,12.8172069707,-0.001690539071
308.0,6.13276316444,4.30517529215,13.7286864493,0.00113935062918
338.0,6.42812391229,4.38230383973,14.4759353912,-0.00263383563772
369.0,6.50688677838,4.48146911519,15.1164344843,-0.000747242504274
400.0,6.62503107752,4.60267111853,15.8472603726,0.0117514370048
431.0,6.87116503406,4.75692821369,16.6437784755,-0.00145471492932
461.0,7.245288648,4.86711185309,17.3992389443,0.00302594376263
492.0,7.30436079757,4.97729549249,18.0397380374,-0.00216218735436
523.0,7.48157724628,5.12053422371,18.9183714087,0.00113935062918
553.0,7.76709263587,5.25275459098,19.9366007362,-0.00145471492932
583.0,7.9639998011,5.42904841402,20.8645032685,0.000196054062451
614.0,8.14121624981,5.68247078464,21.8334634349,-0.00192636321268
645.0,8.27905126548,6.02404006678,22.6874622257,-0.00334130806277
675.0,8.48580378897,6.45375626043,23.3772304798,-0.00617119776294
706.0,8.69255631247,6.86143572621,24.0013065192,-0.000275594220912
737.0,8.83039132813,7.24707846411,24.5186327098,-0.00239801149604
767.0,8.97807170205,7.62170283806,24.8799398905,-0.000275594220912
798.0,9.11590671772,7.99632721202,25.0277473736,-0.001690539071
829.0,9.16513350902,8.32687813022,25.1016511151,-0.00216218735436
860.0,9.24389637512,8.55826377295,25.2248240176,0.00184682305422
890.0,9.41126746557,8.72353923205,25.4793813494,-0.00452042877117
921.0,9.352195316,8.86677796327,25.6764579935,0.00161099891254
952.0,9.39157674904,9.06510851419,25.6764579935,-0.00121889078764
982.0,9.36204067426,9.34056761269,25.5204389836,-0.000275594220912
1013.0,9.33250459947,9.56093489149,25.3644199738,0.000903526487495
1044.0,8.94853562727,9.7041736227,25.0605934809,0.00113935062918
1075.0,8.65317487942,9.74824707846,24.7649785148,0.0101006680131
1105.0,8.43657699766,9.77028380634,24.2476523243,0.00326176790431
1136.0,8.27905126548,9.82537562604,23.4921918555,-3.97700792305e-05
1167.0,8.23966983243,9.8694490818,22.4164818402,-0.001690539071
1197.0,8.12152553329,9.85843071786,21.3900409859,-0.00239801149604
1228.0,8.21013375765,9.79232053422,20.3718116584,0.00538418517944
1259.0,8.00338123415,9.58297161937,19.5178128676,0.000196054062451
1290.0,7.88523693501,9.32954924875,18.6802371305,-0.00145471492932
1320.0,7.75724727761,9.03205342237,17.908353608,0.00113935062918
1351.0,7.51111332107,8.77863105175,17.2267968808,-0.000511418362593
1381.0,7.35358758888,8.52520868114,16.5123940462,-0.000747242504274
1411.0,7.22559793148,8.31585976628,15.6419722017,0.00326176790431
