----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,20
TIME,17:54:8,UTC
PLOT,9,#
HEIGHT,64,cm
TEMPERATURE,32.9,C
HUMIDITY,26.5,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,6.86443817741,1.2409438142,5.66595763121,0.7
38.0,6.81954940599,1.20926600318,5.72196629831,0.7
60.0,6.9429935274,1.17758819217,5.78597620358,0.7
92.0,7.06643764882,1.16702892183,5.84198487068,-0.4
120.0,6.85321598456,1.16702892183,5.92199725226,-0.4
148.0,5.95544055609,1.14591038115,5.98600715753,0.7
178.0,5.9778849418,1.10367329979,6.09002325358,0.7
208.0,6.20232879892,1.09311402945,6.27405173121,0.7
236.0,7.31332589165,1.06143621844,6.63410744832,0.7
264.0,6.34821730604,1.01919913708,6.9621582128,-0.4
296.0,7.23477054165,1.00863986674,7.46623621675,-0.4
324.0,6.75221624885,1.0508769481,7.95431174439,-0.4
354.0,7.94176869157,1.11423257013,8.54640336808,0.7
384.0,6.98788229883,1.19870673284,9.05848261019,0.7
412.0,6.93177133455,1.34653651759,9.53855689967,-0.4
444.0,7.21232615594,1.5366033837,10.010629951,0.7
472.0,7.38065904878,1.73722952014,10.4026906207,1.8
504.0,8.43554517723,1.93785565658,10.874763672,-0.4
532.0,8.52532272008,2.1596003337,11.3868429142,0.7
562.0,8.7497665772,2.37078574049,11.8589159655,-0.4
592.0,8.00910184871,2.56085260659,12.3149865405,0.7
620.0,9.15376552001,2.72980093202,12.8670719734,0.7
650.0,8.24476789868,2.9409863388,13.3791512155,-0.4
680.0,8.34576763438,3.14161247524,13.9552403629,-0.4
708.0,8.6712112272,3.30000153033,14.5233282721,0.7
740.0,9.40065376284,3.45839058542,15.0034025616,0.7
768.0,9.79343051279,3.64845745152,15.4674743747,-0.4
798.0,8.89565508432,3.80684650661,15.8515338063,0.7
828.0,9.27720964142,3.98635410237,16.13957838,-0.4
858.0,9.32209841284,4.1553024278,16.4676291445,0.7
888.0,10.2647626127,4.28201367187,16.7716761945,-0.4
916.0,9.4343203414,4.41928418628,16.9877096247,-0.4
948.0,10.4330955056,4.6410288634,17.2197455313,0.7
976.0,9.55776446282,4.80997718882,17.4757851524,0.7
1006.0,9.63631981281,4.94724770323,17.7318247734,0.7
1036.0,10.635094977,5.10563675832,18.0038668708,0.7
1066.0,10.6126505913,5.25346654307,18.1718928721,0.7
1096.0,10.6238727841,5.44353340917,18.2999126826,0.7
1124.0,9.77098612708,5.67583735663,18.4119300169,1.8
1156.0,10.9380941841,5.96093765579,18.315915159,-0.4
1184.0,9.77098612708,6.27771576596,18.1958965866,0.7
1212.0,9.97298559848,6.45722336172,17.9798631563,-0.4
1244.0,9.45676472711,6.56281606512,17.6198074392,-0.4
1272.0,9.75976393422,6.67896803885,17.1717381024,0.7
1302.0,9.36698718427,6.66840876851,16.899696005,-0.4
1332.0,9.01909920574,6.62617168715,16.3796155247,-0.4
1362.0,8.19987912726,6.56281606512,15.8835387589,0.7
1392.0,7.79588018445,6.52057898376,15.379460755,-0.4
1420.0,7.86321334158,6.38330846935,14.9633963708,-0.4
1452.0,8.53654491293,6.26715649562,14.3072948418,0.7
1480.0,7.56021413447,6.11932671087,13.7232044563,-0.4
1510.0,8.1886569344,5.96093765579,13.1951227379,0.7
1540.0,7.45921439877,5.69695589731,12.79506083,-0.4
1570.0,7.03277107025,5.3696185168,12.3149865405,0.7
1600.0,7.03277107025,5.06339967696,11.6108775826,0.7
1628.0,7.85199114873,4.75718083713,11.0347884352,-0.4
1660.0,6.52777239174,4.41928418628,10.7067376707,0.7
1688.0,7.48165878448,4.1025060761,10.1706547141,0.7
1718.0,6.52777239174,3.84908358796,9.58656432861,0.7
1748.0,6.51655019888,3.65901672186,9.00247394308,0.7
1776.0,5.89932959181,3.47950912609,8.56240584439,-0.4
1806.0,5.92177397752,3.31056080067,8.13033898386,-0.4
1836.0,5.68610792755,3.1310532049,7.65026469438,-0.4
1864.0,6.48288362031,2.97266414982,7.13818545227,-0.4
1896.0,5.6973301204,2.81427509473,6.69811735359,0.7
1924.0,5.36066433473,2.65588603964,6.30605668385,-0.4
1954.0,5.22599802046,2.48693771422,5.94600096674,0.7
1984.0,5.45044187757,2.36022647015,5.52993658252,-0.4
2012.0,5.12499828475,2.25463376676,5.12987467462,-0.4
2040.0,5.03522074191,2.07512617099,4.77782019567,0.7
2070.0,5.1137760919,1.89561857523,4.46577190751,0.7
2100.0,5.52899722756,1.69499243878,4.12171866672,-0.4
2128.0,5.495330649,1.49436630234,3.69765304435,-0.4
2156.0,5.416775299,1.33597724725,3.36960227987,0.7
2188.0,5.32699775616,1.16702892183,3.06555522987,-0.4
2216.0,4.36188917055,0.966402785384,2.76950941802,-0.4
2244.0,4.22722285628,0.797454459958,2.3934512246,-0.4
2274.0,4.32822259199,0.649624675211,2.10540665091,-0.4
2304.0,4.20477847057,0.522913431141,1.82536331538,-0.4
2332.0,4.02522338488,0.406761457411,1.49731255091,0.7
2360.0,3.95789022774,0.280050213342,1.20126673906,-0.4
2392.0,3.90177926346,0.121661158255,0.96923083248,0.7
2420.0,3.5875578635,-0.00505008581435,0.801204831163,-0.4
2448.0,3.56511347779,-0.152879870562,0.609175115372,-0.4
2478.0,3.76711294919,-0.342946736666,0.49715778116,-0.4
2508.0,3.52022470636,-0.53301360277,0.401142923265,0.7
2536.0,3.41922497066,-0.691402657857,0.353135494317,-0.4
2564.0,4.37311136341,-0.849791712944,0.273123112737,-0.4
2596.0,4.38433355627,-1.05041784939,0.273123112737,-0.4
2624.0,3.3070030421,-1.25104398583,0.401142923265,0.7
2652.0,4.31700039913,-1.39887377058,0.57717016274,-0.4
2682.0,3.56511347779,-1.52558501465,0.745196164057,0.7
2710.0,4.76588811337,-1.59949990702,1.00923702327,-0.4
2740.0,4.20477847057,-1.63117771804,1.33728778775,0.7
2768.0,4.76588811337,-1.66285552906,1.66533855222,0.7
2798.0,5.19233144189,-1.65229625872,1.96938560223,-0.4
2828.0,5.03522074191,-1.6206184477,2.36944751012,-0.4
2856.0,5.36066433473,-1.51502574431,2.72950322723,-0.4
2884.0,5.3157755633,-1.3777552299,3.14556761145,1.8
2914.0,5.86566301324,-1.21936617481,3.60963942461,-0.4
2944.0,5.94421836323,-1.02929930871,4.08971371409,0.7
2972.0,5.73099669897,-0.796995361248,4.64179914699,0.7
3002.0,6.09010687036,-0.596369224805,5.21788829436,0.7
3032.0,7.18988177023,-0.480217251075,5.77797496542,0.7
3060.0,7.24599273451,-0.374624547683,6.36206535095,-0.4
3088.0,6.71854967028,-0.121202059545,6.91415078385,-0.4
3120.0,6.72977186314,0.121661158255,7.58625478912,0.7
3148.0,7.85199114873,0.343405835376,8.15434269834,0.7
3178.0,6.88688256312,0.596828323515,8.66642194045,-0.4
3208.0,8.0876571987,0.839691541315,9.29851975493,0.7
3238.0,7.40310343449,1.08255475911,9.80259775888,0.7
3268.0,7.26843712022,1.30429943624,10.3546831918,-0.4
3296.0,8.52532272008,1.47324776166,10.8267562431,-0.4
3328.0,8.76098877005,1.67387389811,11.4828577721,-0.4
3356.0,7.71732483446,1.92729638624,12.0269419668,0.7
3386.0,8.03154623442,2.05400763031,12.595029876,-0.4
3416.0,9.15376552001,2.19127814472,13.1631177852,0.7
3444.0,9.32209841284,2.4024635515,13.6831982655,0.7
3474.0,8.62632245578,2.61364895829,14.1872762694,0.7
3504.0,8.43554517723,2.84595290575,14.7393617023,-0.4
3534.0,8.81709973433,3.05713831253,15.3554570405,0.7
3564.0,9.84954147707,3.19440882694,15.9715523787,-0.4
3592.0,9.03032139859,3.34223861169,16.5796464787,-0.4
3624.0,10.085207527,3.58510182949,17.1717381024,0.7
3652.0,9.59143104138,3.88076139898,17.6998198208,0.7
3682.0,10.6014283984,4.14474315746,18.2439040155,-0.4
3712.0,10.6238727841,4.45096199729,18.6359646853,-0.4
3740.0,9.83831928421,4.72550302611,18.9480129734,-0.4
3772.0,10.9717607627,4.93668843289,19.3000674524,0.7
3800.0,10.1076519128,5.14787383967,19.6121157405,-0.4
3832.0,11.0952048841,5.38017778713,19.8521528853,-0.4
3860.0,11.0166495341,5.6124817346,20.1481986971,-0.4
3890.0,11.0839826912,5.84478568206,20.3882358419,-0.4
3920.0,10.3096513842,6.07708962952,20.5082544142,0.7
3948.0,11.2635377769,6.44666409139,20.4522457471,0.7
3978.0,10.242318227,6.79512001258,20.3642321274,-0.4
4008.0,10.1300962985,7.06966104139,20.2202098406,-0.4
4036.0,10.0403187556,7.31252425919,19.9001603142,-0.4
4068.0,10.7360947127,7.48147258462,19.4280872629,0.7
4096.0,10.2535404199,7.60818382869,19.2040525945,0.7
4126.0,9.72609735566,7.59762455835,18.7479820195,0.7
4156.0,8.91809947003,7.60818382869,17.9878643945,-0.4
4186.0,8.50287833437,7.59762455835,17.5397950576,-0.4
4216.0,8.33454544153,7.51315039564,17.1477343879,-0.4
4244.0,8.22232351297,7.31252425919,16.4676291445,0.7
4276.0,8.05399062013,7.06966104139,15.8275300918,0.7
4304.0,7.71732483446,6.75288293122,15.2594421826,0.7
4334.0,7.986657463,6.39386773969,14.7553641787,-0.4
4364.0,7.78465799159,6.01373400748,14.2352836984,0.7
4394.0,8.19987912726,5.63360027527,13.7632106471,-0.4
4424.0,8.32332324867,5.33794070578,13.1631177852,0.7
4452.0,7.07765984167,5.05284040662,12.7150484484,0.7
4484.0,7.90810211301,4.69382521509,12.443006351,-0.4
4512.0,6.92054914169,4.32425075322,12.1149555865,-0.4
4540.0,6.93177133455,4.1025060761,11.5788726299,-0.4
4572.0,7.87443553444,3.94411702102,11.1708094839,0.7
4600.0,7.86321334158,3.80684650661,10.9467748155,-0.4
4630.0,7.57143632733,3.65901672186,10.6827339563,0.7
4660.0,7.68365825589,3.53230547779,10.1946584286,0.7
