----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,20
TIME,17:55:10,UTC
PLOT,10,#
HEIGHT,64,cm
TEMPERATURE,32.3,C
HUMIDITY,26.3,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,5.77588547039,0.892487893011,3.96969514172,0.7
18.0,5.78710766325,0.881928622671,4.04170628514,0.7
114.0,5.8768852061,0.797454459958,4.0497075233,0.7
210.0,5.64121915612,0.829132270976,4.18572857198,-0.4
234.0,5.01277635619,0.797454459958,4.31374838251,-0.4
264.0,5.40555310615,0.744658108263,4.43376695488,-0.4
294.0,5.30455337045,0.670743215889,4.61779543251,-0.4
322.0,5.94421836323,0.639065404872,4.8498313391,0.7
352.0,6.25843976319,0.617946864194,5.09786972199,-0.4
382.0,7.2235483488,0.575709782837,5.42592048647,0.7
410.0,6.51655019888,0.617946864194,5.75397125095,-0.4
438.0,6.78588282742,0.691861756567,6.17003563516,0.7
468.0,7.06643764882,0.77633591928,6.55409506674,-0.4
498.0,7.01032668454,0.90304716335,6.97015945096,0.7
526.0,8.30087886296,1.02975840742,7.40222631149,0.7
558.0,8.03154623442,1.16702892183,7.82629193386,0.7
586.0,7.50410317019,1.31485870658,8.29036374702,0.7
616.0,8.59265587721,1.49436630234,8.81044422729,0.7
646.0,7.86321334158,1.66331462777,9.20250489703,0.7
674.0,8.11010158441,1.86394076421,9.69858166282,-0.4
704.0,8.3682120201,2.05400763031,10.2346646194,0.7
734.0,8.5702114915,2.25463376676,10.6667314799,-1.5
762.0,8.71609999863,2.4552599032,11.0187859589,-0.4
794.0,9.46798691997,2.63476749896,11.4908590102,-0.4
822.0,8.77221096291,2.86707144643,11.8669172036,-0.4
854.0,9.04154359145,3.07825685321,12.338990255,-0.4
882.0,9.12009894144,3.26832371931,12.7390521629,-0.4
912.0,10.0964297199,3.51118693711,13.0831054036,-0.4
942.0,9.63631981281,3.74349088457,13.4431611208,-0.4
970.0,9.7148751628,3.92299848034,13.8352217905,0.7
1002.0,9.75976393422,4.14474315746,14.2032787458,-0.4
1030.0,9.82709709136,4.36648783458,14.5393307484,-0.4
1060.0,10.8370944484,4.56711397102,14.875382751,-0.4
1090.0,11.0054273412,4.72550302611,15.1874310392,-0.4
1120.0,11.2747599698,4.89445135154,15.4274681839,-0.4
1150.0,10.4330955056,5.04228113628,15.6995102813,0.7
1178.0,11.4318706697,5.19011092103,16.0755684747,-0.4
1210.0,11.5216482126,5.43297413883,16.2115895234,-0.4
1238.0,10.9044276055,5.69695589731,16.4116204774,0.7
1266.0,10.8483166412,5.91870057443,16.4516266682,-0.4
1298.0,11.5216482126,6.14044525155,16.3156056195,-0.4
1326.0,11.5440925983,6.43610482105,16.4276229537,-0.4
1356.0,10.9268719912,6.7212051202,16.4516266682,0.7
1386.0,10.9156497984,7.02742396004,16.3716142866,0.7
1416.0,10.8819832198,7.24916863716,16.291601905,-0.4
1446.0,11.7460920697,7.37587988123,16.0035573313,0.7
1474.0,10.6238727841,7.47091331428,15.7475177102,-0.4
1506.0,10.085207527,7.48147258462,15.4034644695,0.7
1534.0,9.89443024849,7.47091331428,14.9874000852,-0.4
1564.0,9.34454279856,7.40755769225,14.5793369392,-0.4
1594.0,10.3769845413,7.31252425919,14.1472700787,0.7
1624.0,9.98420779134,7.16469447445,13.6751970273,-0.4
1654.0,9.93931901992,7.03798323038,13.2111252142,-0.4
1682.0,8.81709973433,6.90071271597,12.8350670207,-0.4
1714.0,9.70365296994,6.73176439054,12.3469914931,-1.5
1742.0,8.9517660486,6.56281606512,11.8909209181,-0.4
1770.0,8.52532272008,6.39386773969,11.3948441523,0.7
1802.0,8.35698982724,6.27771576596,10.8667624339,-0.4
1830.0,9.26598744856,6.19324160325,10.3626844299,-0.4
1860.0,9.15376552001,5.9926154668,9.93861880756,-0.4
1890.0,9.22109867714,5.77087078968,9.38653337466,0.7
1920.0,7.72854702731,5.5068890312,8.95446651413,-0.4
1950.0,7.75099141302,5.25346654307,8.54640336808,-0.4
1978.0,7.82954676301,5.01060332527,7.98631669702,0.7
2010.0,7.50410317019,4.78885864814,7.53024612201,-0.4
2038.0,7.13377080595,4.5882325117,7.05817307069,-0.4
2068.0,8.07643500584,4.3981656456,6.65010992464,0.7
2098.0,7.91932430586,4.21865804983,6.29005420753,0.7
2126.0,6.63999432029,4.01803191339,5.83398363253,-0.4
2154.0,6.79710502028,3.81740577695,5.41791924831,0.7
2186.0,7.53776974876,3.58510182949,4.98585238778,0.7
2214.0,6.59510554887,3.38447569304,4.64980038515,0.7
2242.0,6.28088414891,3.20496809728,4.34575333514,-0.4
2272.0,6.28088414891,2.99378269049,4.00170009435,-0.4
2302.0,6.06766248464,2.82483436507,3.67364932987,-0.4
2330.0,5.9778849418,2.6453267693,3.28958989829,-0.4
2358.0,6.53899458459,2.41302282184,2.92953418118,0.7
2390.0,6.70732747743,2.18071887438,2.63348836934,0.7
2418.0,5.55144161328,1.98009273794,2.35344503381,-0.4
2446.0,6.05644029179,1.76890733116,2.07340169828,-0.4
2476.0,6.11255125607,1.5366033837,1.92937941144,0.7
2504.0,4.97910977763,1.2937401659,1.70534474301,-0.4
2534.0,5.83199643467,1.07199548878,1.56132245617,0.7
2562.0,6.01155152037,0.860810081993,1.48131007459,-0.4
2592.0,4.95666539191,0.628506134533,1.26527664433,0.7
2622.0,5.5963303847,0.385642916733,1.16926178643,-0.4
2650.0,5.92177397752,0.18501678029,1.14525807196,-0.4
2678.0,4.69855495623,-0.068405707849,1.12125435748,-1.5
2710.0,4.70977714909,-0.332387466327,1.20126673906,0.7
2738.0,4.7322215348,-0.585809954466,1.3452890259,-0.4
2766.0,4.87811004192,-0.77587682057,1.60132864696,-1.5
2796.0,5.45044187757,-0.828673172265,1.88137198249,-0.4
2826.0,6.76343844171,-0.818113901926,2.16941655618,0.7
2854.0,7.05521545596,-0.786436090909,2.48146484434,0.7
2882.0,6.62877212744,-0.712521198535,2.76950941802,0.7
2914.0,7.29088150593,-0.596369224805,3.04955275355,0.7
2942.0,7.44799220592,-0.469657980735,3.41760970882,-0.4
2970.0,7.11132642024,-0.364065277344,3.8016691404,-0.4
3000.0,7.95299088443,-0.205676222258,4.2017310483,-0.4
3030.0,8.04276842728,-0.0261686264926,4.68180533778,-0.4
3058.0,7.05521545596,0.121661158255,5.12987467462,-0.4
3086.0,7.3245480845,0.248372402324,5.49793162989,-0.4
3118.0,8.35698982724,0.396202187072,6.01801211016,-0.4
3146.0,7.72854702731,0.565150512498,6.53009135227,-0.4
3174.0,7.7061026416,0.839691541315,6.97015945096,-0.4
3204.0,8.03154623442,1.08255475911,7.56225107465,-0.4
3234.0,8.25599009154,1.30429943624,8.24235631807,-0.4
3262.0,9.44554253426,1.56828119471,8.69842689308,0.7
3294.0,8.51410052722,1.85338149387,9.1704999444,-0.4
3322.0,9.68120858423,2.09624471167,9.70658290098,-0.4
3352.0,9.82709709136,2.31798938879,10.2106609049,-0.4
3382.0,9.00787701288,2.56085260659,10.6667314799,-0.4
3412.0,8.92932166289,2.83539363541,11.1067995786,0.7
3442.0,10.1413184913,3.07825685321,11.5868738681,0.7
3470.0,9.40065376284,3.31056080067,12.1309580628,0.7
3502.0,9.70365296994,3.56398328881,12.5550236852,0.7
3530.0,9.78220831993,3.76460942525,12.9070781642,0.7
3560.0,9.82709709136,3.96523556169,13.3871524536,0.7
3590.0,10.7248725198,4.17642096848,13.7632106471,-0.4
3618.0,11.0615383055,4.36648783458,14.3392997944,0.7
3650.0,11.1513158483,4.57767324136,14.8033716076,0.7
3678.0,11.4206484769,4.75718083713,15.1634273247,0.7
3710.0,11.2972043555,4.94724770323,15.5474867563,0.7
3738.0,11.5553147912,5.14787383967,15.8195288537,1.8
3766.0,10.8483166412,5.29570362442,16.1875858089,-0.4
3798.0,10.7473169055,5.5596853829,16.5316390497,-0.4
3826.0,10.8595388341,5.81310787104,16.8356860997,0.7
3856.0,11.9817581197,6.01373400748,17.1157294353,0.7
3886.0,12.0490912768,6.27771576596,17.2837554366,-0.4
3914.0,11.4992038269,6.52057898376,17.3957727708,0.7
3946.0,11.330870934,6.7740014719,17.4277777234,0.7
3974.0,12.2623129411,7.0168646897,17.4197764853,0.7
4004.0,11.5440925983,7.31252425919,17.3637678182,0.7
4034.0,11.487981634,7.61874309903,17.0837244826,-0.4
4064.0,11.4767594412,7.88272485751,16.9236997195,-0.4
4094.0,11.1064270769,8.05167318293,16.699665051,-0.4
4122.0,11.5553147912,8.178384427,16.3556118103,-0.4
4154.0,10.8819832198,8.22062150836,16.1155746655,-0.4
4182.0,10.9717607627,8.18894369734,15.6675053287,1.8
4212.0,9.97298559848,8.04111391259,15.1394236102,0.7
4242.0,10.7360947127,7.92496193886,14.5873381773,0.7
4272.0,9.63631981281,7.80880996513,14.2112799839,0.7
4300.0,9.47920911283,7.65042091004,13.5711809313,-0.4
4330.0,9.38943156998,7.5025911253,13.0110942602,0.7
4360.0,10.2310960342,7.39699842191,12.5070162563,0.7
4390.0,9.75976393422,7.19637228546,12.0429444431,-0.4
4418.0,8.77221096291,6.99574614902,11.4268491049,0.7
4450.0,8.62632245578,6.73176439054,10.874763672,-0.4
4478.0,8.77221096291,6.48890117274,10.418693097,-0.4
4508.0,8.54776710579,6.21436014393,9.65057423388,0.7
4538.0,8.50287833437,5.92925984477,9.12249251545,-0.4
4568.0,8.02032404156,5.66527808629,8.81844546545,0.7
4598.0,8.63754464864,5.40129632781,8.36237489044,-0.4
4626.0,7.99787965585,5.13731456934,7.88230060097,0.7
4658.0,7.57143632733,4.8838920812,7.38622383517,-0.4
4686.0,7.57143632733,4.71494375577,6.95415697464,0.7
4716.0,8.11010158441,4.61991032272,6.5620963049,-0.4
4746.0,8.31210105582,4.46152126763,6.19403934963,0.7
4774.0,8.00910184871,4.26089513119,5.80197867989,-0.4
