----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,26
TIME,16:37:7,UTC
PLOT,10,#
HEIGHT,64,cm
TEMPERATURE,32.4,C
HUMIDITY,45.0,%
LATITUDE,39.6696,angular degrees
LONGITUDE,-75.752,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,1.028804724261246,24.716022021456826,Deg,imu1
POT,-107.94895696091355,10897.34799077734,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,9.54477023016,4.63059496734,0.631301148257,0.0084498990213
36.0,9.66519751696,4.71807512551,0.83658931912,-0.001690539071
61.0,9.73004297909,4.64031498492,0.885858480127,-0.00121889078764
90.0,9.84120662844,4.81527530125,1.01724290948,-0.00263383563772
120.0,10.0079521025,4.99995563515,1.140415812,-0.00263383563772
150.0,10.1561703016,5.03883570545,1.26358871451,-0.00357713220445
179.0,10.2580703135,5.10687582847,1.31285787552,-0.00286965977941
209.0,10.3229157757,5.30127617995,1.46887688538,-0.00711449432967
239.0,10.4896612497,5.47623649628,1.60026131473,-0.00263383563772
269.0,10.5081885246,5.56371665444,1.74806879775,-0.00310548392109
298.0,10.5267157995,5.66091683018,1.83018406609,0.00184682305422
328.0,10.702724911,5.82615712894,1.97799154911,-0.00121889078764
357.0,10.8416794727,5.9525173574,2.19149124681,-0.00334130806277
386.0,11.0269522216,6.12747767373,2.30645262249,-0.00334130806277
416.0,11.2678067952,6.34131806036,2.45426010552,-0.00192636321268
446.0,11.388234082,6.58431849971,2.65133674954,-0.001690539071
475.0,11.5735068309,6.80787890391,2.8073557594,-0.00121889078764
505.0,11.7587795798,7.04115932569,2.93052866192,-0.000275594220912
535.0,11.9347886913,7.29387978261,2.90589408141,-0.00192636321268
565.0,12.0181614283,7.54660023953,3.09475919861,-0.00640702190462
594.0,12.2590160019,7.77016064373,3.40679721832,-0.00145471492932
624.0,12.3701796513,8.00344106551,3.50533554033,-0.00145471492932
654.0,12.5369251253,8.22700146971,3.59566233551,-0.00805779089639
683.0,12.6944069619,8.47000190906,3.76810439904,-0.00263383563772
713.0,12.8240978862,8.68384229569,3.86664272105,-0.00239801149604
743.0,12.9167342606,8.87824264717,4.04729631141,0.00184682305422
772.0,13.111270647,9.11152306894,4.21973837493,-0.00263383563772
802.0,13.1853797466,9.30592342042,4.34291127745,-0.00239801149604
832.0,13.3058070334,9.47116371918,4.39218043846,-0.00239801149604
861.0,13.4262343202,9.61696398279,4.49071876047,0.0020826471959
890.0,13.5559252444,9.7238841761,4.62210318982,-0.00310548392109
920.0,13.6856161687,9.84052438699,4.76169914601,-0.00239801149604
950.0,13.8153070929,9.95716459788,4.93414120953,-0.00286965977941
979.0,13.9264707423,10.1224048966,5.02446800471,-0.00263383563772
1009.0,14.0283707542,10.3362452833,5.09016021939,0.000903526487495
1039.0,14.1951162282,10.5598056875,5.18048701457,-0.00121889078764
1068.0,14.2599616904,10.8125261444,5.25439075608,-0.00239801149604
1098.0,14.417443527,11.1527267595,5.32829449759,-0.00640702190462
1128.0,14.6305071882,11.5026473921,5.34471755126,-0.00192636321268
1157.0,14.5934526384,11.8136879545,5.32008297076,-0.00145471492932
1187.0,14.5563980886,12.1052884817,5.28723686342,0.000667702345813
1217.0,14.6490344631,12.3774489738,5.25439075608,-0.00357713220445
1246.0,14.6027162759,12.601009378,5.25439075608,-0.00310548392109
1276.0,14.5378708138,12.737089624,5.19691006824,-0.00239801149604
1306.0,14.2877526027,12.8148497646,5.21333312191,-0.001690539071
1336.0,13.9449980172,12.805129747,5.13121785356,-0.00239801149604
1365.0,13.6022434317,12.7079295713,5.09837174622,-0.00263383563772
