----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,19
TIME,23:59:53,UTC
PLOT,11,#
HEIGHT,64,cm
TEMPERATURE,30.3,C
HUMIDITY,23.2,%
LATITUDE,39.6694,angular degrees
LONGITUDE,-75.7522,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,17.2674109548,11.4623175025,4.92984372068,-0.4
18.0,14.607751248,11.4728767728,4.96184867331,-0.4
42.0,14.6526400194,11.4834360431,5.10587096015,-0.4
70.0,14.7873063336,11.4939953135,5.20188581805,-0.4
100.0,15.8646368478,11.5151138542,5.28989943778,-0.4
130.0,15.1913052765,11.5151138542,5.38591429568,-0.4
158.0,15.2474162407,11.5151138542,5.52193534436,-0.4
186.0,15.3484159764,11.5256731245,5.705963822,0.7
240.0,16.6053015763,11.5045545838,6.77012849701,-0.4
418.0,17.0429670977,11.8424512347,9.13049375361,0.7
602.0,17.6601877047,12.4232111033,11.5228639628,-0.4
694.0,17.7724096333,12.8561411872,11.7548998694,-0.4
718.0,16.8409676263,13.0462080533,12.0109394905,0.7
746.0,17.951964719,13.2045971084,12.4110013984,-0.4
778.0,17.099078062,13.3841047042,12.7150484484,-0.4
806.0,18.2774083118,13.5847308406,13.0430992129,-0.4
836.0,17.4469660405,13.7642384364,13.3311437865,-0.4
866.0,18.5804075189,13.9120682211,13.6751970273,-0.4
896.0,17.6040767405,14.0493387355,13.8672267431,-0.4
926.0,18.3896302404,14.1760499796,14.0752589352,0.7
954.0,18.5130743618,14.3238797644,14.2992936037,0.7
986.0,17.6040767405,14.4083539271,14.4753208431,0.7
1014.0,17.7499652476,14.5033873601,14.6273443681,0.7
1044.0,18.6028519046,14.5773022525,14.771366655,0.7
1074.0,17.8285205976,14.6828949559,14.8673815129,-0.4
1102.0,18.4906299761,14.7568098483,15.0034025616,0.7
1134.0,18.7150738332,14.8307247406,15.1314223721,0.7
1162.0,17.7387430547,14.904639633,15.1954322773,-0.4
1190.0,17.7611874405,14.9785545254,15.179429801,0.7
1222.0,17.873409369,15.0524694178,15.2514409445,-0.4
1250.0,17.794854019,15.1369435805,15.2354384681,-0.4
1282.0,18.8385179546,15.2425362839,15.2034335155,-0.4
1310.0,17.7050764762,15.3058919059,15.0914161813,1.8
1340.0,17.7275208619,15.3164511762,14.9393926563,-0.4
1370.0,17.6040767405,15.3375697169,14.6833530352,0.7
1398.0,18.7262960261,15.3375697169,14.3713047471,-0.4
1430.0,17.5142991976,15.3164511762,14.0512552208,0.7
1458.0,18.5242965546,15.2319770135,13.6191883602,0.7
1488.0,17.3347441119,15.1580621212,13.40315493,0.7
1518.0,17.2000777977,15.1475028508,13.1631177852,0.7
1548.0,16.9083007834,15.1052657695,12.899076926,1.8
1578.0,17.8060762119,15.0841472288,12.6190335905,-0.4
1606.0,17.1888556048,15.0630286881,12.3469914931,0.7
1638.0,16.2910801763,14.9996730661,12.0909518721,-0.4
1666.0,17.1888556048,14.9257581737,11.8189097747,0.7
1694.0,16.2910801763,14.8518432813,11.5468676773,-0.4
1726.0,16.313524562,14.7884876593,11.2828268181,-0.4
1754.0,16.1451916692,14.7356913076,10.9547760536,0.7
1784.0,15.8646368478,14.6617764152,10.6507290036,0.7
1814.0,16.9980783263,14.5667429822,10.2906732865,0.7
1844.0,15.9656365835,14.4505910084,10.0026287128,-0.4
1874.0,15.8983034264,14.3555575754,9.68257918651,0.7
1902.0,16.5155240335,14.3027612237,9.31452223124,0.7
1934.0,16.5940793834,14.2288463313,8.93846403782,0.7
1962.0,15.382082555,14.1338128983,8.6184145115,0.7
1992.0,16.6950791191,14.0282201949,8.24235631807,0.7
2022.0,15.696303955,13.8592718694,7.93830926807,-0.4
2052.0,15.6626373764,13.658645733,7.61025850359,-0.4
2082.0,15.4269713264,13.4263417855,7.29020897728,-0.4
2110.0,16.2461914049,13.2362749194,6.95415697464,-0.4
2142.0,16.0329697406,13.035648783,6.64210868648,1.8
2170.0,15.1688608907,12.8667004576,6.41807401806,0.7
2198.0,15.853414655,12.7083114025,6.12202820621,0.7
2228.0,15.067861155,12.5710408881,5.92999849042,0.7
2256.0,15.0341945765,12.4232111033,5.705963822,-1.5
2286.0,15.8085258835,12.2648220482,5.48993039173,0.7
2314.0,15.5055266764,12.1486700745,5.28989943778,-0.4
2344.0,15.5728598336,12.0536366415,5.10587096015,-0.4
2374.0,14.7873063336,11.9480439381,4.94584619699,-0.4
2402.0,14.7648619479,11.8424512347,4.76181771936,0.7
2432.0,15.2474162407,11.7474178016,4.57778924172,0.7
2460.0,14.5628624765,11.6840621796,4.40176200225,-0.4
2490.0,15.4494157121,11.6207065576,4.24973847725,-0.4
2518.0,15.1688608907,11.5256731245,4.08971371409,-0.4
2548.0,14.2823076551,11.4306396914,3.94569142724,0.7
2578.0,14.1476413409,11.3356062584,3.82567285488,-0.4
2606.0,15.2698606265,11.2405728253,3.69765304435,-0.4
2634.0,14.450640548,11.134980122,3.62564190093,0.7
2666.0,14.9219726479,11.0399466889,3.52962704303,0.7
2694.0,14.2261966909,10.9237947152,3.4976220904,0.7
2722.0,14.0803081837,10.8182020118,3.48161961408,-0.4
2752.0,15.0341945765,10.7442871194,3.54562951935,-0.4
2782.0,14.0690859909,10.702050038,3.65764685356,0.7
2810.0,14.0803081837,10.702050038,3.76166294961,1.8
2838.0,14.0690859909,10.6914907677,3.85767780751,0.7
2870.0,14.2486410766,10.7231685787,3.9536926654,0.7
2898.0,15.2923050122,10.7654056601,4.0497075233,-0.4
2926.0,14.1476413409,10.7865242008,4.13772114304,0.7
2956.0,15.1688608907,10.7865242008,4.27374219172,-0.4
2984.0,14.5404180908,10.7759649304,4.39376076409,0.7
3014.0,14.4843071265,10.7654056601,4.56178676541,-0.4
3042.0,15.853414655,10.7654056601,4.76181771936,0.7
3074.0,16.1003028978,10.7759649304,4.96184867331,-0.4
3102.0,15.224971855,10.8076427414,5.1538783891,-0.4
3130.0,16.784856662,10.8498798228,5.42592048647,0.7
3160.0,15.3596381693,10.8815576338,5.65795639305,-0.4
3188.0,15.6738595693,10.9237947152,5.92199725226,0.7
3218.0,16.8746342048,10.9660317965,6.2580492549,0.7
3246.0,16.5267462263,11.0505059592,6.53809259043,-0.4
3276.0,16.9756339405,11.1244208516,6.85014087859,0.7
3306.0,15.6626373764,11.2194542847,7.16218916675,-1.5
3334.0,15.9768587764,11.3461655287,7.49824116938,0.7
3364.0,16.0554141264,11.4728767728,7.8182906957,-0.4
3394.0,16.1003028978,11.5679102059,8.20235012728,0.7
3424.0,16.1451916692,11.6735029092,8.57040708255,0.7
3454.0,16.1900804406,11.789654883,8.90645908519,0.7
3482.0,16.1227472835,11.9269253974,9.27451604045,-0.4
3514.0,16.5716349977,12.0536366415,9.70658290098,0.7
3542.0,17.6714098976,12.1697886152,10.0746398562,-0.4
3572.0,17.9182981404,12.3176183999,10.4506980497,-0.4
3602.0,16.7511900834,12.4654481847,10.7867500523,0.7
3632.0,17.8621871762,12.6555150508,11.0987983405,0.7
3662.0,16.6614125406,12.8561411872,11.4268491049,0.7
3690.0,16.8073010477,13.0778858644,11.7468986313,-0.4
3720.0,16.784856662,13.2679527305,12.0589469194,-0.4
3750.0,17.1664112191,13.4052232449,12.3229877786,-0.4
3778.0,17.1103002548,13.5213752186,12.5790273997,0.7
3810.0,18.0754088404,13.6692050033,12.8350670207,-0.4
3838.0,17.2786331476,13.8487125991,13.0591016892,-0.4
3868.0,18.1539641904,13.9754238432,13.2351289286,-0.4
3898.0,17.3235219191,14.0915758169,13.3631487392,-0.4
3928.0,18.4794077832,14.18660925,13.5311747405,-0.4
3958.0,18.5355187475,14.313320494,13.6911995037,0.7
3986.0,18.4681855904,14.4189131974,13.7232044563,-0.4
4018.0,18.4232968189,14.4928280898,13.7312056944,-0.4
4046.0,17.3235219191,14.5667429822,13.7792131234,0.7
4076.0,17.559187969,14.6300986042,13.8032168379,0.7
4106.0,18.2212973475,14.7145727669,13.7552094089,0.7
4134.0,17.5704101619,14.7673691186,13.6831982655,0.7
4166.0,18.3559636618,14.7462505779,13.6111871221,0.7
4194.0,18.4906299761,14.7356913076,13.5231735023,-0.4
4224.0,17.6826320905,14.7568098483,13.4431611208,-0.4
4254.0,17.4469660405,14.7568098483,13.3151413102,-0.4
4282.0,17.2112999905,14.7779283889,13.0911066418,-0.4
4314.0,17.1439668334,14.7990469296,12.8190645444,0.7
4342.0,17.9968534904,14.8201654703,12.5070162563,-0.4
4372.0,16.941967362,14.841284011,12.2029692063,0.7
4402.0,17.020522712,14.8307247406,11.8989221563,0.7
4430.0,16.4594130692,14.7673691186,11.6268800589,-0.4
4462.0,17.3010775334,14.7145727669,11.3708404378,0.7
4490.0,16.0666363192,14.6617764152,11.1628082457,1.8
4520.0,16.8073010477,14.5878615228,10.8827649102,0.7
4550.0,16.863412012,14.5033873601,10.618724051,0.7
4580.0,16.0105253549,14.4189131974,10.3786869063,-0.4
4610.0,15.9656365835,14.3661168457,10.1466509997,0.7
4638.0,16.9644117477,14.3344390347,9.83460271151,-0.4
4670.0,16.6053015763,14.3027612237,9.53055566151,-0.4
4698.0,15.9095256192,14.2394056017,9.25851356414,0.7
4728.0,16.4818574549,14.1443721686,8.91446032334,0.7
4758.0,15.8197480764,14.0387794652,8.59441079702,-1.5
4786.0,16.3471911406,13.9437460322,8.22635384176,-0.4
4816.0,15.224971855,13.8698311398,7.85829688649,-0.4
4846.0,16.6053015763,13.8064755177,7.46623621675,-0.4
4876.0,16.1788582478,13.7642384364,7.10618049964,-0.4
4906.0,16.0666363192,13.626967922,6.77012849701,0.7
4934.0,16.1451916692,13.3629861635,6.45007897069,-0.4
4964.0,14.7873063336,13.0884451347,6.11402696805,-0.4
4994.0,15.6065264121,12.8139041059,5.80197867989,0.7
5022.0,15.7075261478,12.5921594288,5.52193534436,-0.4
5050.0,14.6750844051,12.4020925626,5.28189819963,0.7
