----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,19
TIME,23:59:53,UTC
PLOT,1,#
HEIGHT,64,cm
TEMPERATURE,30.4,C
HUMIDITY,22.8,%
LATITUDE,39.6694,angular degrees
LONGITUDE,-75.7522,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,12.7897560053,10.4803053609,2.03339550749,-0.4
36.0,11.959313734,10.4697460906,2.02539426933,-0.4
60.0,11.8134252268,10.4591868202,2.05739922196,0.7
90.0,11.802203034,10.4380682796,2.04939798381,0.7
120.0,11.802203034,10.4275090092,2.00939179302,0.7
148.0,12.576534341,10.4169497389,2.0894041746,0.7
178.0,12.9468667053,10.4380682796,2.13741160354,-0.4
208.0,11.723647684,10.4486275499,2.12941036539,-0.4
236.0,12.9805332839,10.4380682796,2.17741779433,-0.4
264.0,11.9256471554,10.4275090092,2.25743017591,-0.4
294.0,12.7224228482,10.4169497389,2.38544998644,-0.4
324.0,12.890755741,10.4063904686,2.6414896075,-0.4
352.0,11.8695361911,10.3747126575,2.7935131325,0.7
382.0,13.1600883695,10.3535941169,2.99354408645,0.7
410.0,12.116424434,10.3641533872,3.1935750404,0.7
440.0,13.4743097695,10.3641533872,3.44161342329,-0.4
468.0,12.037869084,10.3641533872,3.63364313908,-0.4
496.0,12.5092011839,10.3641533872,3.85767780751,-0.4
528.0,12.4194236411,10.4380682796,4.15372361935,-0.4
556.0,12.5989787268,10.5119831719,4.37775828778,0.7
584.0,12.6102009196,10.5964573347,4.59379171804,0.7
614.0,14.0915303766,10.7231685787,4.76181771936,-0.4
644.0,13.0029776696,10.8498798228,5.00985610225,-0.4
672.0,14.1027525694,10.9977096075,5.28989943778,0.7
700.0,14.1251969552,11.134980122,5.44992420094,0.7
732.0,13.362087841,11.293369177,5.67395886937,-0.4
760.0,13.5977538909,11.4411989618,5.88199106147,0.7
788.0,14.5740846694,11.6101472872,6.18603811148,-0.4
818.0,13.8446421338,11.789654883,6.37006658911,-0.4
848.0,15.2361940479,11.9586032084,6.57809878122,-0.4
876.0,14.0129750266,12.1169922635,6.80213344964,-0.4
904.0,15.4269713264,12.2753813186,7.00216440359,-0.4
936.0,13.9456418695,12.4337703737,7.12218297596,0.7
964.0,14.1476413409,12.5816001584,7.33021516807,0.7
994.0,15.146416505,12.7294299432,7.55424983649,-0.4
1024.0,14.5067515123,12.8772597279,7.80228821939,0.7
1052.0,14.2710854623,13.0462080533,8.0663290786,-0.4
1084.0,14.8546394908,13.2257156491,8.25835879439,0.7
1112.0,15.7524149193,13.3946639745,8.43438603387,-0.4
1144.0,14.529195898,13.5424937593,8.53040089176,-0.4
1172.0,14.9444170336,13.658645733,8.62641574966,0.7
1202.0,14.9219726479,13.7536791661,8.69042565492,-0.4
1232.0,14.7087509837,13.8487125991,8.71442936939,0.7
1260.0,14.9444170336,13.9543053025,8.69842689308,0.7
1292.0,15.5728598336,14.0704572762,8.6184145115,-0.4
1320.0,15.9207478121,14.1654907093,8.4663909865,0.7
1350.0,14.7199731765,14.218287061,8.28236250886,-0.4
1380.0,15.5840820264,14.2288463313,8.02632288781,0.7
1410.0,14.6526400194,14.1971685203,7.7622820286,0.7
1438.0,14.6526400194,14.1760499796,7.4182287878,-0.4
1468.0,14.2598632694,14.1443721686,7.13818545227,-0.4
1498.0,13.9231974837,14.1232536279,6.89814830754,0.7
1528.0,14.6414178265,14.0704572762,6.61810497201,0.7
1556.0,14.450640548,13.9859831135,6.37806782727,-0.4
1586.0,13.3508656481,13.9015089508,6.17803687332,-0.4
1616.0,14.2486410766,13.8487125991,5.92199725226,-0.4
1644.0,14.3384186194,13.7642384364,5.705963822,-0.4
1672.0,13.4294209981,13.690323544,5.54593905884,0.7
1704.0,13.0815330196,13.595290111,5.37791305752,0.7
1732.0,14.057863798,13.5002566779,5.24189200884,1.8
1760.0,13.1376439838,13.4263417855,5.07386600752,-0.4
1790.0,12.9580888981,13.3418676228,4.94584619699,0.7
1820.0,13.8558643266,13.2785120008,4.76981895752,-0.4
1848.0,12.8009781982,13.2045971084,4.64179914699,0.7
1878.0,13.7324202052,13.1412414864,4.51377933646,0.7
1906.0,12.4867567982,13.0567673237,4.37775828778,0.7
1936.0,12.4418680268,12.9617338906,4.25773971541,0.7
1964.0,12.6326453053,12.8772597279,4.14572238119,-0.4
1992.0,13.2274215267,12.7822262949,4.05770876146,-0.4
2024.0,13.4181988052,12.6343965101,3.94569142724,-0.4
2052.0,12.1388688197,12.4654481847,3.83367409303,0.7
2082.0,13.0590886338,12.2648220482,3.7456604733,0.7
2110.0,13.1600883695,12.0536366415,3.6496456154,-0.4
2140.0,11.9705359268,11.8741290457,3.52162580487,0.7
2168.0,12.8234225839,11.7368585313,3.40960847066,0.7
2196.0,12.6999784625,11.6101472872,3.32159485092,-0.4
2228.0,11.8583139983,11.4834360431,3.21757875487,-0.4
2256.0,11.8583139983,11.3356062584,3.10556142066,0.7
2284.0,12.4643124125,11.230013555,2.98554284829,0.7
2314.0,11.4992038269,11.134980122,2.91353170487,0.7
2344.0,11.4655372483,11.0399466889,2.82551808513,0.7
2372.0,11.4430928626,10.9449132558,2.73750446539,-1.5
2400.0,11.4318706697,10.8182020118,2.64949084565,-0.4
2432.0,11.3982040912,10.7126093084,2.60948465486,-0.4
2460.0,12.5204233768,10.607016605,2.60148341671,-1.5
2488.0,12.2959795196,10.5119831719,2.59348217855,0.7
2518.0,11.5104260197,10.3958311982,2.57747970223,-1.5
2548.0,11.5440925983,10.2796792245,2.58548094039,0.7
2576.0,12.2735351339,10.1529679804,2.68949703644,-0.4
2604.0,11.3196487412,10.0368160067,2.77751065618,0.7
2636.0,12.4306458339,9.97346038465,2.90553046671,0.7
2664.0,12.4755346053,9.93122330329,3.00954656276,0.7
2692.0,11.3645375126,9.96290111431,3.07355646803,-0.4
2722.0,11.4430928626,10.015697466,3.11356265882,0.7
2752.0,12.4306458339,10.0579345474,3.16957132592,0.7
2780.0,11.6675367197,10.0896123584,3.21757875487,0.7
2810.0,12.969311091,10.1107308991,3.32159485092,0.7
2838.0,11.9817581197,10.1001716287,3.44161342329,-0.4
2868.0,12.3857570625,10.0684938177,3.60963942461,0.7
2896.0,12.7448672339,10.0262567363,3.76966418777,-0.4
2924.0,13.7436423981,10.0051381957,3.9536926654,-1.5
2956.0,13.7660867838,10.0579345474,4.15372361935,0.7
2984.0,12.8795335482,10.1212901694,4.30574714435,-0.4
3012.0,13.9119752909,10.1740865211,4.43376695488,0.7
3042.0,13.9568640623,10.2374421431,4.6017929562,-0.4
3072.0,13.0029776696,10.3219163058,4.77782019567,-0.4
3100.0,14.0241972194,10.4169497389,4.96984991146,-0.4
3128.0,14.5628624765,10.5225424423,5.1538783891,-0.4
3160.0,14.4394183551,10.638694416,5.37791305752,0.7
3188.0,13.4518653838,10.7759649304,5.62595144042,-0.4
3216.0,14.7424175622,10.9132354448,5.89799353779,0.7
3246.0,14.057863798,11.0716244999,6.13803068253,-0.4
3276.0,15.2474162407,11.2511320957,6.43407649437,0.7
3304.0,14.1251969552,11.4411989618,6.64210868648,0.7
3332.0,14.2261966909,11.6312658279,6.88214583122,0.7
3364.0,15.1015277336,11.8318919643,7.28220773912,-0.4
3392.0,14.3159742337,12.0219588304,7.6662671707,-0.4
3422.0,15.4494157121,12.2014664262,8.08233155491,-0.4
3452.0,15.8646368478,12.380974022,8.4663909865,0.7
3480.0,14.7424175622,12.5499223474,8.83444794176,0.7
3512.0,14.6863065979,12.7188706728,8.93846403782,-0.4
3540.0,15.617748605,12.8772597279,9.21050613519,-0.4
3570.0,15.303527205,13.0778858644,9.40253585098,-0.4
3600.0,16.2461914049,13.2468341898,9.63457175756,-0.4
3630.0,15.1913052765,13.4263417855,9.85860642598,0.7
3660.0,15.2361940479,13.5741715703,10.0026287128,-0.4
3688.0,15.4381935193,13.7114420847,10.1466509997,0.7
3720.0,16.1788582478,13.8803904101,10.2826720484,-0.4
3748.0,15.4830822907,14.0493387355,10.3866881444,-0.4
3778.0,16.1115250906,14.1760499796,10.4827030023,-0.4
3808.0,16.3471911406,14.2922019533,10.5467129076,0.7
3836.0,15.460637905,14.3977946567,10.5947203365,0.7
3866.0,15.1800830836,14.5350651711,10.570716622,0.7
3896.0,16.0441919335,14.6406578745,10.4987054786,-0.4
3926.0,15.3596381693,14.6934542262,10.4026906207,0.7
3956.0,16.1788582478,14.6934542262,10.2026596668,-0.4
3984.0,16.1003028978,14.6723356856,9.95462128388,0.7
4016.0,16.3247467549,14.6723356856,9.68257918651,0.7
4044.0,15.1576386979,14.6617764152,9.38653337466,0.7
4074.0,15.7973036907,14.6406578745,9.00247394308,-0.4
4104.0,14.8658616836,14.6512171449,8.77843927466,0.7
4134.0,14.3384186194,14.6512171449,8.5223996536,0.7
4164.0,13.900753098,14.6089800635,8.24235631807,-0.4
4192.0,14.3047520408,14.5773022525,7.93830926807,-0.4
4224.0,15.0229723836,14.5139466305,7.65826593254,0.7
4252.0,15.0005279979,14.4611502788,7.41022754965,-0.4
4282.0,15.0566389622,14.3872353864,7.17819164306,0.7
4312.0,13.7660867838,14.3027612237,6.93815449833,-0.4
4342.0,14.4394183551,14.2077277906,6.65010992464,0.7
4370.0,13.5865316981,14.1232536279,6.45808020885,0.7
4400.0,14.450640548,14.0387794652,6.23404554042,-0.4
4428.0,14.2823076551,13.9120682211,6.010010872,-0.4
4456.0,13.1151995981,13.7959162474,5.80197867989,1.8
4488.0,12.8234225839,13.6692050033,5.4579254391,-0.4
4516.0,13.1600883695,13.5108159483,5.13787591278,-0.4
4544.0,12.9132001267,13.3101898118,4.84183010094,-0.4
4574.0,13.822197748,13.0778858644,4.58579047988,0.7
4604.0,13.6089760838,12.8350226466,4.44176819304,0.7
4632.0,12.7785338124,12.6343965101,4.2977459062,-0.4
4660.0,12.4867567982,12.476007455,4.21773352462,0.7
4692.0,12.5877565339,12.349296211,4.12171866672,0.7
