----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,17
TIME,18:25:50,UTC
PLOT,5,#
HEIGHT,64,cm
TEMPERATURE,36.1,C
HUMIDITY,24.0,%
LATITUDE,39.6694,angular degrees
LONGITUDE,-75.7521,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,5.18760877132,4.91118530885,1.94514544178,0.335773807675
18.0,5.18760877132,4.90016694491,2.06831834429,0.334594686966
44.0,5.2171448461,4.90016694491,2.16685666631,0.334594686966
74.0,5.24668092089,4.90016694491,2.26539498832,0.334358862825
105.0,5.30575307046,4.90016694491,2.26539498832,0.334123038683
135.0,5.38451593655,4.92220367279,2.33929872983,0.335302159392
165.0,5.46327880265,4.96627712855,2.55279842753,0.331528973125
290.0,6.04415494008,4.97729549249,4.40860349213,0.328227435141
358.0,5.87678384963,4.98831385643,4.75348761918,0.324454248874
383.0,5.73894883397,4.82303839733,5.44325587327,0.327284138574
414.0,5.67003132614,4.78998330551,6.22335092255,0.326105017866
444.0,5.62080453483,4.84507512521,7.03629207917,0.324218424733
475.0,5.65034060962,5.07646076795,7.79996407477,0.325161721299
505.0,5.78817562528,5.31886477462,8.44046316787,0.323275128166
536.0,6.00477350704,5.60534223706,8.94136630477,0.323039304024
567.0,6.1426085227,5.86978297162,9.40942333434,0.323746776449
597.0,6.34936104619,6.12320534224,9.58186539786,0.323510952307
627.0,6.54626821143,6.34357262104,9.81178814923,0.324454248874
658.0,6.80224752623,6.60801335559,9.91032647124,0.320445238466
689.0,7.07791755756,6.88347245409,10.0745570079,0.320209414324
719.0,7.46188652976,7.13689482471,10.2059414373,0.320916886749
750.0,7.78678335239,7.35726210351,10.3948065545,0.317615348765
781.0,8.14121624981,7.53355592654,10.7314791547,0.319973590182
811.0,8.43657699766,7.76494156928,11.0517287012,0.319030293616
842.0,8.74178310377,7.98530884808,11.5690548918,0.31690787634
873.0,8.97807170205,8.30484140234,12.0617465019,0.315964579774
904.0,9.25374173338,8.64641068447,12.751514756,0.315728755632
934.0,9.44080354035,9.06510851419,13.3016870539,0.315964579774
965.0,9.7361642882,9.47278797997,13.9996668348,0.314549634924
996.0,10.0512157526,9.93555926544,14.4923584449,0.318558645332
1025.0,10.3170404256,10.4313856427,15.1000114306,0.31690787634
1055.0,10.6222465317,10.9161936561,15.5187992992,0.315728755632
1086.0,10.8093083387,11.3679465776,15.8226257921,0.314785459065
1116.0,11.0259062205,11.852754591,15.8883180068,0.315964579774
1146.0,11.1834319527,12.2604340568,15.9868563288,0.322096007457
1176.0,11.4295659092,12.6570951586,15.9129525873,0.314549634924
1207.0,11.5575555666,13.0207011686,16.0197024361,0.315728755632
1236.0,11.7052359405,13.3622704508,16.0114909093,0.313842162499
1267.0,11.8332255979,13.6487479132,15.9375871678,0.314785459065
1297.0,11.9809059719,13.9462437396,16.0443370166,0.314313810782
1326.0,12.0596688379,14.1335559265,16.0689715971,0.315964579774
1357.0,12.1679677788,14.3208681135,16.2660482411,0.316672052199
1387.0,12.2762667197,14.4971619366,16.1182407581,0.314785459065
1418.0,12.3550295858,14.7946577629,15.8554718994,0.31407798664
1447.0,12.4141017354,15.2133555927,15.9704332751,0.312427217648
1478.0,12.3944110188,15.5659432387,15.7322989969,0.313134690074
1508.0,12.3451842275,15.9515859766,15.2067612795,0.313134690074
1538.0,12.2467306449,16.1058430718,14.9439924208,0.314549634924
1568.0,11.9021431058,16.1499165275,14.5252045522,0.312898865932
