----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2080
MONTH,1
DAY,5
TIME,23:59:49,UTC
PLOT,10,#
HEIGHT,64,cm
TEMPERATURE,30.1,C
HUMIDITY,28.7,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,14.2598632694,8.7169072143,6.48208392332,5.1
37.0,12.4643124125,8.7169072143,6.61010373385,5.1
59.0,12.6775340767,8.7169072143,6.69811735359,5.1
88.0,11.7012032983,8.68522940328,6.64210868648,6.2
117.0,12.3633126768,8.65355159226,6.55409506674,5.1
145.0,11.5104260197,8.63243305158,6.51408887595,5.1
174.0,11.723647684,8.59019597023,6.49008516148,5.1
203.0,11.5104260197,8.54795888887,6.37006658911,4.0
231.0,11.8246474197,8.53739961853,6.47408268516,4.0
260.0,11.7124254911,8.51628107785,6.61010373385,5.1
289.0,12.890755741,8.49516253717,6.81813592596,6.2
317.0,11.9032027697,8.46348472616,7.04217059438,6.2
346.0,11.5889813697,8.38956983378,7.25820402464,6.2
376.0,11.7348698769,8.30509567107,7.64226345623,6.2
404.0,11.9705359268,8.19950296768,8.19434888913,5.1
433.0,11.802203034,8.11502880497,8.73043184571,6.2
463.0,11.880758384,8.06223245327,9.29051851677,4.0
492.0,13.0815330196,8.06223245327,9.94662004572,6.2
521.0,13.3396434552,8.11502880497,10.570716622,5.1
550.0,13.3733100338,8.18894369734,11.2508218655,5.1
580.0,13.5304207338,8.25229931937,12.1149555865,5.1
608.0,12.6999784625,8.3684512931,12.9790893076,4.0
637.0,12.8346447767,8.50572180751,13.8032168379,5.1
667.0,13.9680862552,8.64299232192,14.7793678931,5.1
695.0,14.3384186194,8.80138137701,15.7715214247,5.1
725.0,13.3396434552,9.00200751345,16.6196526695,5.1
754.0,13.6763092409,9.21319292023,17.6118062011,5.1
783.0,13.7997533623,9.44549686769,18.6919733524,4.0
812.0,13.9231974837,9.70947862617,19.6681244077,5.1
842.0,14.4169739694,10.0684938177,20.4522457471,5.1
870.0,15.3484159764,10.3747126575,21.3723881353,5.1
899.0,14.6863065979,10.7126093084,21.9884834735,4.0
929.0,14.5740846694,11.0505059592,22.5885763353,4.0
957.0,16.0890807049,11.3672840694,23.1726667208,5.1
987.0,16.2237470192,11.6840621796,23.6687434866,5.1
1016.0,15.2586384336,11.9902810194,24.0287992037,4.0
1046.0,16.0778585121,12.2859405889,24.3168437774,5.1
1074.0,15.4381935193,12.5499223474,24.5728833985,5.1
1103.0,15.303527205,12.8244633762,24.7649131143,4.0
1133.0,16.2798579835,13.0778858644,24.6768994945,5.1
1161.0,15.6514151835,13.2890712711,24.6048883511,5.1
1191.0,15.617748605,13.5213752186,24.4688673024,4.0
1220.0,15.5279710621,13.7853569771,24.0448016801,5.1
1249.0,15.2025274693,13.9648645728,23.4447088182,5.1
1278.0,14.8883060694,14.0704572762,22.5965775735,4.0
1308.0,14.7424175622,14.1654907093,21.6204265182,5.1
1336.0,14.450640548,14.1338128983,20.7402903208,5.1
1365.0,14.0803081837,14.0598980059,19.9481677432,5.1
1395.0,14.3833073908,13.9754238432,19.0840340221,4.0
1423.0,14.9444170336,13.9015089508,18.2839102063,4.0
1453.0,14.9331948408,13.7853569771,17.4197764853,5.1
1482.0,13.8446421338,13.6480864627,16.6356551458,4.0
1511.0,14.7873063336,13.5108159483,15.9715523787,5.1
1540.0,13.6314204695,13.3101898118,15.2834458971,5.1
1569.0,14.2374188837,13.1201229457,14.4033096997,5.1
1598.0,14.4057517765,12.9300560796,13.6511933129,5.1
1627.0,14.0803081837,12.7399892135,12.9150794023,5.1
1657.0,14.293529848,12.412651833,12.138959301,6.2
1686.0,12.9468667053,12.1381108042,11.6108775826,4.0
1715.0,12.812200391,11.916366127,11.0507909115,5.1
1744.0,12.7897560053,11.7051807203,10.466700526,5.1
1774.0,12.5092011839,11.4623175025,9.99462747467,4.0
1802.0,12.576534341,11.2722506364,9.49054947072,4.0
1831.0,12.4194236411,11.1455393923,9.03447889571,5.1
1861.0,12.3520904839,10.9977096075,8.53840212992,5.1
1889.0,13.4743097695,10.9132354448,8.01832164965,4.0
1919.0,13.2610881053,10.8498798228,7.52224488386,5.1
1948.0,11.8919805768,10.8393205525,6.99416316543,5.1
1977.0,12.9805332839,10.7865242008,6.45808020885,5.1
2006.0,11.9929803125,10.6598129567,5.9540022049,4.0
2034.0,12.8795335482,10.4697460906,5.38591429568,5.1
2062.0,12.3745348696,10.3007977652,4.91384124436,5.1
2091.0,12.4418680268,10.079053088,4.5057780983,4.0
2120.0,11.4767594412,9.83618987024,3.98569761803,5.1
2148.0,11.1962046198,9.57220811176,3.56163199566,5.1
2177.0,11.330870934,9.31878562363,3.26558618382,5.1
2206.0,11.9929803125,9.07592240583,2.91353170487,5.1
2234.0,11.0166495341,8.80138137701,2.74550570355,5.1
2263.0,11.0054273412,8.50572180751,2.6414896075,5.1
2292.0,10.9605385698,8.16782515666,2.60148341671,4.0
2320.0,12.0827578554,7.87216558717,2.63348836934,5.1
2349.0,11.959313734,7.56594674733,2.88152675223,5.1
2378.0,11.7797586483,7.37587988123,3.16957132592,6.2
2406.0,11.8358696126,7.37587988123,3.31359361277,5.1
2434.0,11.3982040912,7.40755769225,3.60963942461,5.1
2463.0,12.5877565339,7.35476134055,4.07371123777,5.1
2491.0,11.723647684,7.36532061089,4.42576571672,5.1
2520.0,12.890755741,7.46035404394,4.88183629173,5.1
2549.0,11.880758384,7.47091331428,5.40991801015,5.1
2577.0,11.9368693483,7.4497947736,5.93799972858,5.1
2606.0,13.362087841,7.53426893631,6.53009135227,4.0
2635.0,12.2959795196,7.60818382869,7.09017802333,5.1
2663.0,12.5653121482,7.65042091004,7.75428079044,5.1
2693.0,12.4755346053,7.7454543431,8.44238727202,5.1
2722.0,13.6650870481,7.89328412784,9.16249870624,5.1
2752.0,13.822197748,8.01999537191,9.90661385493,5.1
2780.0,12.9356445124,8.13614734564,10.7387426234,4.0
2810.0,13.979308448,8.38956983378,11.5628701536,5.1
2839.0,14.293529848,8.63243305158,12.2269729207,5.1
2867.0,14.1925301123,8.80138137701,13.1311128326,5.1
2897.0,14.5853068622,9.02312605413,14.0992626497,5.1
2926.0,14.5853068622,9.27654854227,14.8113728458,4.0
2955.0,14.057863798,9.45605613803,15.5954941852,5.1
2984.0,13.9905306409,9.65668227448,16.5796464787,4.0
3014.0,14.0803081837,9.89954549228,17.4677839142,5.1
3042.0,14.4730849337,10.1001716287,18.26790773,6.2
3072.0,14.6975287908,10.3007977652,19.2120538326,5.1
3101.0,14.8209729122,10.543660983,20.1481986971,5.1
3129.0,14.7536397551,10.7654056601,20.8123014642,4.0
3159.0,15.1576386979,10.9660317965,21.6204265182,4.0
3188.0,15.9768587764,11.261691366,22.5965775735,6.2
3217.0,16.1676360549,11.5362323948,23.2846840551,5.1
3246.0,15.3596381693,11.8107734237,23.8847769169,5.1
3276.0,16.6053015763,12.0747551821,24.6208908274,6.2
3304.0,16.3584133335,12.3070591296,25.1969799748,6.2
3333.0,16.9083007834,12.507685266,25.7010579788,5.1
3363.0,16.6165237692,12.6977521321,26.3251545551,5.1
3392.0,17.1215224477,12.9511746203,26.7972276064,4.0
3421.0,15.8758590407,13.130682216,26.877239988,4.0
3450.0,16.2237470192,13.2890712711,27.0772709419,5.1
3480.0,17.3347441119,13.5636123,27.3173080867,5.1
3508.0,15.9993031621,13.8487125991,27.3253093248,5.1
3538.0,15.9095256192,14.1654907093,27.3013056104,6.2
3567.0,16.4594130692,14.4611502788,27.1892882761,4.0
3595.0,16.0217475478,14.7251320373,26.677209034,6.2
3625.0,14.8883060694,14.9574359847,26.0371099814,5.1
3654.0,17.0766336762,15.0947064991,25.004950259,4.0
3683.0,16.5043018406,15.1475028508,23.7647583445,5.1
3712.0,14.7087509837,15.2425362839,22.6925924314,4.0
3742.0,15.8646368478,15.2847733652,21.7004388998,4.0
3770.0,16.1003028978,15.2319770135,20.7802965116,5.1
3799.0,15.5728598336,15.1475028508,19.7721405037,4.0
3829.0,15.539193255,15.0630286881,18.7559832576,4.0
3857.0,14.6301956337,14.904639633,17.7958346787,5.1
3887.0,14.5853068622,14.7145727669,16.7796774326,6.2
3916.0,13.9456418695,14.4822688195,15.8115276155,5.1
3945.0,14.0129750266,14.218287061,14.8673815129,5.1
3974.0,13.9568640623,13.8170347881,13.8512242668,5.1
4004.0,13.5865316981,13.5108159483,13.051100451,5.1
4033.0,13.6763092409,13.1834785677,12.2589778734,5.1
4061.0,13.6650870481,12.8983782686,11.3548379615,5.1
4091.0,13.1713105624,12.6660743211,10.570716622,4.0
4120.0,13.2723102981,12.4232111033,9.73858785361,5.1
4149.0,13.822197748,12.1486700745,9.03447889571,5.1
4178.0,12.9356445124,11.8952475864,8.45038851018,5.1
4208.0,13.4406431909,11.6418250982,7.70627336149,4.0
4236.0,13.362087841,11.4095211508,7.03416935622,5.1
4265.0,13.3171990695,11.166657933,6.51408887595,5.1
4294.0,12.1949797839,10.9977096075,6.00200963384,6.2
4322.0,11.9368693483,10.7654056601,5.48192915357,4.0
4351.0,12.6102009196,10.5119831719,5.08986848383,6.2
4380.0,11.9705359268,10.2796792245,4.60979419436,5.1
4408.0,11.5216482126,10.0684938177,4.16972609567,5.1
4437.0,12.5653121482,9.84674914058,3.76166294961,5.1
4466.0,11.3533153198,9.60388592278,3.41760970882,4.0
4494.0,12.2398685554,9.42437832702,3.01754780092,5.1
4523.0,11.2186490055,9.25543000159,2.80951560881,5.1
4552.0,12.3072017125,9.04424459481,2.55347598776,5.1
4580.0,12.0827578554,8.82249991769,2.28143389039,6.2
4609.0,11.1176492698,8.64299232192,2.0894041746,5.1
4638.0,12.0266468911,8.49516253717,1.96138436407,4.0
4665.0,11.0166495341,8.40012910412,1.76135341012,4.0
4694.0,10.9942051484,8.2311807787,1.64933607591,5.1
4723.0,11.7909808411,8.07279172361,1.72134721933,6.2
