----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2080
MONTH,1
DAY,5
TIME,23:59:52,UTC
PLOT,11,#
HEIGHT,64,cm
TEMPERATURE,30.6,C
HUMIDITY,28.9,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,13.7997533623,9.86786768126,13.4671648352,5.1
18.0,12.1388688197,9.8784269516,13.3311437865,5.1
74.0,12.0939800482,9.88898622194,12.8510694971,5.1
163.0,11.7124254911,9.81507132956,12.9070781642,5.1
188.0,11.3420931269,9.78339351855,12.9230806405,6.2
217.0,11.0839826912,9.75171570753,13.1071091181,5.1
246.0,12.1052022411,9.76227497787,13.1471153089,5.1
275.0,11.330870934,9.78339351855,13.2351289286,5.1
304.0,11.3084265483,9.8256305999,13.2271276905,5.1
333.0,11.4206484769,9.85730841092,13.1391140708,5.1
362.0,12.0266468911,9.88898622194,12.9390831168,5.1
392.0,11.0839826912,9.86786768126,12.6990459721,6.2
421.0,12.2174241697,9.8256305999,12.5310199707,5.1
450.0,12.0154246983,9.81507132956,12.4830125418,4.0
479.0,11.0727604984,9.76227497787,12.4590088273,5.1
509.0,11.9144249625,9.68836008549,12.443006351,5.1
537.0,10.9380941841,9.60388592278,12.4990150181,5.1
566.0,11.1064270769,9.52997103041,12.8190645444,4.0
596.0,12.0490912768,9.40325978634,13.3391450247,5.1
624.0,11.2186490055,9.30822635329,13.9392378865,6.2
654.0,12.4755346053,9.29766708295,14.723359226,4.0
683.0,11.6899811054,9.29766708295,15.3234520879,4.0
712.0,12.0154246983,9.31878562363,15.9155437116,5.1
741.0,13.1937549481,9.31878562363,16.547641526,5.1
771.0,12.0490912768,9.3399041643,17.0837244826,5.1
799.0,13.1600883695,9.38214124566,17.7558284879,6.2
828.0,13.6987536266,9.43493759736,18.467938684,5.1
858.0,12.655089691,9.56164884143,19.2200550708,5.1
886.0,12.4979789911,9.68836008549,19.9561689813,5.1
916.0,13.7099758195,9.77283424821,20.7962989879,5.1
945.0,13.8558643266,9.88898622194,21.4684029932,5.1
974.0,13.8895309052,10.0684938177,22.1565094748,5.1
1003.0,12.9580888981,10.2268828728,22.7165961458,5.1
1032.0,13.047866441,10.3852719279,23.4607112945,5.1
1062.0,14.2037523051,10.543660983,24.1568190143,5.1
1090.0,13.4406431909,10.7231685787,24.748910638,5.1
1120.0,14.5853068622,10.8709983635,25.2929948327,4.0
1149.0,13.5865316981,10.9660317965,25.6530505498,4.0
1178.0,13.6314204695,11.1138615813,26.1891335064,5.1
1207.0,14.8658616836,11.3039284474,26.6212003669,6.2
1237.0,14.0241972194,11.5151138542,26.9892573222,4.0
1265.0,13.9456418695,11.7790956126,27.2052907525,4.0
1294.0,14.8209729122,12.0113995601,27.2773018959,4.0
1324.0,13.9905306409,12.2648220482,27.1972895143,5.1
1352.0,14.8883060694,12.5499223474,26.8852412261,5.1
1382.0,14.9668614193,12.7927855652,26.3651607459,5.1
1411.0,13.7099758195,12.8878189982,25.7490654077,5.1
1440.0,14.529195898,12.9617338906,24.7569118761,5.1
1469.0,13.0590886338,12.9617338906,23.836769488,5.1
1498.0,12.655089691,12.9300560796,22.8526171945,5.1
1527.0,12.4082014482,12.9406153499,21.9324748064,4.0
1556.0,12.6102009196,12.972293161,20.9323200366,5.1
1586.0,12.5540899553,12.9617338906,19.940166505,4.0
1614.0,12.3857570625,12.9194968093,18.9400117353,6.2
1644.0,12.3408682911,12.8033448355,17.8838482984,5.1
1673.0,13.1376439838,12.6343965101,16.7796774326,5.1
1703.0,11.8470918054,12.4654481847,15.7715214247,5.1
1731.0,11.802203034,12.3176183999,14.6833530352,5.1
1760.0,12.5989787268,12.1486700745,13.4671648352,5.1
1790.0,11.6787589126,11.9374846677,12.4590088273,5.1
1818.0,12.1837575911,11.6629436389,11.3228330089,5.1
1848.0,12.116424434,11.4095211508,10.2506670957,5.1
1877.0,11.1064270769,11.1455393923,9.40253585098,4.0
1906.0,11.9929803125,10.8498798228,8.48239346281,5.1
1935.0,10.7809834841,10.5647795236,7.72227583781,4.0
1964.0,10.5677618198,10.2585606838,6.98616192727,5.1
1993.0,10.7585390984,9.95234184397,6.27405173121,5.1
2022.0,10.477984277,9.60388592278,5.68996134568,5.1
2051.0,11.4318706697,9.29766708295,5.1538783891,5.1
2079.0,11.2635377769,8.99144824311,4.68180533778,4.0
2108.0,11.1176492698,8.68522940328,4.31374838251,5.1
2137.0,9.89443024849,8.3684512931,4.08971371409,5.1
2164.0,10.0066521771,8.13614734564,3.94569142724,5.1
2193.0,10.0964297199,7.91440266852,3.91368647461,5.1
2222.0,10.2086516485,7.65042091004,4.00170009435,5.1
2250.0,11.0503161126,7.46035404394,4.26574095356,5.1
2279.0,10.1749850699,7.33364279987,4.55378552725,5.1
2308.0,10.3769845413,7.30196498885,4.93784495883,5.1
2336.0,11.3084265483,7.32308352953,5.3059019141,5.1
2365.0,10.4667620841,7.34420207021,5.71396506016,5.1
2394.0,10.6799837484,7.35476134055,6.25004801674,5.1
2422.0,11.4206484769,7.28084644818,6.83413840227,5.1
2451.0,11.1962046198,7.21749082614,7.47423745491,4.0
2480.0,11.330870934,7.19637228546,8.28236250886,5.1
2509.0,11.645092334,7.16469447445,9.17850118256,5.1
2538.0,12.3745348696,7.17525374478,10.1866571905,4.0
2568.0,11.5440925983,7.21749082614,11.1708094839,6.2
2597.0,11.6338701412,7.34420207021,12.2189716826,5.1
2625.0,12.7448672339,7.53426893631,13.40315493,4.0
2655.0,12.0042025054,7.85104704649,14.5153270339,5.1
2684.0,12.3520904839,8.14670661598,15.6114966616,5.1
2713.0,13.3508656481,8.4740439965,16.7876786708,5.1
2742.0,13.2947546838,8.81194064735,17.7158222971,5.1
2772.0,13.7660867838,9.16039656854,18.6439659234,5.1
2800.0,12.7448672339,9.48773394905,19.3960823103,5.1
2829.0,12.9468667053,9.76227497787,20.1321962208,5.1
2859.0,13.9344196766,10.047375277,20.9163175603,5.1
2887.0,12.969311091,10.3113570355,21.5244116603,6.2
2917.0,13.4855319624,10.5014239016,22.068495855,5.1
2946.0,13.3171990695,10.6809314974,22.5405689064,5.1
2975.0,13.3284212624,10.8182020118,23.0126419577,4.0
3004.0,14.6526400194,10.9977096075,23.532722438,5.1
3033.0,13.4406431909,11.166657933,23.9647892985,5.1
3062.0,14.5516402837,11.2828099067,24.396856159,5.1
3091.0,14.7199731765,11.4517582321,24.6929019709,5.1
3121.0,13.6538648552,11.5995880169,24.852926734,5.1
3149.0,13.8670865195,11.7368585313,24.9249378774,6.2
3179.0,14.8995282622,11.9480439381,24.8609279722,6.2
3208.0,13.5528651195,12.1697886152,24.6608970182,5.1
3238.0,14.8658616836,12.349296211,24.1888239669,4.0
3266.0,13.3059768767,12.5499223474,23.532722438,4.0
3295.0,13.4069766124,12.6766335915,22.5965775735,5.1
3325.0,12.7673116196,12.7399892135,21.3963918498,5.1
3353.0,12.6775340767,12.8139041059,20.4282420327,6.2
3383.0,12.4530902196,12.8350226466,19.5161008827,5.1
3412.0,12.1837575911,12.7716670245,18.467938684,5.1
3441.0,12.1388688197,12.6871928618,17.4517814379,5.1
3470.0,13.1376439838,12.5816001584,16.3716142866,5.1
3499.0,11.8583139983,12.4337703737,15.379460755,5.1
3528.0,12.7560894267,12.2331442372,14.3232973181,5.1
3557.0,12.8458669696,12.0430773711,13.3311437865,5.1
3587.0,11.7012032983,11.8424512347,12.3549927313,5.1
3615.0,12.2959795196,11.6418250982,11.3308342471,5.1
3645.0,12.4530902196,11.4517582321,10.2826720484,5.1
3674.0,12.116424434,11.2088950143,9.45054327993,6.2
3703.0,12.0490912768,10.9554725262,8.57840832071,6.2
3732.0,11.0278717269,10.670372227,7.89030183912,5.1
3761.0,10.8819832198,10.3852719279,7.13818545227,5.1
3790.0,11.487981634,10.079053088,6.40207154174,4.0
3819.0,10.5340952413,9.76227497787,5.78597620358,5.1
3848.0,11.4430928626,9.45605613803,5.17788210357,5.1
3877.0,11.4206484769,9.2026336499,4.62579667067,5.1
3905.0,11.4318706697,8.97032970243,4.15372361935,5.1
3934.0,10.3657623484,8.78026283633,3.84167533119,5.1
3961.0,10.1413184913,8.57963669989,3.54562951935,5.1
3990.0,10.1076519128,8.32621421175,3.38560475619,5.1
4019.0,10.1525406842,8.09391026429,3.26558618382,6.2
4048.0,11.0166495341,7.88272485751,3.22557999303,4.0
4076.0,10.1413184913,7.67153945072,3.31359361277,5.1
4105.0,10.0066521771,7.51315039564,3.58563571014,5.1
4134.0,10.8819832198,7.42867623292,3.93769018909,5.1
4162.0,9.90565244135,7.37587988123,4.19372981014,5.1
4191.0,10.2984291913,7.37587988123,4.59379171804,5.1
4220.0,10.6463171698,7.37587988123,4.98585238778,6.2
4248.0,10.7697612913,7.31252425919,5.48192915357,5.1
4277.0,11.9144249625,7.24916863716,6.28205296937,6.2
4306.0,12.037869084,7.18581301512,7.05017183254,5.1
4334.0,12.2510907482,7.13301666343,7.96231298255,6.2
4363.0,11.4206484769,7.11189812275,8.79444175097,5.1
4393.0,12.6438674982,7.12245739309,9.82660147335,4.0
4421.0,12.655089691,7.22805009648,10.8827649102,5.1
4451.0,12.576534341,7.39699842191,12.034943205,5.1
4480.0,12.0266468911,7.56594674733,13.1471153089,5.1
4509.0,13.1937549481,7.7454543431,14.5233282721,5.1
4538.0,12.1949797839,7.95663974988,15.7555189484,5.1
4568.0,13.4181988052,8.34733275243,17.203743055,5.1
4596.0,12.8346447767,8.74858502531,18.4119300169,4.0
4625.0,12.9132001267,9.10760021684,19.4760946919,4.0
4655.0,13.1713105624,9.392700516,20.5082544142,5.1
4683.0,14.2486410766,9.61444519312,21.5564166129,5.1
4713.0,14.2823076551,9.88898622194,22.6685887169,5.1
4742.0,13.4406431909,10.2796792245,23.788762059,4.0
4771.0,14.6414178265,10.575338794,24.9329391156,5.1
4800.0,14.7311953694,10.8287612821,25.8610827419,5.1
