----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2080
MONTH,1
DAY,5
TIME,23:59:45,UTC
PLOT,12,#
HEIGHT,64,cm
TEMPERATURE,30.8,C
HUMIDITY,29.5,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,7.88565772729,1.00863986674,6.14603192069,5.1
36.0,5.15866486332,0.976962055723,6.15403315884,4.0
59.0,6.34821730604,0.966402785384,6.11402696805,5.1
87.0,6.33699511319,0.955843515045,6.04201582463,5.1
116.0,5.25966459902,0.955843515045,6.04201582463,4.0
145.0,6.00032932751,0.955843515045,6.13002944437,5.1
173.0,6.28088414891,0.976962055723,6.08202201542,5.1
202.0,6.13499564178,0.987521326063,5.92199725226,4.0
231.0,5.30455337045,0.945284244706,5.88199106147,5.1
258.0,6.14621783464,0.90304716335,6.010010872,4.0
287.0,5.34944214187,0.839691541315,6.2580492549,4.0
316.0,5.25966459902,0.744658108263,6.53809259043,5.1
344.0,6.59510554887,0.66018394555,6.81813592596,5.1
373.0,5.40555310615,0.522913431141,7.19419411938,4.0
403.0,5.7983298561,0.364524376055,7.72227583781,5.1
431.0,6.87566037027,0.269490943003,8.42638479571,4.0
460.0,5.92177397752,0.237813131985,9.09048756282,4.0
490.0,7.36943685592,0.216694591307,9.85860642598,6.2
518.0,7.48165878448,0.216694591307,10.5787178602,5.1
548.0,6.70732747743,0.311728024359,11.3548379615,5.1
577.0,6.79710502028,0.54403197182,12.338990255,5.1
606.0,7.986657463,0.818573000637,13.355147501,5.1
635.0,8.14376816298,1.15646965149,14.163272555,5.1
665.0,8.53654491293,1.50492557268,14.9954013234,5.1
693.0,7.52654755591,1.89561857523,15.7555189484,4.0
722.0,7.93054649872,2.2651930371,16.5636440024,4.0
752.0,8.91809947003,2.63476749896,17.2997579129,5.1
780.0,9.20987648429,3.00434196083,17.9238544892,5.1
810.0,9.86076366993,3.34223861169,18.5399498274,4.0
839.0,8.73854438434,3.64845745152,19.0840340221,4.0
868.0,8.86198850575,3.90187993966,19.5801107879,6.2
897.0,9.87198586278,4.20809877949,20.0601850774,4.0
926.0,9.23232087,4.53543616001,20.5642630813,5.1
956.0,9.93931901992,4.77829937781,21.1083472761,4.0
984.0,9.44554253426,4.98948478459,21.4844054695,5.1
1014.0,9.55776446282,5.13731456934,21.8444611866,5.1
1043.0,9.59143104138,5.29570362442,22.22051938,4.0
1072.0,10.399428927,5.43297413883,22.6445850024,4.0
1101.0,9.46798691997,5.57024465324,22.8526171945,5.1
1131.0,10.9717607627,5.749752249,22.9966394814,5.1
1159.0,10.8483166412,5.9926154668,23.0846531011,4.0
1188.0,10.1076519128,6.2882750363,23.0846531011,5.1
1218.0,10.9380941841,6.68952730919,22.9806370051,4.0
1246.0,10.5902062056,7.10133885241,22.7646035748,4.0
1276.0,10.792205677,7.40755769225,22.4925614774,5.1
1305.0,9.23232087,7.56594674733,22.116503284,5.1
1334.0,8.97421043431,7.60818382869,21.6284277564,5.1
1363.0,9.63631981281,7.56594674733,21.0443373708,5.1
1392.0,8.71609999863,7.48147258462,20.4682482235,5.1
1421.0,9.20987648429,7.38643915157,19.7001293603,4.0
1450.0,9.23232087,7.22805009648,18.9000055445,6.2
1480.0,8.26721228439,7.06966104139,18.163891634,5.1
1508.0,8.03154623442,6.85847563461,17.3877715326,4.0
1538.0,9.03032139859,6.65784949817,16.5156365734,4.0
1567.0,7.52654755591,6.39386773969,15.8195288537,5.1
1597.0,8.32332324867,6.03485254816,14.9713976089,5.1
1625.0,7.31332589165,5.66527808629,14.3072948418,5.1
1654.0,7.0439932631,5.35905924646,13.6751970273,4.0
1684.0,6.81954940599,5.11619602866,13.0751041655,5.1
1712.0,7.90810211301,4.90501062187,12.3469914931,5.1
1742.0,7.41432562735,4.71494375577,11.5148627247,5.1
1771.0,6.53899458459,4.49319907865,10.7307413852,4.0
1800.0,6.38188388461,4.20809877949,10.0426349036,5.1
1829.0,6.97666010597,3.8596428583,9.53055566151,5.1
1858.0,5.9778849418,3.44783131508,9.09848880098,5.1
1887.0,6.92054914169,2.98322342016,8.59441079702,4.0
1916.0,6.34821730604,2.53973406591,8.19434888913,4.0
1946.0,5.56266380613,2.17015960404,7.9703142207,4.0
1974.0,5.39433091329,1.83226295319,7.81028945754,5.1
2004.0,6.53899458459,1.50492557268,7.57825355096,5.1
2033.0,6.57266116316,1.13535111081,7.42623002596,4.0
2062.0,6.21355099177,0.765776648941,7.39422507333,5.1
2091.0,5.2147758276,0.501794890463,7.50624240754,4.0
2120.0,5.25966459902,0.332846565037,7.73827831412,4.0
2150.0,5.57388599899,0.311728024359,7.99431793518,4.0
2178.0,6.97666010597,0.280050213342,8.29036374702,6.2
2208.0,7.41432562735,0.227253861646,8.69042565492,5.1
2237.0,6.61754993458,0.163898239612,9.11449127729,6.2
2266.0,6.70732747743,0.111101887916,9.5705618523,5.1
2295.0,8.03154623442,0.0583055362204,10.114646047,4.0
2324.0,6.81954940599,0.0688648065595,10.6987364326,5.1
2353.0,8.04276842728,0.132220428594,11.4828577721,5.1
2382.0,8.11010158441,0.142779698933,12.2749803497,4.0
2412.0,7.20110396309,0.227253861646,13.0591016892,5.1
2440.0,7.63876948447,0.375083646394,13.8912304576,4.0
2470.0,8.64876684149,0.607387593854,14.8593802747,5.1
2499.0,8.17743474155,0.850250811654,15.7235139958,6.2
2528.0,9.29965402713,1.20926600318,16.6276539076,5.1
2557.0,8.23354570583,1.61051827607,17.3877715326,4.0
2586.0,8.7497665772,2.0223298193,18.2279015392,5.1
2615.0,8.7497665772,2.42358209218,19.0920352603,5.1
2644.0,10.2310960342,2.87763071676,19.9241640287,5.1
2674.0,10.399428927,3.31056080067,20.6682791774,5.1
2702.0,9.32209841284,3.76460942525,21.2683720392,6.2
2732.0,9.83831928421,4.17642096848,21.8764661393,5.1
2761.0,10.9493163769,4.51431761933,22.420550334,4.0
2790.0,9.89443024849,4.8310957295,22.8126110037,5.1
2819.0,10.5340952413,5.17955165069,23.1566642445,5.1
2848.0,11.0054273412,5.49632976087,23.4047026274,5.1
2878.0,10.4555398913,5.83422641172,23.6047335814,4.0
2906.0,10.0739853342,6.19324160325,23.6607422485,4.0
2936.0,11.2298711983,6.54169752444,23.5247211998,4.0
2965.0,10.242318227,6.90071271597,23.3566951985,4.0
2994.0,11.1737602341,7.18581301512,23.1246592919,6.2
3023.0,9.73731954851,7.39699842191,22.7966085274,5.1
3052.0,9.15376552001,7.55538747699,22.268526809,5.1
3081.0,8.81709973433,7.60818382869,21.6204265182,4.0
3110.0,10.0178743699,7.60818382869,20.9163175603,5.1
3140.0,9.79343051279,7.54482820665,20.2362123169,5.1
3168.0,8.7497665772,7.47091331428,19.5401045971,5.1
3198.0,8.44676737009,7.32308352953,18.6679696379,5.1
3227.0,9.04154359145,7.16469447445,17.7478272497,4.0
3255.0,8.31210105582,6.92183125665,16.9717071484,5.1
3285.0,9.03032139859,6.62617168715,16.0675672366,5.1
3314.0,8.60387807007,6.20380087359,15.1954322773,5.1
3344.0,7.24599273451,5.83422641172,14.3473010326,4.0
3372.0,7.35821466307,5.49632976087,13.4831673115,4.0
3402.0,7.96421307729,5.22178873205,12.6110323523,5.1
3431.0,8.0876571987,4.95780697357,11.8589159655,5.1
3460.0,7.58265852019,4.63046959306,11.0907971023,5.1
3489.0,6.1798844132,4.31369148288,10.4266943352,5.1
3518.0,6.40432827032,3.96523556169,9.79459652072,5.1
3547.0,5.82077424182,3.64845745152,9.13849499177,5.1
3576.0,6.88688256312,3.36335715236,8.4663909865,5.1
3606.0,6.76343844171,3.08881612355,7.88230060097,6.2
3634.0,5.60755257755,2.78259728371,7.37022135886,4.0
3664.0,5.39433091329,2.46581917354,6.89014706938,4.0
3693.0,6.34821730604,2.12792252269,6.47408268516,4.0
3721.0,5.09133170618,1.79002587184,6.11402696805,4.0
3750.0,6.20232879892,1.49436630234,5.78597620358,5.1
3779.0,5.14744267046,1.20926600318,5.57794401147,5.1
3807.0,5.70855231326,0.90304716335,5.41791924831,5.1
3836.0,5.84321862753,0.470117079446,5.29790067594,6.2
3865.0,5.00155416334,0.121661158255,5.26589572331,5.1
3893.0,5.66366354183,-0.100083518866,5.26589572331,4.0
3921.0,4.72099934194,-0.247913303614,5.28189819963,5.1
3950.0,4.70977714909,-0.30070965531,5.33790686673,5.1
3978.0,5.95544055609,-0.311268925649,5.48192915357,5.1
4007.0,6.20232879892,-0.321828195988,5.76997372726,4.0
4036.0,5.40555310615,-0.395743088362,6.04201582463,5.1
4064.0,5.92177397752,-0.459098710396,6.38606906543,6.2
4093.0,7.10010422738,-0.511895062092,6.84213964043,5.1
4122.0,7.14499299881,-0.53301360277,7.33821640622,4.0
4150.0,6.03399590608,-0.575250684127,7.89830307728,5.1
4180.0,7.27965931308,-0.628047035822,8.6184145115,5.1
4209.0,6.66243870601,-0.680843387518,9.29851975493,4.0
4238.0,6.5614389703,-0.691402657857,10.0186311891,5.1
4267.0,7.10010422738,-0.65972484684,10.7947512905,4.0
4297.0,7.13377080595,-0.490776521414,11.7228949168,5.1
4326.0,8.15499035583,-0.269031844292,12.79506083,5.1
4354.0,8.62632245578,0.0477462658812,13.7712118852,5.1
4384.0,7.82954676301,0.375083646394,14.6913542734,5.1
4413.0,8.31210105582,0.734098837924,15.6515028524,4.0
4442.0,8.16621254869,1.10367329979,16.6676600984,4.0
4471.0,9.74854174137,1.56828119471,17.6758161063,5.1
4501.0,9.88320805564,2.06456690065,18.6039597326,4.0
4529.0,9.0527657843,2.56085260659,19.3720785958,5.1
4559.0,10.3882067342,3.05713831253,20.2282110787,5.1
4588.0,9.37820937712,3.55342401847,20.9323200366,5.1
4616.0,9.55776446282,3.98635410237,21.6684339471,5.1
4646.0,10.0066521771,4.37704710492,22.3565404287,5.1
4675.0,10.0964297199,4.76774010747,22.8926233853,5.1
