----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,NO
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,20
TIME,16:36:18,UTC
PLOT,1,#
HEIGHT,64,cm
TEMPERATURE,32.6,C
HUMIDITY,27.4,%
LATITUDE,39.6694,angular degrees
LONGITUDE,-75.7522,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,12.2286463625,6.5311382541,4.88983752989,-0.4
33.0,9.53532007711,6.54169752444,5.12987467462,1.8
58.0,10.0403187556,6.48890117274,4.95384743515,-0.4
87.0,10.1974294556,6.45722336172,4.80982514831,-0.4
116.0,9.32209841284,6.43610482105,4.72981276673,-0.4
145.0,9.31087621999,6.40442701003,4.6578016233,-0.4
175.0,9.32209841284,6.38330846935,4.68980657594,-0.4
203.0,9.37820937712,6.34107138799,4.7538164812,-0.4
232.0,9.42309814855,6.30939357698,4.86583381541,0.7
262.0,9.59143104138,6.31995284732,4.91384124436,1.8
290.0,10.5902062056,6.30939357698,5.08186724568,0.7
320.0,10.7360947127,6.29883430664,5.2098870562,0.7
349.0,10.0403187556,6.27771576596,5.29790067594,-0.4
379.0,10.8595388341,6.27771576596,5.38591429568,-0.4
407.0,11.0839826912,6.29883430664,5.43392172463,-0.4
436.0,9.86076366993,6.31995284732,5.48993039173,-0.4
466.0,11.0166495341,6.35163065833,5.53793782068,-0.4
494.0,11.2410933912,6.36218992867,5.75397125095,0.7
524.0,10.2198738413,6.36218992867,5.857987347,1.8
553.0,11.0952048841,6.37274919901,6.00200963384,-0.4
582.0,10.6912059413,6.37274919901,6.09002325358,-0.4
611.0,10.6126505913,6.38330846935,6.18603811148,-0.4
641.0,11.802203034,6.41498628037,6.37006658911,-0.4
669.0,10.8258722555,6.45722336172,6.49008516148,0.7
698.0,10.9717607627,6.49946044308,6.65010992464,0.7
728.0,11.2074268126,6.56281606512,6.79413221148,0.7
756.0,12.3633126768,6.63673095749,6.9621582128,0.7
786.0,11.6002035626,6.74232366088,7.10618049964,-0.4
816.0,11.4767594412,6.85847563461,7.33821640622,0.7
845.0,11.7460920697,6.99574614902,7.49824116938,-0.4
875.0,12.8346447767,7.16469447445,7.65826593254,0.7
905.0,11.9032027697,7.36532061089,7.79428698123,0.7
935.0,12.1949797839,7.55538747699,7.93030802991,0.7
964.0,12.1052022411,7.76657288378,8.07433031676,0.7
994.0,12.4755346053,7.9883175609,8.23435507992,0.7
1024.0,12.6438674982,8.21006223802,8.40238108123,0.7
1053.0,13.7997533623,8.41068837446,8.5223996536,-0.4
1083.0,13.900753098,8.63243305158,8.65041946413,0.7
1113.0,12.8570891624,8.86473699904,8.73043184571,0.7
1142.0,14.3608630051,9.0970409465,8.85045041808,-0.4
1171.0,13.6763092409,9.3399041643,8.90645908519,0.7
1201.0,13.5753095052,9.61444519312,8.97847022861,-0.4
1231.0,14.7311953694,9.83618987024,8.97046899045,0.7
1260.0,14.5067515123,10.1212901694,9.02647765756,0.7
1290.0,14.5516402837,10.4063904686,9.00247394308,-0.4
1320.0,14.7648619479,10.6492536864,8.98647146677,0.7
1349.0,13.7548645909,10.8604390931,8.90645908519,-0.4
1379.0,13.5977538909,11.0610652296,8.89845784703,-0.4
1409.0,13.7548645909,11.2194542847,8.83444794176,-0.4
1438.0,13.3733100338,11.2722506364,8.69842689308,-0.4
1468.0,13.0366442481,11.293369177,8.40238108123,-0.4
1498.0,13.2498659124,11.3250469881,8.10633526939,0.7
1527.0,12.3296460982,11.3567247991,7.92230679176,0.7
1557.0,12.3408682911,11.3356062584,7.74627955228,0.7
1587.0,13.1376439838,11.2722506364,7.59425602728,0.7
1617.0,13.0029776696,11.2722506364,7.37022135886,-0.4
1646.0,11.645092334,11.2194542847,7.10618049964,-0.4
1676.0,12.3633126768,11.1033023109,6.80213344964,0.7
1705.0,12.2623129411,10.9871503372,6.5620963049,-0.4
1733.0,11.5777591769,10.7442871194,6.40207154174,-0.4
1763.0,12.0715356625,10.4591868202,6.27405173121,-0.4
1792.0,11.9480915411,10.1424087101,6.02601334832,0.7
1821.0,11.6338701412,9.80451205922,5.68196010752,-0.4
1850.0,10.6238727841,9.47717467871,5.39391553384,-0.4
1880.0,10.556539627,9.17095583888,5.19388457989,-0.4
1908.0,10.5789840127,8.87529626938,5.08986848383,-0.4
1938.0,10.320873577,8.57963669989,4.97785114962,0.7
1967.0,10.9829829555,8.32621421175,4.77782019567,-0.4
1995.0,10.085207527,8.07279172361,4.52178057462,-0.4
2025.0,9.78220831993,7.82992850581,4.32975085883,-0.4
2054.0,10.5228730484,7.62930236937,4.18572857198,-0.4
2084.0,10.2086516485,7.42867623292,4.07371123777,0.7
2112.0,9.45676472711,7.2597279075,3.9536926654,-0.4
2142.0,10.2759848056,7.08022031173,3.76966418777,0.7
2171.0,9.9954299842,6.93239052699,3.61764066277,-0.4
2199.0,9.00787701288,6.78456074224,3.48962085224,-0.4
2229.0,9.98420779134,6.66840876851,3.32959608908,0.7
2258.0,8.68243342006,6.51001971342,3.18557380224,-0.4
2287.0,9.60265323424,6.34107138799,3.0015453246,-0.4
2316.0,8.3682120201,6.15100452189,2.90553046671,0.7
2346.0,8.30087886296,5.97149692613,2.76950941802,0.7
2374.0,8.4692117558,5.72863370833,2.70549951276,0.7
2404.0,7.82954676301,5.51744830154,2.59348217855,-0.4
2433.0,7.91932430586,5.27458508374,2.50546855881,-0.4
2461.0,7.69488044874,5.0739589473,2.36144627197,-0.4
2491.0,7.63876948447,4.82053645916,2.27343265223,0.7
2520.0,8.62632245578,4.54599543034,2.20142150881,-0.4
2549.0,8.50287833437,4.23977659051,2.20942274697,0.7
2578.0,7.3245480845,3.95467629135,2.23342646144,0.7
2608.0,8.24476789868,3.6695759922,2.28943512855,0.7
2636.0,8.5702114915,3.43727204474,2.2414276996,-0.4
2665.0,7.57143632733,3.24720517863,2.2414276996,-0.4
2695.0,8.64876684149,3.15217174558,2.32944131934,0.7
2724.0,8.15499035583,3.1310532049,2.43345741539,-0.4
2753.0,8.27843447725,3.16273101592,2.52947227328,0.7
2782.0,8.80587754147,3.19440882694,2.65749208381,0.7
2812.0,9.20987648429,3.25776444897,2.78551189434,0.7
2840.0,9.06398797716,3.31056080067,2.84152056145,0.7
2870.0,8.91809947003,3.34223861169,3.01754780092,0.7
2899.0,9.17620990572,3.44783131508,3.14556761145,-0.4
2927.0,9.3333206057,3.53230547779,3.26558618382,-0.4
2957.0,9.47920911283,3.6167796405,3.40960847066,0.7
2986.0,10.5116508556,3.71181307355,3.59363694829,-0.4
3015.0,10.5902062056,3.81740577695,3.8016691404,-0.4
3044.0,9.80465270565,3.95467629135,3.99369885619,0.7
3074.0,10.9380941841,4.12362461678,4.08971371409,0.7
3102.0,10.085207527,4.29257294221,4.20973228646,-0.4
3131.0,10.2759848056,4.50375834899,4.3537545733,0.7
3161.0,11.2972043555,4.71494375577,4.56978800357,-1.5
3189.0,10.6463171698,4.89445135154,4.76181771936,0.7
3219.0,11.6114257554,5.08451821764,5.0018548641,0.7
3248.0,10.9605385698,5.30626289476,5.16187962726,0.7
3277.0,11.0727604984,5.48577049053,5.31390315226,0.7
3306.0,11.2972043555,5.68639662697,5.52193534436,-0.4
3336.0,11.3982040912,5.90814130409,5.68196010752,-0.4
3365.0,12.3857570625,6.14044525155,5.86598858516,-0.4
3393.0,11.3869818983,6.35163065833,6.06601953911,-0.4
3423.0,11.7124254911,6.55225679478,6.21004182595,-0.4
3452.0,12.7112006553,6.73176439054,6.47408268516,-0.4
3481.0,12.5989787268,6.92183125665,6.65010992464,-0.4
3510.0,13.126421791,7.11189812275,6.81813592596,-0.4
3540.0,13.0141998624,7.28084644818,7.00216440359,0.7
3569.0,12.4306458339,7.49203185496,7.17819164306,0.7
3598.0,12.2623129411,7.70321726174,7.34621764438,0.7
3628.0,12.3184239054,7.89328412784,7.53024612201,0.7
3657.0,13.6875314338,8.10446953463,7.69027088517,-0.4
3687.0,12.6775340767,8.3684512931,7.83429317202,-0.4
3717.0,12.8458669696,8.60075524057,7.93830926807,0.7
3746.0,13.9905306409,8.83305918803,8.1223377457,0.7
3776.0,14.0690859909,9.07592240583,8.25835879439,-0.4
3806.0,13.362087841,9.29766708295,8.40238108123,0.7
3836.0,14.1476413409,9.50885248973,8.50639717729,0.7
3865.0,14.3496408123,9.70947862617,8.57840832071,0.7
3895.0,14.6975287908,9.94178257363,8.62641574966,-0.4
3925.0,14.7424175622,10.2163236025,8.63441698781,0.7
3954.0,13.6763092409,10.5014239016,8.59441079702,-0.4
3984.0,14.7087509837,10.7970834711,8.5223996536,-0.4
4014.0,14.5516402837,11.0821837703,8.48239346281,-0.4
4043.0,13.4069766124,11.2405728253,8.36237489044,0.7
4073.0,14.4057517765,11.3356062584,8.13834022202,0.7
4103.0,13.7548645909,11.3250469881,7.89830307728,-0.4
4132.0,12.3520904839,11.2828099067,7.77028326675,0.7
4161.0,12.3072017125,11.2511320957,7.59425602728,0.7
4191.0,12.4306458339,11.198335744,7.44223250228,-0.4
4221.0,11.7909808411,11.1455393923,7.25020278649,0.7
4250.0,12.9917554767,11.0716244999,7.0181668799,-0.4
4280.0,11.6002035626,10.9237947152,6.83413840227,0.7
4310.0,11.8134252268,10.8076427414,6.61810497201,0.7
4338.0,11.4767594412,10.6492536864,6.49808639964,-0.4
4368.0,11.6226479483,10.4380682796,6.36206535095,0.7
4397.0,11.5440925983,10.2585606838,6.14603192069,-0.4
4425.0,12.2847573268,10.079053088,5.96200344305,-0.4
4455.0,11.0952048841,9.8256305999,5.7619724891,0.7
4484.0,12.116424434,9.56164884143,5.60194772594,-0.4
4513.0,11.6338701412,9.35046343464,5.37791305752,-0.4
4542.0,11.6114257554,9.12871875752,5.23389077068,-0.4
4572.0,11.7124254911,8.91753335074,5.08186724568,0.7
4600.0,11.4543150555,8.7169072143,4.96984991146,0.7
4629.0,10.3769845413,8.54795888887,4.84183010094,-0.4
4659.0,10.3882067342,8.37901056344,4.6578016233,-0.4
