----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,19
TIME,23:59:53,UTC
PLOT,6,#
HEIGHT,64,cm
TEMPERATURE,29.6,C
HUMIDITY,23.4,%
LATITUDE,39.6694,angular degrees
LONGITUDE,-75.7522,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,D
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,15.9207478121,11.0821837703,1.72134721933,0.7
76.0,14.9107504551,11.2088950143,1.77735588644,0.7
102.0,15.7524149193,11.2194542847,1.84936702986,-0.4
132.0,15.6065264121,11.230013555,1.88937322065,0.7
160.0,15.7973036907,11.2511320957,1.97738684038,-0.4
188.0,15.774859305,11.2828099067,2.00939179302,-0.4
218.0,15.8983034264,11.3039284474,2.08140293644,0.7
248.0,16.2349692121,11.3250469881,2.16941655618,0.7
276.0,15.2586384336,11.3356062584,2.25743017591,0.7
306.0,15.9431921978,11.3672840694,2.38544998644,0.7
334.0,15.4830822907,11.4095211508,2.48146484434,0.7
364.0,15.2025274693,11.4834360431,2.59348217855,0.7
392.0,15.4718600979,11.5573509355,2.68149579829,-0.4
420.0,16.8185232406,11.6418250982,2.77751065618,-1.5
452.0,15.8646368478,11.7474178016,2.81751684697,0.7
480.0,16.627745962,11.8635697754,2.90553046671,0.7
508.0,17.0317449048,11.9797217491,2.96153913381,-0.4
538.0,16.1115250906,12.0747551821,3.02554903908,1.8
568.0,16.5267462263,12.2014664262,3.12956513513,0.7
596.0,16.9980783263,12.2753813186,3.24158246934,0.7
624.0,17.2449665691,12.380974022,3.35359980356,-0.4
656.0,17.0093005191,12.4971259957,3.52962704303,1.8
684.0,17.4132994619,12.5921594288,3.66564809172,-0.4
712.0,16.5604128049,12.6871928618,3.80967037856,0.7
742.0,16.5267462263,12.8033448355,3.93769018909,-0.4
772.0,16.8521898191,12.9089375389,4.1057161904,0.7
800.0,16.941967362,13.0145302423,4.25773971541,-0.4
830.0,16.9531895548,13.1201229457,4.41776447857,0.7
860.0,17.1776334119,13.2573934601,4.58579047988,-0.4
888.0,18.2100751547,13.4157825152,4.72981276673,-0.4
916.0,17.0429670977,13.5847308406,4.81782638646,0.7
946.0,18.187630769,13.7431198957,4.92184248252,-0.4
976.0,18.4794077832,13.9120682211,5.00985610225,-0.4
1004.0,17.4469660405,14.0493387355,5.10587096015,0.7
1034.0,18.5579631332,14.1654907093,5.2098870562,-0.4
1062.0,18.4120746261,14.2710834127,5.28189819963,0.7
1092.0,18.6028519046,14.4189131974,5.33790686673,0.7
1120.0,18.7936291832,14.5667429822,5.35390934305,0.7
1148.0,18.9507398832,14.7251320373,5.38591429568,-0.4
1180.0,17.8060762119,14.8096062,5.39391553384,0.7
1208.0,17.9631869119,14.8940803627,5.37791305752,-0.4
1238.0,17.951964719,14.9891137957,5.38591429568,-0.4
1266.0,17.8621871762,15.1263843101,5.39391553384,0.7
1296.0,17.716298669,15.2742140949,5.41791924831,-0.4
1324.0,17.7275208619,15.3798067983,5.40991801015,0.7
1352.0,17.8509649833,15.4748402313,5.38591429568,0.7
1384.0,17.716298669,15.5698736644,5.36191058121,-0.4
1412.0,18.8946289189,15.6543478271,5.31390315226,-0.4
1440.0,18.7711847975,15.7071441788,5.14587715094,0.7
1470.0,18.8609623403,15.7177034491,4.91384124436,0.7
1500.0,18.9507398832,15.7177034491,4.81782638646,0.7
1528.0,18.961962076,15.7177034491,4.78582143383,-0.4
1556.0,18.7262960261,15.6860256381,4.67380409962,0.7
1588.0,18.4120746261,15.6965849085,4.57778924172,-0.4
1616.0,18.030520069,15.7282627195,4.4497694312,-0.4
1644.0,16.9531895548,15.7177034491,4.32174962067,0.7
1674.0,16.9083007834,15.6754663678,4.14572238119,0.7
1704.0,16.6165237692,15.6754663678,4.00970133251,-0.4
1732.0,16.5379684192,15.6754663678,3.85767780751,0.7
1762.0,16.6501903477,15.6015514754,3.72165675882,-0.4
1792.0,16.6165237692,15.4853995017,3.59363694829,-0.4
1820.0,17.7275208619,15.3375697169,3.50562332856,0.7
1848.0,16.4481908763,15.2214177432,3.43361218513,-0.4
1878.0,17.2561887619,15.1263843101,3.35359980356,0.7
1908.0,17.3796328834,15.0313508771,3.22557999303,-0.4
1936.0,16.9980783263,14.936317444,3.0975601825,0.7
1966.0,17.2112999905,14.8624025517,2.9455366575,0.7
1994.0,16.9307451691,14.8096062,2.82551808513,0.7
2024.0,16.6726347334,14.7040134966,2.68949703644,0.7
2052.0,15.9880809692,14.5561837118,2.56147722592,-0.4
2080.0,15.7636371121,14.4717095491,2.40945370091,0.7
2112.0,15.8870812335,14.3766761161,2.31343884302,0.7
2140.0,15.3371937836,14.2077277906,2.2414276996,-0.4
2168.0,16.1564138621,13.9859831135,2.16941655618,0.7
2198.0,15.7299705335,13.7959162474,2.0894041746,-1.5
2228.0,15.3596381693,13.6692050033,2.00139055486,-0.4
2256.0,15.1351943122,13.5108159483,1.92137817328,0.7
2284.0,15.4045269407,13.3313083525,1.85736826801,0.7
2316.0,15.4045269407,13.1729192974,1.76135341012,0.7
2344.0,15.8085258835,13.035648783,1.6893422667,0.7
2372.0,15.9319700049,12.9300560796,1.63333359959,-0.4
2402.0,15.1688608907,12.8350226466,1.56132245617,0.7
2432.0,15.853414655,12.7505484838,1.48931131275,0.7
2460.0,15.853414655,12.6660743211,1.43330264564,-0.4
2488.0,15.774859305,12.5921594288,1.32928654959,-0.4
2520.0,14.7087509837,12.5393630771,1.29728159696,0.7
2548.0,14.9331948408,12.444329644,1.24127292985,0.7
2576.0,14.6863065979,12.3704147516,1.16926178643,-0.4
2606.0,14.6638622122,12.3281776703,1.20126673906,-0.4
2636.0,14.4281961623,12.2331442372,1.16126054827,0.7
2664.0,14.6301956337,12.1697886152,1.15325931011,0.7
2694.0,14.5404180908,12.0853144525,1.12925559564,-0.4
2722.0,14.8209729122,11.9902810194,1.12125435748,0.7
2752.0,14.5067515123,11.8952475864,1.12925559564,0.7
2780.0,14.5628624765,11.7790956126,1.14525807196,-0.4
2808.0,15.3933047479,11.6418250982,1.20126673906,-0.4
2840.0,15.4157491336,11.5573509355,1.24127292985,0.7
2868.0,14.3384186194,11.5151138542,1.36129150222,-0.4
2896.0,15.3933047479,11.4834360431,1.43330264564,-0.4
2926.0,15.3596381693,11.4939953135,1.42530140748,0.7
2956.0,15.7973036907,11.4834360431,1.45730636012,0.7
2984.0,15.539193255,11.4939953135,1.47330883643,-0.4
3012.0,14.5179737051,11.4834360431,1.5373187417,0.7
3044.0,14.6526400194,11.4623175025,1.60932988512,-0.4
3072.0,15.224971855,11.4306396914,1.72934845749,-0.4
3100.0,15.1688608907,11.4095211508,1.84936702986,0.7
3130.0,15.5616376407,11.4200804211,1.94538188775,-0.4
3160.0,15.8309702692,11.4411989618,2.02539426933,-0.4
3188.0,15.9319700049,11.4623175025,2.11340788907,0.7
3216.0,15.9095256192,11.5151138542,2.18541903249,0.7
3248.0,15.9993031621,11.5890287465,2.2414276996,0.7
3276.0,17.0766336762,11.6840621796,2.31343884302,-0.4
3304.0,17.2112999905,11.789654883,2.38544998644,-0.4
3334.0,16.1788582478,11.8635697754,2.48946608249,0.7
3364.0,17.2898553405,11.9058068567,2.65749208381,0.7
3392.0,17.6265211262,11.9480439381,2.81751684697,1.8
3420.0,17.6714098976,12.0430773711,3.01754780092,-0.4
3450.0,17.873409369,12.1909071559,3.18557380224,-0.4
3480.0,17.8509649833,12.3281776703,3.33759732724,0.7
3508.0,16.8970785905,12.4971259957,3.40960847066,-0.4
3536.0,16.6501903477,12.6766335915,3.51362456671,0.7
3568.0,17.0878558691,12.8455819169,3.61764066277,-0.4
3596.0,16.9756339405,13.003970972,3.77766542593,-0.4
3626.0,17.1439668334,13.1201229457,3.97769637988,0.7
3654.0,17.5030770048,13.2468341898,4.18572857198,1.8
3684.0,17.5142991976,13.4052232449,4.39376076409,-0.4
3712.0,17.5479657762,13.595290111,4.60979419436,-0.4
3740.0,18.3671858547,13.7642384364,4.7538164812,-0.4
3772.0,18.7375182189,13.9437460322,4.87383505357,-0.4
3800.0,18.6589628689,14.1126943576,4.97785114962,-0.4
3828.0,18.5579631332,14.218287061,5.11387219831,-0.4
3858.0,18.9395176903,14.3027612237,5.24989324699,-0.4
3888.0,17.8958537547,14.3766761161,5.40991801015,-0.4
3916.0,19.0292952332,14.4717095491,5.6099489641,-0.4
3944.0,18.8609623403,14.5773022525,5.79397744174,0.7
3976.0,18.266186119,14.6934542262,5.9540022049,0.7
4004.0,18.0754088404,14.8624025517,6.05801830095,-0.4
4032.0,19.2312947046,15.0524694178,6.13803068253,-1.5
4062.0,18.6365184832,15.2108584729,6.19403934963,-0.4
4092.0,18.4232968189,15.3270104466,6.21004182595,-0.4
4120.0,18.7262960261,15.4220438796,6.24204677858,-0.4
4148.0,18.4794077832,15.5487551237,6.26605049306,0.7
4178.0,18.7487404118,15.6860256381,6.29805544569,-0.4
4208.0,19.7250711902,15.8232961525,6.33806163648,-0.4
4236.0,19.5342939117,15.9077703152,6.39407030358,-0.4
4266.0,18.6926294475,15.9605666669,6.45808020885,0.7
4296.0,19.7362933831,16.0556001,6.50608763779,0.7
4324.0,19.7587377688,16.1611928034,6.53809259043,-0.4
4352.0,19.8709596974,16.2667855068,6.51408887595,0.7
4382.0,18.9282954975,16.3512596695,6.43407649437,-0.4
4412.0,18.7262960261,16.4462931025,6.33006039832,0.7
4440.0,18.7711847975,16.4990894542,6.23404554042,0.7
4468.0,19.6689602259,16.5413265356,6.04201582463,0.7
4500.0,18.6028519046,16.5518858059,5.81798115621,0.7
4528.0,18.9507398832,16.5624450763,5.59394648779,-0.4
4556.0,18.7936291832,16.5096487246,5.52193534436,0.7
4586.0,18.7599626046,16.5096487246,5.47392791542,-0.4
4616.0,18.5467409404,16.5202079949,5.36991181936,0.7
4644.0,18.2325195404,16.5518858059,5.26589572331,-0.4
4672.0,18.9731842689,16.5730043466,5.10587096015,0.7
4704.0,19.0629618117,16.5624450763,4.94584619699,-0.4
