----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,20
TIME,18:3:41,UTC
PLOT,9,#
HEIGHT,64,cm
TEMPERATURE,36.4,C
HUMIDITY,22.6,%
LATITUDE,39.6696,angular degrees
LONGITUDE,-75.7522,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,2.60812490677,3.07111853088,2.5445869007,0.958585365855
165.0,3.21853711899,3.31352253756,4.17868074076,0.961179431414
277.0,3.79941325643,4.00767946578,4.9505642632,0.96212272798
305.0,4.05539257123,3.9856427379,5.54179419529,0.964716793539
335.0,4.38028939386,4.11786310518,6.0673319127,0.964716793539
365.0,4.74456764954,4.29415692821,6.43685062025,0.96353767283
396.0,5.06946447218,4.51452420701,6.69140795212,0.962830200405
427.0,5.49281487743,4.80100166945,7.06092665967,0.962594376264
458.0,5.85709313311,5.12053422371,7.52898368924,0.96070778313
489.0,6.20168067227,5.53923205342,7.96419461146,0.960236134847
520.0,6.61518571926,5.97996661102,8.185905836,0.960471958989
552.0,6.96961861668,6.42070116861,8.33371331902,0.959057014139
582.0,7.41265973845,6.81736227045,8.48973232887,0.959057014139
614.0,7.9147730098,7.25809682805,8.69502049973,0.957642069288
645.0,8.32827805678,7.76494156928,8.99063546578,0.958113717572
677.0,8.70240167073,8.26076794658,9.26982737815,0.958113717572
707.0,9.12575207598,8.80066777963,9.51617318318,0.95787789343
738.0,9.36204067426,9.29649415693,9.6147115052,0.958349541713
770.0,9.6081746308,9.8143572621,9.6147115052,0.957642069288
801.0,9.84446322908,10.376293823,9.71324982721,0.956934596863
831.0,10.0413703943,11.114524207,9.83642272973,0.955519652013
862.0,10.1496693352,11.9629382304,9.81999967606,0.953868883022
893.0,10.3761125752,12.7893155259,9.58186539786,0.953161410596
923.0,10.2382775595,13.5606010017,9.31088501232,0.951982289888
954.0,10.0019889613,14.1115191987,9.27803890498,0.951274817463
985.0,9.4014221073,14.3208681135,9.15486600247,0.95080316918
1017.0,9.21436030033,14.3979966611,8.84282798276,0.948916576046
1047.0,8.94853562727,14.3979966611,8.48152080204,0.949152400188
1079.0,8.67286559594,14.2547579299,8.21875194333,0.947501631196
1110.0,8.35781413157,13.9792988314,8.02988682614,0.947265807054
1142.0,8.11168017503,13.7258764608,7.83281018211,0.947029982913
1172.0,7.71786584456,13.4834724541,7.56182979657,0.947029982913
1203.0,7.3732783054,13.1639398998,7.3072724647,0.946794158771
1234.0,7.03853612451,12.7452420701,7.06092665967,0.945850862204
1264.0,6.7333300184,12.2604340568,6.96238833766,0.946794158771
1295.0,6.3985878375,11.7646076795,6.81458085463,0.946794158771
1326.0,6.11307244791,11.2687813022,6.5436004691,0.947501631196
1357.0,5.84724777485,10.8060100167,6.15765870787,0.948680751905
1387.0,5.57157774352,10.3652754591,5.78814000032,0.947973279479
1418.0,5.27621699567,9.91352253756,5.48431350745,0.948680751905
1449.0,5.01039232261,9.39565943239,5.1640639609,0.949152400188
1479.0,4.68549549998,8.85575959933,4.81096830702,0.94938822433
1510.0,4.47874297648,8.30484140234,4.4742957068,0.950331520896
1541.0,4.17353687037,7.76494156928,4.12941157975,0.950331520896
1572.0,4.13415543732,7.21402337229,3.82558508688,0.948916576046
1602.0,3.87817612252,6.60801335559,3.5463931745,0.947501631196
1633.0,3.7797225399,5.99098497496,3.38216263781,0.946794158771
1664.0,3.62219680772,5.41803005008,3.27541278897,0.945615038063
1695.0,3.56312465815,4.88914858097,3.27541278897,0.945379213921
