----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,24
TIME,18:48:13,UTC
PLOT,15,#
HEIGHT,64,cm
TEMPERATURE,30.1,C
HUMIDITY,32.6,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,108.081447964,-7.51752921536,2.08474139796,-0.00145471492932
18.0,108.071602606,-7.49549248748,2.23254888098,-0.00475625291286
40.0,108.061757247,-7.49549248748,2.25718346149,-0.00452042877117
68.0,108.071602606,-7.50651085142,2.32287567616,0.00161099891254
96.0,108.071602606,-7.53956594324,2.47068315918,-0.00145471492932
160.0,108.071602606,-7.57262103506,3.7352582917,-0.00404878048781
336.0,108.061757247,-7.16494156928,6.0673319127,0.00538418517944
404.0,108.071602606,-6.91151919866,6.31367771773,0.00727077831289
424.0,108.071602606,-6.90050083472,6.75710016679,-0.00569954947958
454.0,108.061757247,-6.81235392321,7.35654162571,-0.000747242504274
482.0,108.081447964,-6.70217028381,7.93134850413,-0.00452042877117
512.0,108.071602606,-6.52587646077,8.30907873851,-0.00381295634613
540.0,108.061757247,-6.33856427379,8.80998187542,0.0046767127544
568.0,108.071602606,-6.15125208681,9.23698127081,-0.00357713220445
600.0,108.081447964,-5.98597662771,9.81999967606,0.00396924032935
628.0,108.061757247,-5.83171953255,10.2469990715,-0.00192636321268
656.0,108.061757247,-5.65542570952,10.7971713694,-0.00900108746312
686.0,108.051911889,-5.47913188648,11.3144975599,-0.000511418362593
716.0,108.071602606,-5.31385642738,11.80718917,-0.00192636321268
744.0,108.051911889,-5.13756260434,12.2259770386,-0.00381295634613
772.0,108.071602606,-4.92821368948,12.6365533803,-0.00404878048781
804.0,108.081447964,-4.6858096828,13.1538795709,-0.00381295634613
832.0,108.071602606,-4.38831385643,13.6958403419,0.00797825073793
860.0,108.071602606,-4.12387312187,14.1228397373,-0.000275594220912
890.0,108.071602606,-3.82637729549,14.4430892839,0.0058558334628
920.0,108.071602606,-3.58397328881,14.8043964646,0.00562000932112
948.0,108.081447964,-3.29749582638,15.1903382258,-0.00475625291286
976.0,108.061757247,-2.98898163606,15.5105877724,-0.00499207705454
1008.0,108.071602606,-2.7245409015,15.8472603726,0.00444088861271
1036.0,108.071602606,-2.43806343907,16.0443370166,-0.00852943917976
1064.0,108.081447964,-2.19565943239,16.0114909093,0.00396924032935
1094.0,108.071602606,-1.93121869783,15.6666067822,-0.00310548392109
1122.0,108.061757247,-1.65575959933,15.3463572357,-0.00452042877117
1152.0,108.042066531,-1.38030050083,15.0261076891,-0.000511418362593
1180.0,108.081447964,-1.19298831386,14.5991082937,-0.00216218735436
1212.0,108.071602606,-1.1489148581,14.2213780594,-0.00404878048781
1240.0,108.071602606,-1.18196994992,13.794378664,-0.00428460462949
1268.0,108.071602606,-1.1489148581,13.2359948392,-0.000983066645956
1298.0,108.051911889,-1.13789649416,12.9814375073,0.00727077831289
1326.0,108.071602606,-1.34724540902,12.5298035314,-0.00145471492932
1356.0,108.061757247,-1.53455759599,11.6265355797,-0.00216218735436
1384.0,108.081447964,-1.75492487479,11.1256324427,-0.00334130806277
1414.0,108.081447964,-1.90918196995,10.4604987692,-0.00499207705454
1444.0,108.061757247,-2.09649415693,9.96780715908,-0.00452042877117
1472.0,108.061757247,-2.28380634391,9.56544234419,0.00444088861271
1500.0,108.071602606,-2.5041736227,9.15486600247,-0.00334130806277
1532.0,108.061757247,-2.73555926544,8.88388561693,0.00420506447103
