----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,AS
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,24
TIME,20:22:30,UTC
PLOT,11,#
HEIGHT,64,cm
TEMPERATURE,29.2,C
HUMIDITY,32.2,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,15.1239721193,9.55108957109,6.61810497201,5.1
36.0,13.3957544195,9.5827673821,6.85014087859,5.1
61.0,13.4069766124,9.60388592278,7.04217059438,5.1
91.0,12.2847573268,9.61444519312,7.18619288122,5.1
120.0,13.4406431909,9.62500446346,7.30621145359,5.1
149.0,12.5653121482,9.65668227448,7.3622201207,4.0
179.0,13.6987536266,9.66724154482,7.5702523128,5.1
208.0,12.4418680268,9.66724154482,7.80228821939,5.1
238.0,13.7773089766,9.68836008549,7.97831545886,4.0
268.0,13.8109755552,9.68836008549,8.20235012728,4.0
297.0,12.6102009196,9.68836008549,8.47439222466,4.0
327.0,12.7560894267,9.69891935583,8.79444175097,5.1
357.0,12.6214231125,9.68836008549,9.19450365887,5.1
386.0,13.8109755552,9.68836008549,9.64257299572,4.0
416.0,12.890755741,9.66724154482,10.1786559523,4.0
446.0,12.9468667053,9.64612300414,10.8987673865,4.0
476.0,12.969311091,9.62500446346,11.7068924405,4.0
505.0,14.136419148,9.6355637338,12.6670410194,5.1
535.0,13.1825327553,9.69891935583,13.6271895984,5.1
565.0,14.136419148,9.80451205922,14.723359226,5.1
594.0,14.7199731765,9.94178257363,15.8275300918,5.1
624.0,13.4855319624,10.0896123584,16.699665051,5.1
654.0,14.9107504551,10.2374421431,17.7238235353,4.0
683.0,13.7660867838,10.3958311982,18.5319485892,5.1
712.0,15.2698606265,10.5858980643,19.4280872629,4.0
742.0,14.0017528337,10.7442871194,20.1722024116,5.1
772.0,15.1127499265,10.8393205525,20.9883287037,5.1
801.0,15.3596381693,11.0082688779,21.5964228037,6.2
831.0,15.382082555,11.1877764736,22.5005627156,5.1
861.0,14.7311953694,11.3144877177,23.028644434,5.1
890.0,14.9107504551,11.4306396914,23.2686815787,6.2
920.0,14.7087509837,11.4623175025,23.9087806314,5.1
950.0,15.9993031621,11.6840621796,24.6048883511,5.1
979.0,15.067861155,11.8635697754,25.461020834,5.1
1009.0,16.0329697406,12.0219588304,25.7890715985,6.2
1039.0,16.0329697406,12.1169922635,26.421169413,4.0
1068.0,15.0903055408,12.1275515338,26.9892573222,5.1
1098.0,15.9544143907,12.2437035076,27.5093378025,4.0
1128.0,16.4369686835,12.3281776703,28.093428188,5.1
1158.0,15.2025274693,12.4020925626,28.5895049538,4.0
1187.0,16.3696355263,12.4232111033,29.1015841959,5.1
1217.0,16.6165237692,12.5288038067,29.7416832485,4.0
1246.0,15.6289707978,12.6343965101,30.4537934446,5.1
1275.0,15.7411927264,12.7188706728,30.8698578288,4.0
1305.0,16.5155240335,12.7716670245,31.589969263,5.1
1335.0,15.7636371121,12.8561411872,32.246070792,5.1
1364.0,16.7736344691,12.9511746203,32.5981252709,5.1
1394.0,15.9768587764,13.003970972,33.4062503249,4.0
1424.0,15.5504154478,13.0567673237,33.6942948986,5.1
1454.0,15.8646368478,13.130682216,34.2383790933,4.0
1483.0,16.9756339405,13.2257156491,34.9584905275,5.1
1513.0,15.9544143907,13.2890712711,35.5105759604,5.1
1543.0,16.0778585121,13.3524268932,35.9746477736,5.1
1572.0,15.9319700049,13.4580195966,36.3427047289,5.1
1602.0,16.0329697406,13.5530530296,36.5827418736,6.2
1632.0,17.0878558691,13.6375271923,36.7827728275,4.0
1661.0,17.2225221834,13.722001355,36.9427975907,5.1
1691.0,17.1215224477,13.8275940584,36.9908050197,5.1
1721.0,16.8297454334,13.9226274915,37.0628161631,5.1
1750.0,17.0766336762,13.9859831135,37.0708174012,5.1
1780.0,17.0878558691,14.0387794652,36.9107926381,5.1
1809.0,17.1439668334,14.0915758169,36.702760446,5.1
1839.0,15.9431921978,14.1232536279,36.5107307302,5.1
1868.0,17.1215224477,14.1338128983,36.246689871,6.2
1898.0,16.9980783263,14.1021350872,36.0066527262,5.1
1928.0,15.7973036907,14.0704572762,35.7266093907,5.1
1957.0,15.7636371121,14.0493387355,35.3025437683,5.1
1987.0,15.9544143907,14.0598980059,34.8384719552,5.1
2017.0,16.9307451691,14.0598980059,34.2543815696,5.1
2046.0,15.3596381693,14.0493387355,33.6942948986,4.0
2076.0,15.3484159764,14.0387794652,32.9741834644,5.1
2106.0,15.9431921978,14.0493387355,32.094047267,5.1
2135.0,15.1239721193,14.0810165466,31.2939234512,5.1
2165.0,14.9444170336,14.0915758169,30.373781063,4.0
2195.0,15.6738595693,14.0810165466,29.357623817,5.1
2225.0,15.4045269407,14.0282201949,28.2534529512,4.0
2254.0,14.6863065979,13.9648645728,27.3173080867,5.1
2284.0,15.1351943122,13.9120682211,26.1411260775,6.2
2314.0,14.1476413409,13.8170347881,25.1009651169,5.1
2342.0,14.2037523051,13.7008828144,23.9167818695,4.0
2372.0,15.0454167693,13.5741715703,22.7726048129,4.0
2402.0,14.8097507194,13.3418676228,21.764448805,5.1
2431.0,14.6526400194,13.0884451347,20.7322890827,5.1
2461.0,14.4730849337,12.8983782686,19.6921281221,5.1
2491.0,13.3733100338,12.7188706728,18.8279944011,5.1
2521.0,13.3508656481,12.4865667254,17.8758470603,5.1
2550.0,13.4743097695,12.2437035076,16.9156984813,4.0
2580.0,14.3047520408,12.0536366415,16.0515647603,5.1
2610.0,13.0366442481,11.884688316,15.3394545642,5.1
2639.0,13.900753098,11.7051807203,14.467319605,4.0
2669.0,12.8009781982,11.5362323948,13.859225505,6.2
2699.0,12.5989787268,11.3884026101,13.0591016892,4.0
2728.0,12.3408682911,11.2511320957,12.3629939694,5.1
2758.0,13.362087841,11.0821837703,11.7148936786,5.1
2788.0,12.1052022411,10.9026761745,11.026787197,5.1
2817.0,13.283532491,10.6914907677,10.3626844299,5.1
2847.0,12.116424434,10.4908646313,9.86660766414,4.0
2876.0,12.2286463625,10.2796792245,9.34652718387,5.1
2906.0,12.1837575911,10.0896123584,8.90645908519,4.0
2935.0,11.7573142626,9.89954549228,8.4663909865,5.1
2965.0,11.9817581197,9.75171570753,8.18634765097,6.2
2995.0,12.9019779339,9.61444519312,7.90630431544,6.2
3024.0,12.8795335482,9.49829321939,7.67426840886,4.0
3054.0,12.0154246983,9.38214124566,7.53824736017,5.1
3084.0,12.0266468911,9.31878562363,7.4182287878,5.1
3113.0,12.5989787268,9.26598927193,7.27420650096,5.1
3143.0,11.6899811054,9.22375219057,7.13818545227,5.1
3173.0,11.8134252268,9.17095583888,6.95415697464,4.0
3202.0,11.6002035626,9.18151510922,6.73012230622,6.2
3231.0,11.9256471554,9.22375219057,6.43407649437,5.1
3261.0,12.7897560053,9.26598927193,6.17803687332,4.0
3290.0,11.802203034,9.30822635329,6.00200963384,6.2
3319.0,11.6675367197,9.30822635329,5.7619724891,5.1
3348.0,12.9244223196,9.29766708295,5.61795020226,6.2
3377.0,11.7460920697,9.26598927193,5.4579254391,6.2
3406.0,11.802203034,9.23431146091,5.24189200884,5.1
3435.0,11.8695361911,9.22375219057,5.16988086541,5.1
3465.0,11.7348698769,9.19207437956,5.09786972199,5.1
3493.0,12.6214231125,9.16039656854,5.12187343647,5.1
3523.0,12.4755346053,9.12871875752,5.21788829436,5.1
3552.0,11.6899811054,9.10760021684,5.33790686673,4.0
3581.0,12.7448672339,9.10760021684,5.44992420094,5.1
3610.0,11.8695361911,9.11815948718,5.56994277331,5.1
3639.0,11.8695361911,9.1498372982,5.64995515489,5.1
3668.0,12.4082014482,9.19207437956,5.75397125095,5.1
3697.0,11.8583139983,9.21319292023,5.84998610884,5.1
3727.0,11.9480915411,9.24487073125,5.92999849042,5.1
3755.0,11.6114257554,9.25543000159,6.00200963384,5.1
3785.0,11.9368693483,9.28710781261,6.08202201542,5.1
3814.0,12.5877565339,9.32934489396,6.17803687332,4.0
3842.0,12.5877565339,9.35046343464,6.32205916016,5.1
3872.0,11.9032027697,9.32934489396,6.47408268516,5.1
3901.0,11.8246474197,9.30822635329,6.73812354438,5.1
3931.0,11.9480915411,9.28710781261,6.93815449833,4.0
3960.0,12.9132001267,9.29766708295,7.17819164306,5.1
3990.0,12.7224228482,9.30822635329,7.38622383517,5.1
4020.0,12.0266468911,9.30822635329,7.53024612201,4.0
4049.0,12.9132001267,9.24487073125,7.79428698123,6.2
4079.0,12.2062019768,9.18151510922,8.11433650755,4.0
4108.0,12.3072017125,9.0970409465,8.5223996536,5.1
4137.0,12.7560894267,9.01256678379,9.09848880098,5.1
4167.0,12.9019779339,8.92809262108,9.78659528256,5.1
4197.0,13.2723102981,8.87529626938,10.5867190984,5.1
4226.0,14.3159742337,8.91753335074,11.5068614865,5.1
4256.0,14.4955293194,8.99144824311,12.5310199707,5.1
4286.0,13.3845322267,9.10760021684,13.5711809313,5.1
4316.0,13.5640873124,9.25543000159,14.6353456063,4.0
4345.0,15.1127499265,9.41381905668,15.8515338063,5.1
4375.0,13.8895309052,9.60388592278,16.8836935287,5.1
4405.0,15.146416505,9.81507132956,18.0278705853,6.2
4434.0,15.224971855,10.015697466,18.9480129734,5.1
4464.0,14.4618627408,10.2480014135,19.78814298,5.1
4494.0,14.5404180908,10.4591868202,20.6682791774,5.1
4523.0,15.5167488693,10.6492536864,21.5644178511,5.1
4553.0,15.5504154478,10.7970834711,22.3645416669,5.1
4583.0,14.9107504551,10.9449132558,23.1726667208,5.1
4613.0,15.9319700049,11.0927430406,24.0207979656,6.2
4641.0,15.0229723836,11.230013555,24.7809155906,5.1
4671.0,15.2025274693,11.3778433398,25.6210455972,5.1
4701.0,15.224971855,11.5256731245,26.4531743656,5.1
4730.0,16.1003028978,11.6735029092,27.3973204683,4.0
4760.0,16.0554141264,11.8318919643,28.2694554275,4.0
4790.0,15.3933047479,11.9586032084,29.0695792433,4.0
4819.0,15.6065264121,12.0853144525,29.9337129643,5.1
