----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,AS
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,24
TIME,17:49:2,UTC
PLOT,1,#
HEIGHT,64,cm
TEMPERATURE,27.1,C
HUMIDITY,37.6,%
LATITUDE,39.6697,angular degrees
LONGITUDE,-75.7523,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,18.2774083118,11.789654883,27.2532981814,5.1
16.0,16.6726347334,11.7685363423,27.1972895143,5.1
40.0,16.6053015763,11.7685363423,27.285303134,5.1
70.0,16.8970785905,11.7474178016,27.4053217064,4.0
98.0,15.8421924621,11.7368585313,27.5173390406,4.0
182.0,16.7175235049,11.7685363423,28.4294801906,5.1
293.0,16.7175235049,11.7790956126,28.7815346696,5.1
316.0,16.1451916692,11.7474178016,29.0215718143,4.0
346.0,17.1439668334,11.7157399906,29.5496535327,5.1
375.0,17.2449665691,11.6735029092,30.373781063,5.1
403.0,16.1900804406,11.5995880169,31.4299444999,5.1
433.0,15.8870812335,11.5784694762,32.9101735591,5.1
462.0,17.3459663048,11.5362323948,34.6384410012,4.0
491.0,17.5704101619,11.5045545838,36.3587072052,5.1
520.0,16.470635262,11.5573509355,38.1989919815,2.9
550.0,16.5379684192,11.6418250982,39.9592643763,5.1
578.0,17.2449665691,11.7474178016,41.5355082934,5.1
607.0,16.7511900834,11.884688316,42.9517274473,5.1
637.0,17.8958537547,12.0113995601,44.3759478395,5.1
665.0,17.951964719,12.1064329932,45.6481447066,4.0
695.0,16.9531895548,12.1592293448,46.8643329066,4.0
724.0,17.9182981404,12.2225849669,48.0965235829,5.1
754.0,18.1539641904,12.2753813186,49.4567340698,5.1
782.0,17.3235219191,12.3176183999,50.6969259843,4.0
812.0,18.187630769,12.3704147516,52.153151329,4.0
841.0,18.2774083118,12.476007455,53.4413506724,5.1
869.0,17.4357438476,12.5604816177,54.8255648738,4.0
899.0,18.5130743618,12.6343965101,56.5378298396,4.0
928.0,18.4794077832,12.7083114025,57.978052708,4.0
957.0,18.4906299761,12.8350226466,59.546295387,4.0
986.0,17.7050764762,13.003970972,61.018523208,6.2
1016.0,17.8509649833,13.1940378381,62.434742362,5.1
1044.0,18.9844064617,13.3841047042,63.7389441817,4.0
1073.0,18.1539641904,13.5636123,64.9231274291,5.1
1103.0,18.8497401475,13.7114420847,66.083306962,4.0
1131.0,18.0417422618,13.8592718694,67.0514567791,5.1
1161.0,18.7824069903,13.9120682211,68.2356400265,5.1
1190.0,18.4457412047,13.9437460322,69.3638146068,4.0
1219.0,19.4108497903,13.9754238432,70.7560300463,5.1
1248.0,18.6589628689,13.9859831135,71.9802194845,5.1
1278.0,19.8821818902,14.0282201949,73.3884374003,6.2
1306.0,18.5691853261,14.1654907093,74.4446008371,6.2
1335.0,18.5916297118,14.3661168457,75.4367543687,5.1
1365.0,19.590404876,14.5561837118,76.3008880898,5.1
1394.0,19.7587377688,14.7251320373,76.7729611411,4.0
1423.0,19.8934040831,14.872961822,77.0770081911,5.1
1452.0,18.6814072546,14.9785545254,77.3090440977,5.1
1482.0,18.9058511117,15.0313508771,77.4930725753,4.0
1510.0,19.9831816259,15.0313508771,77.7011047674,4.0
1539.0,18.7824069903,15.0630286881,77.8291245779,4.0
1569.0,19.5679604902,15.1263843101,77.8771320069,4.0
1597.0,19.6689602259,15.2425362839,77.8771320069,5.1
1627.0,18.8385179546,15.3270104466,77.6210923858,5.1
1656.0,19.9719594331,15.3798067983,77.0690069529,5.1
1685.0,19.6240714545,15.3903660686,76.3969029477,4.0
1714.0,18.8385179546,15.3375697169,75.7888088476,4.0
1744.0,19.6352936474,15.2425362839,75.1327073187,4.0
1772.0,18.8609623403,15.1263843101,74.7326454108,6.2
1801.0,18.7599626046,15.0524694178,74.3485859792,5.1
1831.0,19.590404876,14.9891137957,74.0125339766,4.0
1859.0,19.2537390903,14.9996730661,73.4524473055,4.0
1889.0,19.1078505832,15.0524694178,72.4282888213,5.1
1918.0,17.873409369,15.0841472288,71.2201018594,4.0
1948.0,18.6926294475,15.0947064991,69.6038517515,4.0
1976.0,18.5018521689,15.1052657695,67.7715682134,4.0
2005.0,17.3908550762,15.1158250398,65.8752747699,4.0
2035.0,17.3796328834,15.0313508771,64.2350209475,2.9
2063.0,17.099078062,14.936317444,62.4667473146,4.0
2093.0,18.3110748904,14.8518432813,60.258405583,5.1
2122.0,17.0541892905,14.7990469296,58.2981022343,2.9
2151.0,18.1202976118,14.7356913076,55.801715929,4.0
2180.0,16.7624122763,14.6195393339,53.7133927698,4.0
2210.0,17.5030770048,14.4717095491,51.3530275132,4.0
2238.0,16.313524562,14.281642683,49.5367464514,4.0
2267.0,16.5043018406,14.0915758169,47.7764740566,4.0
2297.0,17.5479657762,13.8803904101,46.1682251868,4.0
2325.0,17.1776334119,13.658645733,44.8560221289,4.0
2355.0,17.3122997262,13.4791381372,43.4878104039,4.0
2384.0,15.853414655,13.3524268932,42.2956259184,4.0
2413.0,15.6514151835,13.2362749194,41.0554340039,5.1
2442.0,16.5604128049,13.067326594,39.6072098973,5.1
2471.0,16.8858563977,12.8983782686,38.2630018868,5.1
2500.0,16.706301312,12.7083114025,37.0868198776,4.0
2529.0,15.1800830836,12.5288038067,35.9186391065,5.1
2559.0,15.5728598336,12.3598554813,34.8144682407,4.0
2588.0,16.6501903477,12.2120256965,33.7583048038,4.0
2617.0,16.2013026335,12.0219588304,32.6461326999,6.2
2646.0,15.1351943122,11.8318919643,31.6859841209,5.1
2676.0,16.0778585121,11.6207065576,30.7498392564,5.1
2704.0,15.2474162407,11.4411989618,30.069734013,4.0
2733.0,15.0341945765,11.2828099067,29.5016461038,4.0
2763.0,16.0890807049,11.1455393923,28.8855507656,4.0
2791.0,16.0329697406,11.0927430406,28.3254640946,5.1
2821.0,15.7973036907,11.0610652296,27.8853959959,5.1
2850.0,15.1351943122,11.0505059592,27.3813179919,4.0
2879.0,15.9768587764,10.9871503372,27.0532672275,5.1
2908.0,15.9207478121,10.9026761745,26.9092449406,4.0
2937.0,16.1115250906,10.8393205525,26.9012437025,4.0
2966.0,15.7636371121,10.8287612821,26.829232559,5.1
2995.0,15.1800830836,10.8287612821,26.829232559,5.1
3025.0,15.1351943122,10.8815576338,26.6852102722,4.0
3053.0,15.7187483407,10.9554725262,26.4131681748,4.0
3083.0,15.8085258835,11.0399466889,25.9811013143,4.0
3112.0,15.146416505,11.0821837703,25.6530505498,6.2
3142.0,15.9768587764,11.1033023109,25.4050121669,5.1
3170.0,15.0790833479,11.0293874186,25.1729762603,5.1
3199.0,14.7760841408,10.9765910669,25.052957688,4.0
3229.0,15.0454167693,10.9449132558,25.052957688,4.0
3257.0,16.0666363192,10.9132354448,25.0769614024,5.1
3287.0,16.1003028978,10.9132354448,25.1409713077,5.1
3316.0,14.6863065979,10.9660317965,25.2769923564,5.1
3345.0,14.9107504551,11.0293874186,25.4050121669,5.1
3374.0,15.7075261478,11.0610652296,25.5490344538,4.0
3403.0,14.9107504551,11.0821837703,25.661051788,4.0
3432.0,15.9544143907,11.1138615813,25.7970728367,5.1
3461.0,15.8646368478,11.134980122,25.9250926472,4.0
3491.0,14.8209729122,11.1455393923,26.0771161722,4.0
3519.0,15.8870812335,11.1560986626,26.2931496025,4.0
3549.0,15.7299705335,11.1244208516,26.5491892235,5.1
3578.0,14.8883060694,11.0927430406,26.829232559,4.0
3607.0,16.1900804406,11.0610652296,27.3013056104,5.1
3636.0,15.4494157121,11.0505059592,27.8293873288,6.2
3665.0,15.6401929907,11.0188281482,28.6215099064,4.0
3694.0,16.5379684192,10.9871503372,29.7096782959,5.1
3723.0,17.0541892905,10.9237947152,30.9018627814,5.1
3753.0,17.3010775334,10.8921169042,32.4461017459,4.0
3782.0,16.2349692121,10.9026761745,34.0463493775,5.1
3811.0,17.2674109548,10.9554725262,36.046658917,5.1
3840.0,17.5928545476,11.0399466889,37.8229337881,5.1
3869.0,16.4818574549,11.1455393923,39.3751739907,5.1
3898.0,16.5267462263,11.293369177,41.111442671,4.0
3927.0,16.4369686835,11.4411989618,42.7757002079,4.0
3957.0,16.7511900834,11.5890287465,44.3359416487,5.1
3985.0,17.9070759476,11.7262992609,45.9841967092,5.1
4015.0,18.0080756833,11.8635697754,47.6324517698,4.0
4044.0,17.0878558691,12.0113995601,49.0566721619,4.0
4073.0,18.2100751547,12.1909071559,50.7289309369,5.1
4102.0,17.0317449048,12.4020925626,52.1131451382,4.0
4131.0,17.3010775334,12.6027186991,53.4893581014,4.0
4160.0,18.6252962904,12.7927855652,54.8255648738,5.1
4189.0,18.5467409404,12.9406153499,55.9217345014,5.1
4219.0,18.4232968189,13.067326594,56.9778979383,4.0
4247.0,17.6938542833,13.1729192974,57.9700514699,4.0
4277.0,17.873409369,13.2679527305,59.2262458607,5.1
4306.0,18.8497401475,13.3629861635,60.6344637765,4.0
4335.0,17.6938542833,13.4580195966,61.8506519765,5.1
4364.0,19.1078505832,13.5741715703,63.2588698923,5.1
4393.0,17.873409369,13.6797642737,64.5070630449,5.1
4423.0,19.0854061974,13.8170347881,65.779259912,5.1
4451.0,18.1651863833,13.9331867618,66.7634122055,4.0
4481.0,19.119072776,14.1021350872,67.907589262,4.0
4510.0,18.4345190118,14.281642683,68.7237155542,5.1
4539.0,19.1415171617,14.4400317381,69.5558443226,4.0
4568.0,19.5791826831,14.5773022525,70.2679545186,5.1
4597.0,18.5467409404,14.6617764152,70.74002757,5.1
4626.0,19.5006273331,14.7356913076,71.2921130029,4.0
4655.0,19.4220719831,14.7568098483,71.756184816,4.0
4685.0,19.5230717188,14.7779283889,72.2442603437,5.1
4713.0,18.6140740975,14.7779283889,72.7243346331,5.1
4743.0,18.6365184832,14.7779283889,73.1083940647,5.1
4772.0,19.6577380331,14.841284011,73.47645102,5.1
4800.0,18.7824069903,14.8940803627,73.7724968318,5.1
4830.0,19.5342939117,14.9679952551,74.0205352147,5.1
4859.0,19.5679604902,15.0419101474,74.0685426437,4.0
