----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,AS
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,24
TIME,17:17:29,UTC
PLOT,8,#
HEIGHT,64,cm
TEMPERATURE,27.6,C
HUMIDITY,38.8,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,18.5916297118,13.9331867618,10.6667314799,5.1
66.0,16.941967362,13.9226274915,10.3466819536,5.1
140.0,17.2225221834,13.9754238432,10.5147079549,5.1
164.0,16.0329697406,14.0071016542,10.6667314799,5.1
194.0,17.3459663048,14.0282201949,10.7547450997,5.1
222.0,16.0778585121,14.0598980059,10.722740147,5.1
251.0,16.0554141264,14.0704572762,10.4346955734,4.0
281.0,15.9656365835,14.0810165466,10.2106609049,5.1
309.0,17.2449665691,14.0598980059,10.1706547141,5.1
339.0,16.8858563977,14.0387794652,10.2106609049,5.1
368.0,15.9431921978,13.9754238432,10.2426658576,5.1
397.0,15.9319700049,13.9437460322,10.4586992878,4.0
426.0,17.2449665691,13.9437460322,10.770747576,5.1
455.0,15.7973036907,13.9437460322,10.922771101,5.1
484.0,16.863412012,13.9648645728,10.8187550049,5.1
513.0,17.3796328834,13.9859831135,10.5867190984,5.1
543.0,16.1900804406,14.0387794652,10.3066757628,5.1
571.0,16.0217475478,14.0598980059,9.99462747467,5.1
601.0,16.8297454334,14.0282201949,9.68257918651,5.1
630.0,15.9880809692,13.9754238432,9.58656432861,5.1
660.0,16.9307451691,13.8909496805,9.65857547203,4.0
688.0,15.7075261478,13.7853569771,9.76259156809,6.2
717.0,15.9768587764,13.6692050033,10.0026287128,2.9
747.0,17.2225221834,13.6058493813,10.314677001,5.1
775.0,16.863412012,13.6164086516,10.5787178602,4.0
805.0,17.1776334119,13.6692050033,10.722740147,6.2
834.0,15.7299705335,13.7325606254,10.7947512905,4.0
863.0,15.853414655,13.7853569771,10.7867500523,6.2
892.0,17.0429670977,13.8170347881,10.7787488142,5.1
921.0,16.0329697406,13.8275940584,10.8107537668,5.1
950.0,17.3122997262,13.8064755177,10.8907661484,4.0
979.0,17.1103002548,13.7325606254,11.0587921497,6.2
1009.0,15.8646368478,13.626967922,11.2588231036,6.2
1037.0,17.2225221834,13.5424937593,11.5388664392,5.1
1067.0,17.1215224477,13.4791381372,11.8989221563,4.0
1096.0,16.2349692121,13.4263417855,12.2989840642,5.1
1125.0,17.4918548119,13.3629861635,12.7630558773,5.1
1154.0,16.2910801763,13.3207490822,13.2351289286,5.1
1183.0,16.0666363192,13.2996305415,13.8192193142,5.1
1212.0,16.4033021049,13.2573934601,14.571335701,5.1
1241.0,17.3796328834,13.2151563788,15.3714595168,6.2
1271.0,17.8958537547,13.2045971084,16.2996031431,5.1
1300.0,16.6053015763,13.2468341898,17.1957418168,5.1
1329.0,16.6838569263,13.2996305415,18.2199003011,5.1
1358.0,18.0754088404,13.4369010559,19.1880501182,4.0
1387.0,16.9868561334,13.6058493813,20.0441826011,5.1
1416.0,18.2325195404,13.7747977067,20.9163175603,2.9
1445.0,18.4569633975,13.9648645728,21.6844364235,5.1
1475.0,17.5928545476,14.1549314389,22.3325367143,4.0
1503.0,18.6926294475,14.3555575754,22.9806370051,4.0
1533.0,18.5018521689,14.5561837118,23.6047335814,4.0
1562.0,17.7724096333,14.7673691186,24.1648202524,5.1
1591.0,18.9058511117,14.9574359847,24.8289230195,4.0
1620.0,17.8397427904,15.1263843101,25.4210146432,6.2
1649.0,18.109075419,15.2530955542,26.0531124577,5.1
1678.0,18.2549639261,15.400925339,26.7332177011,5.1
1707.0,19.1527393546,15.5381958534,27.3973204683,5.1
1737.0,19.3210722474,15.6965849085,28.0294182827,5.1
1765.0,18.3110748904,15.8655332339,28.6455136209,5.1
1795.0,18.5804075189,16.0028037483,29.2536077209,5.1
1824.0,19.6577380331,16.1400742627,29.8296968683,4.0
1852.0,18.5355187475,16.2667855068,30.2777662051,5.1
1882.0,19.4220719831,16.3934967508,30.8378528762,4.0
1911.0,19.7475155759,16.4885301839,31.3099259275,4.0
1941.0,18.7038516403,16.5624450763,31.6939853591,5.1
1969.0,19.8260709259,16.6363599686,32.1340534578,6.2
1999.0,20.0841813616,16.7208341313,32.502110413,5.1
2028.0,19.119072776,16.8053082941,32.8221599394,4.0
2057.0,20.1851810973,16.9003417271,33.2062193709,4.0
2086.0,19.2312947046,17.0164937008,33.5182676591,5.1
2115.0,19.276183476,17.1115271339,33.6942948986,4.0
2144.0,19.4781829474,17.2065605669,33.918329567,5.1
2173.0,20.3871805687,17.2804754593,34.1183605209,5.1
2203.0,20.3198474116,17.333271811,34.2303778552,5.1
2231.0,19.4557385617,17.3755088924,34.4144063328,4.0
2261.0,19.4220719831,17.4177459737,34.7344558591,6.2
2290.0,20.2412920616,17.4388645144,34.9664917657,5.1
2318.0,19.4108497903,17.4599830551,35.2145301486,5.1
2348.0,20.364736183,17.4916608661,35.4785710078,4.0
2377.0,20.7350685473,17.4916608661,35.7186081525,5.1
2406.0,19.5679604902,17.5127794068,35.942642821,4.0
2435.0,20.4657359187,17.5655757585,36.1506750131,5.1
2465.0,20.6901797758,17.5972535695,36.3347034907,6.2
2494.0,19.6465158402,17.6500499212,36.4707245394,5.1
2523.0,20.4994024973,17.6922870025,36.5587381591,4.0
2552.0,20.5330690758,17.7662018949,36.5187319683,4.0
2581.0,20.7350685473,17.8717945983,36.4067146341,5.1
2610.0,20.6901797758,17.92459095,36.246689871,4.0
2639.0,20.4994024973,17.9668280314,35.9986514881,4.0
2669.0,20.4657359187,17.987946572,35.6305945328,5.1
2697.0,19.5567382974,17.9668280314,35.2305326249,5.1
2727.0,20.757512933,17.9140316797,34.8064670025,5.1
2756.0,20.4881803044,17.829557517,34.4304088091,4.0
2784.0,19.2088503189,17.7134055432,34.1263617591,6.2
2814.0,19.1527393546,17.6289313805,33.8943258525,4.0
2843.0,20.2974030259,17.5866942992,33.7022961367,4.0
2872.0,19.0068508475,17.5233386771,33.5422713736,5.1
2901.0,20.2974030259,17.4705423254,33.414251563,5.1
2931.0,19.9831816259,17.4283052441,33.3262379433,6.2
2959.0,18.9844064617,17.396627433,33.1822156565,5.1
2989.0,20.1851810973,17.4177459737,33.0221908933,5.1
3018.0,19.0068508475,17.4494237847,32.7981562249,5.1
3046.0,18.9282954975,17.4916608661,32.398094317,5.1
3076.0,19.6465158402,17.5233386771,31.8860150749,5.1
3105.0,19.4781829474,17.5550164881,31.2939234512,6.2
3135.0,19.1864059331,17.5655757585,30.7498392564,5.1
3163.0,18.0192978761,17.5761350288,30.1977538235,5.1
3193.0,19.0517396189,17.5655757585,29.4856436275,5.1
3222.0,19.040517426,17.5761350288,28.853545813,5.1
3250.0,17.8397427904,17.6078128398,28.1494368551,5.1
3280.0,18.961962076,17.6711684619,27.1972895143,5.1
3309.0,18.5242965546,17.7134055432,26.3251545551,6.2
3338.0,17.8285205976,17.6817277322,25.4290158814,5.1
3367.0,18.5242965546,17.5550164881,24.5568809222,5.1
3397.0,17.4918548119,17.364949622,23.7247521537,6.2
3425.0,17.2786331476,17.1326456746,22.9646345287,5.1
3455.0,18.5018521689,16.8897824568,22.3485391906,6.2
3484.0,18.3671858547,16.6680377797,21.7724500432,5.1
3512.0,17.1439668334,16.4779709135,21.2603708011,4.0
3542.0,18.187630769,16.2984633178,20.6682791774,4.0
3571.0,18.0529644547,16.118955722,20.1882048879,5.1
3600.0,17.9182981404,15.9288888559,19.6041145024,5.1
3629.0,16.9307451691,15.7704998008,19.0520290695,5.1
3659.0,16.4257464906,15.6226700161,18.4759399221,4.0
3688.0,17.4918548119,15.4748402313,17.8998507747,5.1
3716.0,16.5043018406,15.3375697169,17.3877715326,5.1
3746.0,16.6389681549,15.1897399322,16.8676910524,5.1
3775.0,17.3010775334,15.1052657695,16.3236068576,5.1
3804.0,16.4257464906,14.9785545254,15.8595350445,5.1
3833.0,17.099078062,14.8518432813,15.3874619931,5.1
3863.0,17.0878558691,14.7356913076,14.9713976089,5.1
3891.0,15.8870812335,14.6195393339,14.6033406537,2.9
3921.0,16.941967362,14.5033873601,14.2032787458,6.2
3950.0,15.9207478121,14.3977946567,13.9232354102,5.1
3978.0,16.1676360549,14.3238797644,13.6671957892,5.1
4008.0,16.9307451691,14.281642683,13.3311437865,5.1
4037.0,17.0766336762,14.2394056017,13.09910788,5.1
4066.0,16.9083007834,14.18660925,12.899076926,4.0
4095.0,16.0329697406,14.1338128983,12.7150484484,4.0
4125.0,16.9195229763,14.1126943576,12.5310199707,6.2
4153.0,16.8970785905,14.1021350872,12.3789964457,4.0
4182.0,15.9993031621,14.0598980059,12.2109704444,5.1
4212.0,16.6053015763,14.0176609245,12.0189407286,5.1
4240.0,16.706301312,13.9859831135,11.8109085365,5.1
4270.0,15.5055266764,13.9543053025,11.6508837734,5.1
4299.0,16.5716349977,13.9120682211,11.4828577721,4.0
4329.0,16.7287456977,13.8698311398,11.2908280563,4.0
4357.0,16.7399678906,13.8170347881,11.1468057694,5.1
4387.0,16.627745962,13.7959162474,10.9787797681,5.1
4416.0,16.6501903477,13.7642384364,10.722740147,5.1
4444.0,15.4830822907,13.722001355,10.5067067168,6.2
4474.0,15.539193255,13.658645733,10.314677001,4.0
4503.0,16.2910801763,13.6164086516,10.0506361418,5.1
4532.0,16.2237470192,13.5847308406,9.81860023519,5.1
4561.0,15.6850817621,13.5424937593,9.58656432861,5.1
4591.0,16.2798579835,13.5108159483,9.37053089835,6.2
4619.0,16.6053015763,13.4685788669,9.21050613519,5.1
4648.0,15.3596381693,13.4369010559,9.08248632466,5.1
4678.0,16.2686357906,13.4052232449,9.01047518124,5.1
4706.0,16.4257464906,13.3735454338,8.96246775229,5.1
4736.0,15.3484159764,13.3524268932,8.90645908519,4.0
4765.0,15.1800830836,13.3524268932,8.93846403782,5.1
4794.0,16.2574135978,13.3313083525,8.94646527598,5.1
4823.0,15.1688608907,13.2996305415,8.99447270492,5.1
