----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,AS
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,24
TIME,17:26:30,UTC
PLOT,11,#
HEIGHT,64,cm
TEMPERATURE,26.7,C
HUMIDITY,38.9,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,D
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,20.1066257473,16.5518858059,4.63379790883,5.1
35.0,17.6489655119,16.5835636169,4.88983752989,4.0
59.0,18.7038516403,16.5941228873,4.92184248252,5.1
87.0,17.6601877047,16.615241428,5.08186724568,5.1
116.0,18.7487404118,16.6258006983,5.11387219831,4.0
145.0,18.804851376,16.6363599686,5.13787591278,6.2
173.0,17.716298669,16.67859705,5.18588334173,4.0
202.0,18.6365184832,16.6997155907,5.24989324699,4.0
230.0,17.716298669,16.6997155907,5.27389696147,6.2
258.0,17.6152989333,16.6891563203,5.29790067594,4.0
287.0,18.961962076,16.6891563203,5.26589572331,5.1
316.0,18.6701850618,16.6680377797,5.19388457989,5.1
345.0,18.8721845332,16.6258006983,5.2098870562,5.1
373.0,18.8497401475,16.5941228873,5.34590810489,5.1
402.0,18.6589628689,16.5624450763,5.44992420094,5.1
431.0,17.7611874405,16.5624450763,5.51393410621,4.0
459.0,18.5804075189,16.5835636169,5.54593905884,4.0
488.0,17.9407425261,16.5730043466,5.59394648779,5.1
517.0,18.8272957618,16.6258006983,5.64995515489,5.1
545.0,19.040517426,16.67859705,5.69796258384,5.1
574.0,17.6938542833,16.646919239,5.75397125095,5.1
603.0,18.9956286546,16.615241428,5.92199725226,4.0
630.0,18.0754088404,16.6046821576,6.03401458647,5.1
659.0,17.8172984047,16.615241428,6.14603192069,5.1
688.0,19.0068508475,16.615241428,6.32205916016,5.1
716.0,19.0068508475,16.6258006983,6.50608763779,5.1
745.0,18.0417422618,16.6574785093,6.64210868648,5.1
774.0,19.0741840046,16.710274861,6.78613097332,4.0
802.0,18.1202976118,16.7208341313,6.90614954569,5.1
832.0,18.030520069,16.7313934017,7.05017183254,5.1
861.0,18.9956286546,16.7525119424,7.24220154833,5.1
889.0,18.4345190118,16.7525119424,7.41022754965,2.9
919.0,18.1988529618,16.741952672,7.64226345623,5.1
948.0,19.4669607545,16.6997155907,7.96231298255,4.0
977.0,19.1302949689,16.646919239,8.32236869965,5.1
1006.0,18.6814072546,16.615241428,8.62641574966,5.1
1036.0,19.6240714545,16.6046821576,9.04248013387,4.0
1064.0,18.6814072546,16.6258006983,9.48254823256,5.1
1093.0,19.7138489974,16.6680377797,9.98662623651,4.0
1123.0,18.7711847975,16.741952672,10.466700526,4.0
1151.0,18.961962076,16.8475453754,10.9467748155,5.1
1181.0,20.1964032902,17.0059344305,11.4748565339,4.0
1210.0,19.0966283903,17.1748827559,11.9309271089,5.1
1239.0,19.2874056688,17.3543903517,12.4350051128,4.0
1268.0,20.6228466187,17.5444572178,12.9150794023,6.2
1298.0,19.8372931188,17.7450833542,13.3071400721,5.1
1327.0,20.8024017044,17.956268761,13.7472081708,5.1
1355.0,19.9382928545,18.1674541678,14.0992626497,4.0
1385.0,19.9944038188,18.3997581153,14.4593183668,4.0
1414.0,21.2064006472,18.6003842517,14.8113728458,5.1
1443.0,21.4420666972,18.8221289288,15.075413705,5.1
1472.0,20.2637364473,19.0333143356,15.3154508497,4.0
1502.0,21.5991773972,19.2128219314,15.5874929471,5.1
1530.0,20.3984027616,19.3712109865,15.787523901,5.1
1559.0,21.4757332757,19.4873629602,15.9715523787,5.1
1589.0,21.7562880971,19.5507185822,16.2115895234,5.1
1617.0,21.7001771329,19.5718371229,16.5396402879,4.0
1647.0,20.6228466187,19.6035149339,16.8596898142,5.1
1676.0,20.6116244258,19.6351927449,17.1877405787,5.1
1705.0,20.6677353901,19.6879890966,17.5157913432,5.1
1734.0,20.7799573187,19.7407854483,17.8278396313,5.1
1764.0,20.9931789829,19.8147003407,18.0838792524,5.1
1792.0,21.92462099,19.8780559627,18.3479201116,4.0
1821.0,20.8921792472,19.9625301255,18.5559523037,6.2
1851.0,20.9146236329,20.0153264772,18.7479820195,5.1
1879.0,22.0256207257,20.0575635585,18.9800179261,5.1
1909.0,22.0480651114,20.0892413695,19.18004888,5.1
1938.0,21.0380677544,20.1209191805,19.3560761195,5.1
1968.0,22.1266204614,20.1525969916,19.5561070734,6.2
1996.0,21.2400672258,20.2053933433,19.6921281221,5.1
2025.0,22.3622865114,20.289867506,19.8601541234,5.1
2055.0,22.3398421256,20.3637823983,20.0121776484,2.9
2083.0,22.3286199328,20.4482565611,20.140197459,4.0
2113.0,21.37473354,20.5221714534,20.244213555,4.0
2142.0,22.2612867757,20.6066456161,20.3162246984,4.0
2171.0,21.4196223115,20.6805605085,20.3802346037,4.0
2200.0,22.4071752828,20.7439161305,20.4922519379,5.1
2230.0,21.5206220472,20.7861532119,20.5242568906,5.1
2258.0,22.3847308971,20.8283902933,20.5802655577,5.1
2287.0,21.53184424,20.8495088339,20.6442754629,4.0
2317.0,21.5767330114,20.8917459153,20.7322890827,5.1
2345.0,22.3735087042,20.912864456,20.748291559,5.1
2375.0,22.4296196685,20.9551015373,20.7802965116,5.1
2404.0,22.6316191399,20.9973386187,20.7882977498,5.1
2433.0,22.3847308971,21.0290164297,20.6922828919,5.1
2462.0,22.541841597,21.0712535111,20.5562618432,5.1
2491.0,21.45328889,21.1134905924,20.3722333656,5.1
2521.0,22.4071752828,21.1134905924,20.140197459,5.1
2549.0,22.698952297,21.0923720517,19.8761565998,4.0
2579.0,22.4296196685,21.0501349704,19.6041145024,6.2
2608.0,22.5867303685,20.9973386187,19.3960823103,5.1
2637.0,21.3971779257,20.944542267,19.2440587853,5.1
2666.0,21.4420666972,20.9023051856,19.0920352603,5.1
2695.0,22.4183974756,20.8917459153,18.9480129734,5.1
2724.0,22.2837311614,20.8706273746,18.8039906866,6.2
2753.0,21.3971779257,20.8706273746,18.6679696379,5.1
2783.0,21.3186225758,20.8495088339,18.4839411603,5.1
2811.0,22.3061755471,20.8283902933,18.2599064919,4.0
2841.0,22.0929538828,20.8389495636,18.0038668708,4.0
2870.0,21.3859557329,20.8389495636,17.7798322024,5.1
2899.0,21.9695097614,20.881186645,17.4917876287,5.1
2928.0,21.9470653757,20.9339829967,17.1317319116,5.1
2957.0,20.678957583,21.0184571594,16.7156675274,5.1
2986.0,21.5655108186,21.0818127814,16.2115895234,5.1
3015.0,21.2512894186,21.1134905924,15.6755065668,4.0
3045.0,20.2412920616,21.1240498628,15.1234211339,5.1
3073.0,19.8821818902,21.1134905924,14.5313295102,4.0
3103.0,19.8260709259,21.0818127814,13.9872453155,5.1
3132.0,19.9046262759,21.0290164297,13.3871524536,4.0
3162.0,19.8372931188,20.9339829967,12.8190645444,5.1
3190.0,20.8136238972,20.8283902933,12.1549617773,5.1
3219.0,19.6689602259,20.7122383195,11.5708713918,4.0
3249.0,19.197628126,20.5644085348,11.0027834826,5.1
3277.0,20.3310696044,20.4060194797,10.418693097,4.0
3307.0,20.2300698687,20.2265118839,9.86660766414,5.1
3336.0,19.7475155759,20.0153264772,9.41053708914,5.1
3365.0,19.8036265402,19.761903989,9.0184764194,5.1
3394.0,19.7250711902,19.5084815009,8.6184145115,6.2
3423.0,18.6365184832,19.3184146348,8.25035755623,4.0
3452.0,19.4894051403,19.1494663093,7.83429317202,4.0
3481.0,19.4781829474,18.9805179839,7.47423745491,6.2
3511.0,18.0754088404,18.7904511178,7.06617430885,5.1
3539.0,19.1078505832,18.6003842517,6.69011611543,5.1
3568.0,19.1751837403,18.4208766559,6.32205916016,5.1
3597.0,19.1639615474,18.2413690602,6.010010872,4.0
3625.0,18.1315198047,18.0513021941,5.71396506016,5.1
3654.0,18.883406726,17.892913139,5.43392172463,5.1
3683.0,17.7387430547,17.7556426246,5.2098870562,4.0
3711.0,18.6589628689,17.6183721102,4.92984372068,5.1
3740.0,18.7599626046,17.5233386771,4.68980657594,5.1
3769.0,17.5928545476,17.4388645144,4.46577190751,5.1
3797.0,18.344741469,17.333271811,4.24973847725,5.1
3825.0,17.5030770048,17.2487976483,4.08171247593,4.0
3854.0,17.5142991976,17.1220864042,3.94569142724,2.9
3882.0,18.4569633975,17.0270529712,3.83367409303,5.1
3911.0,18.5242965546,16.9214602678,3.78566666409,5.1
3940.0,17.4132994619,16.8264268347,3.75366171145,6.2
3968.0,17.4581882333,16.7525119424,3.72165675882,4.0
3997.0,17.4469660405,16.6997155907,3.68165056803,5.1
4026.0,17.559187969,16.646919239,3.68965180619,4.0
4054.0,17.3347441119,16.6258006983,3.68165056803,5.1
4083.0,18.5018521689,16.6046821576,3.68965180619,6.2
4112.0,17.1888556048,16.615241428,3.70565428251,5.1
4140.0,18.344741469,16.6046821576,3.67364932987,4.0
4169.0,18.3222970832,16.5941228873,3.63364313908,5.1
4198.0,18.1651863833,16.615241428,3.59363694829,4.0
4226.0,17.1664112191,16.6258006983,3.57763447198,5.1
4254.0,18.4681855904,16.615241428,3.48962085224,5.1
4283.0,18.3222970832,16.6046821576,3.43361218513,5.1
4311.0,17.5142991976,16.5835636169,3.4016072325,4.0
4340.0,17.3796328834,16.5730043466,3.36160104171,5.1
4369.0,17.4806326191,16.5413265356,3.36960227987,5.1
4397.0,17.4357438476,16.5096487246,3.42561094698,4.0
4426.0,17.3010775334,16.4885301839,3.50562332856,5.1
4455.0,18.4232968189,16.4885301839,3.60963942461,5.1
4484.0,18.4681855904,16.5096487246,3.68965180619,6.2
4512.0,17.4245216548,16.5624450763,3.72965799698,4.0
4541.0,18.5355187475,16.6046821576,3.7456604733,4.0
4570.0,18.4120746261,16.6363599686,3.78566666409,4.0
4598.0,18.3784080475,16.6574785093,3.84167533119,4.0
4627.0,17.3122997262,16.646919239,3.8976839983,5.1
4655.0,17.1664112191,16.6574785093,3.96969514172,5.1
4683.0,17.4132994619,16.6680377797,4.0497075233,6.2
4712.0,17.099078062,16.6891563203,4.14572238119,4.0
