----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,AS
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,24
TIME,16:22:40,UTC
PLOT,10,#
HEIGHT,64,cm
TEMPERATURE,29.3,C
HUMIDITY,35.5,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,18.5691853261,13.1095636754,13.3151413102,5.1
35.0,15.9880809692,13.0884451347,13.355147501,5.1
59.0,15.460637905,13.0778858644,13.3871524536,6.2
88.0,16.4369686835,13.0567673237,13.4671648352,5.1
117.0,16.8858563977,13.0567673237,13.4671648352,4.0
147.0,16.941967362,13.0567673237,13.5151722642,5.1
175.0,15.5840820264,13.035648783,13.6031858839,5.1
205.0,15.9431921978,13.035648783,13.7312056944,5.1
234.0,16.9195229763,13.0462080533,13.8272205523,5.1
262.0,15.7973036907,13.0462080533,13.8432230287,5.1
292.0,16.6165237692,13.0778858644,13.9712428392,4.0
321.0,16.9644117477,13.099004405,13.9712428392,4.0
350.0,15.696303955,13.099004405,13.9312366484,6.2
379.0,15.5055266764,13.0778858644,13.8912304576,5.1
409.0,16.9195229763,13.0567673237,13.9552403629,6.2
437.0,15.7411927264,13.0462080533,14.01124903,5.1
467.0,16.8746342048,13.0462080533,14.0512552208,6.2
496.0,15.7524149193,13.0884451347,14.0192502681,5.1
525.0,15.8197480764,13.1095636754,13.9952465537,4.0
554.0,15.774859305,13.1201229457,13.9712428392,4.0
583.0,16.941967362,13.1095636754,13.9472391247,5.1
613.0,16.6389681549,13.0884451347,14.0192502681,5.1
641.0,15.8309702692,13.0567673237,14.1072638879,4.0
671.0,15.8421924621,13.035648783,14.2192812221,4.0
700.0,16.863412012,13.0145302423,14.3793059852,5.1
728.0,15.9768587764,12.9934117016,14.5793369392,5.1
758.0,16.5828571906,12.9617338906,14.8513790366,5.1
787.0,16.6053015763,12.9617338906,15.0194050379,5.1
816.0,15.9319700049,12.9617338906,15.2754446589,5.1
845.0,15.9656365835,12.9934117016,15.4594731366,5.1
875.0,16.8521898191,13.0250895127,15.6915090431,5.1
903.0,15.696303955,13.035648783,15.8435325681,5.1
933.0,16.0329697406,13.0462080533,16.0275610458,4.0
962.0,15.8870812335,13.0462080533,16.243594476,5.1
990.0,15.7524149193,13.0778858644,16.5316390497,5.1
1020.0,15.8870812335,13.1201229457,16.7796774326,5.1
1049.0,17.2112999905,13.1834785677,17.0597207682,6.2
1078.0,17.0878558691,13.2257156491,17.3957727708,5.1
1107.0,16.2574135978,13.2890712711,17.6518123918,5.1
1137.0,17.4581882333,13.3418676228,17.9398569655,5.1
1166.0,17.6040767405,13.4052232449,18.26790773,4.0
1194.0,16.2125248263,13.4685788669,18.5639535419,5.1
1224.0,17.716298669,13.5424937593,18.8599993537,5.1
1253.0,17.9182981404,13.626967922,19.18004888,5.1
1282.0,16.5716349977,13.7114420847,19.5721095498,5.1
1311.0,16.8297454334,13.7853569771,19.9721714577,6.2
1341.0,18.1202976118,13.8803904101,20.4122395563,5.1
1369.0,17.0541892905,13.9859831135,20.7402903208,4.0
1399.0,18.1539641904,14.1021350872,21.156354705,6.2
1428.0,17.020522712,14.2394056017,21.5164104221,5.1
1456.0,17.2225221834,14.3872353864,21.9004698537,6.2
1486.0,17.4581882333,14.5350651711,22.1965156656,5.1
1515.0,18.266186119,14.6617764152,22.4605565248,5.1
1544.0,18.3671858547,14.7462505779,22.7005936695,4.0
1573.0,17.3010775334,14.8518432813,22.8926233853,5.1
1603.0,18.3784080475,14.8940803627,23.180667959,5.1
1631.0,18.4120746261,14.9257581737,23.4927162472,6.2
1660.0,17.5704101619,14.9574359847,23.7967632972,6.2
1690.0,18.3784080475,14.9785545254,24.2048264432,5.1
1718.0,18.7262960261,15.0102323364,24.6128895893,4.0
1748.0,18.6028519046,15.0419101474,25.0449564498,5.1
1777.0,17.6040767405,15.0947064991,25.4210146432,5.1
1807.0,18.8497401475,15.1686213915,25.8370790274,5.1
1835.0,17.7724096333,15.2953326356,26.1651297919,5.1
1865.0,17.9407425261,15.3903660686,26.4531743656,5.1
1894.0,17.9295203333,15.5065180423,26.7492201775,4.0
1922.0,17.9856312976,15.6015514754,27.0212622748,5.1
1952.0,17.9407425261,15.7071441788,27.2452969433,5.1
1981.0,19.0292952332,15.7810590712,27.4613303735,5.1
2010.0,19.0292952332,15.8444146932,27.6613613275,5.1
2039.0,17.9407425261,15.8866517746,27.8453898051,5.1
2069.0,19.0517396189,15.9183295856,28.0534219972,5.1
2097.0,19.1639615474,15.9500073966,28.2054455222,5.1
2126.0,18.0080756833,15.9922444779,28.3334653327,4.0
2156.0,18.1539641904,16.0344815593,28.4854888577,4.0
2184.0,19.2986278617,16.0978371813,28.6375123827,5.1
2214.0,18.0641866476,16.1400742627,28.7735334314,4.0
2243.0,18.3896302404,16.1928706144,28.9255569564,5.1
2272.0,19.3322944403,16.2456669661,29.0375742906,6.2
2301.0,18.4906299761,16.2773447771,29.1175866722,4.0
2331.0,18.3335192761,16.3195818585,29.2456064827,4.0
2360.0,18.4794077832,16.3723782102,29.3416213406,5.1
2388.0,18.4120746261,16.3934967508,29.4376361985,5.1
2418.0,18.2998526975,16.4251745619,29.3976300077,5.1
2447.0,19.3435166331,16.4885301839,29.3656250551,5.1
2476.0,19.1639615474,16.4990894542,29.3336201025,5.1
2505.0,18.6365184832,16.5096487246,29.2936139117,5.1
2535.0,19.119072776,16.4990894542,29.2936139117,5.1
2563.0,19.4445163688,16.4885301839,29.3176176262,6.2
2592.0,18.3559636618,16.4462931025,29.4056312459,5.1
2622.0,19.5455161045,16.4146152915,29.5496535327,5.1
2650.0,18.4457412047,16.4040560212,29.6456683906,5.1
2680.0,18.4345190118,16.4251745619,29.7256807722,5.1
2709.0,18.6926294475,16.4462931025,29.7976919156,4.0
2738.0,19.5006273331,16.4674116432,29.8296968683,5.1
2767.0,18.5579631332,16.4885301839,29.8537005827,5.1
2797.0,18.7150738332,16.5307672652,29.8537005827,6.2
2825.0,18.5691853261,16.5518858059,29.8456993446,5.1
2854.0,18.4906299761,16.6046821576,29.8216956301,5.1
2884.0,18.6028519046,16.615241428,29.7896906775,5.1
2912.0,19.5230717188,16.615241428,29.7976919156,5.1
2942.0,19.511849526,16.615241428,29.8216956301,5.1
2971.0,18.6028519046,16.615241428,29.813694392,5.1
3001.0,19.5455161045,16.615241428,29.8777042972,5.1
3029.0,19.5342939117,16.615241428,29.8537005827,5.1
3058.0,18.7038516403,16.6046821576,29.8056931538,5.1
3088.0,19.5006273331,16.5835636169,29.7576857249,5.1
3116.0,19.433294176,16.5413265356,29.7416832485,5.1
3146.0,18.6140740975,16.4990894542,29.7256807722,5.1
3175.0,18.6252962904,16.4990894542,29.7576857249,5.1
3204.0,19.6240714545,16.5096487246,29.813694392,5.1
3233.0,18.4569633975,16.5624450763,29.7416832485,5.1
3263.0,18.4794077832,16.5941228873,29.5896597235,6.2
3291.0,18.8160735689,16.5835636169,29.4136324841,5.1
3320.0,18.7038516403,16.5835636169,29.2216027683,6.2
3350.0,18.4681855904,16.5624450763,29.0455755288,6.2
3378.0,19.4108497903,16.5413265356,28.9495606709,5.1
3408.0,19.3659610188,16.5730043466,28.8215408604,5.1
3437.0,18.5242965546,16.5835636169,28.5815037156,5.1
3466.0,19.5342939117,16.5941228873,28.2774566656,4.0
3495.0,19.2425168974,16.5941228873,27.9734096156,4.0
3524.0,18.1315198047,16.5624450763,27.8053836143,5.1
3553.0,18.7150738332,16.5518858059,27.437326659,4.0
3582.0,18.6252962904,16.5202079949,27.0852721801,6.2
3612.0,17.5928545476,16.5202079949,26.7012127485,5.1
3641.0,18.5467409404,16.5202079949,26.2931496025,5.1
3670.0,17.2898553405,16.4990894542,25.8850864564,5.1
3699.0,17.4581882333,16.4779709135,25.4850245485,5.1
3729.0,17.0878558691,16.4462931025,25.1009651169,5.1
3757.0,17.1215224477,16.4146152915,24.7649131143,5.1
3786.0,17.099078062,16.3618189398,24.444863588,4.0
3816.0,17.2112999905,16.3195818585,24.1248140616,5.1
3844.0,17.8060762119,16.2562262364,23.8207670116,5.1
3874.0,18.1651863833,16.1928706144,23.4687125327,5.1
3903.0,16.6950791191,16.1083964517,23.0846531011,5.1
3932.0,17.9856312976,16.023922289,22.6765899551,5.1
3961.0,17.9407425261,15.9816852076,22.3485391906,5.1
3990.0,16.8521898191,15.9288888559,22.0284896643,5.1
4019.0,17.7724096333,15.8866517746,21.508409184,6.2
4048.0,16.6950791191,15.8444146932,21.1243497524,5.1
4078.0,16.6614125406,15.7388219898,20.7722952735,6.2
4106.0,17.2225221834,15.6015514754,20.4042383182,5.1
4136.0,17.5928545476,15.4853995017,20.0601850774,5.1
4165.0,16.5155240335,15.3692475279,19.8121466945,5.1
4195.0,16.3471911406,15.2530955542,19.5161008827,4.0
4223.0,16.2349692121,15.1263843101,19.2120538326,5.1
4252.0,15.9207478121,14.9996730661,18.9640154498,5.1
4282.0,15.9768587764,14.904639633,18.6999745905,4.0
4310.0,17.2449665691,14.8096062,18.3799250642,5.1
4340.0,17.3010775334,14.7356913076,18.0918804905,5.1
4369.0,16.1788582478,14.6512171449,17.8358408695,5.1
4398.0,17.0541892905,14.5561837118,17.6438111537,5.1
4427.0,17.1103002548,14.4822688195,17.4437801997,4.0
4456.0,15.6626373764,14.3977946567,17.2197455313,6.2
4485.0,15.9431921978,14.3555575754,16.9877096247,5.1
4514.0,15.5728598336,14.2922019533,16.8036811471,5.1
4544.0,15.853414655,14.249964872,16.6916638129,5.1
4572.0,15.8421924621,14.218287061,16.595648955,4.0
4602.0,16.7624122763,14.1971685203,16.4596279063,5.1
4631.0,15.4494157121,14.1760499796,16.3076043813,5.1
4660.0,15.5616376407,14.1549314389,16.1075734274,5.1
4689.0,15.7411927264,14.1338128983,15.8835387589,5.1
4718.0,15.7075261478,14.0598980059,15.5954941852,5.1
4747.0,15.8309702692,13.9859831135,15.3474558024,5.1
