----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,AS
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,24
TIME,16:23:36,UTC
PLOT,10,#
HEIGHT,64,cm
TEMPERATURE,29.8,C
HUMIDITY,35.0,%
LATITUDE,39.6695,angular degrees
LONGITUDE,-75.7524,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,D
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,124.98065677548037,141.86489398955572,N,692090
LOAD_Y,-0.9090909090908994,-3.3636363636363633,N,NONE
IMU,0.9470351339481776,22.634782608695637,DEG,IMU.CAL
POT,89.10914407230187,10204.315789473683,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,17.2337443762,12.1381108042,3.44961466145,5.1
17.0,15.7075261478,12.1275515338,3.46561713777,5.1
126.0,15.774859305,12.1486700745,3.82567285488,6.2
211.0,15.1351943122,12.1592293448,3.85767780751,4.0
234.0,14.9444170336,12.1803478855,3.8976839983,5.1
262.0,14.5628624765,12.1803478855,3.93769018909,4.0
291.0,15.5953042193,12.1803478855,3.96969514172,5.1
320.0,15.7860814978,12.1803478855,3.96969514172,4.0
348.0,16.1339694764,12.2014664262,3.9536926654,5.1
377.0,15.774859305,12.2331442372,3.96169390356,5.1
406.0,15.2361940479,12.2542627779,3.93769018909,4.0
435.0,15.8758590407,12.2753813186,3.92168771277,5.1
463.0,14.7760841408,12.2648220482,3.93769018909,5.1
492.0,16.0105253549,12.2542627779,4.03370504698,6.2
521.0,15.9319700049,12.2437035076,4.15372361935,5.1
549.0,15.1688608907,12.2120256965,4.22573476277,6.2
578.0,16.0105253549,12.2331442372,4.28174342988,5.1
607.0,15.0117501908,12.2331442372,4.34575333514,6.2
634.0,15.2137496622,12.2331442372,4.44176819304,5.1
663.0,15.9319700049,12.2225849669,4.56178676541,5.1
692.0,16.1003028978,12.2120256965,4.66580286146,5.1
720.0,15.067861155,12.2225849669,4.74581524304,5.1
749.0,14.9331948408,12.2437035076,4.88183629173,2.9
778.0,16.3247467549,12.2331442372,5.04986229304,5.1
806.0,15.1127499265,12.2331442372,5.2098870562,5.1
835.0,16.2686357906,12.2437035076,5.37791305752,5.1
864.0,16.4145242977,12.2542627779,5.49793162989,5.1
892.0,15.1913052765,12.2753813186,5.61795020226,5.1
921.0,16.4930796477,12.2964998593,5.79397744174,5.1
950.0,15.2923050122,12.3176183999,5.97800591937,5.1
978.0,16.3696355263,12.349296211,6.18603811148,5.1
1007.0,15.4269713264,12.3915332923,6.33806163648,6.2
1035.0,15.8197480764,12.476007455,6.48208392332,5.1
1063.0,15.5953042193,12.5816001584,6.65010992464,5.1
1092.0,16.7960788548,12.7188706728,6.82613716411,5.1
1121.0,15.9544143907,12.8139041059,6.95415697464,5.1
1150.0,17.0093005191,12.9194968093,7.06617430885,6.2
1179.0,16.0105253549,13.0250895127,7.19419411938,4.0
1209.0,16.1900804406,13.1412414864,7.35421888254,5.1
1237.0,15.9431921978,13.2362749194,7.5142436457,5.1
1266.0,16.1900804406,13.3207490822,7.65026469438,5.1
1296.0,16.0329697406,13.3946639745,7.81028945754,5.1
1324.0,17.5928545476,13.4580195966,7.99431793518,5.1
1354.0,17.5142991976,13.5319344889,8.17834641281,5.1
1383.0,16.6389681549,13.6058493813,8.33837117597,6.2
1412.0,16.7736344691,13.7008828144,8.50639717729,4.0
1441.0,17.7387430547,13.8064755177,8.68242441676,5.1
1470.0,16.6053015763,13.9226274915,8.84244917992,5.1
1499.0,17.6489655119,14.0387794652,9.02647765756,5.1
1528.0,16.8297454334,14.1549314389,9.15449746808,5.1
1558.0,17.0093005191,14.2710834127,9.26651480229,5.1
1587.0,16.941967362,14.3872353864,9.39453461282,4.0
1616.0,17.8509649833,14.4717095491,9.57856309046,5.1
1645.0,16.9644117477,14.5245059008,9.73058661546,6.2
1675.0,17.1439668334,14.5456244415,9.88261014046,5.1
1703.0,17.0093005191,14.5773022525,10.0746398562,4.0
1732.0,17.3010775334,14.6406578745,10.2586683339,5.1
1762.0,17.3908550762,14.6934542262,10.4426968115,6.2
1790.0,18.4120746261,14.7779283889,10.6027215747,6.2
1820.0,18.5579631332,14.872961822,10.770747576,5.1
1849.0,17.5030770048,14.9679952551,10.8987673865,5.1
1878.0,18.5804075189,15.0630286881,11.0347884352,5.1
1907.0,18.6589628689,15.1686213915,11.1708094839,5.1
1936.0,17.7387430547,15.2636548245,11.3148317707,4.0
1965.0,18.804851376,15.3481289873,11.4588540576,4.0
1994.0,18.9507398832,15.4220438796,11.5868738681,5.1
2024.0,17.6601877047,15.4853995017,11.7148936786,5.1
2052.0,17.716298669,15.559314394,11.8189097747,6.2
2082.0,19.0180730403,15.6226700161,11.9229258707,5.1
2111.0,18.0529644547,15.6860256381,12.034943205,5.1
2140.0,19.040517426,15.7388219898,12.1709642536,6.2
2169.0,18.266186119,15.8127368822,12.2829815878,5.1
2198.0,17.9631869119,15.8972110449,12.4030001602,5.1
2228.0,18.3222970832,15.9816852076,12.5390212089,5.1
2256.0,19.3322944403,16.0661593703,12.6990459721,4.0
2286.0,19.3322944403,16.1611928034,12.8590707352,5.1
2315.0,18.3896302404,16.2351076957,12.9950917839,5.1
2344.0,18.5130743618,16.2879040474,13.1391140708,6.2
2373.0,19.4894051403,16.3407003991,13.2591326431,4.0
2402.0,18.6252962904,16.3934967508,13.3871524536,5.1
2431.0,18.6252962904,16.4779709135,13.5231735023,4.0
2460.0,19.354738826,16.5413265356,13.6271895984,5.1
2490.0,18.6589628689,16.5941228873,13.7152032181,6.2
2518.0,18.6589628689,16.646919239,13.7792131234,5.1
2548.0,19.6801824188,16.6997155907,13.8752279813,5.1
2577.0,18.804851376,16.7313934017,13.9792440773,5.1
2606.0,19.9944038188,16.7525119424,14.0832601734,6.2
2635.0,18.9507398832,16.7841897534,14.1952775076,5.1
2664.0,18.7936291832,16.8264268347,14.2912923655,5.1
2693.0,19.0180730403,16.8792231864,14.4033096997,5.1
2722.0,19.9607372402,16.9425788085,14.4753208431,5.1
2752.0,19.9944038188,17.0164937008,14.5233282721,5.1
2780.0,18.9956286546,17.0692900525,14.571335701,5.1
2810.0,19.9607372402,17.1009678636,14.61934313,5.1
2839.0,19.9607372402,17.1326456746,14.6673505589,6.2
2868.0,19.1527393546,17.1854420263,14.7153579879,6.2
2897.0,20.2637364473,17.269916189,14.7473629405,5.1
2926.0,20.4545137259,17.3543903517,14.7313604642,4.0
2956.0,19.3884054046,17.4494237847,14.7153579879,5.1
2984.0,20.2525142545,17.5127794068,14.7153579879,5.1
3014.0,20.2749586402,17.5761350288,14.6913542734,5.1
3043.0,20.5106246901,17.6289313805,14.6833530352,5.1
3072.0,19.5006273331,17.6606091915,14.6833530352,5.1
3101.0,19.5230717188,17.6922870025,14.6753517971,4.0
3130.0,19.5455161045,17.6922870025,14.6913542734,5.1
3159.0,19.5230717188,17.7028462729,14.723359226,5.1
3188.0,20.600402233,17.7134055432,14.7393617023,5.1
3218.0,20.3535139902,17.7450833542,14.7393617023,5.1
3246.0,19.6352936474,17.7767611653,14.7153579879,5.1
3276.0,20.7911795115,17.8084389763,14.6913542734,5.1
3305.0,20.600402233,17.829557517,14.6913542734,5.1
3333.0,19.3435166331,17.8401167873,14.6673505589,4.0
3363.0,20.8472904758,17.8401167873,14.6593493208,6.2
3392.0,20.4994024973,17.8506760576,14.6353456063,5.1
3422.0,19.4108497903,17.8823538686,14.5793369392,5.1
3450.0,20.5106246901,17.9034724093,14.4833220813,5.1
3480.0,20.7350685473,17.9140316797,14.3633035089,5.1
3509.0,19.5455161045,17.92459095,14.2512861747,6.2
3538.0,20.6677353901,17.9034724093,14.115265126,5.1
3567.0,19.5006273331,17.8717945983,13.9952465537,5.1
3596.0,19.5455161045,17.829557517,13.8992316958,5.1
3625.0,19.4781829474,17.8189982466,13.7632106471,5.1
3654.0,20.5442912687,17.7978797059,13.6191883602,5.1
3684.0,20.5442912687,17.7767611653,13.4591635971,5.1
3712.0,19.276183476,17.7662018949,13.3071400721,5.1
3742.0,20.3984027616,17.7345240839,13.1551165471,5.1
3771.0,20.0729591688,17.6817277322,13.0671029273,5.1
3799.0,19.3884054046,17.6289313805,12.9870905457,4.0
3829.0,20.2300698687,17.5972535695,12.9150794023,5.1
3858.0,20.1402923259,17.5866942992,12.8190645444,5.1
3887.0,19.276183476,17.6183721102,12.6750422576,5.1
3916.0,19.0180730403,17.7028462729,12.4750113036,6.2
3946.0,18.9395176903,17.7767611653,12.2269729207,6.2
3974.0,19.7699599617,17.829557517,11.9549308234,4.0
4004.0,18.6252962904,17.8401167873,11.6668862497,4.0
4033.0,18.4345190118,17.8189982466,11.3708404378,5.1
4062.0,18.0754088404,17.7556426246,11.1228020549,5.1
4091.0,18.1427419976,17.6500499212,10.9147698628,5.1
4120.0,19.1078505832,17.5338979475,10.722740147,5.1
4150.0,18.8385179546,17.4494237847,10.5307104313,6.2
4178.0,18.1651863833,17.3860681627,10.3706856681,5.1
4208.0,18.9956286546,17.333271811,10.1306485234,5.1
4237.0,18.7038516403,17.2804754593,9.89861261677,4.0
4265.0,17.951964719,17.2276791076,9.67457794835,4.0
4295.0,18.6814072546,17.1854420263,9.37853213651,5.1
4324.0,18.9170733046,17.1326456746,9.13849499177,5.1
4353.0,18.6701850618,17.0904085932,8.8664528944,6.2
4382.0,17.5704101619,17.0270529712,8.62641574966,5.1
4412.0,18.7150738332,16.9320195381,8.35437365229,5.1
4440.0,17.3684106905,16.8053082941,8.11433650755,6.2
4470.0,17.2674109548,16.6680377797,7.86629812465,4.0
4499.0,17.4694104262,16.5096487246,7.63426221807,4.0
4527.0,17.3235219191,16.3618189398,7.42623002596,5.1
4557.0,17.4918548119,16.2456669661,7.21819783385,6.2
4586.0,18.344741469,16.1400742627,7.04217059438,4.0
4616.0,18.0080756833,16.0344815593,6.92215202201,5.1
4644.0,17.1103002548,15.9183295856,6.84213964043,4.0
4673.0,18.0080756833,15.8127368822,6.76212725885,4.0
4702.0,18.109075419,15.7071441788,6.69811735359,5.1
4730.0,18.1315198047,15.6332292864,6.62610621016,5.1
4759.0,18.0641866476,15.559314394,6.54609382858,5.1
4788.0,17.0878558691,15.527636583,6.45808020885,5.1
4816.0,18.2549639261,15.495958772,6.33006039832,6.2
