Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right,Notes:
1266_1A,19.925,8,          ,          ,          ,15,44.553,118,59,97,35,
1266_1B,19.416,9,          ,          ,          ,10.63,38.328,82,48,75,39,
1266_2A,21.095,5,          ,          ,          ,11,45.398,115,57,94,46,
1266_2B,21.024,7,          ,          ,          ,10,42.012,56,33,53,37,
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right,
1266_3A,22.023,5,          ,          ,          ,11.18,47.265,108,62,95,26,
1266_3B,20.1,3,          ,          ,          ,7.211,42.048,50,36,44,29,
1266_4A,22.023,1,          ,          ,          ,13.153,43.417,57,41,53,26,
1266_4B,24.021,8,          ,          ,          ,11.18,47,50,42,49,35,
1266_5A,23.087,5,          ,          ,          ,10.44,40.112,41,49,34,42,Missing Label
1266_5B,20.1,5,          ,          ,          ,15.232,38.013,25,38,27,31,
1266_6A,26.019,4,2,          ,          ,9.22,50.16,75,48,70,41,
1266_6B,22.023,5,2,          ,          ,13,44.045,77,40,71,48,
1266_7A,27.019,3,2,          ,          ,14.142,51.039,59,34,50,41,
1266_7B,22.023,5,4,          ,          ,10,42.426,50,44,49,32,
1266_8A,24,6,2,          ,          ,12.649,47.096,42,49,39,43,
1266_8B,24.187,4,          ,          ,          ,15,45.1,51,56,47,42,
1266_9A,21,4,          ,          ,          ,10.817,42.426,64,36,62,32,
1266_9B,23.087,7,2,          ,          ,13.416,44,72,53,61,44,
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right,
1266_10A,22,4,2,          ,          ,14,47.011,48,61,51,39,
1266_10B,21.095,5,5,          ,          ,13.038,44.553,49,42,48,36,
1266_11A,25.02,6,7,          ,          ,13.454,40.05,36,28,36,29,
1266_11B,22.091,5,          ,          ,          ,14.318,37.121,46,41,39,50,
1266_12A,21.095,1,          ,          ,          ,9.22,47.043,26,18,24,24,Brace roots not visible
1266_12B,22.091,8,          ,          ,          ,13.038,45.044,41,53,40,32,
1266_13A,21,6,          ,          ,          ,9.487,42.107,58,47,60,39,
1266_13B,19,3,1,          ,          ,11.662,41.012,58,41,58,37,
1266_14A,20,5,3,          ,          ,12.166,42.107,41,40,44,46,
1266_14B,22.023,4,1,          ,          ,13.038,46.043,62,55,60,68,
1266_15A,19.026,8,4,          ,          ,17.088,47.096,62,37,60,32,
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right,
1266_15A,21,8,4,          ,          ,16.763,48,49,41,43,29,
1266_15B,19.026,5,3,          ,          ,14.765,41.049,40,29,38,33,
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right,
1267_1A,24.083,10,          ,          ,          ,13.038,45.277,25,42,26,42,
1267_1B,22.361,5,          ,          ,          ,12.042,45,42,31,38,31,
1267_2A,25,6,          ,          ,          ,16.031,38.053,29,33,27,35,
1267_2B,24.187,7,          ,          ,          ,12.649,37.014,28,33,29,31,
1267_3A,28.018,3,          ,          ,          ,11,41.049,36,35,30,36,
1267_3B,26.019,2,          ,          ,          ,12.53,43.105,40,32,26,35,
1267_4A,22.091,6,          ,          ,          ,14.036,40.112,41,58,38,52,
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right,
1267_4A,23,8,4,          ,          ,11.402,39,57,68,74,49,
1267_4B,26.019,4,1,          ,          ,13.153,46.011,80,55,73,73,
1267_5A,23.022,10,          ,          ,          ,22.023,42.107,38,65,35,38,
1267_5B,25.08,8,          ,          ,          ,17,43.105,39,30,37,55,
1267_6A,22,3,          ,          ,          ,13.038,36.014,29,35,23,26,
1267_6B,23.087,5,3,          ,          ,14.318,37.121,72,67,57,60,
1267_7A,23.087,7,          ,          ,          ,19.235,41.437,44,45,34,26,
1267_7B,21,6,          ,          ,          ,15,38.118,37,36,41,47,
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right,
1268_1A,29,5,2,          ,          ,10.63,54.009,50,56,56,55,
1268_1B,25,4,2,          ,          ,9.849,49.041,64,46,61,48,
1268_2A,26,4,4,          ,          ,12.207,43.105,62,49,57,51,
1268_2B,22.023,4,5,          ,          ,10.198,43.186,63,50,60,56,
1268_3A,23.087,5,2,          ,          ,13.038,53.009,65,64,55,54,Missing Label
1268_3B,25.02,9,4,          ,          ,12.166,59.304,59,66,58,56,
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right,
1269_1A,24.021,5,          ,          ,          ,10,48.094,31,62,32,47,
1269_1B,28.018,4,          ,          ,          ,9,54.037,55,66,63,77,
