Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right
1373_1A,47.17,7,          ,          ,          ,26.173,88.006,115,97,98,92
1373_1B,47.381,5,          ,          ,          ,23.537,81.025,98,74,94,109
1373_2A,52.01,8,          ,          ,          ,16.125,84.054,73,72,74,118
1373_2B,46.011,6,          ,          ,          ,17.263,75.027,72,130,69,80
1373_3A,64,6,          ,          ,          ,27.459,96.005,83,74,77,70
1373_3B,37.014,6,          ,          ,          ,15.264,64.031,60,47,57,65
1373_5A,42.426,5,          ,          ,          ,19.026,65.031,57,54,52,77
1373_5B,43.012,7,          ,          ,          ,15.232,72.062,61,69,57,82
1373_6A,46.39,7,          ,          ,          ,13.153,65.192,99,92,90,90
1373_6B,46.011,5,          ,          ,          ,15.62,69.029,125,94,111,138
1373_7A,49.163,8,          ,          ,          ,21,80,93,73,90,91
1373_7B,42.107,7,          ,          ,          ,14.318,64.125,77,63,76,73
1373_8A,36,8,          ,          ,          ,13,51.039,96,106,96,109
1373_8B,39.205,6,          ,          ,          ,14.765,55.145,104,112,94,122
1373_9A,39.319,8,          ,          ,          ,16.279,60.075,104,105,98,93
1373_9B,49,4,          ,          ,          ,17,73.027,127,117,134,127
1373_10A,48.374,6,          ,          ,          ,17.464,77.233,109,140,103,113
1373_10B,40.447,5,          ,          ,          ,14.142,65.62,75,78,89,101
1373_11A,38,8,8,          ,          ,15.264,72.028,176,133,171,106
1373_11B,43.29,8,5,          ,          ,16.125,80.025,208,98,201,116
1373_12A,47,7,          ,          ,          ,17.029,90.139,98,55,108,80
1373_12B,50.04,8,          ,          ,          ,18.028,74.061,115,93,115,82
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right
1374_1A,38.118,12,15,3,          ,11.705,83.024,177,226,192,148
1374_1B,37.121,13,12,2,          ,11.662,82.055,161,170,156,124
1374_2A,37.054,13,1,          ,          ,11.705,65.069,219,105,221,99
1374_2B,40.012,12,12,1,          ,12.042,68.118,211,94,202,107
1374_3A,33.015,11,15,          ,          ,9,64,145,81,140,78
1374_3B,864.977,5,12,          ,          ,745.043,758.109,140,89,140,64
1374_4A,33.061,12,6,          ,          ,9,68.007,55,76,55,74
1374_4B,36.674,12,1,          ,          ,13.892,71.176,68,83,56,63
1374_5A,33.242,9,          ,          ,          ,13,70.114,42,77,31,58
1374_5B,53.151,9,          ,          ,          ,19.647,110.018,64,85,72,101
1374_6A,39.051,13,1,          ,          ,14.765,73.246,70,69,68,63
1374_6B,39.051,10,1,          ,          ,13.038,73.062,54,54,52,69
1374_7A,36.056,5,5,5,          ,11.662,55.227,130,76,136,62
1374_7B,36.014,6,9,1,          ,11.18,57.009,99,62,99,72
1374_8A,39.319,12,14,          ,          ,13.038,76.236,199,105,197,210
1374_8B,34.132,12,10,          ,          ,9.849,68.469,160,154,163,102
1374_9A,39.115,16,          ,          ,          ,13.928,84.38,79,73,78,90
1374_9B,39,14,          ,          ,          ,13.416,74.061,64,58,64,63
1374_10A,36,12,10,          ,          ,11.18,67.119,177,129,171,112
1374_10B,35.014,12,10,          ,          ,10.05,67.067,167,133,152,126
1374_11A,39.013,9,7,          ,          ,13,66.189,58,54,52,56
1374_11B,38.013,10,1,          ,          ,12.207,60.299,51,58,49,58
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right
1375_1A,41.11,7,2,          ,          ,13.601,76.026,110,75,112,117
1375_1B,38.053,8,3,          ,          ,11.18,81.006,130,100,120,88
1375_2A,39.051,6,1,          ,          ,15.652,65.069,85,88,92,55
1375_2B,39.051,6,1,          ,          ,16.492,77,113,90,115,99
1375_3A,41.11,8,9,8,          ,12.042,71.028,180,127,173,125
1375_3B,38.118,6,10,7,          ,38.118,39.205,14.422,72.25,211,113
1375_4A,41,9,10,          ,          ,350.852,378.22,140,110,142,117
1375_4B,40.112,9,8,          ,          ,14.318,77.006,173,130,156,135
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right
1376_3A,36.125,7,6,1,          ,19.698,77.104,141,141,138,125
1376_3B,37.054,9,5,          ,          ,20.881,81.006,145,136,135,171
1376_4A,34.059,9,4,          ,          ,15.524,53.339,156,116,151,94
1376_4B,38.013,8,5,          ,          ,20.616,58.009,169,110,160,117
1376_5A,35.128,9,2,          ,          ,20.809,73.246,264,221,247,183
1376_5B,36.125,9,          ,          ,          ,14.213,71.063,225,208,221,180
1376_6A,34,9,          ,          ,          ,17.464,69.462,177,153,157,114
1376_6B,36.014,9,7,          ,          ,15.232,71.063,176,133,165,130
1376_7A,37.054,6,2,          ,          ,24.042,78.23,224,127,217,88
1376_7B,40,5,4,1,          ,23.854,82.152,132,126,141,126
1376_8A,36.346,9,          ,          ,          ,19.647,68.447,236,142,246,127
1376_8B,38.013,9,2,          ,          ,19.026,67,258,113,247,105
1376_9A,38.053,5,5,          ,          ,21.095,68.118,156,132,143,126
1376_9B,34.059,8,4,          ,          ,12.53,65,137,101,144,117
1376_10A,34,10,1,          ,          ,18,67.03,171,113,164,111
1376_10B,33.061,5,2,          ,          ,18.439,67.268,181,110,180,118
Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right
1377_1A,41.049,9,          ,          ,          ,17.029,69.029,80,86,71,90
1377_1B,39.013,10,          ,          ,          ,14.866,68.007,98,96,88,79
1377_2A,36.056,9,          ,          ,          ,13.038,68.066,69,89,67,76
1377_3A,41.11,9,          ,          ,          ,12.649,69.007,91,78,88,93
1377_3B,40.05,10,          ,          ,          ,15.811,73.007,86,88,83,73
1377_4A,41.012,4,          ,          ,          ,13,62.008,62,38,61,60
1377_4B,44.102,3,          ,          ,          ,44.102,17,60.033,61,46,49
1377_5A,34.015,8,          ,          ,          ,17.205,74.33,44,123,35,64
1377_5B,39.013,5,          ,          ,          ,18.682,78,45,65,47,101
1377_6A,33.136,10,1,          ,          ,17.117,62.073,248,124,243,99
1377_6B,39.013,9,          ,          ,          ,15.652,70,272,112,264,116
1377_7A,33.015,10,          ,          ,          ,17.029,70.114,52,105,50,87
1377_7B,33.136,9,          ,          ,          ,18.111,80,49,69,45,74
1377_8A,43.012,7,          ,          ,          ,13.153,61.4,58,48,50,58
1377_8B,37,9,          ,          ,          ,14.213,60.133,47,60,51,54
1377_9A,36.056,8,          ,          ,          ,18.439,62.201,203,202,200,151
1377_9B,35,7,          ,          ,          ,18.974,71.007,224,158,227,193
1377_10A,39.115,10,          ,          ,          ,13,64.031,58,76,60,80
1377_10B,36.056,8,          ,          ,          ,14.318,63,66,66,54,77
1377_11A,38.118,9,          ,          ,          ,22.561,73.335,281,146,267,135
1377_11B,38.013,10,2,          ,          ,17.464,71.028,259,146,248,120
1377_12A,41.049,8,2,          ,          ,18.111,85.006,167,142,163,108
1377_12B,39,6,10,          ,          ,14.318,80.006,149,99,138,112
